股票代码,股票简称,最新价,最新涨跌幅,涨停封单量[20260422],自由流通股[20260422],fenglu_ratio,zt_first_time,涨停原因类别[20260422],涨停[20260422],涨停明细数据[20260422],zt_last_time,涨停封单额[20260422],涨停开板次数[20260422],自由流通市值[20260422],实际换手率[20260422],a股市值(不含限售股)[20260422],market_code,code,date
605365.SH,立达信,29.47,0.20401224073443971,2406297,84196126,0.028579664104735652, 10:36:21,LED照明+北美订单+机器人+泰国基地,涨停,"[{""code"":""605365.SH"",""time"":1776825381418,""openTime"":null,""duration"":10397688,""updatedTime"":1776841200000,""firstVol"":8032197.0,""highestVol"":8257297.0,""firstVolDivLTGB"":0.015999982040301293,""firstVolDivVol"":0.5428296042759758,""highestVolDivLTGB"":0.016448376913742745,""highestVolDivVol"":0.5562903177235184}]", 10:36:21,73199554.74000001,0,2561246152.92,18.659650682740438,15271231687.92,17,605365,20260422
603115.SH,海星股份,56.89,-1.4038128249566764,2081000,85190400,0.024427635038689804, 09:31:11,AI服务器电极箔+储能电极箔+业绩高增+高分红,涨停,"[{""code"":""603115.SH"",""time"":1776821471285,""openTime"":null,""duration"":14307821,""updatedTime"":1776841200000,""firstVol"":854900.0,""highestVol"":3372500.0,""firstVolDivLTGB"":0.0035342452614903277,""firstVolDivVol"":0.33666758555507426,""highestVolDivLTGB"":0.013942264761230706,""highestVolDivVol"":1.2259178480552526}]", 09:31:11,111458360.0,0,4562797824.0,3.9760360322289836,12955649824.0,17,603115,20260422
003018.SZ,金富科技,53.2,-3.3781329458772236,1471700,77584200,0.018969068444348206, 09:31:11,液冷产能扩张+瓶盖龙头+饮料供应链,涨停,"[{""code"":""003018.SZ"",""time"":1776821471285,""openTime"":1776821486285,""duration"":15000,""updatedTime"":1776821486285,""firstVol"":17300.0,""highestVol"":17300.0,""firstVolDivLTGB"":7.287662577010163E-5,""firstVolDivVol"":0.004806956249195946,""highestVolDivLTGB"":7.287662577010163E-5,""highestVolDivVol"":0.004806956249195946},{""code"":""003018.SZ"",""time"":1776821681288,""openTime"":1776821787435,""duration"":106147,""updatedTime"":1776821787435,""firstVol"":79600.0,""highestVol"":79600.0,""firstVolDivLTGB"":3.353167289768838E-4,""firstVolDivVol"":0.010524435531287653,""highestVolDivLTGB"":3.353167289768838E-4,""highestVolDivVol"":0.010524435531287653},{""code"":""003018.SZ"",""time"":1776821817435,""openTime"":1776821952437,""duration"":135002,""updatedTime"":1776821952437,""firstVol"":58100.0,""highestVol"":2198700.0,""firstVolDivLTGB"":2.4474751197935867E-4,""firstVolDivVol"":0.006602009397125183,""highestVolDivLTGB"":0.00926207150755621,""highestVolDivVol"":0.24757204974951727},{""code"":""003018.SZ"",""time"":1776821967437,""openTime"":1776823054342,""duration"":1086905,""updatedTime"":1776823054342,""firstVol"":2912200.0,""highestVol"":3271500.0,""firstVolDivLTGB"":0.012267705755357801,""firstVolDivVol"":0.2798133795992967,""highestVolDivLTGB"":0.013781264809646674,""highestVolDivVol"":0.3097908393385788},{""code"":""003018.SZ"",""time"":1776823069342,""openTime"":1776823084342,""duration"":15000,""updatedTime"":1776823084342,""firstVol"":98200.0,""highestVol"":98200.0,""firstVolDivLTGB"":4.136696329840451E-4,""firstVolDivVol"":0.007887011096671224,""highestVolDivLTGB"":4.136696329840451E-4,""highestVolDivVol"":0.007887011096671224},{""code"":""003018.SZ"",""time"":1776823099342,""openTime"":1776823114343,""duration"":15001,""updatedTime"":1776823114343,""firstVol"":180400.0,""highestVol"":180400.0,""firstVolDivLTGB"":7.599389184350482E-4,""firstVolDivVol"":0.014201536332276905,""highestVolDivLTGB"":7.599389184350482E-4,""highestVolDivVol"":0.014201536332276905},{""code"":""003018.SZ"",""time"":1776823132186,""openTime"":1776823150086,""duration"":17900,""updatedTime"":1776823150086,""firstVol"":86000.0,""highestVol"":86000.0,""firstVolDivLTGB"":3.6227686799010056E-4,""firstVolDivVol"":0.006309448670837604,""highestVolDivLTGB"":3.6227686799010056E-4,""highestVolDivVol"":0.006309448670837604},{""code"":""003018.SZ"",""time"":1776823707090,""openTime"":1776823752090,""duration"":45000,""updatedTime"":1776823752090,""firstVol"":243000.0,""highestVol"":243000.0,""firstVolDivLTGB"":0.0010236427781580748,""firstVolDivVol"":0.013403678929267793,""highestVolDivLTGB"":0.0010236427781580748,""highestVolDivVol"":0.013403678929267793},{""code"":""003018.SZ"",""time"":1776823767090,""openTime"":1776823782090,""duration"":15000,""updatedTime"":1776823782090,""firstVol"":6200.0,""highestVol"":6200.0,""firstVolDivLTGB"":2.6117634669053763E-5,""firstVolDivVol"":3.3386552575123647E-4,""highestVolDivLTGB"":2.6117634669053763E-5,""highestVolDivVol"":3.3386552575123647E-4},{""code"":""003018.SZ"",""time"":1776823887092,""openTime"":1776823902092,""duration"":15000,""updatedTime"":1776823902092,""firstVol"":106100.0,""highestVol"":106100.0,""firstVolDivLTGB"":4.4694855457848455E-4,""firstVolDivVol"":0.005541468016876773,""highestVolDivLTGB"":4.4694855457848455E-4,""highestVolDivVol"":0.005541468016876773},{""code"":""003018.SZ"",""time"":1776823932092,""openTime"":1776824052093,""duration"":120001,""updatedTime"":1776824052093,""firstVol"":800.0,""highestVol"":29200.0,""firstVolDivLTGB"":3.3700173766520983E-6,""firstVolDivVol"":4.1168038102665984E-5,""highestVolDivLTGB"":1.2300563424780158E-4,""highestVolDivVol"":0.0014973168031609384},{""code"":""003018.SZ"",""time"":1776824097094,""openTime"":null,""duration"":11682012,""updatedTime"":1776841200000,""firstVol"":46500.0,""highestVol"":1636500.0,""firstVolDivLTGB"":1.958822600179032E-4,""firstVolDivVol"":0.0023748661328818806,""highestVolDivLTGB"":0.006893791796113949,""highestVolDivVol"":0.08227441990501012}]", 10:14:57,76822740.0,11,4049895240.0,25.787790555293476,12391627500.0,33,003018,20260422
600396.SH,华电辽能,9.92,-4.889741131351868,12345600,676053306,0.018261281899566658, 09:38:57,火电+氢能+央企,涨停,"[{""code"":""600396.SH"",""time"":1776821937437,""openTime"":1776822027438,""duration"":90001,""updatedTime"":1776822027438,""firstVol"":8206500.0,""highestVol"":2.36801E7,""firstVolDivLTGB"":0.005572392213622788,""firstVolDivVol"":0.047295423878861015,""highestVolDivLTGB"":0.016079303583477606,""highestVolDivVol"":0.1344031964214392},{""code"":""600396.SH"",""time"":1776822196330,""openTime"":null,""duration"":13582776,""updatedTime"":1776841200000,""firstVol"":3.18454E7,""highestVol"":4.77943E7,""firstVolDivLTGB"":0.02162372009988462,""firstVolDivVol"":0.14793678280073122,""highestVolDivLTGB"":0.03245337052038647,""highestVolDivVol"":0.21703573120270253}]", 09:43:16,110369664.0,1,6043916555.64,37.28713782815227,13165998943.98,17,600396,20260422
000751.SZ,锌业股份,6.11,0.0,19334878,1077266753,0.01794808755227592, 09:50:46,金属铟+黄金概念+锌冶炼,涨停,"[{""code"":""000751.SZ"",""time"":1776822646548,""openTime"":null,""duration"":13132558,""updatedTime"":1776841200000,""firstVol"":1.771891E8,""highestVol"":1.968132E8,""firstVolDivLTGB"":0.12567772450828915,""firstVolDivVol"":1.584016462340557,""highestVolDivLTGB"":0.13959682130105527,""highestVolDivVol"":1.7166700060113438}]", 09:50:46,122389777.74,0,6819098546.49,12.902696998020136,8924469371.07,33,000751,20260422
600052.SH,东望时代,4.44,9.90099009900991,8410600,515581371,0.01631284695893328, 09:57:49,收购调整+锂电池+热水服务+国资背景,涨停,"[{""code"":""600052.SH"",""time"":1776823069342,""openTime"":1776823240087,""duration"":170745,""updatedTime"":1776823240087,""firstVol"":4.6164796E7,""highestVol"":4.6466296E7,""firstVolDivLTGB"":0.05468500780437816,""firstVolDivVol"":1.881842207129191,""highestVolDivLTGB"":0.05504215288638004,""highestVolDivVol"":1.8667982488703503},{""code"":""600052.SH"",""time"":1776823270087,""openTime"":null,""duration"":12509019,""updatedTime"":1776841200000,""firstVol"":4.7511203E7,""highestVol"":4.7597703E7,""firstVolDivLTGB"":0.05627990876100471,""firstVolDivVol"":1.38902597860118,""highestVolDivLTGB"":0.056382373270434764,""highestVolDivVol"":1.3880972788189172}]", 10:01:10,34988096.0,1,2144818503.36,7.745235232713635,3511850122.56,17,600052,20260422
301003.SZ,江苏博云,52.88,-10.31207598371777,627029,40177515,0.01560646545710953, 10:11:57,改性塑料+下游应用广泛,涨停,"[{""code"":""301003.SZ"",""time"":1776823917092,""openTime"":1776824262095,""duration"":345003,""updatedTime"":1776824262095,""firstVol"":7183970.0,""highestVol"":7183970.0,""firstVolDivLTGB"":0.09560734834972963,""firstVolDivVol"":1.226529967646381,""highestVolDivLTGB"":0.09560734834972963,""highestVolDivVol"":1.226529967646381},{""code"":""301003.SZ"",""time"":1776824277095,""openTime"":null,""duration"":11502011,""updatedTime"":1776841200000,""firstVol"":3050470.0,""highestVol"":3264570.0,""firstVolDivLTGB"":0.04059696072233037,""firstVolDivVol"":0.4457366379977965,""highestVolDivLTGB"":0.043446295182479444,""highestVolDivVol"":0.47641542475876925}]", 10:17:57,39803800.919999994,1,2550468652.2,18.38142802012519,4769909671.92,33,301003,20260422
300890.SZ,翔丰华,40.6,-4.358068315665492,1542961,105506768,0.014624284576701278, 09:30:41,钠离子电池+硅碳负极+一季报扭亏+定增扩产,涨停,"[{""code"":""300890.SZ"",""time"":1776821441285,""openTime"":1776824082094,""duration"":2640809,""updatedTime"":1776824082094,""firstVol"":1.5267463E7,""highestVol"":2.2404764E7,""firstVolDivLTGB"":0.14024197294291074,""firstVolDivVol"":1.5881216430792626,""highestVolDivLTGB"":0.20580290953908326,""highestVolDivVol"":2.026528858237725},{""code"":""300890.SZ"",""time"":1776824353167,""openTime"":null,""duration"":11425939,""updatedTime"":1776841200000,""firstVol"":1.5321913E7,""highestVol"":1.5624349E7,""firstVolDivLTGB"":0.14074213301709868,""firstVolDivVol"":0.5707335543470163,""highestVolDivLTGB"":0.14352021221263772,""highestVolDivVol"":0.5767897729454132}]", 10:19:13,61394418.19,1,4198114298.72,27.29701093677706,4331744199.13,33,300890,20260422
600696.SH,*ST岩石,1.31,0.0,1684979,117729186,0.014312330334128022, 09:35:41,退市博弈+酱香型白酒+ST板块,涨停,"[{""code"":""600696.SH"",""time"":1776821741338,""openTime"":1776821787435,""duration"":46097,""updatedTime"":1776821787435,""firstVol"":75600.0,""highestVol"":200349.0,""firstVolDivLTGB"":2.2602962481196076E-4,""firstVolDivVol"":0.01608989911888648,""highestVolDivLTGB"":5.990054140403642E-4,""highestVolDivVol"":0.04003736172952674},{""code"":""600696.SH"",""time"":1776821832435,""openTime"":1776821937437,""duration"":105002,""updatedTime"":1776821937437,""firstVol"":409949.0,""highestVol"":525049.0,""firstVolDivLTGB"":0.0012256695590216733,""firstVolDivVol"":0.07302846273241305,""highestVolDivLTGB"":0.0015697966729880317,""highestVolDivVol"":0.09341094435700217},{""code"":""600696.SH"",""time"":1776822271332,""openTime"":null,""duration"":13507774,""updatedTime"":1776841200000,""firstVol"":60899.0,""highestVol"":1777800.0,""firstVolDivLTGB"":1.8207643017756082E-4,""firstVolDivVol"":0.008161872013044198,""highestVolDivLTGB"":0.00531528395490349,""highestVolDivVol"":0.22080629197328513}]", 09:44:31,2106223.75,2,147161482.5,7.048058584215473,418086788.75,22,600696,20260422
603496.SH,恒为科技,30.51,1.026490066225173,3365000,236634960,0.014220214967391124, 10:39:36,智算可视化+液冷服务器+拟现金并购数珩科技,涨停,"[{""code"":""603496.SH"",""time"":1776825576474,""openTime"":null,""duration"":10202632,""updatedTime"":1776841200000,""firstVol"":2.92469E7,""highestVol"":3.41334E7,""firstVolDivLTGB"":0.09133683876826754,""firstVolDivVol"":1.3365814410094494,""highestVolDivLTGB"":0.10659717277430371,""highestVolDivVol"":1.5293174282839268}]", 10:39:36,105997500.0,0,7454001240.0,11.565927114066325,10086591154.5,17,603496,20260422
