股票代码,股票简称,最新价,最新涨跌幅,涨停[20260311],feng_dan_jin,ltsz,涨停封板时长[20260311],p_open,p_close,p_high,p_low,p_low,zt_first_time,最终涨停时间[20260311],涨停明细数据[20260311],连续涨停天数[20260311],涨停原因类别[20260311],feng_dan_liang,feng_dan_liang,feng_dan_liang,涨停开板次数[20260311],几天几板[20260311],涨停类型[20260311],总市值[20260311],所属同花顺行业,market_code,code,fenglu_ratio,date
605117.SH,德业股份,150.63,2.03210729526519,涨停,171390588.6,119863007227.32,3.3884491098000002,119.01,131.88,131.88,119,160/5521, 10:06:02, 10:07:17,"[{""code"":""605117.SH"",""time"":1773194762527,""openTime"":1773194822527,""duration"":60000,""updatedTime"":1773194822527,""firstVol"":1382582.0,""highestVol"":2858430.0,""firstVolDivLTGB"":0.0015211942231200834,""firstVolDivVol"":0.14830105871558413,""highestVolDivLTGB"":0.0031450049278763503,""highestVolDivVol"":0.302733789603919},{""code"":""605117.SH"",""time"":1773194837527,""openTime"":null,""duration"":12137441,""updatedTime"":1773212400000,""firstVol"":943602.0,""highestVol"":6116125.0,""firstVolDivLTGB"":0.0010382038181638103,""firstVolDivVol"":0.09243150571544048,""highestVolDivLTGB"":0.006729303591309825,""highestVolDivVol"":0.5793958320919428}]",1,工商储逆变器+光伏设备+海外扩张,1299595,9.320952112097432,0.14298872735184928,1,首板涨停,放量涨停,119863007227.32,电力设备-光伏设备-逆变器,17,605117,0.14298872735184928,20260311
603629.SH,利通电子,144.41,9.993144946302083,涨停,261216501.75,16220203800.0,0.11007574980000001,58.14,63.15,63.15,58.14,569/5521, 14:53:23, 14:53:23,"[{""code"":""603629.SH"",""time"":1773212003759,""openTime"":null,""duration"":396241,""updatedTime"":1773212400000,""firstVol"":9516245.0,""highestVol"":9516245.0,""firstVolDivLTGB"":0.03704952657561553,""firstVolDivVol"":0.18867439151696094,""highestVolDivLTGB"":0.03704952657561553,""highestVolDivVol"":0.18867439151696094}]",1,算力租赁+年报预增+英伟达合作,4136445,8.006513922325349,1.6104390855434259,0,首板涨停,放量涨停,16569297000.0,计算机-IT服务-IT服务Ⅲ,17,603629,1.6104390855434259,20260311
002432.SZ,九安医疗,73.5,-2.208621607237888,涨停,225688349.04000002,25655733127.64,2.6053570230000003,53.11,58.52,58.52,52.5,684/5521, 10:50:43, 11:00:17,"[{""code"":""002432.SZ"",""time"":1773197443654,""openTime"":1773197864524,""duration"":420870,""updatedTime"":1773197864524,""firstVol"":1.8012323E7,""highestVol"":1.8830223E7,""firstVolDivLTGB"":0.04108559816692177,""firstVolDivVol"":0.47086032784800824,""highestVolDivLTGB"":0.04295120488187604,""highestVolDivVol"":0.4914958649582685},{""code"":""002432.SZ"",""time"":1773198017303,""openTime"":null,""duration"":8957665,""updatedTime"":1773212400000,""firstVol"":1.6408986E7,""highestVol"":1.6408986E7,""firstVolDivLTGB"":0.03742843191978319,""firstVolDivVol"":0.3954974901831746,""highestVolDivLTGB"":0.03742843191978319,""highestVolDivVol"":0.3954974901831746}]",1,创投+AI医疗+CGM上市+回购注销,3856602,8.760332500853067,0.8796799838740779,1,首板涨停,放量涨停,27210383230.8,医药生物-医疗器械-医疗设备,33,002432,0.8796799838740779,20260311
603757.SH,大元泵业,50.58,-1.2109375000000089,涨停,58664032.65,8847936494.37,3.9055307508,43.35,47.43,47.43,43.31,919/5521, 09:34:16, 09:35:31,"[{""code"":""603757.SH"",""time"":1773192856182,""openTime"":1773192871182,""duration"":15000,""updatedTime"":1773192871182,""firstVol"":4277776.0,""highestVol"":4277776.0,""firstVolDivLTGB"":0.02293132594352405,""firstVolDivVol"":0.9620840758876241,""highestVolDivLTGB"":0.02293132594352405,""highestVolDivVol"":0.9620840758876241},{""code"":""603757.SH"",""time"":1773192931182,""openTime"":null,""duration"":14043786,""updatedTime"":1773212400000,""firstVol"":2520900.0,""highestVol"":7066200.0,""firstVolDivLTGB"":0.013513465775447282,""firstVolDivVol"":0.31361502744582465,""highestVolDivLTGB"":0.03787887336366599,""highestVolDivVol"":0.7855436489659766}]",1,液冷服务器+屏蔽泵+维谛技术,1236855,8.538884300225089,0.6630250193062338,1,首板涨停,放量涨停,8847936494.37,机械设备-通用设备-其他通用设备,17,603757,0.6630250193062338,20260311
603773.SH,沃格光电,69.35,-0.5592199598508756,涨停,102455213.92,9737816246.88,2.8495518348,39.59,43.36,43.36,39.59,1065/5521, 10:38:37, 10:38:37,"[{""code"":""603773.SH"",""time"":1773196717402,""openTime"":null,""duration"":10257566,""updatedTime"":1773212400000,""firstVol"":1.774563E7,""highestVol"":1.774563E7,""firstVolDivLTGB"":0.079016742285164,""firstVolDivVol"":1.0225105086666573,""highestVolDivLTGB"":0.079016742285164,""highestVolDivVol"":1.0225105086666573}]",1,CPO+商业航天+Micro LED+玻璃基板,2362897,11.16438614414243,1.0521374743831986,0,首板涨停,放量涨停,9741198326.88,电子-光学光电子-面板,17,603773,1.0521374743831986,20260311
603353.SH,和顺石油,43.09,-1.6659059790050135,涨停,37671149.0,7302411300.0,3.868027473,39.34,42.85,42.85,38.8,1103/5521, 09:37:31, 09:37:31,"[{""code"":""603353.SH"",""time"":1773193051183,""openTime"":null,""duration"":13923785,""updatedTime"":1773212400000,""firstVol"":9790400.0,""highestVol"":9790400.0,""firstVolDivLTGB"":0.05744933046978606,""firstVolDivVol"":1.5805983426190364,""highestVolDivLTGB"":0.05744933046978606,""highestVolDivVol"":1.5805983426190364}]",1,成品油+铜官油库+拟收购奎芯+超快充,879140,8.077093363588363,0.5158727364480278,0,首板涨停,放量涨停,7366172100.0,石油石化-石油加工贸易-油品石化贸易,17,603353,0.5158727364480278,20260311
301658.SZ,首航新能,42.09,3.1870556508948376,涨停,38233610.94,1894433017.16,3.4384531098,38.4,45.94,45.94,37.7,1159/5521, 10:03:17, 10:03:17,"[{""code"":""301658.SZ"",""time"":1773194597527,""openTime"":null,""duration"":12377441,""updatedTime"":1773212400000,""firstVol"":1.85217E7,""highestVol"":1.9116141E7,""firstVolDivLTGB"":0.4491512184873073,""firstVolDivVol"":1.3316609054132296,""highestVolDivLTGB"":0.463566412528287,""highestVolDivVol"":1.3383485561540756}]",1,光伏逆变器+储能+全球化布局,832251,4.01252881387573,2.0182086457359745,0,首板涨停,放量涨停,18944329941.9,电力设备-光伏设备-逆变器,33,301658,2.0182086457359745,20260311
002667.SZ,威领股份,,,涨停,149122675.0,7810529110.0,3.8263344156000003,32.14,33.01,33.01,31.8,1441/5521, 09:40:01, 09:40:01,"[{""code"":""002667.SZ"",""time"":1773193201266,""openTime"":null,""duration"":13773702,""updatedTime"":1773212400000,""firstVol"":1.752E7,""highestVol"":1.81085E7,""firstVolDivLTGB"":0.07404558537008,""firstVolDivVol"":0.8293117001633015,""highestVolDivLTGB"":0.07653279010696883,""highestVolDivVol"":0.8446186641298333}]",1,碳酸锂+郴州锂矿+控制权拟变更,4517500,19.56213045219418,1.9092518944596828,0,首板涨停,缩量涨停,8602125415.0,有色金属-能源金属-锂,33,002667,1.9092518944596828,20260311
002831.SZ,裕同科技,37.84,-2.0196789228378926,涨停,29121368.12,17404088064.48,2.7659512584000003,31.04,34.06,34.06,31.03,1497/5521, 10:42:37, 11:16:07,"[{""code"":""002831.SZ"",""time"":1773196957405,""openTime"":1773198906704,""duration"":1949299,""updatedTime"":1773198906704,""firstVol"":1.8465944E7,""highestVol"":1.8465944E7,""firstVolDivLTGB"":0.036137356257167866,""firstVolDivVol"":1.6632960184989776,""highestVolDivLTGB"":0.036137356257167866,""highestVolDivVol"":1.6632960184989776},{""code"":""002831.SZ"",""time"":1773198967639,""openTime"":null,""duration"":8007329,""updatedTime"":1773212400000,""firstVol"":640000.0,""highestVol"":4031080.0,""firstVolDivLTGB"":0.0012524628042079751,""firstVolDivVol"":0.041820938554651375,""highestVolDivLTGB"":0.007888715251229195,""highestVolDivVol"":0.2608647426650477}]",1,机器人+环保包装+全球布局,855002,5.308317207158674,0.16732159414428552,1,首板涨停,放量涨停,31352689810.0,轻工制造-包装印刷-包装,33,002831,0.16732487224903092,20260311
001207.SZ,联科科技,18.37,1.10071546505228,涨停,44637049.44,6168325171.93,3.5509626654,28.71,31.27,31.27,28.64,1642/5521, 09:55:47, 09:59:17,"[{""code"":""001207.SZ"",""time"":1773194147524,""openTime"":1773194192524,""duration"":45000,""updatedTime"":1773194192524,""firstVol"":1.51329E7,""highestVol"":1.51329E7,""firstVolDivLTGB"":0.07671544054671475,""firstVolDivVol"":2.820408163265306,""highestVolDivLTGB"":0.07671544054671475,""highestVolDivVol"":2.820408163265306},{""code"":""001207.SZ"",""time"":1773194207524,""openTime"":1773194327526,""duration"":120002,""updatedTime"":1773194327526,""firstVol"":4760700.0,""highestVol"":4929700.0,""firstVolDivLTGB"":0.02413411823317044,""firstVolDivVol"":0.7603858870130492,""highestVolDivLTGB"":0.024990854843628105,""highestVolDivVol"":0.7721235472856561},{""code"":""001207.SZ"",""time"":1773194357527,""openTime"":null,""duration"":12617441,""updatedTime"":1773212400000,""firstVol"":8462200.0,""highestVol"":8462200.0,""firstVolDivLTGB"":0.04289867778115296,""firstVolDivVol"":1.1384942417393176,""highestVolDivLTGB"":0.04289867778115296,""highestVolDivVol"":1.1384942417393176}]",1,炭黑+高压电缆屏蔽料+人形机器人,1427472,14.779394955421779,0.7236494217770554,2,首板涨停,放量涨停,6770798039.2,基础化工-橡胶制品-炭黑,33,001207,0.7236494217770553,20260311
