股票代码,股票简称,最新价,最新涨跌幅,涨停封单量[20260408],{(}涨停封单量[20260408]{*}100.0{)},自由流通股[20260408],fenglu_ratio,zt_first_time,涨停原因类别[20260408],涨停[20260408],涨停明细数据[20260408],zt_last_time,涨停封单额[20260408],涨停开板次数[20260408],自由流通市值[20260408],实际换手率[20260408],a股市值(不含限售股)[20260408],market_code,code,date
600984.SH,建设机械,4.16,2.7160493827160574,15514363,1551436300,765348182,2.0270986937550473, 09:35:41,一带一路+工程机械+煤矿智能开采+陕西国资,涨停,"[{""code"":""600984.SH"",""time"":1775612141236,""openTime"":1775612259806,""duration"":118570,""updatedTime"":1775612259806,""firstVol"":8531249.0,""highestVol"":8531249.0,""firstVolDivLTGB"":0.006786754886071304,""firstVolDivVol"":0.5870227379865288,""highestVolDivLTGB"":0.006786754886071304,""highestVolDivVol"":0.5870227379865288},{""code"":""600984.SH"",""time"":1775612321062,""openTime"":null,""duration"":13867012,""updatedTime"":1775631600000,""firstVol"":4.93716E7,""highestVol"":5.05171E7,""firstVolDivLTGB"":0.03927595449777143,""firstVolDivVol"":1.9239200590164882,""highestVolDivLTGB"":0.04018721939251248,""highestVolDivVol"":1.9592208136422342}]", 09:38:41,64539750.080000006,1,3183848437.12,4.3611546724755925,5229302728.0,17,600984,20260408
002928.SZ,华夏航空,7.92,-1.246882793017452,14861150,1486115000,702041905,2.1168465720005702, 09:30:11,支线航空+油价回落+业绩预增,涨停,"[{""code"":""002928.SZ"",""time"":1775611811703,""openTime"":null,""duration"":14376371,""updatedTime"":1775631600000,""firstVol"":3.80076E7,""highestVol"":4.5033E7,""firstVolDivLTGB"":0.0297344344322241,""firstVolDivVol"":3.305429203732614,""highestVolDivLTGB"":0.03523060613630821,""highestVolDivVol"":3.675312093027925}]", 09:30:11,127508667.0,0,6023519544.9,2.504521008614151,10967256943.5,33,002928,20260408
002797.SZ,第一创业,7.63,1.4627659574468128,14544203,1454420300,3737713600,0.38912031676263265, 13:22:01,证券+北京国资+期货概念,涨停,"[{""code"":""002797.SZ"",""time"":1775625721248,""openTime"":1775626107044,""duration"":385796,""updatedTime"":1775626107044,""firstVol"":1.9437781E8,""highestVol"":1.9437781E8,""firstVolDivLTGB"":0.046254000095183705,""firstVolDivVol"":0.6535323387166024,""highestVolDivLTGB"":0.046254000095183705,""highestVolDivVol"":0.6535323387166024},{""code"":""002797.SZ"",""time"":1775626828481,""openTime"":1775627957542,""duration"":1129061,""updatedTime"":1775627957542,""firstVol"":1.21472028E8,""highestVol"":1.21472028E8,""firstVolDivLTGB"":0.028905394060536837,""firstVolDivVol"":0.3327130335135063,""highestVolDivLTGB"":0.028905394060536837,""highestVolDivVol"":0.3327130335135063},{""code"":""002797.SZ"",""time"":1775628084843,""openTime"":null,""duration"":3515157,""updatedTime"":1775631600000,""firstVol"":4.3061045E7,""highestVol"":4.3061045E7,""firstVolDivLTGB"":0.010246774462212069,""firstVolDivVol"":0.1101323384663664,""highestVolDivLTGB"":0.010246774462212069,""highestVolDivVol"":0.1101323384663664}]", 14:01:24,112863015.28,2,29004657536.0,10.89556971406263,32610624000.0,33,002797,20260408
002491.SZ,通鼎互联,15.8,-4.646952323476159,14318686,1431868600,774950907,1.8476894304738196, 09:31:04,光纤光缆+数据中心+储能消防,涨停,"[{""code"":""002491.SZ"",""time"":1775611864819,""openTime"":null,""duration"":14323255,""updatedTime"":1775631600000,""firstVol"":1.3817441E7,""highestVol"":3.471217E7,""firstVolDivLTGB"":0.011744841993358615,""firstVolDivVol"":0.2569157152950801,""highestVolDivLTGB"":0.02950538756753896,""highestVolDivVol"":0.6045291993296223}]", 09:31:04,217644027.2,0,11779253786.4,9.560961130664243,17882326839.2,33,002491,20260408
600721.SH,百花医药,8.43,-1.0563380281690125,14268581,1426858100,305022548,4.677877453177659, 09:30:00,金华国资入主+CRO+复杂制剂,涨停,"[{""code"":""600721.SH"",""time"":1775611800000,""openTime"":null,""duration"":14388074,""updatedTime"":1775631600000,""firstVol"":1.41077E8,""highestVol"":1.41077E8,""firstVolDivLTGB"":0.36686482287168404,""firstVolDivVol"":161.04680365296804,""highestVolDivLTGB"":0.36686482287168404,""highestVolDivVol"":161.04680365296804}]", 09:30:00,159808107.2,0,3416252537.6,2.139192345872083,4306933512.0,17,600721,20260408
002042.SZ,华孚时尚,4.93,-0.8048289738430591,14121619,1412161900,1088333793,1.2975448424764662, 09:33:44,算力租赁+纺织+预计扭亏,涨停,"[{""code"":""002042.SZ"",""time"":1775612024966,""openTime"":null,""duration"":14163108,""updatedTime"":1775631600000,""firstVol"":1.24152786E8,""highestVol"":1.25519286E8,""firstVolDivLTGB"":0.07300179168483917,""firstVolDivVol"":5.627088627353863,""highestVolDivLTGB"":0.07380529317321763,""highestVolDivVol"":5.188909972974687}]", 09:33:44,63970934.07,0,4930152082.29,3.280434847252786,7704086538.15,33,002042,20260408
002361.SZ,神剑股份,20.55,2.493765586034913,13191234,1319123400,699714994,1.8852295739142042, 09:43:43,商业航天+无人机+聚酯树脂+地方国资,涨停,"[{""code"":""002361.SZ"",""time"":1775612623166,""openTime"":1775612648126,""duration"":24960,""updatedTime"":1775612648126,""firstVol"":4883000.0,""highestVol"":4883000.0,""firstVolDivLTGB"":0.006034929295742265,""firstVolDivVol"":0.05449763952006765,""highestVolDivLTGB"":0.006034929295742265,""highestVolDivVol"":0.05449763952006765},{""code"":""002361.SZ"",""time"":1775612877622,""openTime"":null,""duration"":13310452,""updatedTime"":1775631600000,""firstVol"":7.8849318E7,""highestVol"":8.6553318E7,""firstVolDivLTGB"":0.0974503500199668,""firstVolDivVol"":0.5728151562171614,""highestVolDivLTGB"":0.10697177031372032,""highestVolDivVol"":0.6164656908862514}]", 09:47:57,221348906.52,1,11741217599.32,21.773676183363307,13575338635.42,33,002361,20260408
000586.SZ,汇源通信,17.71,-1.6657412548584158,12882500,1288250000,154244369,8.352006678441532, 09:30:00,光纤+特种光缆+车载电子+定增推进,涨停,"[{""code"":""000586.SZ"",""time"":1775611800000,""openTime"":null,""duration"":14388074,""updatedTime"":1775631600000,""firstVol"":1.9306399E7,""highestVol"":2.0388199E7,""firstVolDivLTGB"":0.09980561931348221,""firstVolDivVol"":81.53005688320573,""highestVolDivLTGB"":0.10539805107526881,""highestVolDivVol"":60.31993692326354}]", 09:30:00,294236300.0,0,3522941387.96,2.465633607668362,4366779600.0,33,000586,20260408
002663.SZ,普邦股份,2.21,4.739336492891,12817000,1281700000,1081820768,1.1847618736045562, 13:23:49,广告营销+城市运营+华为项目+康养布局,涨停,"[{""code"":""002663.SZ"",""time"":1775625829120,""openTime"":null,""duration"":5770880,""updatedTime"":1775631600000,""firstVol"":1.0290071E8,""highestVol"":1.0584351E8,""firstVolDivLTGB"":0.07958955622653927,""firstVolDivVol"":1.0887168272043848,""highestVolDivLTGB"":0.08186569354438149,""highestVolDivVol"":1.1189100984598719}]", 13:23:49,31145310.000000004,0,2628824466.24,9.911337549770536,4148292317.4,33,002663,20260408
600589.SH,大位科技,10.07,3.494347379239464,12423251,1242325100,1248469890,0.9950781432141708, 09:38:56,算力租赁+IDC+东数西算,涨停,"[{""code"":""600589.SH"",""time"":1775612336062,""openTime"":null,""duration"":13852012,""updatedTime"":1775631600000,""firstVol"":7.2127218E7,""highestVol"":9.8308518E7,""firstVolDivLTGB"":0.0487850435696056,""firstVolDivVol"":1.653378034563146,""highestVolDivLTGB"":0.06649341908478096,""highestVolDivVol"":1.866135990916065}]", 09:38:56,135040738.37,0,13570867704.3,7.024644863481649,16070967704.3,17,600589,20260408
