股票代码,股票简称,最新价,最新涨跌幅,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260421],p_high,p_low,p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260421],最高价:前复权[20260421],最低价:前复权[20260421],收盘价:前复权[20260421],振幅[20260421],成交量[20260421],market_code,code,date
688820.SH,盛合晶微,103.0,11.35135135135135,93.79,93.79,76.65,289.48170732,1/5521,107,91,100.99,75,93.79,93.79,93.79,0,99.72,100.99,75,76.65,132.063008,1.29928415E8,17,688820,20260421
001312.SZ,福恩股份,23.46,-1.2210526315789438,23.76,23.76,30.57,66.32208923,2/5521,23.76,23.25,36.53,30.11,23.76,23.76,23.76,0,36.51,36.53,30.11,30.57,34.92927,4.0994823E7,33,001312,20260421
920111.BJ,聚星科技,31.5,-5.120481927710851,33.15,33.15,32.0,26.68250198,3/5521,33.82,31.4,32.8,28.99,33.15,33.15,33.15,0,31,32.8,28.99,32.0,15.083135,2.0744491E7,151,920111,20260421
300533.SZ,冰川网络,26.61,-4.004329004329002,27.45,27.45,30.58,20.01569859,4/5521,27.48,26.6,30.58,27.05,27.45,27.45,27.45,0,27.05,30.58,27.05,30.58,13.854003,2.578003E7,33,300533,20260421
301022.SZ,海泰科,29.41,0.7882111034955464,29.55,29.55,33.4,20.01437298,5/5521,29.59,29.12,33.4,32.88,29.55,29.55,29.55,0,33.4,33.4,32.88,33.4,1.868487,2908615,33,301022,20260421
688020.SH,方邦股份,147.52,7.131445170660873,135.19,135.19,112.25,20.00213812,6/5521,150.53,135.19,112.25,91.76,135.19,135.19,135.19,0,96.88,112.25,91.76,112.25,21.905067,9459863,17,688020,20260421
688268.SH,华特气体,188.3,-1.0145613205067436,193.97,193.97,119.04,20,7/5521,205.19,175.2,119.04,98.44,193.97,193.97,193.97,0,100,119.04,98.44,119.04,20.766129,1.4560692E7,17,688268,20260421
688661.SH,和林微纳,121.48,-1.8502060273087113,123.0,123,103.44,20,7/5521,126.83,119.99,103.44,84.8,123.0,123.0,123.0,0,85.44,103.44,84.8,103.44,21.624129,1.3401711E7,17,688661,20260421
301486.SZ,致尚科技,217.3,-0.18373909049149162,223.5,223.5,209.06,19.99770405,9/5521,224.6,213.9,209.06,167.6,223.5,223.5,223.5,0,167.6,209.06,167.6,209.06,23.797497,2.1243849E7,33,301486,20260421
300067.SZ,安诺其,6.85,-3.7921348314606806,7.04,7.04,5.05,19.95249406,10/5521,7.45,6.81,5.05,5.05,7.04,7.04,7.04,0,5.05,5.05,5.05,5.05,0,8502456,33,300067,20260421
300801.SZ,泰和科技,30.3,-1.6233766233766234,30.52,30.52,30.88,15.61213029,11/5521,31.12,30.15,31.36,28.72,30.52,30.52,30.52,0,28.72,31.36,28.72,30.88,9.883938,2.7482877E7,33,300801,20260421
301667.SZ,纳百川,110.2,1.8955154877484948,108.03,108.03,115.9,15.07148531,12/5521,111.99,106.97,117.42,99.8,108.03,108.03,108.03,0,99.8,117.42,99.8,115.9,17.494042,1.2305964E7,33,301667,20260421
301511.SZ,德福科技,75.2,4.444444444444448,70.0,70,60.81,15.03972758,13/5521,76.34,69.5,62.68,51.66,70.0,70.0,70.0,0,52.3,62.68,51.66,60.81,20.847521,5.4960035E7,33,301511,20260421
688025.SH,杰普特,356.01,9.879629629629626,344.0,344,317.51,13.57490342,14/5521,375,333.71,330.68,275,344.0,344.0,344.0,0,276,330.68,275,317.51,19.917012,5973611,17,688025,20260421
688548.SH,广钢气体,30.06,-1.3455858221201187,31.04,31.04,29.5,12.25266362,15/5521,31.8,29.56,29.94,26.2,31.04,31.04,31.04,0,26.39,29.94,26.2,29.5,14.231354,4.9018869E7,17,688548,20260421
688106.SH,金宏气体,34.89,-13.100871731008713,39.99,39.99,32.65,12.19931271,16/5521,40.76,34.8,33.4,28.87,39.99,39.99,39.99,0,29.58,33.4,28.87,32.65,15.56701,7.0271294E7,17,688106,20260421
688368.SH,晶丰明源,154.3,5.504273504273512,147.02,147.02,156.36,12.00573066,17/5521,156.7,147.02,159.98,133.31,147.02,147.02,147.02,0,140.3,159.98,133.31,156.36,19.104584,6370228,17,688368,20260421
301055.SZ,张小泉,29.47,-1.7666666666666704,29.92,29.92,35.0,12,18/5521,30.43,29.33,35.66,31.07,29.92,29.92,29.92,0,31.7,35.66,31.07,35.0,14.688,1.439264E7,33,301055,20260421
301458.SZ,钧崴电子,39.99,1.1125158027813018,39.76,39.76,41.92,11.96581197,19/5521,41.77,39.55,43,37.11,39.76,39.76,39.76,0,37.3,43,37.11,41.92,15.731837,2.4809253E7,33,301458,20260421
688707.SH,振华新材,16.52,-3.8976148923792997,17.18,17.18,16.38,11.8852459,20/5521,17.23,16.47,17.39,15.36,17.18,17.18,17.18,0,15.36,17.39,15.36,16.38,13.86612,4.9416743E7,17,688707,20260421
300081.SZ,ST恒信,4.14,0.24213075060532172,4.14,4.14,3.88,10.22727273,21/5521,4.16,4.06,3.91,3.51,4.14,4.14,4.14,0,3.52,3.91,3.51,3.88,11.363636,6.5486263E7,33,300081,20260421
000980.SZ,众泰汽车,2.52,10.043668122270741,2.32,2.32,2.38,10.18518519,22/5521,2.52,2.3,2.38,2.14,2.32,2.32,2.32,0,2.16,2.38,2.14,2.38,11.111111,2.05044328E8,33,000980,20260421
000802.SZ,北京文化,4.31,0.46620046620045624,4.28,4.28,4.46,10.12345679,23/5521,4.33,4.25,4.46,4.35,4.28,4.28,4.28,0,4.35,4.46,4.35,4.46,2.716049,3.2932901E7,33,000802,20260421
000056.SZ,*ST皇庭,1.74,-4.91803278688525,1.81,1.81,2.07,10.10638298,24/5521,1.84,1.74,2.07,1.92,1.81,1.81,1.81,0,1.96,2.07,1.92,2.07,7.978723,1.84791098E8,33,000056,20260421
600308.SH,华泰股份,3.89,-2.749999999999997,3.95,3.95,4.14,10.10638298,24/5521,3.96,3.85,4.14,3.75,3.95,3.95,3.95,0,3.77,4.14,3.75,4.14,10.37234,4.9009892E7,17,600308,20260421
002081.SZ,金螳螂,5.9,10.074626865671641,5.17,5.17,4.49,10.04901961,26/5521,5.9,5.07,4.49,4.33,5.17,5.17,5.17,0,4.41,4.49,4.33,4.49,3.921568,1.1955751E8,33,002081,20260421
002752.SZ,昇兴股份,7.4,0.2710027100271065,7.36,7.36,6.9,10.04784689,27/5521,7.64,7.33,6.9,6.9,7.36,7.36,7.36,0,6.9,6.9,6.9,6.9,0,1.83972E7,33,002752,20260421
002201.SZ,九鼎新材,13.39,-4.014336917562715,13.82,13.82,13.93,10.03159558,28/5521,13.82,13.03,13.93,12.38,13.82,13.82,13.82,0,12.49,13.93,12.38,13.93,12.243285,9.4426234E7,33,002201,20260421
603788.SH,宁波高发,16.88,0.7159904534606052,16.68,16.68,17.44,10.03154574,29/5521,16.99,16.51,17.44,16.3,16.68,16.68,16.68,0,16.3,17.44,16.3,17.44,7.192429,1.477316E7,17,603788,20260421
600032.SH,浙江新能,9.87,-4.174757281553412,10.4,10.4,10.86,10.03039514,30/5521,10.47,9.84,10.86,9.51,10.4,10.4,10.4,0,9.96,10.86,9.51,10.86,13.677811,1.17377146E8,17,600032,20260421
002950.SZ,奥美医疗,13.77,-0.2896451846488119,13.69,13.69,14.38,10.02295333,31/5521,14.17,13.68,14.38,12.72,13.69,13.69,13.69,0,13,14.38,12.72,14.38,12.700841,3.9708956E7,33,002950,20260421
000690.SZ,宝新能源,5.28,-1.1235955056179703,5.38,5.38,5.27,10.02087683,32/5521,5.38,5.22,5.27,4.87,5.38,5.38,5.38,0,4.89,5.27,4.87,5.27,8.35073,2.41137711E8,33,000690,20260421
603178.SH,圣龙股份,19.46,10.005652911249289,17.52,17.52,21.08,10.02087683,32/5521,19.46,17.4,21.08,18.02,17.52,17.52,17.52,0,18.51,21.08,18.02,21.08,15.970772,2.7955239E7,17,603178,20260421
003027.SZ,同兴科技,23.72,0.21123785382339313,23.19,23.19,25.15,10.01749781,34/5521,24.12,23.1,25.15,22.8,23.19,23.19,23.19,0,23,25.15,22.8,25.15,10.279965,1.211873E7,33,003027,20260421
600736.SH,苏州高新,8.15,-2.9761904761904763,8.15,8.15,6.92,10.01589825,35/5521,8.65,8.13,6.92,6.34,8.15,8.15,8.15,0,6.34,6.92,6.34,6.92,9.220985,4.9452784E7,17,600736,20260421
002342.SZ,巨力索具,19.81,4.814814814814816,18.93,18.93,21.42,10.01540832,36/5521,20.3,18.86,21.42,18.47,18.93,18.93,18.93,0,19,21.42,18.47,21.42,15.151515,2.8930966E8,33,002342,20260421
603898.SH,好莱客,13.81,2.448071216617211,13.3,13.3,14.5,10.01517451,37/5521,14.09,13.25,14.5,13,13.3,13.3,13.3,0,13.1,14.5,13,14.5,11.38088,8015128,17,603898,20260421
600396.SH,华电辽能,9.92,-4.889741131351868,10.34,10.34,8.13,10.0135318,38/5521,10.86,9.65,8.13,6.95,10.34,10.34,10.34,0,7.4,8.13,6.95,8.13,15.967523,3.03597232E8,17,600396,20260421
600678.SH,ST金顶,10.38,-5.032021957913988,10.38,10.38,11.87,10.00926784,39/5521,10.38,10.38,11.87,11.2,10.38,10.38,10.38,0,11.2,11.87,11.2,11.87,6.209453,2.9835601E7,22,600678,20260421
603115.SH,海星股份,56.89,-1.4038128249566764,58.45,58.45,48.69,10.00903751,40/5521,59.45,56.83,48.69,44,58.45,58.45,58.45,0,44,48.69,44,48.69,10.596475,8581479,17,603115,20260421
002565.SZ,顺灏股份,19.02,2.699784017278618,18.32,18.32,22.32,10.00492854,41/5521,19.19,18.18,22.32,21.65,18.32,18.32,18.32,0,22.32,22.32,21.65,22.32,3.302119,1.29596732E8,33,002565,20260421
002853.SZ,皮阿诺,26.87,1.7803030303030396,26.41,26.41,29.03,10.00378931,42/5521,27.09,26.02,29.03,26.13,26.41,26.41,26.41,0,26.39,29.03,26.13,29.03,10.98901,5411740,33,002853,20260421
000715.SZ,中兴商业,5.99,-4.006410256410256,6.17,6.17,6.27,10,43/5521,6.29,5.97,6.27,5.58,6.17,6.17,6.17,0,5.69,6.27,5.58,6.27,12.105263,2.6935202E7,33,000715,20260421
