股票代码,股票简称,最新价,最新涨跌幅,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260428],p_high,p_low,p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260428],最高价:前复权[20260428],最低价:前复权[20260428],收盘价:前复权[20260428],振幅[20260428],成交量[20260428],market_code,code,date
920471.BJ,美邦科技,14.26,-2.7948193592365382,14.35,14.35,15.53,29.958159,1/5521,14.95,14.1,15.53,12.36,14.35,14.35,14.35,0,12.4,15.53,12.36,15.53,26.527196,1.2230828E7,151,920471,20260428
300540.SZ,蜀道装备,33.49,-1.673517322372285,34.3,34.3,36.12,20,2/5521,36.12,32.87,36.12,31.31,34.3,34.3,34.3,0,31.31,36.12,31.31,36.12,15.980066,3.7646986E7,33,300540,20260428
300905.SZ,宝丽迪,68.12,0.029368575624097257,68.78,68.78,67.02,20,2/5521,69.78,64.31,67.02,66,68.78,68.78,68.78,0,66.04,67.02,66,67.02,1.82632,7799482,33,300905,20260428
301261.SZ,恒工精密,86.78,-1.7547831993660106,87.22,87.22,89.76,20,2/5521,88.32,84.55,89.76,88.86,87.22,87.22,87.22,0,88.86,89.76,88.86,89.76,1.203208,5859737,33,301261,20260428
300187.SZ,永清环保,5.62,-3.436426116838491,5.83,5.83,6.14,19.921875,5/5521,5.84,5.61,6.14,5.56,5.83,5.83,5.83,0,5.56,6.14,5.56,6.14,11.328125,7.6450766E7,33,300187,20260428
688530.SH,欧莱新材,53.2,7.04225352112676,49.22,49.22,54.39,17.72727273,6/5521,56.34,47.88,55.22,47.87,49.22,49.22,49.22,0,50,55.22,47.87,54.39,15.90909,3.1793445E7,17,688530,20260428
688191.SH,智洋创新,45.78,2.6457399103139005,43.48,43.48,47.28,16.45320197,7/5521,46.75,43.45,47.38,40.23,43.48,43.48,43.48,0,41,47.38,40.23,47.28,17.610837,1.5202522E7,17,688191,20260428
301217.SZ,铜冠铜箔,78.34,10.369118061425754,72.32,72.32,59.15,15.27967258,8/5521,82.49,70,61.57,52.34,72.32,72.32,72.32,0,53.99,61.57,52.34,59.15,17.988696,6.7045657E7,33,301217,20260428
688328.SH,深科达,54.18,-0.47759000734753493,55.53,55.53,49.36,14.57753018,9/5521,58.49,54.11,51.68,46.6,55.53,55.53,55.53,0,46.9,51.68,46.6,49.36,11.792014,1.6506743E7,17,688328,20260428
688268.SH,华特气体,188.3,-1.0145613205067436,193.97,193.97,208.27,14.43406593,10/5521,205.19,175.2,213.07,180.5,193.97,193.97,193.97,0,189,213.07,180.5,208.27,17.895604,1.7015213E7,17,688268,20260428
300550.SZ,和仁科技,13.82,2.67459138187221,13.56,13.56,12.98,14.16007036,11/5521,13.94,13.38,13.62,11.27,13.56,13.56,13.56,0,11.33,13.62,11.27,12.98,20.668425,2.7025304E7,33,300550,20260428
300067.SZ,安诺其,6.85,-3.7921348314606806,7.04,7.04,7.4,13.49693252,12/5521,7.45,6.81,7.75,6.68,7.04,7.04,7.04,0,6.88,7.75,6.68,7.4,16.411042,3.30216387E8,33,300067,20260428
300586.SZ,美联新材,11.65,-2.835696413678064,12.16,12.16,11.79,13.03930968,13/5521,12.26,11.61,11.97,10.31,12.16,12.16,12.16,0,10.36,11.97,10.31,11.79,15.915627,8.5763199E7,33,300586,20260428
300571.SZ,平治信息,44.35,4.352941176470591,43.21,43.21,38.9,12.91727141,14/5521,44.96,42.42,40.03,34.31,43.21,43.21,43.21,0,34.35,40.03,34.31,38.9,16.603773,3.0435199E7,33,300571,20260428
300931.SZ,通用电梯,15.1,-2.6434558349451978,15.63,15.63,15.43,12.7100073,15/5521,15.65,15.09,15.66,13.29,15.63,15.63,15.63,0,13.56,15.66,13.29,15.43,17.311906,1.979457E7,33,300931,20260428
