股票代码,股票简称,最新价,chg_pct,p_close,p_open,涨跌幅:前复权[20260423],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260423],最高价:前复权[20260423],最低价:前复权[20260423],收盘价:前复权[20260423],振幅[20260423],成交量[20260423],market_code,code,date
600345.SH,长江通信,48.66,-5.952841128720537,51.81,53.98,-4.4095941,54.97,22.20880952,20001222,1/870,51.3,25.95880952,20001222,53.98,54.97,51.3,51.81,6.771217,2.0124486E7,17,600345,20260423
000633.SZ,合金投资,6.83,0.14662756598240156,6.39,6.51,-2.29357798,6.55,16.86616162,20000104,2/870,6.35,23.84848485,20001229,6.51,6.55,6.35,6.39,3.058103,9351560,33,000633,20260423
000931.SZ,中关村,4.75,0.21097046413501658,4.99,5.07,-1.77165354,5.11,15.68965517,20000119,3/870,4.94,22.4137931,20001221,5.07,5.11,4.94,4.99,3.346456,1.27624E7,33,000931,20260423
600198.SH,大唐电信,8.4,-0.8264462809917388,8.12,8.4,-4.24528302,8.47,14.82061402,20000114,4/870,8.09,23.73134328,20001221,8.4,8.47,8.09,8.12,4.481132,2.64724E7,17,600198,20260423
600243.SH,*ST海华,4.16,3.740648379052378,3.69,3.69,-4.89690722,3.69,13.47725806,20001218,5/870,3.69,15.5933871,20001201,3.69,3.69,3.69,3.69,0,3486400,22,600243,20260423
000985.SZ,大庆华科,20.23,-0.2957121734844688,18.88,18.97,-0.36939314,19.13,13.45506452,20001204,6/870,18.71,15.92146237,20001221,18.97,19.13,18.71,18.88,2.216358,1222800,33,000985,20260423
600259.SH,中稀有色,92.01,-1.772178926016864,94.65,103.91,-10.00285252,103.99,13.25952381,20001212,7/870,94.65,14.65952381,20001225,103.76,103.84,94.5,94.5,8.880859,1.7417582E7,17,600259,20260423
600265.SH,*ST景谷,22.02,-0.13605442176871263,21.25,20.3,4.99011858,21.25,11.61777778,20001212,8/870,20.18,13.03753086,20001227,20.3,21.25,20.18,21.25,5.286561,1946900,22,600265,20260423
600727.SH,鲁北化工,8.07,-0.12376237623762112,7.96,7.87,0.63211125,8.04,11.58571429,20001218,9/870,7.86,13.83956044,20000107,7.87,8.04,7.86,7.96,2.2756,3.1186991E7,17,600727,20260423
000156.SZ,华数传媒,7.41,-0.9358288770053513,7.53,7.5,0.26631158,7.6,11.51323928,20001212,10/870,7.47,13.26578047,20001205,7.5,7.6,7.47,7.53,1.731025,1.35734E7,33,000156,20260423
000990.SZ,诚志股份,12.6,-2.6275115919629046,12.4,12.13,3.85259631,12.78,11.26912106,20001208,11/870,11.85,12.78008476,20001226,12.13,12.78,11.85,12.4,7.788944,1.53036996E8,33,000990,20260423
000697.SZ,ST炼石,,,9.99,10.15,-1.7699115,10.23,11.25851641,20000104,12/870,9.99,15.17259323,20000128,10.15,10.23,9.99,9.99,2.359882,5523600,33,000697,20260423
000948.SZ,南天信息,14.49,0.48543689320388544,15.2,15.36,-1.17035111,15.48,10.47909775,20001211,13/870,15.13,14.44735759,20000128,15.36,15.48,15.13,15.2,2.275682,4235446,33,000948,20260423
000409.SZ,云鼎科技,10.16,0.2961500493583352,10.17,10.46,-5.39534884,10.46,9.95525526,20000124,14/870,10.11,19.04796133,20001227,10.46,10.46,10.11,10.17,3.255813,1.6812997E7,33,000409,20260423
600661.SH,昂立教育,10.2,1.1904761904761827,10.03,9.99,1.31313131,10.27,9.84925926,20000114,15/870,9.83,19.98506173,20001221,9.99,10.27,9.83,10.03,4.444444,1.1507717E7,17,600661,20260423
600262.SH,北方股份,24.51,1.030502885408079,23.9,24.29,-1.76736539,24.85,9.22633333,20001218,16/870,23.8,10.643,20001205,24.29,24.85,23.8,23.9,4.315659,6857348,17,600262,20260423
600671.SH,天目药业,19.91,1.3747454175152727,18.85,19.02,-0.84166228,19.14,9.07407407,20000119,17/870,18.7,14.41666667,20001206,19.02,19.14,18.7,18.85,2.314571,1426200,17,600671,20260423
600135.SH,乐凯胶片,11.43,4.098360655737698,10.77,11.11,-2.26860254,11.12,8.97388889,20000104,18/870,10.68,13.57858974,20001201,11.11,11.12,10.68,10.77,3.99274,2.3306151E7,17,600135,20260423
600722.SH,金牛化工,13.61,0.5169867060561321,13.7,13.51,0.80941869,14.12,8.93656716,20001212,19/870,13.05,12.47485399,20000110,13.51,14.12,13.05,13.7,7.873436,8.8204046E7,17,600722,20260423
600640.SH,国脉文化,12.4,-1.5873015873015817,12.7,12.34,2.91734198,12.8,8.91125926,20000104,20/870,12.17,18.68230303,20001207,12.34,12.8,12.17,12.7,5.105348,1.1987701E7,17,600640,20260423
000995.SZ,皇台酒业,13.48,-0.148148148148145,14.04,13.76,2.85714286,14.9,8.90102065,20001215,21/870,13.76,10.44386423,20001226,13.76,14.9,13.76,14.04,8.351648,3.0281002E7,33,000995,20260423
000925.SZ,众合科技,9.19,-5.840163934426233,8.36,7.92,10,8.36,8.72891101,20000104,22/870,7.78,13.88113583,20001221,7.92,8.36,7.78,8.36,7.631578,9.8720846E7,33,000925,20260423
600854.SH,春兰股份,5.42,1.3084112149532765,5.18,5.15,0.3875969,5.2,8.72833175,20000104,23/870,5.05,12.70484803,20001201,5.15,5.2,5.05,5.18,2.906976,8912700,17,600854,20260423
600258.SH,首旅酒店,15.65,-2.3705552089831614,15.23,15.01,0.86092715,15.59,8.70342308,20001218,24/870,15,10.34338034,20001201,15.01,15.59,15,15.23,3.907284,2.2699974E7,17,600258,20260423
600180.SH,*ST瑞茂,2.91,-4.901960784313722,3.2,3.2,-0.31152648,3.21,8.63033945,20000104,25/870,3.16,11.33744004,20000128,3.2,3.21,3.16,3.2,1.557632,1.2898103E7,22,600180,20260423
600234.SH,科新发展,24.4,1.6666666666666607,23.55,25.08,-3.36479278,25.95,8.53741497,20001212,26/870,23.55,9.375,20001205,25.08,25.95,23.55,23.55,9.848173,2.0997988E7,17,600234,20260423
600241.SH,时代万恒,9.76,0.7223942208462362,9.46,9.79,-4.05679513,9.8,8.50759516,20001215,27/870,9.42,9.2082872,20001206,9.79,9.8,9.42,9.46,3.853955,1.03238E7,17,600241,20260423
000663.SZ,永安林业,6.88,1.624815361890699,6.32,6.36,-0.31545741,6.38,8.275,20001229,28/870,6.26,10.63125,20000110,6.36,6.38,6.26,6.32,1.892744,7132900,33,000663,20260423
000701.SZ,厦门信达,5.93,0.3384094754653058,5.71,5.85,-2.39316239,5.85,8.12566667,20000119,29/870,5.68,10.75233333,20000128,5.85,5.85,5.68,5.71,2.905982,1.1416279E7,33,000701,20260423
000962.SZ,东方钽业,43.87,-1.1714350078846658,47.58,50.56,-6.6875858,50.79,8.0963361,20000120,30/870,47.28,25.97914428,20001206,50.56,50.79,47.28,47.58,6.883702,2.6549042E7,33,000962,20260423
000978.SZ,桂林旅游,6.67,-1.9117647058823515,7.12,7.21,-1.92837466,7.34,8.02863636,20001211,31/870,7.07,10.08768842,20001213,7.21,7.34,7.07,7.12,3.719008,2.9682001E7,33,000978,20260423
000682.SZ,东方电子,13.05,-2.320359281437116,13.58,13.56,0.96654275,13.8,8.01247154,20000104,32/870,13.3,17.20962602,20000128,13.56,13.8,13.3,13.58,3.717472,3.5436927E7,33,000682,20260423
000058.SZ,深赛格,8.2,0.8610086100860824,8.07,8.1,-0.61576355,8.18,8.01010231,20000114,33/870,7.95,12.4730939,20000128,8.1,8.18,7.95,8.07,2.832512,9057670,33,000058,20260423
600278.SH,东方创业,7.06,-0.5633802816901414,7.21,7.23,-0.82530949,7.28,8.00883034,20001218,34/870,7.18,8.5672349,20001229,7.23,7.28,7.18,7.21,1.375515,6679464,17,600278,20260423
600768.SH,宁波富邦,18.88,3.2258064516129026,16.6,17.02,-3.09398716,17.13,7.99885389,20000104,35/870,16.49,14.1340245,20000128,17.02,17.13,16.49,16.6,3.736135,8529729,17,600768,20260423
600288.SH,大恒科技,15.18,4.043865661411925,15.01,15.31,-2.53246753,15.45,7.75457406,20001211,36/870,14.94,8.7256092,20001204,15.31,15.45,14.94,15.01,3.311688,7656365,17,600288,20260423
600338.SH,西藏珠峰,27.58,-0.10865628395509286,20.52,22,-10,22,7.74785714,20001227,37/870,20.52,9.15357143,20001229,22,22,20.52,20.52,6.491228,4.8130173E7,17,600338,20260423
600171.SH,上海贝岭,28.7,1.6648955012398117,28.22,28.4,0.14194464,29.23,7.73419254,20000117,38/870,28.18,11.06479946,20001221,28.4,29.23,28.18,28.22,3.726046,2.161799E7,17,600171,20260423
600207.SH,安彩高科,5.59,-2.101576182136604,5.79,5.66,2.11640212,5.82,7.65671642,20000104,39/870,5.59,20.20895522,20001226,5.66,5.82,5.59,5.79,4.056437,3.1093721E7,17,600207,20260423
600232.SH,金鹰股份,8.58,0.3508771929824486,8.57,8.69,-0.5800464,8.69,7.62474628,20001213,40/870,8.38,9.84368119,20001205,8.69,8.69,8.38,8.57,3.596287,1.1024737E7,17,600232,20260423
000921.SZ,海信家电,24.03,2.124946876328092,22.49,22.47,-0.44267375,22.77,7.5908686,20001226,41/870,22.31,13.47122574,20000110,22.47,22.77,22.31,22.49,2.036299,4918858,33,000921,20260423
000938.SZ,紫光股份,31.99,-1.3263417643430082,31.2,30.52,4.27807487,31.81,7.56762877,20000104,42/870,30.1,12.37508746,20001201,30.52,31.81,30.1,31.2,5.71524,3.19670124E8,33,000938,20260423
600289.SH,ST信通,6.21,-4.900459418070448,6.56,6.89,-4.92753623,6.97,7.5433309,20001212,43/870,6.56,8.03652677,20001221,6.89,6.97,6.56,6.56,5.942028,1.2119482E7,22,600289,20260423
600800.SH,渤海化学,4.59,1.3245033112582694,4.86,4.96,-1.2195122,5,7.51028807,20000104,44/870,4.81,12.48148148,20001201,4.96,5,4.81,4.86,3.861788,3.04441E7,17,600800,20260423
000628.SZ,高新发展,66.18,10.00664893617023,63.33,59.91,4.67768595,65.85,7.45869231,20000117,45/870,59.4,11.48176923,20001225,59.91,65.85,59.4,63.33,10.661157,2.1071819E7,33,000628,20260423
000722.SZ,湖南发展,14.24,-1.7931034482758605,15.63,14.6,6.98151951,15.98,7.33431953,20000106,46/870,14.23,11.04733728,20000124,14.6,15.98,14.23,15.63,11.978097,7.3971382E7,33,000722,20260423
000070.SZ,特发信息,18.08,-6.466632177961718,20.99,21.01,-1.22352941,21.99,7.2516401,20001212,47/870,20.3,8.00647101,20001221,21.01,21.99,20.3,20.99,7.952941,1.13408031E8,33,000070,20260423
600706.SH,曲江文旅,9.54,0.5268703898840773,9.33,9.5,-1.58227848,9.52,7.24678205,20000126,48/870,9.29,13.33011538,20001205,9.5,9.52,9.29,9.33,2.42616,6672600,17,600706,20260423
600052.SH,东望时代,4.44,9.90099009900991,4.58,4.24,10.09615385,4.58,7.24521718,20000104,49/870,4.2,9.7131659,20001201,4.24,4.58,4.2,4.58,9.134615,1.00445311E8,17,600052,20260423
000993.SZ,闽东电力,12.24,-1.2903225806451624,13.22,12.73,3.93081761,13.46,7.23930058,20001226,50/870,12.5,7.69594798,20001221,12.73,13.46,12.5,13.22,7.547169,4.1724754E7,33,000993,20260423
600648.SH,外高桥,10.03,-5.37735849056604,10.6,10.53,0.66476733,10.68,7.1888556,20000119,51/870,10.51,13.21652358,20001227,10.53,10.68,10.51,10.6,1.614434,3817068,17,600648,20260423
000586.SZ,汇源通信,17.71,-1.6657412548584158,19.14,20.3,-7.49154181,20.38,7.16666667,20000117,52/870,18.94,10.95652174,20001225,20.3,20.38,18.94,19.14,6.959884,3.556859E7,33,000586,20260423
000151.SZ,中成股份,11.84,0.1692047377326529,10.57,10.79,-2.31053604,10.81,7.0639599,20001218,53/870,10.5,8.53764411,20001226,10.79,10.81,10.5,10.57,2.865064,7175900,33,000151,20260423
600613.SH,神奇制药,5.88,0.1703577512776795,5.77,5.84,-1.36752137,5.85,7.02110656,20000124,54/870,5.73,17.12356557,20001208,5.84,5.85,5.73,5.77,2.051282,1.02372E7,17,600613,20260423
600301.SH,华锡有色,50.53,1.1206724034420699,54.05,57.3,-6.11429564,57.76,7.01142857,20001211,55/870,52.4,7.56142857,20001204,57.3,57.76,52.4,54.05,9.310404,2.2963198E7,17,600301,20260423
600215.SH,派斯林,6.84,5.718701700154562,6.64,6.71,-2.7818448,6.8,6.9619053,20000117,56/870,6.58,9.01773901,20001204,6.71,6.8,6.58,6.64,3.221083,1.1282183E7,17,600215,20260423
600707.SH,彩虹股份,8.09,-8.068181818181827,8.53,8.68,-3.72460497,8.88,6.94490791,20000104,57/870,8.29,9.57112676,20001204,8.68,8.88,8.29,8.53,6.659142,1.63191399E8,17,600707,20260423
600721.SH,百花医药,8.43,-1.0563380281690125,8.65,8.89,-2.69966254,8.89,6.80630173,20000128,58/870,8.65,13.42202701,20001205,8.89,8.89,8.65,8.65,2.699662,1.58388E7,17,600721,20260423
000681.SZ,视觉中国,21.82,5.207328833172623,20.69,20.93,-1.8035121,21.23,6.78343342,20000104,59/870,20.6,11.48566667,20001201,20.93,21.23,20.6,20.69,2.990033,1.9956715E7,33,000681,20260423
600857.SH,宁波中百,12.71,2.7485852869846537,11.91,12.03,-0.66722269,12.17,6.74935185,20000104,60/870,11.76,12.3187963,20000126,12.03,12.17,11.76,11.91,3.419516,2605401,17,600857,20260423
600775.SH,南京熊猫,12.35,0.40650406504064174,13.14,13.39,-3.02583026,13.76,6.74812963,20000120,61/870,13.09,13.65183333,20001222,13.39,13.76,13.09,13.14,4.944649,3.4662112E7,17,600775,20260423
000980.SZ,众泰汽车,2.52,10.043668122270741,2.2,2.38,-7.94979079,2.4,6.73197531,20001218,62/870,2.18,7.46777778,20001206,2.38,2.4,2.18,2.2,9.20502,3.32179022E8,33,000980,20260423
000909.SZ,*ST数源,4.66,-5.091649694501018,6.03,6.03,-5.03937008,6.03,6.7316326,20001212,63/870,6.03,10.6586399,20000128,6.03,6.03,6.03,6.03,0,482000,33,000909,20260423
600148.SH,长春一东,19.13,0.3146303093864642,17.83,18.15,-1.49171271,18.15,6.72332274,20000106,64/870,17.77,9.54887752,20001226,18.15,18.15,17.77,17.83,2.099447,1712600,17,600148,20260423
600847.SH,万里股份,14.77,0.06775067750677362,14.35,14.67,-1.77960301,14.77,6.688,20000105,65/870,14.22,16.0,20001204,14.67,14.77,14.22,14.35,3.764544,2865100,17,600847,20260423
600281.SH,华阳新材,5.6,-0.8849557522124019,5.46,5.56,-1.79856115,5.56,6.66180021,20001218,66/870,5.41,7.49165818,20001206,5.56,5.56,5.41,5.46,2.697841,7964200,17,600281,20260423
600137.SH,浪莎股份,23.4,-2.1739130434782736,22.79,22.99,-0.86994345,23.48,6.646,20000118,67/870,22.6,17.182,20001205,22.99,23.48,22.6,22.79,3.827751,4422100,17,600137,20260423
000004.SZ,*ST国华,,,3.06,3.06,-4.9689441,3.06,6.624,20000104,68/870,3.06,27.328,20001225,3.06,3.06,3.06,3.06,0,886200,33,000004,20260423
000969.SZ,安泰科技,21.37,1.0879848628193018,21.2,22.08,-3.94200272,22.08,6.60243363,20001205,69/870,21.02,7.55227962,20001220,22.08,22.08,21.02,21.2,4.802899,3.1608726E7,33,000969,20260423
600095.SH,湘财股份,8.88,0.3389830508474705,9.34,9.48,-1.58061117,9.51,6.57028181,20001214,70/870,9.32,8.61847458,20000128,9.48,9.51,9.32,9.34,2.002107,2.1683473E7,17,600095,20260423
600235.SH,民丰特纸,6.95,1.0174418604651205,6.71,6.76,-1.03244838,6.77,6.55940212,20001211,71/870,6.64,7.09908466,20001229,6.76,6.77,6.64,6.71,1.917404,4479100,17,600235,20260423
000636.SZ,风华高科,25.09,-0.7515822784810177,22.16,22.5,-1.42348754,22.58,6.54474519,20000104,72/870,21.68,14.08178222,20001204,22.5,22.58,21.68,22.16,4.003558,5.3941044E7,33,000636,20260423
000668.SZ,*ST荣控,15.85,1.5374759769378619,14.78,14.83,-0.33715442,14.89,6.51079772,20000104,73/870,14.64,10.4937037,20001201,14.83,14.89,14.64,14.78,1.685772,1304900,33,000668,20260423
600237.SH,铜峰电子,8.88,-2.417582417582405,9.2,9.45,-2.54237288,9.49,6.45181818,20001211,74/870,9.18,7.41141414,20001221,9.45,9.49,9.18,9.2,3.283898,2.360852E7,17,600237,20260423
600718.SH,东软集团,8.84,-0.2257336343115076,9.05,9.07,-0.8762322,9.14,6.43132281,20000104,75/870,8.96,10.89259829,20001221,9.07,9.14,8.96,9.05,1.971522,1.6365906E7,17,600718,20260423
600248.SH,陕建股份,3.48,-1.4164305949008449,3.44,3.42,0.29154519,3.44,6.37952948,20001201,76/870,3.39,7.04086744,20001208,3.42,3.44,3.39,3.44,1.457725,1.299095E7,17,600248,20260423
