股票代码,股票简称,最新价,chg_pct,分时买二量[20260428 09:15],{(}分时买二量[20260428 09:15]{*}100.0{)},自由流通股[20260428],yedan_pct,分时买一量[20260430 09:25],{(}分时买一量[20260430 09:25]{*}100.0{)},自由流通股[20260430],open_seal_pct,分时涨跌幅:前复权[20260430 09:25],涨停次数[20260428-20260430],涨停次数排名[20260428-20260430],区间成交额[20260428-20260430],区间振幅[20260428-20260430],分时买三量[20260428 09:15],分时买四量[20260428 09:15],分时买五量[20260428 09:15],分时成交量[20260430 09:25],分时成交额[20260430 09:25],分时换手率[20260430 09:25],分时收盘价:不复权[20260430 09:25],分时买三量[20260430 09:25],分时买四量[20260430 09:25],分时买五量[20260430 09:25],market_code,code,date
000609.SZ,*ST中迪,14.42,5.0254916241806225,48270200,4827020000,219913472,21.949632990197163,20979400,2097940000.0,219913472,9.539843016074977,5.0254916241806225,3,1/248,88377793.1,10.75441412520064,0.0,0.0,0.0,684900,9876258.0,0.23531370377956481,14.42,1300.0,1100.0,83800.0,33,000609,20260428
002081.SZ,金螳螂,5.9,10.074626865671641,140800.0,14080000,1338068052,0.010522633717287198,66100.0,6610000.0,1338068052,0.004939958016425311,-3.5447761194029925,3,1/248,7071170170.0,33.86004514672686,0.0,0.0,0.0,12689900,65606783.0,0.4799066596050272,5.17,14500.0,83200.0,42700.0,33,002081,20260428
002289.SZ,*ST宇顺,36.56,4.997128087306152,120800.0,12080000,162360630,0.07440227350682244,740900.0,74090000.0,162360630,0.4563298380894432,4.997128087306146,3,1/248,174172308.3,13.141228625712495,0.0,0.0,0.0,31100,1137016.0,0.01133252934078389,36.56,5000.0,100.0,3200.0,33,002289,20260428
603095.SH,越剑智能,25.37,10.017346053772776,9700.0,970000,79177144,0.012251010215776412,2786176.0,278617600.0,79177144,3.518914498860934,10.01734605377278,3,1/248,779744264.0,33.175853018372706,0.0,0.0,0.0,1271024,32245879.0,0.4921314659277994,25.37,400.0,400.0,400.0,17,603095,20260428
603399.SH,永杉锂业,19.39,9.98298355076575,18200299,1820029900,383610176,4.744477633460901,24025756,2402575600.0,383610176,6.263065346837932,9.982983550765745,3,1/248,2081306811.0,27.522306108442002,0.0,0.0,0.0,2918044,56580873.0,0.5696071176969697,19.39,2100.0,1100.0,200.0,17,603399,20260428
000838.SZ,*ST发展,1.95,4.838709677419347,26785529,2678552900,701541376,3.8180968245556484,1059400.0,105940000.0,701541376,0.1510103375570538,3.2258064516129004,2,9/248,339175650.0,8.333333333333329,0.0,0.0,0.0,3013800,5786496.0,0.28600281416406304,1.92,14200.0,231000.0,254000.0,33,000838,20260428
001266.SZ,宏英智能,40.59,2.7074898785425106,15099600,1509960000,36043042,41.89324530376764,6100.0,610000.0,36043042,0.016924209671314645,6.022267206477716,2,9/248,851171105.2,23.02510716472751,0.0,0.0,0.0,733900,30750410.0,1.262330426057417,41.9,200.0,100.0,400.0,33,001266,20260428
002652.SZ,扬子新材,5.93,-4.045307443365696,21600.0,2160000,358464000,0.006025709694697376,6700.0,670000.0,358464000,0.001869085877521871,3.721682847896446,2,9/248,1246104597.0,28.96281800391388,0.0,0.0,0.0,3094900,19838309.0,0.6043971066116736,6.41,1600.0,23800.0,27700.0,33,002652,20260428
002989.SZ,中天精装,29.21,10.018832391713747,14500.0,1450000,97335462,0.0148969344800562,3400.0,340000.0,97335462,0.0034930742918752467,4.030131826741989,2,9/248,620245193.0,22.83563362609787,0.0,0.0,0.0,149300,4123666.0,0.08143491661192719,27.62,1500.0,100.0,68000.0,33,002989,20260428
600156.SH,华升股份,10.8,-3.3124440465532605,4200.0,420000,240006390,0.0017499534074905255,100.0,10000.0,240006390,4.166555732120299e-05,5.819158460161145,2,9/248,1919868203.0,33.477789815817985,0.0,0.0,0.0,2472200,29221404.0,0.614805820313631,11.82,800.0,400.0,400.0,17,600156,20260428
600243.SH,*ST海华,4.16,3.740648379052378,46062800,4606280000,395616125,11.643307006255117,13500.0,1350000.0,395616125,0.003412398824744568,1.2468827930174564,2,9/248,160713541.0,10.439560439560449,0.0,0.0,0.0,3828500,15543710.0,0.8723937564087957,4.06,84400.0,205900.0,100.0,22,600243,20260428
600735.SH,ST新华锦,7.4,-5.0064184852374805,75186900,7518690000,239919475,31.33838968262164,29772600,2977260000.0,239919475,12.409413616797886,5.006418485237485,2,9/248,540511483.0,11.032531824611024,0.0,0.0,0.0,424200,3469956.0,0.0997057652780981,8.18,8100.0,6100.0,2700.0,22,600735,20260428
603317.SH,天味食品,17.13,-0.8680555555555678,23665664,2366566400,369072392,6.412201105521867,3400.0,340000.0,369072392,0.0009212284835436838,-2.083333333333326,2,9/248,2328771344.0,11.204481792717097,0.0,0.0,0.0,1373300,23236236.0,0.12898289830656753,16.92,5800.0,4700.0,5900.0,17,603317,20260428
603629.SH,利通电子,144.41,9.993144946302083,8939800.0,893980000,139932820,6.388637061698606,300.0,30000.0,139932820,0.0002143885901820602,8.401249143118283,2,9/248,8981480700.0,23.10599078341013,0.0,0.0,0.0,1648700,234642980.0,0.6418871568062542,142.32,1000.0,100.0,4200.0,17,603629,20260428
