股票代码,股票简称,最新价,chg_pct,p_close,p_open,涨跌幅:前复权[20260402],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260402],最高价:前复权[20260402],最低价:前复权[20260402],收盘价:前复权[20260402],振幅[20260402],成交量[20260402],market_code,code,date
600345.SH,长江通信,48.66,-5.952841128720537,42.87,42.17,0.72838346,44.75,22.20880952,20001222,1/870,42.11,25.95880952,20001222,42.17,44.75,42.11,42.87,6.203007,2.1957707E7,17,600345,20260402
000633.SZ,合金投资,6.83,0.14662756598240156,6.61,6.74,-1.92878338,6.77,16.86616162,20000104,2/870,6.52,23.84848485,20001229,6.74,6.77,6.52,6.61,3.709198,9363676,33,000633,20260402
000931.SZ,中关村,4.75,0.21097046413501658,5.33,5.28,0.75614367,5.41,15.68965517,20000119,3/870,5.25,22.4137931,20001221,5.28,5.41,5.25,5.33,3.024574,2.3738606E7,33,000931,20260402
600198.SH,大唐电信,8.4,-0.8264462809917388,8.15,8.23,-1.68878166,8.32,14.82061402,20000114,4/870,8.06,23.73134328,20001221,8.23,8.32,8.06,8.15,3.136308,9401401,17,600198,20260402
600243.SH,*ST海华,4.16,3.740648379052378,2.99,3.01,-0.66445183,3.03,13.47725806,20001218,5/870,2.95,15.5933871,20001201,3.01,3.03,2.95,2.99,2.657807,4388300,22,600243,20260402
000985.SZ,大庆华科,20.23,-0.2957121734844688,19.36,19.53,-0.87045571,19.75,13.45506452,20001204,6/870,19.15,15.92146237,20001221,19.53,19.75,19.15,19.36,3.072196,1812088,33,000985,20260402
600259.SH,中稀有色,92.01,-1.772178926016864,78.5,79.82,-2.5450031,80.19,13.25952381,20001212,7/870,77.63,14.65952381,20001225,79.67,80.04,77.48,78.35,3.17815,8095178,17,600259,20260402
600265.SH,*ST景谷,22.02,-0.13605442176871263,20.98,21.2,-1.87090739,21.38,11.61777778,20001212,8/870,20.85,13.03753086,20001227,21.2,21.38,20.85,20.98,2.478952,375500,22,600265,20260402
600727.SH,鲁北化工,8.07,-0.12376237623762112,7.44,7.53,-0.40160643,7.63,11.58571429,20001218,9/870,7.36,13.83956044,20000107,7.53,7.63,7.36,7.44,3.614457,2.352841E7,17,600727,20260402
000156.SZ,华数传媒,7.41,-0.9358288770053513,7.36,7.5,-2.25763612,7.52,11.51323928,20001212,10/870,7.32,13.26578047,20001205,7.5,7.52,7.32,7.36,2.656042,9202600,33,000156,20260402
