股票代码,股票简称,最新价,最新涨跌幅,涨停[20260330],feng_dan_jin,ltsz,涨停封板时长[20260330],p_open,p_close,p_high,p_low,p_low,zt_first_time,最终涨停时间[20260330],涨停明细数据[20260330],连续涨停天数[20260330],涨停原因类别[20260330],feng_dan_liang,feng_dan_liang,feng_dan_liang,涨停开板次数[20260330],几天几板[20260330],涨停类型[20260330],总市值[20260330],所属同花顺行业,market_code,code,fenglu_ratio,date
603538.SH,美诺华,62.46,-4.349157733537514,涨停,146882860.5,9318042600.4,3.9884021022000002,43.1,43.1,43.1,42.4,819/5521, 09:30:31, 09:30:31,"[{""code"":""603538.SH"",""time"":1774834231939,""openTime"":null,""duration"":14357099,""updatedTime"":1774854000000,""firstVol"":441819.0,""highestVol"":6046636.0,""firstVolDivLTGB"":0.00204360504846614,""firstVolDivVol"":0.07423485769799844,""highestVolDivLTGB"":0.027968321543068785,""highestVolDivVol"":0.8845749629881036}]",5,减肥药+创新药+原料药,3407955,38.26445285320392,1.5763274198134132,0,7天6板,缩量涨停,9501402068.4,医药生物-化学制药-原料药,17,603538,1.5763274198134134,20260330
688677.SH,海泰新光,110.0,-0.9009009009009009,涨停,12315698.87,5733716910.0,2.3252021124,39.75,47.83,47.83,39.26,922/5521, 11:10:18, 11:10:18,"[{""code"":""688677.SH"",""time"":1774840218980,""openTime"":null,""duration"":8370058,""updatedTime"":1774854000000,""firstVol"":4035865.0,""highestVol"":4118807.0,""firstVolDivLTGB"":0.03366671671796925,""firstVolDivVol"":0.819403415377931,""highestVolDivLTGB"":0.034358609241138836,""highestVolDivVol"":0.832851305720899}]",1,内窥镜+海外产能+业绩稳增,257489,3.4205388820962273,0.21479433085579386,0,首板涨停,放量涨停,5733716910.0,医药生物-医疗器械-医疗设备,17,688677,0.21479433085579386,20260330
603016.SH,新宏泰,54.94,-8.249832999332005,涨停,15498089.98,6670163200.0,2.5236593766,40,45.02,45.02,39.18,926/5521, 10:58:24, 10:58:24,"[{""code"":""603016.SH"",""time"":1774839504591,""openTime"":null,""duration"":9084447,""updatedTime"":1774854000000,""firstVol"":4510900.0,""highestVol"":4510900.0,""firstVolDivLTGB"":0.030446139308855293,""firstVolDivVol"":0.7557742786769586,""highestVolDivLTGB"":0.030446139308855293,""highestVolDivVol"":0.7557742786769586}]",1,电网设备+断路器+国企改革,344249,4.799880982126126,0.23234948704103672,0,首板涨停,放量涨停,6670163200.0,电力设备-电网设备-输变电设备,17,603016,0.23234948704103672,20260330
002980.SZ,华盛昌,79.94,-1.7332513829133334,涨停,170601904.0,4434346786.32,3.5040936384,39.8,43.78,43.78,39,939/5521, 09:59:35, 09:59:35,"[{""code"":""002980.SZ"",""time"":1774835975310,""openTime"":null,""duration"":12613728,""updatedTime"":1774854000000,""firstVol"":1.118744E7,""highestVol"":1.118744E7,""firstVolDivLTGB"":0.11034072570352736,""firstVolDivVol"":1.5332695581144828,""highestVolDivLTGB"":0.11034072570352736,""highestVolDivVol"":1.5332695581144828}]",1,拟收购伽蓝特+光通信测试+仪器仪表+AI眼镜,3896800,49.41728488998795,3.8433791816671685,0,首板涨停,缩量涨停,8291982784.8,电力设备-电网设备-电气自控设备,33,002980,3.8472837651378198,20260330
600345.SH,长江通信,48.66,-5.952841128720537,涨停,107239018.25999999,9145708409.31,1.9986373782,38.68,43.23,43.23,38.59,954/5521, 13:00:05, 13:00:05,"[{""code"":""600345.SH"",""time"":1774846805481,""openTime"":null,""duration"":7194519,""updatedTime"":1774854000000,""firstVol"":57200.0,""highestVol"":9437600.0,""firstVolDivLTGB"":2.7037336959954066E-4,""firstVolDivVol"":0.0034984362846068435,""highestVolDivLTGB"":0.04460971526105988,""highestVolDivVol"":0.5638541392459712}]",1,参股长飞光纤+商业航天+智慧应急+央企,2480662,12.925432860395683,1.1725610905201675,0,首板涨停,放量涨停,14249132466.36,通信-通信设备-其他通信设备,17,600345,1.1725610905201675,20260330
301008.SZ,宏昌科技,31.69,3.2247557003257397,涨停,129762948.12,4082315566.16,3.9931077564,35.24,35.24,35.24,33.56,1160/5521, 09:30:00, 09:31:31,"[{""code"":""301008.SZ"",""time"":1774834200000,""openTime"":1774834276939,""duration"":76939,""updatedTime"":1774834276939,""firstVol"":6339400.0,""highestVol"":6339400.0,""firstVolDivLTGB"":0.054723955651997766,""firstVolDivVol"":6.553028736820343,""highestVolDivLTGB"":0.054723955651997766,""highestVolDivVol"":6.553028736820343},{""code"":""301008.SZ"",""time"":1774834291939,""openTime"":null,""duration"":14297099,""updatedTime"":1774854000000,""firstVol"":1.4028523E7,""highestVol"":1.56562E7,""firstVolDivLTGB"":0.12109920032101314,""firstVolDivVol"":2.497255133307474,""highestVolDivLTGB"":0.13514988713108614,""highestVolDivVol"":2.712215224071053}]",1,间接投资张雪机车+人形机器人+减速器,3682263,50.69254674545982,3.1786603954789454,1,首板涨停,T字涨停||放量涨停,4615144366.16,家用电器-白色家电-家电零部件,33,301008,3.1786603954789454,20260330
603261.SH,*ST立航,33.79,1.0164424514200188,涨停,3369673.0,2673148208.78,2.1684134592,33.2,34.49,34.49,33,1188/5521, 09:39:42, 11:29:48,"[{""code"":""603261.SH"",""time"":1774834782558,""openTime"":1774835387647,""duration"":605089,""updatedTime"":1774835387647,""firstVol"":82400.0,""highestVol"":295300.0,""firstVolDivLTGB"":0.0010631569138835931,""firstVolDivVol"":0.23449060899260102,""highestVolDivLTGB"":0.003810075687740596,""highestVolDivVol"":0.7822516556291391},{""code"":""603261.SH"",""time"":1774841388463,""openTime"":null,""duration"":7200575,""updatedTime"":1774854000000,""firstVol"":44900.0,""highestVol"":174200.0,""firstVolDivLTGB"":5.793172989487055E-4,""firstVolDivVol"":0.04076259645937358,""highestVolDivLTGB"":0.002247596291244198,""highestVolDivVol"":0.15719184262768454}]",1,退市博弈+C919配套+航空装备,97700,8.337600273084144,0.12605634767770274,1,首板涨停,放量涨停,2673148208.78,国防军工-军工装备-航空装备,22,603261,0.12605634767770274,20260330
603272.SH,*ST联翔,26.8,5.015673981191227,涨停,1784609.9999999998,3683939850.0,0.7002832404,32.32,35.55,35.55,31.41,1278/5521, 13:34:31, 14:46:47,"[{""code"":""603272.SH"",""time"":1774848871180,""openTime"":1774848919236,""duration"":48056,""updatedTime"":1774848919236,""firstVol"":69500.0,""highestVol"":82600.0,""firstVolDivLTGB"":6.706746311289529E-4,""firstVolDivVol"":0.006577604949236033,""highestVolDivLTGB"":7.970895616007411E-4,""highestVolDivVol"":0.007810316349961175},{""code"":""603272.SH"",""time"":1774849108859,""openTime"":1774849233684,""duration"":124825,""updatedTime"":1774849233684,""firstVol"":9600.0,""highestVol"":40300.0,""firstVolDivLTGB"":9.263994904802802E-5,""firstVolDivVol"":8.842501779553483E-4,""highestVolDivLTGB"":3.8889478610786764E-4,""highestVolDivVol"":0.0037100948458589082},{""code"":""603272.SH"",""time"":1774849278684,""openTime"":1774849293685,""duration"":15001,""updatedTime"":1774849293685,""firstVol"":1400.0,""highestVol"":1400.0,""firstVolDivLTGB"":1.3509992569504087E-5,""firstVolDivVol"":1.27764667703264E-4,""highestVolDivLTGB"":1.3509992569504087E-5,""highestVolDivVol"":1.27764667703264E-4},{""code"":""603272.SH"",""time"":1774849338685,""openTime"":1774849353944,""duration"":15259,""updatedTime"":1774849353944,""firstVol"":6400.0,""highestVol"":6400.0,""firstVolDivLTGB"":6.175996603201868E-5,""firstVolDivVol"":5.80691323909076E-4,""highestVolDivLTGB"":6.175996603201868E-5,""highestVolDivVol"":5.80691323909076E-4},{""code"":""603272.SH"",""time"":1774849368944,""openTime"":1774849640904,""duration"":271960,""updatedTime"":1774849640904,""firstVol"":4000.0,""highestVol"":210900.0,""firstVolDivLTGB"":3.8599978770011675E-5,""firstVolDivVol"":3.6243879994338706E-4,""highestVolDivLTGB"":0.0020351838806488658,""highestVolDivVol"":0.019092977640846696},{""code"":""603272.SH"",""time"":1774849677771,""openTime"":1774849739013,""duration"":61242,""updatedTime"":1774849739013,""firstVol"":400.0,""highestVol"":7600.0,""firstVolDivLTGB"":3.859997877001167E-6,""firstVolDivVol"":3.587847458359891E-5,""highestVolDivLTGB"":7.333995966302218E-5,""highestVolDivVol"":6.81599311799937E-4},{""code"":""603272.SH"",""time"":1774849777752,""openTime"":1774849796279,""duration"":18527,""updatedTime"":1774849796279,""firstVol"":1100.0,""highestVol"":1100.0,""firstVolDivLTGB"":1.061499416175321E-5,""firstVolDivVol"":9.850852716677117E-5,""highestVolDivLTGB"":1.061499416175321E-5,""highestVolDivVol"":9.850852716677117E-5},{""code"":""603272.SH"",""time"":1774849826279,""openTime"":1774849871279,""duration"":45000,""updatedTime"":1774849871279,""firstVol"":1000.0,""highestVol"":4400.0,""firstVolDivLTGB"":9.649994692502919E-6,""firstVolDivVol"":8.943387107535107E-5,""highestVolDivLTGB"":4.245997664701284E-5,""highestVolDivVol"":3.9344569546265906E-4},{""code"":""603272.SH"",""time"":1774850017503,""openTime"":1774851080239,""duration"":1062736,""updatedTime"":1774851080239,""firstVol"":24100.0,""highestVol"":472200.0,""firstVolDivLTGB"":2.3256487208932035E-4,""firstVolDivVol"":0.0021444055129551456,""highestVolDivLTGB"":0.004556727493799879,""highestVolDivVol"":0.04196905808528305},{""code"":""603272.SH"",""time"":1774851125286,""openTime"":1774851173765,""duration"":48479,""updatedTime"":1774851173765,""firstVol"":800.0,""highestVol"":800.0,""firstVolDivLTGB"":7.719995754002335E-6,""firstVolDivVol"":6.972621826084335E-5,""highestVolDivLTGB"":7.719995754002335E-6,""highestVolDivVol"":6.972621826084335E-5},{""code"":""603272.SH"",""time"":1774851221388,""openTime"":1774851238253,""duration"":16865,""updatedTime"":1774851238253,""firstVol"":1100.0,""highestVol"":1100.0,""firstVolDivLTGB"":1.061499416175321E-5,""firstVolDivVol"":9.524761175272404E-5,""highestVolDivLTGB"":1.061499416175321E-5,""highestVolDivVol"":9.524761175272404E-5},{""code"":""603272.SH"",""time"":1774853207132,""openTime"":null,""duration"":792868,""updatedTime"":1774854000000,""firstVol"":44100.0,""highestVol"":135500.0,""firstVolDivLTGB"":4.2556476593937873E-4,""firstVolDivVol"":0.0034760138491958586,""highestVolDivLTGB"":0.0013075742808341456,""highestVolDivVol"":0.010667992699471386}]",3,墙布龙头+智能家居+控股股东转让股份,50200,0.3908517032336205,0.04844297335636465,11,3天2板,放量涨停,3683939850.0,轻工制造-家居用品-其他家居用品,22,603272,0.048442973356364646,20260330
300900.SZ,广联航空,44.45,4.1471415182755464,涨停,38843292.95999999,9798914035.44,1.0626080574,31.21,38.16,38.16,31.21,1289/5521, 13:53:37, 14:29:58,"[{""code"":""300900.SZ"",""time"":1774850017503,""openTime"":1774850101095,""duration"":83592,""updatedTime"":1774850101095,""firstVol"":2.5115789E7,""highestVol"":2.5115789E7,""firstVolDivLTGB"":0.09780864540434395,""firstVolDivVol"":0.5311191692258729,""highestVolDivLTGB"":0.09780864540434395,""highestVolDivVol"":0.5311191692258729},{""code"":""300900.SZ"",""time"":1774850150306,""openTime"":1774852019167,""duration"":1868861,""updatedTime"":1774852019167,""firstVol"":1.32563E7,""highestVol"":1.32563E7,""firstVolDivLTGB"":0.051624129589303555,""firstVolDivVol"":0.259062046594272,""highestVolDivLTGB"":0.051624129589303555,""highestVolDivVol"":0.259062046594272},{""code"":""300900.SZ"",""time"":1774852101023,""openTime"":1774852172512,""duration"":71489,""updatedTime"":1774852172512,""firstVol"":13600.0,""highestVol"":1612600.0,""firstVolDivLTGB"":5.2962603623524536E-5,""firstVolDivVol"":2.3976096818722779E-4,""highestVolDivLTGB"":0.0062799628384776224,""highestVolDivVol"":0.028341366931579185},{""code"":""300900.SZ"",""time"":1774852198859,""openTime"":null,""duration"":1801141,""updatedTime"":1774854000000,""firstVol"":2315684.0,""highestVol"":2748362.0,""firstVolDivLTGB"":0.009017989250686602,""firstVolDivVol"":0.040352644505313534,""highestVolDivLTGB"":0.010702971119114496,""highestVolDivVol"":0.04753864172349089}]",1,商业航天+火箭贮箱+无人机大单,1017906,1.731990489098878,0.39640405885299534,3,首板涨停,放量涨停,12505807945.44,国防军工-军工装备-航空装备,33,300900,0.39640405885299523,20260330
603358.SH,华达科技,31.32,-3.808353808353814,涨停,114953703.47999999,15171132501.69,1.1243338284,30.29,33.33,33.33,30.28,1347/5521, 13:52:32, 13:52:32,"[{""code"":""603358.SH"",""time"":1774849952722,""openTime"":null,""duration"":4047278,""updatedTime"":1774854000000,""firstVol"":9818500.0,""highestVol"":9818500.0,""firstVolDivLTGB"":0.021570611486225282,""firstVolDivVol"":0.22945745796565356,""highestVolDivLTGB"":0.021570611486225282,""highestVolDivVol"":0.22945745796565356}]",1,超跌反弹+股东增持+一体化压铸+华为合作,3448956,7.892688999760196,0.757713397250961,0,首板涨停,放量涨停,15656536723.08,汽车-汽车零部件-其他汽车零部件,17,603358,0.7577133972509609,20260330
