股票代码,股票简称,最新价,chg_pct,分时买二量[20260408 09:15],{(}分时买二量[20260408 09:15]{*}100.0{)},自由流通股[20260408],yedan_pct,分时买一量[20260430 09:25],{(}分时买一量[20260430 09:25]{*}100.0{)},自由流通股[20260430],open_seal_pct,分时涨跌幅:前复权[20260430 09:25],涨停次数[20260428-20260430],涨停次数排名[20260428-20260430],区间成交额[20260428-20260430],区间振幅[20260428-20260430],分时买三量[20260408 09:15],分时买四量[20260408 09:15],分时买五量[20260408 09:15],分时成交量[20260430 09:25],分时成交额[20260430 09:25],分时换手率[20260430 09:25],分时收盘价:不复权[20260430 09:25],分时买三量[20260430 09:25],分时买四量[20260430 09:25],分时买五量[20260430 09:25],market_code,code,date
000609.SZ,*ST中迪,14.42,5.0254916241806225,74900.0,7490000,219913472,0.03405885020086446,20979400,2097940000.0,219913472,9.539843016074977,5.0254916241806225,3,1/248,88377793.1,10.75441412520064,0.0,0.0,0.0,684900,9876258.0,0.23531370377956481,14.42,1300.0,1100.0,83800.0,33,000609,20260408
002081.SZ,金螳螂,5.9,10.074626865671641,79600.0,7960000,1338068052,0.005948875311761797,66100.0,6610000.0,1338068052,0.004939958016425311,-3.5447761194029925,3,1/248,7071170170.0,33.86004514672686,0.0,0.0,0.0,12689900,65606783.0,0.4799066596050272,5.17,14500.0,83200.0,42700.0,33,002081,20260408
002289.SZ,*ST宇顺,36.56,4.997128087306152,1900.0,190000,162360630,0.0011702344342960482,740900.0,74090000.0,162360630,0.4563298380894432,4.997128087306146,3,1/248,174172308.3,13.141228625712495,0.0,0.0,0.0,31100,1137016.0,0.01133252934078389,36.56,5000.0,100.0,3200.0,33,002289,20260408
603095.SH,越剑智能,25.37,10.017346053772776,100.0,10000,79177144,0.00012629907438944753,2786176.0,278617600.0,79177144,3.518914498860934,10.01734605377278,3,1/248,779744264.0,33.175853018372706,0.0,0.0,0.0,1271024,32245879.0,0.4921314659277994,25.37,400.0,400.0,400.0,17,603095,20260408
002989.SZ,中天精装,29.21,10.018832391713747,1100.0,110000,97335462,0.0011301122709008152,3400.0,340000.0,97335462,0.0034930742918752467,4.030131826741989,2,9/248,620245193.0,22.83563362609787,0.0,0.0,0.0,149300,4123666.0,0.08143491661192719,27.62,1500.0,100.0,68000.0,33,002989,20260408
600156.SH,华升股份,10.8,-3.3124440465532605,3900.0,390000,240006390,0.0016249567355269166,100.0,10000.0,240006390,4.166555732120299e-05,5.819158460161145,2,9/248,1919868203.0,33.477789815817985,0.0,0.0,0.0,2472200,29221404.0,0.614805820313631,11.82,800.0,400.0,400.0,17,600156,20260408
600289.SH,ST信通,6.21,-4.900459418070448,7800.0,780000,389562787,0.0020022446343161623,1000.0,100000.0,389562787,0.0002566980300405336,1.6845329249617125,2,9/248,183040303.0,19.08783783783784,0.0,0.0,0.0,1063000,7058320.0,0.18783484565181346,6.64,15200.0,166500.0,30400.0,22,600289,20260408
000402.SZ,金融街,3.17,10.069444444444446,18500.0,1850000,1913531211,0.0009667989679840137,55700.0,5570000.0,1913531211,0.0029108487846870035,7.986111111111116,2,9/248,514481120.1,21.969696969696972,0.0,0.0,0.0,13246900,41197859.0,0.443239673609492,3.11,24000.0,20000.0,20400.0,33,000402,20260408
000567.SZ,海德股份,6.67,10.06600660066007,8500.0,850000,477073040,0.0017816978297495074,51800.0,5180000.0,477073040,0.01085787618600288,3.300330033003296,2,9/248,1418192094.9,23.24723247232472,0.0,0.0,0.0,2915700,18252282.0,0.14963512424126052,6.26,400400.0,4800.0,14900.0,33,000567,20260408
002192.SZ,融捷股份,109.22,10.001007150770462,8600.0,860000,191495620,0.004490964336416676,59269.0,5926900.0,191495620,0.03095057735524186,4.5926075133447375,2,9/248,10456218730.0,24.563149745631492,0.0,0.0,0.0,1043631,108381079.0,0.40276333442599005,103.85,8700.0,94600.0,68200.0,33,002192,20260408
