股票代码,股票简称,最新价,最新涨跌幅,涨停[20260316],feng_dan_jin,ltsz,涨停封板时长[20260316],p_open,p_close,p_high,p_low,p_low,zt_first_time,最终涨停时间[20260316],涨停明细数据[20260316],连续涨停天数[20260316],涨停原因类别[20260316],feng_dan_liang,feng_dan_liang,feng_dan_liang,涨停开板次数[20260316],几天几板[20260316],涨停类型[20260316],总市值[20260316],所属同花顺行业,market_code,code,fenglu_ratio,date
603986.SH,兆易创新,312.99,1.327333354915997,涨停,747202461.9200001,204467359681.76,1.5499631538,280,306.16,306.16,277,24/5521, 13:25:45, 13:36:15,"[{""code"":""603986.SH"",""time"":1773638745578,""openTime"":1773639300582,""duration"":555004,""updatedTime"":1773639300582,""firstVol"":9552831.0,""highestVol"":1.0777871E7,""firstVolDivLTGB"":0.014303968826672848,""firstVolDivVol"":0.2614153193127083,""highestVolDivLTGB"":0.016138287257662292,""highestVolDivVol"":0.291051561516528},{""code"":""603986.SH"",""time"":1773639375583,""openTime"":null,""duration"":5024417,""updatedTime"":1773644400000,""firstVol"":9192778.0,""highestVol"":9920027.0,""firstVolDivLTGB"":0.013764842060172946,""firstVolDivVol"":0.22412234952403876,""highestVolDivLTGB"":0.014853791192134874,""highestVolDivVol"":0.23954974911940954}]",1,存储芯片涨价+车规MCU+人形机器人,2440562,5.274203646816571,0.3654385047486169,1,首板涨停,放量涨停,217112093697.0,电子-半导体-数字芯片设计,17,603986,0.3654385047486169,20260316
603929.SH,亚翔集成,188.3,-2.120802578230577,涨停,181178553.43,33051597600.0,3.524845854,153.21,154.91,154.91,145.2,100/5521, 09:49:15, 10:15:15,"[{""code"":""603929.SH"",""time"":1773625755424,""openTime"":1773626760466,""duration"":1005042,""updatedTime"":1773626760466,""firstVol"":410900.0,""highestVol"":1547500.0,""firstVolDivLTGB"":0.0019258530183727035,""firstVolDivVol"":0.06142996520513482,""highestVolDivLTGB"":0.007252999625046869,""highestVolDivVol"":0.22485483604268275},{""code"":""603929.SH"",""time"":1773627315470,""openTime"":null,""duration"":11683388,""updatedTime"":1773644400000,""firstVol"":2652500.0,""highestVol"":2652500.0,""firstVolDivLTGB"":0.01243203974503187,""firstVolDivVol"":0.29641839414427,""highestVolDivLTGB"":0.01243203974503187,""highestVolDivVol"":0.29641839414427}]",2,IC洁净室+东南亚订单+年报增长,1169573,12.620119693204025,0.5481688226471692,1,2天2板,放量涨停,33051597600.0,建筑装饰-建筑装饰-专业工程,17,603929,0.5481688226471692,20260316
603175.SH,超颖电子,96.18,5.8551617873651844,涨停,59007047.1,3880298972.52,0.766951629,79.65,88.19,88.19,77.07,326/5521, 14:13:59, 14:13:59,"[{""code"":""603175.SH"",""time"":1773641639195,""openTime"":null,""duration"":2760805,""updatedTime"":1773644400000,""firstVol"":1891706.0,""highestVol"":1955606.0,""firstVolDivLTGB"":0.042993994360093116,""firstVolDivVol"":0.24840103094570412,""highestVolDivLTGB"":0.044446289928014325,""highestVolDivVol"":0.2544065694870203}]",1,PCB+AI算力扩产+存储芯片+特斯拉,669090,8.057395621990624,1.5206830071054753,0,首板涨停,放量涨停,38541615818.99,电子-元件-印制电路板,17,603175,1.5206830071054755,20260316
603052.SH,可川科技,81.44,-5.533000811970765,涨停,107101973.88,12049852694.66,1.0457522646000001,58.99,64.13,64.13,57.3,548/5521, 13:57:15, 13:57:15,"[{""code"":""603052.SH"",""time"":1773640635593,""openTime"":null,""duration"":3764407,""updatedTime"":1773644400000,""firstVol"":4641500.0,""highestVol"":4641500.0,""firstVolDivLTGB"":0.0247023264551533,""firstVolDivVol"":0.5052620074430215,""highestVolDivLTGB"":0.0247023264551533,""highestVolDivVol"":0.5052620074430215}]",1,硅光芯片+光模块+消费电子,1670076,16.848441645555788,0.8888239266813875,0,首板涨停,放量涨停,12049852694.66,电子-消费电子-消费电子零部件及组装,17,603052,0.8888239266813875,20260316
300042.SZ,朗科科技,52.27,1.6926070038910594,涨停,43231353.6,9137398680.0,3.1581379086,38.01,45.6,45.6,38.01,1078/5521, 10:17:15, 10:29:30,"[{""code"":""300042.SZ"",""time"":1773627435471,""openTime"":1773627465471,""duration"":30000,""updatedTime"":1773627465471,""firstVol"":1052500.0,""highestVol"":4739200.0,""firstVolDivLTGB"":0.005252479582077292,""firstVolDivVol"":0.039437040647467406,""highestVolDivLTGB"":0.02365088003361587,""highestVolDivVol"":0.17102139961557716},{""code"":""300042.SZ"",""time"":1773627645471,""openTime"":1773628155473,""duration"":510002,""updatedTime"":1773628155473,""firstVol"":1.37038E7,""highestVol"":1.46884E7,""firstVolDivLTGB"":0.06838853177849957,""firstVolDivVol"":0.4454362820167689,""highestVolDivLTGB"":0.07330215780844095,""highestVolDivVol"":0.4747567083577983},{""code"":""300042.SZ"",""time"":1773628170473,""openTime"":null,""duration"":10828385,""updatedTime"":1773644400000,""firstVol"":8702400.0,""highestVol"":9430900.0,""firstVolDivLTGB"":0.04342914804282131,""firstVolDivVol"":0.25502661699649365,""highestVolDivLTGB"":0.047064712295118986,""highestVolDivVol"":0.2758807544791168}]",1,存储芯片+算力租赁+韶关国资,948056,2.625076757500679,0.47312539502763606,2,首板涨停,放量涨停,9138240000.0,计算机-计算机设备-其他计算机设备,33,300042,0.47312539502763606,20260316
002980.SZ,华盛昌,79.94,-1.7332513829133334,涨停,109725804.0,3914744250.6,1.7041429872,35.5,38.65,38.65,35.29,1206/5521, 13:17:45, 13:17:45,"[{""code"":""002980.SZ"",""time"":1773638265576,""openTime"":null,""duration"":6134424,""updatedTime"":1773644400000,""firstVol"":1.176994E7,""highestVol"":1.222184E7,""firstVolDivLTGB"":0.11608587139568792,""firstVolDivVol"":0.8786369934187738,""highestVolDivLTGB"":0.12054292090347737,""highestVolDivVol"":0.9054301330974531}]",1,拟收购伽蓝特+光通信测试+AI眼镜+仪器仪表,2838960,20.283994209799044,2.800040998148692,0,首板涨停,缩量涨停,7320354834.0,电力设备-电网设备-电气自控设备,33,002980,2.8028856286890944,20260316
002831.SZ,裕同科技,37.84,-2.0196789228378926,涨停,18511709.880000003,19427581568.16,0.0788893662,34.56,38.02,38.02,33.56,1294/5521, 14:55:16, 14:55:16,"[{""code"":""002831.SZ"",""time"":1773644116021,""openTime"":null,""duration"":283979,""updatedTime"":1773644400000,""firstVol"":4995194.0,""highestVol"":4995194.0,""firstVolDivLTGB"":0.009775460445004457,""firstVolDivVol"":0.13711491933275746,""highestVolDivLTGB"":0.009775460445004457,""highestVolDivVol"":0.13711491933275746}]",1,机器人+环保包装+全球布局,486894,1.3005442560310378,0.09528384759250591,0,首板涨停,放量涨停,34997923270.0,轻工制造-包装印刷-包装,33,002831,0.09528571435952159,20260316
300606.SZ,金太阳,37.72,-2.0768431983385365,涨停,153805888.63,4792881814.78,1.5291281538000001,34.12,40.73,40.73,33.5,1299/5521, 13:28:15, 13:28:15,"[{""code"":""300606.SZ"",""time"":1773638895579,""openTime"":null,""duration"":5504421,""updatedTime"":1773644400000,""firstVol"":2.3337331E7,""highestVol"":2.3337331E7,""firstVolDivLTGB"":0.19832107870859958,""firstVolDivVol"":1.1923092977195013,""highestVolDivLTGB"":0.19832107870859958,""highestVolDivVol"":1.1923092977195013}]",1,芯片抛光液+航空航天+参股中科声龙,3776231,16.018545592308243,3.209048221379102,0,首板涨停,放量涨停,5634906952.98,机械设备-通用设备-磨具磨料,33,300606,3.209048221379102,20260316
002636.SZ,金安国纪,44.9,-0.970445522717258,涨停,149885368.8,23149120727.32,2.5622527416,29.2,31.96,31.96,28.16,1619/5521, 10:56:15, 10:56:15,"[{""code"":""002636.SZ"",""time"":1773629775486,""openTime"":null,""duration"":9223372,""updatedTime"":1773644400000,""firstVol"":2.87488E7,""highestVol"":3.16428E7,""firstVolDivLTGB"":0.03969099555974245,""firstVolDivVol"":0.6362078640477473,""highestVolDivLTGB"":0.04368649245526138,""highestVolDivVol"":0.6966887556612786}]",1,高频高速CCL+覆铜板扩产+业绩预增,4689780,9.419221137675565,0.6474775891730054,0,首板涨停,放量涨停,23266880000.0,电子-元件-印制电路板,33,002636,0.6474775891730054,20260316
603248.SH,锡华科技,25.61,-1.5378700499807847,涨停,54907664.46,2149962636.36,0.2164767612,28.88,31.02,31.02,27.7,1652/5521, 14:46:30, 14:47:30,"[{""code"":""603248.SH"",""time"":1773643590746,""openTime"":1773643620746,""duration"":30000,""updatedTime"":1773643620746,""firstVol"":96200.0,""highestVol"":96200.0,""firstVolDivLTGB"":0.0013879887722385163,""firstVolDivVol"":0.0024639608585730523,""highestVolDivLTGB"":0.0013879887722385163,""highestVolDivVol"":0.0024639608585730523},{""code"":""603248.SH"",""time"":1773643650746,""openTime"":null,""duration"":749254,""updatedTime"":1773644400000,""firstVol"":93574.0,""highestVol"":2503074.0,""firstVolDivLTGB"":0.0013501004300774109,""firstVolDivVol"":0.002367154957200521,""highestVolDivLTGB"":0.03611474644576041,""highestVolDivVol"":0.06275656283115143}]",2,风电齿轮箱+大兆瓦产品,1770073,4.413436689929339,2.553889241208469,1,2天2板,放量涨停,14269200000.0,电力设备-风电设备-风电零部件,17,603248,2.553889241208469,20260316
