股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260416],p_open,p_close,chg_pct,涨跌幅:前复权排名[20260416],p_high,p_low,竞价匹配价[20260416],竞价异动类型[20260416],竞价异动说明[20260416],集合竞价评级[20260416],竞价量[20260416],竞价金额[20260416],竞价未匹配量[20260416],竞价未匹配金额[20260416],开盘价:前复权[20260416],最高价:前复权[20260416],最低价:前复权[20260416],收盘价:前复权[20260416],振幅[20260416],成交量[20260416],market_code,code,date
002132.SZ,恒星科技,4.83,-0.4123711340206098,1.687,4.22,4.42,6.5060241,217/5521,4.57,4.16,4.22,竞价抢筹,单笔放量10%以上抢筹,看多,2683300,11323526.0,-18600,-78492.0,4.22,4.57,4.16,4.42,9.879518,2.28365892E8,33,002132,20260416
300656.SZ,民德电子,25.29,5.155925155925149,0.396,22.84,24.23,6.50549451,218/5521,24.58,22.41,22.84,,,,25200,575568.0,-200,-4568.0,22.84,24.58,22.41,24.23,9.538461,8462963,33,300656,20260416
920768.BJ,拾比佰,12.5,1.050929668552957,6.661,12.01,11.99,6.48312611,219/5521,12.6,11.75,12.01,,,,134937,1620593.4,4145,49781.45,12.01,12.6,11.75,11.99,7.548845,5520365,151,920768,20260416
002663.SZ,普邦股份,2.21,4.739336492891,1.852,2.2,2.3,6.48148148,220/5521,2.38,2.18,2.2,竞价抢筹,单笔放量10%以上抢筹,看多,994500,2187900.0,-5086,-11189.2,2.2,2.38,2.18,2.3,9.259259,1.38288681E8,33,002663,20260416
002633.SZ,申科股份,19.73,3.6784025223331542,1.126,17.96,18.91,6.47522523,221/5521,19.23,17.71,17.96,,,,69500,1248220.0,-1600,-28736.0,17.96,19.23,17.71,18.91,8.558558,5797200,33,002633,20260416
605069.SH,正和生态,14.19,-1.9350380096751978,0.483,12.48,13.22,6.44122383,222/5521,13.37,12.32,12.48,,,,1700,21216.0,0,0.0,12.48,13.37,12.32,13.22,8.454106,7315750,17,605069,20260416
002368.SZ,太极股份,17.24,-10.020876826722347,0.101,19.76,21.01,6.43363728,223/5521,21.05,19.76,19.76,,,,3300,65208.0,-4700,-92872.0,19.76,21.05,19.76,21.01,6.534954,1.7984542E7,33,002368,20260416
300840.SZ,酷特智能,21.3,4.874446085672093,4.266,19.31,19.71,6.42548596,224/5521,20.28,19.31,19.31,竞价抢筹,单笔放量10%以上抢筹,看多,232400,4487644.0,27300,527163.0,19.31,20.28,19.31,19.71,5.23758,1.8803995E7,33,300840,20260416
600673.SH,东阳光,35.4,6.819553409776699,0.09,33.43,35.54,6.40718563,225/5521,36.6,33.43,33.43,,,,388903,13001027.3,29097,972712.71,33.43,36.6,33.43,35.54,9.491017,9.0967596E7,17,600673,20260416
688611.SH,杭州柯林,63.06,0.6383657835940084,2.293,56.2,58.41,6.31598107,229/5521,58.68,54.69,56.2,,,,11173,627922.6,-276,-15511.2,56.2,58.68,54.69,58.41,7.262468,1976893,17,688611,20260416
