股票代码,股票简称,最新价,chg_pct,分时买二量[20260429 09:15],{(}分时买二量[20260429 09:15]{*}100.0{)},自由流通股[20260429],yedan_pct,分时买一量[20260430 09:25],{(}分时买一量[20260430 09:25]{*}100.0{)},自由流通股[20260430],open_seal_pct,分时涨跌幅:前复权[20260430 09:25],涨停次数[20260428-20260430],涨停次数排名[20260428-20260430],区间成交额[20260428-20260430],区间振幅[20260428-20260430],分时买三量[20260429 09:15],分时买四量[20260429 09:15],分时买五量[20260429 09:15],分时成交量[20260430 09:25],分时成交额[20260430 09:25],分时换手率[20260430 09:25],分时收盘价:不复权[20260430 09:25],分时买三量[20260430 09:25],分时买四量[20260430 09:25],分时买五量[20260430 09:25],market_code,code,date
000609.SZ,*ST中迪,14.42,5.0254916241806225,45722800,4572280000,219913472,20.791268303926373,20979400,2097940000.0,219913472,9.539843016074977,5.0254916241806225,3,1/248,88377793.1,10.75441412520064,0.0,0.0,0.0,684900,9876258.0,0.23531370377956481,14.42,1300.0,1100.0,83800.0,33,000609,20260429
002081.SZ,金螳螂,5.9,10.074626865671641,1300.0,130000,1338068052,9.71549988101801e-05,66100.0,6610000.0,1338068052,0.004939958016425311,-3.5447761194029925,3,1/248,7071170170.0,33.86004514672686,0.0,0.0,0.0,12689900,65606783.0,0.4799066596050272,5.17,14500.0,83200.0,42700.0,33,002081,20260429
002289.SZ,*ST宇顺,36.56,4.997128087306152,738500.0,73850000,162360630,0.45485164722506927,740900.0,74090000.0,162360630,0.4563298380894432,4.997128087306146,3,1/248,174172308.3,13.141228625712495,0.0,0.0,0.0,31100,1137016.0,0.01133252934078389,36.56,5000.0,100.0,3200.0,33,002289,20260429
600379.SH,宝光股份,16.78,10.032786885245908,5542933.0,554293300,184284480,3.0078132461290283,100.0,10000.0,184284480,5.426392933360422e-05,8.196721311475418,3,1/248,2043104639.0,35.555555555555564,0.0,0.0,0.0,4662400,76929600.0,1.4119860437729483,16.5,280700.0,62300.0,800.0,17,600379,20260429
600381.SH,*ST春天,3.59,4.970760233918127,4013900.0,401390000,341682758,1.1747446735371996,36019400,3601940000.0,341682758,10.54176693340786,4.970760233918137,3,1/248,55565017.0,18.38709677419354,0.0,0.0,0.0,140600,504754.0,0.023949821573914443,3.59,23500.0,56000.0,3500.0,22,600381,20260429
603095.SH,越剑智能,25.37,10.017346053772776,1276560.0,127656000,79177144,1.6122834640259316,2786176.0,278617600.0,79177144,3.518914498860934,10.01734605377278,3,1/248,779744264.0,33.175853018372706,0.0,0.0,0.0,1271024,32245879.0,0.4921314659277994,25.37,400.0,400.0,400.0,17,603095,20260429
603843.SH,*ST正平,8.97,5.0351288056206265,580280.0,58028000,498171582,0.11648195540788595,19899100,1989910000.0,498171582,3.994426964322505,5.035128805620626,3,1/248,304259648.0,17.958656330749363,0.0,0.0,0.0,376500,3377205.0,0.05381467911421015,8.97,28100.0,29200.0,1200.0,22,603843,20260429
000838.SZ,*ST发展,1.95,4.838709677419347,16499300,1649930000,701541376,2.351864132957427,1059400.0,105940000.0,701541376,0.1510103375570538,3.2258064516129004,2,9/248,339175650.0,8.333333333333329,0.0,0.0,0.0,3013800,5786496.0,0.28600281416406304,1.92,14200.0,231000.0,254000.0,33,000838,20260429
001266.SZ,宏英智能,40.59,2.7074898785425106,64030400,6403040000,36043042,177.64982212100745,6100.0,610000.0,36043042,0.016924209671314645,6.022267206477716,2,9/248,851171105.2,23.02510716472751,0.0,0.0,0.0,733900,30750410.0,1.262330426057417,41.9,200.0,100.0,400.0,33,001266,20260429
002210.SZ,飞马国际,2.98,-9.969788519637465,10206800,1020680000,1859594992,0.5488722030286044,112200.0,11220000.0,1859594992,0.006033571852079929,1.5105740181268867,2,9/248,2404508812.0,20.437956204379564,0.0,0.0,0.0,21728700,73008432.0,0.8183242232298049,3.36,53000.0,57400.0,1253700.0,33,002210,20260429
002652.SZ,扬子新材,5.93,-4.045307443365696,415820.0,41582000,358464000,0.1160004909837529,6700.0,670000.0,358464000,0.001869085877521871,3.721682847896446,2,9/248,1246104597.0,28.96281800391388,0.0,0.0,0.0,3094900,19838309.0,0.6043971066116736,6.41,1600.0,23800.0,27700.0,33,002652,20260429
600156.SH,华升股份,10.8,-3.3124440465532605,3956500.0,395650000,240006390,1.6484977754133963,100.0,10000.0,240006390,4.166555732120299e-05,5.819158460161145,2,9/248,1919868203.0,33.477789815817985,0.0,0.0,0.0,2472200,29221404.0,0.614805820313631,11.82,800.0,400.0,400.0,17,600156,20260429
