股票代码,股票简称,最新价,最新涨跌幅,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260415],p_high,p_low,p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260415],最高价:前复权[20260415],最低价:前复权[20260415],收盘价:前复权[20260415],振幅[20260415],成交量[20260415],market_code,code,date
688805.SH,健信超导,51.98,-3.221001675665619,52.82,52.82,56.92,20.00843348,2/5521,53.99,51.7,56.92,49.09,52.82,52.82,52.82,0,49.09,56.92,49.09,56.92,16.508538,9423112,17,688805,20260415
301189.SZ,奥尼电子,81.3,0.2713369511593474,81.21,81.21,86.39,20.00277816,3/5521,86.36,78.81,86.39,83,81.21,81.21,81.21,0,84.59,86.39,83,86.39,4.708987,1.3308207E7,33,301189,20260415
688166.SH,博瑞医药,63.1,6.768189509306261,59.4,59.4,57.66,20,4/5521,65.5,59.4,57.66,47.31,59.4,59.4,59.4,0,48.6,57.66,47.31,57.66,21.540062,2.8486908E7,17,688166,20260415
301408.SZ,华人健康,21.37,1.8103858980467011,20.71,20.71,20.78,19.97690531,5/5521,21.59,20.46,20.78,17.63,20.71,20.71,20.71,0,17.63,20.78,17.63,20.78,18.187066,6.5099846E7,33,301408,20260415
300097.SZ,智云股份,10.73,-2.2768670309653913,11.08,11.08,9.83,17.4432497,6/5521,11.15,10.69,10.04,8.33,11.08,11.08,11.08,0,8.36,10.04,8.33,9.83,20.430107,5.583986E7,33,300097,20260415
301017.SZ,漱玉平民,13.11,-2.4553571428571437,13.43,13.43,16.28,15.78947368,7/5521,13.5,13.05,16.78,14.26,13.43,13.43,13.43,0,14.3,16.78,14.26,16.28,17.923186,3.7582961E7,33,301017,20260415
301248.SZ,杰创智能,85.2,0.023479690068086426,85.68,85.68,57.75,14.51516954,8/5521,91.57,85.2,58,50.35,85.68,85.68,85.68,0,51.01,58,50.35,57.75,15.169541,1.6499396E7,33,301248,20260415
688253.SH,英诺特,52.05,7.853294653957727,49.3,49.3,43.1,14.11172889,9/5521,52.21,48.62,43.59,38.52,49.3,49.3,49.3,0,38.53,43.59,38.52,43.1,13.423351,6254771,17,688253,20260415
300051.SZ,琏升科技,16.45,0.4273504273504291,16.22,16.22,16.05,13.26746648,10/5521,16.7,15.98,16.5,13.97,16.22,16.22,16.22,0,13.97,16.5,13.97,16.05,17.854622,6.3723845E7,33,300051,20260415
688603.SH,天承科技,93.22,-0.9141156462585028,94.65,94.65,98.56,13.11832893,11/5521,95.85,92.51,100.8,86.93,94.65,94.65,94.65,0,87.97,100.8,86.93,98.56,15.918742,1.0496057E7,17,688603,20260415
