股票代码,股票简称,最新价,最新涨跌幅,涨停[20260320],feng_dan_jin,ltsz,涨停封板时长[20260320],p_open,p_close,p_high,p_low,p_low,zt_first_time,最终涨停时间[20260320],涨停明细数据[20260320],连续涨停天数[20260320],涨停原因类别[20260320],feng_dan_liang,feng_dan_liang,feng_dan_liang,涨停开板次数[20260320],几天几板[20260320],涨停类型[20260320],总市值[20260320],所属同花顺行业,market_code,code,fenglu_ratio,date
603026.SH,石大胜华,114.92,-3.6310272536687616,涨停,48464423.39,17547983465.74,3.628472199,69.03,75.41,75.41,69.03,371/5521, 09:38:15, 10:16:01,"[{""code"":""603026.SH"",""time"":1773970695848,""openTime"":1773971566144,""duration"":870296,""updatedTime"":1773971566144,""firstVol"":1.1724546E7,""highestVol"":1.1724546E7,""firstVolDivLTGB"":0.05038459351105363,""firstVolDivVol"":2.4388071784622833,""highestVolDivLTGB"":0.05038459351105363,""highestVolDivVol"":2.4388071784622833},{""code"":""603026.SH"",""time"":1773972376147,""openTime"":1773972931249,""duration"":555102,""updatedTime"":1773972931249,""firstVol"":7933309.0,""highestVol"":9551109.0,""firstVolDivLTGB"":0.03409228375773214,""firstVolDivVol"":0.5979709727417111,""highestVolDivLTGB"":0.041044552560480035,""highestVolDivVol"":0.7149971848851125},{""code"":""603026.SH"",""time"":1773972961249,""openTime"":null,""duration"":11636057,""updatedTime"":1773990000000,""firstVol"":6790811.0,""highestVol"":6840011.0,""firstVolDivLTGB"":0.02918255869740215,""firstVolDivVol"":0.41984442386758636,""highestVolDivLTGB"":0.029393988803160093,""highestVolDivVol"":0.42133889581913603}]",1,H股上市+宁德时代+电解液,642679,3.4127546460408547,0.27618229459025906,2,首板涨停,放量涨停,17547983465.74,电力设备-电池-电池化学品,17,603026,0.27618229459025906,20260320
001283.SZ,豪鹏科技,74.88,1.766784452296816,涨停,8143029.18,5359239169.57,1.1237707278,61.51,67.21,67.21,61.18,461/5521, 13:00:16, 14:55:34,"[{""code"":""001283.SZ"",""time"":1773982816347,""openTime"":1773983161349,""duration"":345002,""updatedTime"":1773983161349,""firstVol"":1367862.0,""highestVol"":2811300.0,""firstVolDivLTGB"":0.017153441109863363,""firstVolDivVol"":0.34911743244164134,""highestVolDivLTGB"":0.03525463021281304,""highestVolDivVol"":0.704346917602209},{""code"":""001283.SZ"",""time"":1773983191349,""openTime"":1773983341349,""duration"":150000,""updatedTime"":1773983341349,""firstVol"":4905794.0,""highestVol"":4905794.0,""firstVolDivLTGB"":0.06152027651628675,""firstVolDivVol"":0.9150103246072947,""highestVolDivLTGB"":0.06152027651628675,""highestVolDivVol"":0.9150103246072947},{""code"":""001283.SZ"",""time"":1773983971354,""openTime"":1773987001374,""duration"":3030020,""updatedTime"":1773987001374,""firstVol"":5094694.0,""highestVol"":5094694.0,""firstVolDivLTGB"":0.06388914488579565,""firstVolDivVol"":0.7650028394646851,""highestVolDivLTGB"":0.06388914488579565,""highestVolDivVol"":0.7650028394646851},{""code"":""001283.SZ"",""time"":1773987016374,""openTime"":1773987031374,""duration"":15000,""updatedTime"":1773987031374,""firstVol"":292300.0,""highestVol"":292300.0,""firstVolDivLTGB"":0.0036655385093036143,""firstVolDivVol"":0.03535188184368228,""highestVolDivLTGB"":0.0036655385093036143,""highestVolDivVol"":0.03535188184368228},{""code"":""001283.SZ"",""time"":1773988381391,""openTime"":1773988621391,""duration"":240000,""updatedTime"":1773988621391,""firstVol"":754600.0,""highestVol"":754600.0,""firstVolDivLTGB"":0.009462933147863522,""firstVolDivVol"":0.08303256128602979,""highestVolDivLTGB"":0.009462933147863522,""highestVolDivVol"":0.08303256128602979},{""code"":""001283.SZ"",""time"":1773989734771,""openTime"":null,""duration"":265229,""updatedTime"":1773990000000,""firstVol"":41900.0,""highestVol"":121158.0,""firstVolDivLTGB"":5.254398342108158E-4,""firstVolDivVol"":0.003942304607293301,""highestVolDivLTGB"":0.001519361322990788,""highestVolDivVol"":0.01115179121469918}]",1,储能+机器人+AI端侧+预增,121158,1.115179121469918,0.15193613229907882,5,首板涨停,放量涨停,6717173533.07,电力设备-电池-锂电池,33,001283,0.15194375399844973,20260320
301658.SZ,首航新能,42.09,3.1870556508948376,涨停,177858390.25,2488659829.9,2.2157364114,46.82,60.35,60.35,46.82,738/5521, 11:17:01, 11:17:01,"[{""code"":""301658.SZ"",""time"":1773976621293,""openTime"":null,""duration"":7976013,""updatedTime"":1773990000000,""firstVol"":1.5326487E7,""highestVol"":1.5385687E7,""firstVolDivLTGB"":0.37166730436082407,""firstVolDivVol"":0.7139613533996403,""highestVolDivLTGB"":0.37310290434000787,""highestVolDivVol"":0.713359464723782}]",1,储能+光伏逆变器+全球化布局,2947115,12.750069198981661,7.146753771372071,0,首板涨停,放量涨停,24886597997.25,电力设备-光伏设备-逆变器,33,301658,7.146753771372071,20260320
002428.SZ,云南锗业,70.01,1.1412886449003268,涨停,580549501.54,28380928262.5,3.9951854226,43.45,43.46,43.46,43.45,823/5521, 09:30:15, 09:30:15,"[{""code"":""002428.SZ"",""time"":1773970215789,""openTime"":null,""duration"":14381517,""updatedTime"":1773990000000,""firstVol"":5.3518666E7,""highestVol"":5.6470666E7,""firstVolDivLTGB"":0.08195366983233113,""firstVolDivVol"":5.141556871868767,""highestVolDivLTGB"":0.08647409702954567,""highestVolDivVol"":5.055230992327365}]",1,光纤级锗产品+商业航天+锗晶片+磷化铟,13358249,69.06433529504858,2.0455620625597573,0,首板涨停,缩量涨停,28384595200.0,有色金属-小金属-其他小金属,33,002428,2.045562062559757,20260320
605099.SH,共创草坪,48.42,9.995456610631528,涨停,28382701.0,17049384184.38,2.9366360232,39.3,42.47,42.47,39,977/5521, 10:33:31, 14:16:46,"[{""code"":""605099.SH"",""time"":1773974011262,""openTime"":1773987391374,""duration"":7977418,""updatedTime"":1773987391374,""firstVol"":5988000.0,""highestVol"":5988000.0,""firstVolDivLTGB"":0.014916102379403799,""firstVolDivVol"":1.3353832402713048,""highestVolDivLTGB"":0.014916102379403799,""highestVolDivVol"":1.3353832402713048},{""code"":""605099.SH"",""time"":1773987406374,""openTime"":null,""duration"":2593626,""updatedTime"":1773990000000,""firstVol"":2257000.0,""highestVol"":2257000.0,""firstVolDivLTGB"":0.005622184881482026,""firstVolDivVol"":0.3418323942913233,""highestVolDivLTGB"":0.005622184881482026,""highestVolDivVol"":0.3418323942913233}]",1,足球概念+运动草,668300,9.719100118656499,0.1664734672704669,1,首板涨停,放量涨停,17095523592.38,轻工制造-家居用品-其他家居用品,17,605099,0.1664734672704669,20260320
300827.SZ,上能电气,37.83,0.6920415224913442,涨停,61171296.4,17309032823.99,2.5449363564,37,44.93,44.93,36.6,1067/5521, 10:24:16, 14:43:47,"[{""code"":""300827.SZ"",""time"":1773973456259,""openTime"":1773973501260,""duration"":45001,""updatedTime"":1773973501260,""firstVol"":3.63007E7,""highestVol"":3.63007E7,""firstVolDivLTGB"":0.09422770570632215,""firstVolDivVol"":0.49335486239884707,""highestVolDivLTGB"":0.09422770570632215,""highestVolDivVol"":0.49335486239884707},{""code"":""300827.SZ"",""time"":1773975166268,""openTime"":1773975586273,""duration"":420005,""updatedTime"":1773975586273,""firstVol"":3.0338081E7,""highestVol"":3.3365641E7,""firstVolDivLTGB"":0.0787502105513823,""firstVolDivVol"":0.32135028746569655,""highestVolDivLTGB"":0.0866090130727726,""highestVolDivVol"":0.3523832021304511},{""code"":""300827.SZ"",""time"":1773975856274,""openTime"":1773988967046,""duration"":7708078,""updatedTime"":1773988967046,""firstVol"":1.4849401E7,""highestVol"":2.242194E7,""firstVolDivLTGB"":0.03854539960229874,""firstVolDivVol"":0.14125880465497453,""highestVolDivLTGB"":0.058201851856432875,""highestVolDivVol"":0.21047564158468737},{""code"":""300827.SZ"",""time"":1773988997046,""openTime"":1773989012046,""duration"":15000,""updatedTime"":1773989012046,""firstVol"":4068696.0,""highestVol"":4068696.0,""firstVolDivLTGB"":0.01056133598791456,""firstVolDivVol"":0.032325477703013666,""highestVolDivLTGB"":0.01056133598791456,""highestVolDivVol"":0.032325477703013666},{""code"":""300827.SZ"",""time"":1773989027046,""openTime"":null,""duration"":972954,""updatedTime"":1773990000000,""firstVol"":73200.0,""highestVol"":6037036.0,""firstVolDivLTGB"":1.9000923006175588E-4,""firstVolDivVol"":5.74775171823227E-4,""highestVolDivLTGB"":0.015670663418239104,""highestVolDivVol"":0.0470964189397841}]",1,光伏设备+储能PCS龙头+一带一路+定增落地,1361480,1.0146370115745886,0.35340678489682975,4,首板涨停,放量涨停,25012152644.47,电力设备-光伏设备-逆变器,33,300827,0.35340678489682975,20260320
603813.SH,*ST原尚,37.0,1.36986301369863,涨停,7309967.999999999,3377282400.0,3.9910184226000003,32.1,32.16,32.16,32.09,1294/5521, 09:30:30, 09:30:30,"[{""code"":""603813.SH"",""time"":1773970230789,""openTime"":null,""duration"":14366517,""updatedTime"":1773990000000,""firstVol"":21700.0,""highestVol"":287500.0,""firstVolDivLTGB"":2.066371470742275E-4,""firstVolDivVol"":0.11851447296559257,""highestVolDivLTGB"":0.002737704137504166,""highestVolDivVol"":1.3949539058709364}]",2,超跌反弹+氢能物流+电商物流,227300,84.94020926756353,0.21644526972337286,0,2天2板,缩量涨停,3377282400.0,交通运输-物流-物流Ⅲ,22,603813,0.2164452697233728,20260320
002150.SZ,正泰电源,29.06,1.3956734124214885,涨停,169052582.08,12506048832.64,3.8743260324000004,32.31,34.88,34.88,31.9,1304/5521, 09:37:30, 09:37:30,"[{""code"":""002150.SZ"",""time"":1773970650848,""openTime"":null,""duration"":13946458,""updatedTime"":1773990000000,""firstVol"":2.71893E7,""highestVol"":2.9518609E7,""firstVolDivLTGB"":0.07583232695564349,""firstVolDivVol"":2.342360829687461,""highestVolDivLTGB"":0.08232888706085852,""highestVolDivVol"":2.263586086540698}]",1,光伏设备+储能一体机+外销,4846691,16.15376982933339,1.35176652788036,0,首板涨停,放量涨停,12587103848.64,电力设备-光伏设备-逆变器,33,002150,1.35176652788036,20260320
603538.SH,美诺华,62.46,-4.349157733537514,涨停,69904736.64,6018893410.56,3.9535154226,26.88,27.84,27.84,26.01,1686/5521, 09:32:00, 13:37:46,"[{""code"":""603538.SH"",""time"":1773970320789,""openTime"":1773985021361,""duration"":9297878,""updatedTime"":1773985021361,""firstVol"":7006923.0,""highestVol"":1.5980382E7,""firstVolDivLTGB"":0.03241006660422823,""firstVolDivVol"":0.6930028786589757,""highestVolDivLTGB"":0.07391621757239375,""highestVolDivVol"":1.431071253018006},{""code"":""603538.SH"",""time"":1773985066361,""openTime"":null,""duration"":4933639,""updatedTime"":1773990000000,""firstVol"":6274702.0,""highestVol"":6274702.0,""firstVolDivLTGB"":0.02902322599259105,""firstVolDivVol"":0.23086696225173495,""highestVolDivLTGB"":0.02902322599259105,""highestVolDivVol"":0.23086696225173495}]",1,减肥药+特色原料药+集采中选+业绩预增,2510946,8.167558845014034,1.161421741035551,1,首板涨停,放量涨停,6137332565.76,医药生物-化学制药-原料药,17,603538,1.1614217410355507,20260320
603381.SH,永臻股份,24.14,1.3434089000839642,涨停,12212910.5,4011125498.92,1.9872848034000001,25.62,28.22,28.22,25.62,1725/5521, 13:00:31, 14:27:01,"[{""code"":""603381.SH"",""time"":1773982831347,""openTime"":1773988006388,""duration"":5175041,""updatedTime"":1773988006388,""firstVol"":5597900.0,""highestVol"":6903900.0,""firstVolDivLTGB"":0.0393836438282807,""firstVolDivVol"":0.33392139464481446,""highestVolDivLTGB"":0.04857191779525664,""highestVolDivVol"":0.41109753138430344},{""code"":""603381.SH"",""time"":1773988021388,""openTime"":null,""duration"":1978612,""updatedTime"":1773990000000,""firstVol"":3129800.0,""highestVol"":3129800.0,""firstVolDivLTGB"":0.022019494534334827,""firstVolDivVol"":0.14113333158671554,""highestVolDivLTGB"":0.022019494534334827,""highestVolDivVol"":0.14113333158671554}]",1,越南满产+人形机器人+光伏边框+储能,432775,1.878769966665535,0.30447590092327803,1,首板涨停,放量涨停,6695373519.72,电力设备-光伏设备-光伏辅材,17,603381,0.30447590092327803,20260320
