股票代码,股票简称,最新价,最新涨跌幅,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260410],p_high,p_low,p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260410],最高价:前复权[20260410],最低价:前复权[20260410],收盘价:前复权[20260410],振幅[20260410],成交量[20260410],market_code,code,date
000889.SZ,中嘉博创,4.42,-8.108108108108103,4.69,4.69,4.35,10.12658228,27/5521,4.75,4.37,4.35,4.1,4.69,4.69,4.69,0,4.35,4.35,4.1,4.35,6.329113,1.79046885E8,33,000889,20260410
002263.SZ,大东南,4.03,-3.818615751789979,4.18,4.18,4.9,10.11235955,28/5521,4.22,4.01,4.9,4.31,4.18,4.18,4.18,0,4.31,4.9,4.31,4.9,13.258426,4.21227762E8,33,002263,20260410
603889.SH,新澳股份,8.71,-0.7972665148063612,8.78,8.78,8.75,10.06289308,29/5521,8.89,8.63,8.75,8.39,8.78,8.78,8.78,0,8.74,8.75,8.39,8.75,4.528301,2.8845277E7,17,603889,20260410
002418.SZ,康盛股份,5.64,-3.754266211604106,5.87,5.87,5.69,10.05802708,30/5521,5.89,5.57,5.69,5.11,5.87,5.87,5.87,0,5.16,5.69,5.11,5.69,11.218568,1.43715123E8,33,002418,20260410
600983.SH,惠而浦,9.4,-0.8438818565400851,9.47,9.47,11.17,10.04926108,31/5521,9.51,9.37,11.17,10.68,9.47,9.47,9.47,0,10.68,11.17,10.68,11.17,4.827586,8213994,17,600983,20260410
600707.SH,彩虹股份,8.09,-8.068181818181827,8.28,8.28,7.02,10.03134796,32/5521,8.45,8.01,7.02,6.88,8.28,8.28,8.28,0,7.02,7.02,6.88,7.02,2.194357,9.2414134E7,17,600707,20260410
002580.SZ,圣阳股份,27.48,-3.9160839160839194,28.5,28.5,18.98,10.02898551,33/5521,29.18,27.01,18.98,16.84,28.5,28.5,28.5,0,17.25,18.98,16.84,18.98,12.405797,1.87990941E8,33,002580,20260410
603093.SH,南华期货,20.95,1.1588604538870035,20.86,20.86,19.31,10.02849003,34/5521,21.09,20.65,19.31,17.7,20.86,20.86,20.86,0,17.71,19.31,17.7,19.31,9.173789,1.08378E7,17,603093,20260410
002363.SZ,隆基机械,8.4,1.3268998793727529,8.28,8.28,8.67,10.02538071,35/5521,8.4,8.25,8.67,7.93,8.28,8.28,8.28,0,8.01,8.67,7.93,8.67,9.390862,2.9107487E7,33,002363,20260410
002962.SZ,五方光电,16.47,-1.0216346153846256,16.79,16.79,16.91,10.01951854,36/5521,17.22,16.43,16.91,16.01,16.79,16.79,16.79,0,16.29,16.91,16.01,16.91,5.855562,3.5830158E7,33,002962,20260410
