股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260401],分时开盘价:不复权[20260401 09:25],p_925,chg_pct,分时涨跌幅:前复权排名[20260401 09:25],分时最高价:不复权[20260401 09:25],分时最低价:不复权[20260401 09:25],分时振幅[20260401 09:25],竞价匹配价[20260401],竞价异动类型[20260401],竞价异动说明[20260401],集合竞价评级[20260401],竞价量[20260401],竞价金额[20260401],竞价未匹配量[20260401],竞价未匹配金额[20260401],分时成交量[20260401 09:25],分时成交额[20260401 09:25],分时换手率[20260401 09:25],market_code,code,date
301683.SZ,慧谷新材,129.28,-0.5920799692426069,63.307,128.0,128.0,63.30696606277112,1/5521,128.0,128.0,0.0,128.0,竞价抢筹,单笔放量10%以上抢筹,看多,300128,38416384.0,31972,4092416.0,300128,38416384.0,2.1038508585308064,33,301683,20260401
300834.SZ,星辉环材,37.05,-1.2789768185451744,19.967,36.23,36.23,19.966887417218537,2/5521,36.23,36.23,0.0,36.23,大幅高开,大幅高开20.00%,看多,2066400,74865672.0,-152960,-5541740.8,2066400,74865672.0,1.0738630094722939,33,300834,20260401
301008.SZ,宏昌科技,31.69,3.2247557003257397,16.671,49.34,49.34,16.670607708678187,3/5521,49.34,49.34,0.0,49.34,竞价抢筹,单笔放量10%以上抢筹,看多,1995200,98443168.0,-15166,-748290.44,1995200,98443168.0,1.7223276069796187,33,301008,20260401
920706.BJ,铁拓机械,22.67,1.1601963409192395,12.453,27.0,27.0,12.45314452311536,4/5521,27.0,27.0,0.0,27.0,,,,317109,8561943.0,-36442,-983934.0,317109,8561943.0,0.74883692702672,151,920706,20260401
002269.SZ,美邦服饰,1.7,6.918238993710684,10.18,1.84,1.84,10.179640718562883,5/5521,1.84,1.84,0.0,1.84,大幅高开,大幅高开10.20%,看多,23285200,42844768.0,156715400,288356340.0,23285200,42844768.0,0.9267741293532338,33,002269,20260401
000008.SZ,神州高铁,2.69,-0.3703703703703789,10.092,3.6,3.6,10.091743119266058,6/5521,3.6,3.6,0.0,3.6,大幅高开,大幅高开10.10%,看多,15435300,55567080.0,158802300,571688280.0,15435300,55567080.0,0.5682478857341073,33,000008,20260401
600249.SH,两面针,5.99,0.335008375209388,10.047,7.01,7.01,10.04709576138147,7/5521,7.01,7.01,0.0,7.01,大幅高开,大幅高开10.10%,看多,587600,4119076.0,249979800,1752358400.0,587600,4119076.0,0.10683636363636363,17,600249,20260401
002051.SZ,中工国际,10.12,0.09891196834816803,10.045,9.86,9.86,10.04464285714284,8/5521,9.86,9.86,0.0,9.86,大幅高开,大幅高开10.00%,看多,3862720,38086419.0,42607980,420114680.0,3862720,38086419.0,0.31217992848107773,33,002051,20260401
000065.SZ,北方国际,12.79,1.1067193675889233,10.034,16.01,16.01,10.03436426116839,9/5521,16.01,16.01,0.0,16.01,大幅高开,大幅高开10.00%,看多,3351345,53655033.0,39134655,626545830.0,3351345,53655033.0,0.3437409878565477,33,000065,20260401
001309.SZ,德明利,524.81,0.3595127454917476,10.0,417.67,417.67,10.000000000000007,10/5521,417.67,417.67,0.0,417.67,大幅高开,大幅高开10.00%,看多,862483,360233270.0,2561617,1069910570.0,862483,360233270.0,0.5361168563596342,33,001309,20260401
600184.SH,光电股份,21.87,-2.9294274300932095,9.995,20.25,20.25,9.994568169473112,11/5521,20.25,20.25,0.0,20.25,大幅高开,大幅高开10.00%,看多,3778600,76516650.0,32540400,658943100.0,3778600,76516650.0,0.6484334800569244,17,600184,20260401
600488.SH,津药药业,5.7,-2.730375426621163,9.924,5.76,5.76,9.923664122137396,12/5521,5.76,5.76,0.0,5.76,大幅高开,大幅高开9.90%,看多,12184000,70179840.0,-2807668,-16172168.0,12184000,70179840.0,1.1158667124687334,17,600488,20260401
002902.SZ,铭普光磁,30.39,-1.9361084220716291,9.901,28.75,28.75,9.900611620795107,13/5521,28.75,28.75,0.0,28.75,竞价抢筹,单笔放量10%以上抢筹,看多,2701119,77657171.0,2881,82828.75,2701119,77657171.0,1.520624245217279,33,002902,20260401
301526.SZ,国际复材,16.08,-5.633802816901413,9.752,12.38,12.38,9.751773049645402,14/5521,12.38,12.38,0.0,12.38,竞价抢筹,单笔放量10%以上抢筹,看多,3847000,47625860.0,-51548,-638164.24,3847000,47625860.0,0.2739261881056916,33,301526,20260401
600711.SH,盛屯矿业,13.76,-1.220387652548456,9.629,13.89,13.89,9.629044988161015,15/5521,13.89,13.89,0.0,13.89,大幅高开,大幅高开9.60%,看多,10262100,142540570.0,-536365,-7450109.9,10262100,142540570.0,0.3320410808883306,17,600711,20260401
688118.SH,普元信息,27.23,0.22083179977916348,8.777,29.0,29.0,8.777194298574644,16/5521,29.0,29.0,0.0,29.0,竞价抢筹,单笔放量10%以上抢筹,看多,148896,4317984.0,-5350,-155150.0,148896,4317984.0,0.15955984219032662,17,688118,20260401
600801.SH,华新建材,21.51,-4.527296937416775,8.632,23.03,23.03,8.632075471698121,17/5521,23.03,23.03,0.0,23.03,大幅高开,大幅高开8.60%,看多,868000,19990040.0,-394800,-9092244.0,868000,19990040.0,0.06469415822908697,17,600801,20260401
