股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260409],分时开盘价:不复权[20260409 09:25],p_925,chg_pct,分时涨跌幅:前复权排名[20260409 09:25],分时最高价:不复权[20260409 09:25],分时最低价:不复权[20260409 09:25],分时振幅[20260409 09:25],竞价匹配价[20260409],竞价异动类型[20260409],竞价异动说明[20260409],集合竞价评级[20260409],竞价量[20260409],竞价金额[20260409],竞价未匹配量[20260409],竞价未匹配金额[20260409],分时成交量[20260409 09:25],分时成交额[20260409 09:25],分时换手率[20260409 09:25],market_code,code,date
301070.SZ,开勒股份,90.68,-2.494623655913971,15.022,104.9,104.9,15.021929824561406,1/5521,104.9,104.9,0.0,104.9,大幅高开,大幅高开15.00%,看多,682676,71612712.0,107424,11268777.6,682676,71612712.0,1.1501614022791753,33,301070,20260409
300390.SZ,天华新能,110.5,0.0,13.995,65.0,65.0,13.99508944230094,2/5521,65.0,65.0,0.0,65.0,大幅高开,大幅高开14.00%,看多,4007502,260487630.0,41198,2677870.0,4007502,260487630.0,0.5961170987955167,33,300390,20260409
605189.SH,富春染织,16.95,-4.828747894441323,10.028,16.02,16.02,10.027472527472522,3/5521,16.02,16.02,0.0,16.02,大幅高开,大幅高开10.00%,看多,1389800,22264596.0,-159683,-2558121.7,1389800,22264596.0,0.7161049931314618,17,605189,20260409
603950.SH,长源东谷,55.65,-1.0490753911806603,10.0,44.88,44.88,10.000000000000014,4/5521,44.88,44.88,0.0,44.88,大幅高开,大幅高开10.00%,看多,187200,8401536.0,16542400,742422910.0,187200,8401536.0,0.05784798094477619,17,603950,20260409
600666.SH,奥瑞德,5.24,-5.585585585585579,10.0,7.15,7.15,10.000000000000004,5/5521,7.15,7.15,0.0,7.15,大幅高开,大幅高开10.00%,看多,48778500,348766280.0,-26247580,-187670200.0,48778500,348766280.0,2.0158462996140556,17,600666,20260409
600654.SH,中安科,3.92,-3.4482758620689578,10.0,4.84,4.84,9.999999999999988,6/5521,4.84,4.84,0.0,4.84,大幅高开,大幅高开10.00%,看多,13267400,64214216.0,155755200,753855170.0,13267400,64214216.0,0.5725044365199433,17,600654,20260409
002364.SZ,中恒电气,40.79,2.6163522012578593,9.99,31.93,31.93,9.989665862900443,7/5521,31.93,31.93,0.0,31.93,大幅高开,大幅高开10.00%,看多,1768400,56465012.0,107432500,3430319700.0,1768400,56465012.0,0.3168586429161488,33,002364,20260409
600126.SH,杭钢股份,8.74,-3.638368246968027,9.989,10.24,10.24,9.989258861439309,8/5521,10.24,10.24,0.0,10.24,大幅高开,大幅高开10.00%,看多,69600800,712712190.0,-2979866,-30513828.0,69600800,712712190.0,2.060909184811551,17,600126,20260409
603777.SH,来伊份,16.43,4.05319822672578,9.979,15.43,15.43,9.978617248752675,9/5521,15.43,15.43,0.0,15.43,大幅高开,大幅高开10.00%,看多,2548600,39324898.0,12241800,188890970.0,2548600,39324898.0,0.7620860748442444,17,603777,20260409
603182.SH,嘉华股份,15.05,1.689189189189189,9.975,17.86,17.86,9.975369458128087,10/5521,17.86,17.86,0.0,17.86,大幅高开,大幅高开10.00%,看多,581300,10382018.0,5181700,92545162.0,581300,10382018.0,0.353266484351261,17,603182,20260409
000586.SZ,汇源通信,17.71,-1.6657412548584158,9.457,25.0,25.0,9.457092819614711,11/5521,25.0,25.0,0.0,25.0,大幅高开,大幅高开9.50%,看多,9795800,244895000.0,-176491,-4412275.0,9795800,244895000.0,5.06399917287014,33,000586,20260409
300491.SZ,通合科技,25.79,0.1553398058252394,9.072,26.45,26.45,9.072164948453606,12/5521,26.45,26.45,0.0,26.45,竞价抢筹,单笔放量10%以上抢筹,看多,354900,9387105.0,35300,933685.0,354900,9387105.0,0.22751519830693306,33,300491,20260409
002051.SZ,中工国际,10.12,0.09891196834816803,8.413,12.5,12.5,8.412836079791854,13/5521,12.5,12.5,0.0,12.5,大幅高开,大幅高开8.40%,偏多,22397300,279966250.0,-160387,-2004837.5,22397300,279966250.0,1.810120203423816,33,002051,20260409
300233.SZ,金城医药,15.52,-0.7672634271099807,7.973,15.98,15.98,7.972972972972971,14/5521,15.98,15.98,0.0,15.98,竞价抢筹,单笔放量10%以上抢筹,看多,879900,14060802.0,-31000,-495380.0,879900,14060802.0,0.2379296708285593,33,300233,20260409
600337.SH,美克家居,2.89,0.0,7.692,2.8,2.8,7.692307692307681,15/5521,2.8,2.8,0.0,2.8,大幅高开,大幅高开7.70%,看多,4541600,12716480.0,-590302,-1652845.6,4541600,12716480.0,0.3160477305476145,17,600337,20260409
603538.SH,美诺华,62.46,-4.349157733537514,7.539,46.5,46.5,7.539315448658644,16/5521,46.5,46.5,0.0,46.5,竞价抢筹,单笔放量10%以上抢筹,看多,2986300,138862950.0,-9467,-440215.5,2986300,138862950.0,1.3810529177412454,17,603538,20260409
002348.SZ,高乐股份,11.13,5.099150141643069,7.224,9.5,9.5,7.223476297968404,17/5521,9.5,9.5,0.0,9.5,大幅高开,大幅高开7.20%,看多,2099900,19949050.0,-10300,-97850.0,2099900,19949050.0,0.2324098845669277,33,002348,20260409
002181.SZ,粤传媒,16.49,10.00667111407604,7.159,13.92,13.92,7.15935334872979,18/5521,13.92,13.92,0.0,13.92,大幅高开,大幅高开7.20%,看多,6407000,89185440.0,-3700,-51504.0,6407000,89185440.0,0.5647237077933416,33,002181,20260409
003018.SZ,金富科技,53.2,-3.3781329458772236,6.891,33.04,33.04,6.890973794888382,19/5521,33.04,33.04,0.0,33.04,竞价抢筹,单笔放量10%以上抢筹,看多,336700,11124568.0,2600,85904.0,336700,11124568.0,0.14183560633984518,33,003018,20260409
002384.SZ,东山精密,186.73,1.3459972862957883,6.747,128.0,128.0,6.746726711700445,20/5521,128.0,128.0,0.0,128.0,竞价砸盘,单笔放量10%以上砸盘,混战,3758700,481113600.0,-72160,-9236480.0,3758700,481113600.0,0.2711275411501288,33,002384,20260409
301188.SZ,力诺药包,26.85,4.474708171206234,5.872,25.06,25.06,5.872412336290651,21/5521,25.06,25.06,0.0,25.06,竞价抢筹,单笔放量10%以上抢筹,看多,563000,14108780.0,10200,255612.0,563000,14108780.0,0.2104384852144444,33,301188,20260409
002975.SZ,博杰股份,110.38,0.2452093361184234,5.329,83.21,83.21,5.329113924050625,22/5521,83.21,83.21,0.0,83.21,竞价抢筹,单笔放量10%以上抢筹,看多,395100,32876271.0,38300,3186943.0,395100,32876271.0,0.37323238897635325,33,002975,20260409
601677.SH,明泰铝业,17.75,-1.0039040713887324,5.296,17.1,17.1,5.295566502463073,23/5521,17.1,17.1,0.0,17.1,急速下跌,一分钟跌幅大于3%,-,3723300,63668430.0,-9200,-157320.0,3723300,63668430.0,0.3056879919586841,17,601677,20260409
603813.SH,*ST原尚,37.0,1.36986301369863,5.01,25.15,25.15,5.010438413361166,24/5521,25.15,25.15,0.0,25.15,买一剩余大,买一剩余3226万元,看多,38600,970790.0,1282600,32257390.0,38600,970790.0,0.036756653811360285,22,603813,20260409
002528.SZ,*ST英飞,4.81,4.3383947939262315,5.0,4.62,4.62,4.999999999999994,25/5521,4.62,4.62,0.0,4.62,买一剩余大,买一剩余9652万元,看多,354200,1636404.0,20891400,96518268.0,354200,1636404.0,0.03372628046144297,33,002528,20260409
002957.SZ,科瑞技术,43.62,-0.9311832841244689,4.939,38.88,38.88,4.939271255060744,26/5521,38.88,38.88,0.0,38.88,急速下跌,一分钟跌幅大于3%,-,2030900,78961392.0,108800,4230144.0,2030900,78961392.0,0.4850734499225805,33,002957,20260409
301265.SZ,华新科技,26.06,0.2693343593689892,4.878,21.5,21.5,4.878048780487805,27/5521,21.5,21.5,0.0,21.5,竞价抢筹,单笔放量10%以上抢筹,看多,294500,6331750.0,-30300,-651450.0,294500,6331750.0,0.17344224846926615,33,301265,20260409
002497.SZ,雅化集团,30.67,1.2879788639365937,4.616,24.25,24.25,4.616048317515101,28/5521,24.25,24.25,0.0,24.25,竞价抢筹,单笔放量10%以上抢筹,看多,1559100,37808175.0,62700,1520475.0,1559100,37808175.0,0.14728619586840255,33,002497,20260409
603112.SH,华翔股份,20.75,-0.5273250239693166,4.505,18.56,18.56,4.504504504504488,29/5521,18.56,18.56,0.0,18.56,竞价抢筹,单笔放量10%以上抢筹,看多,761200,14127872.0,-1699,-31533.44,761200,14127872.0,0.1498552647573107,17,603112,20260409
600707.SH,彩虹股份,8.09,-8.068181818181827,4.31,6.05,6.05,4.310344827586207,30/5521,6.05,6.05,0.0,6.05,,,,2434700,14729935.0,236400,1430220.0,2434700,14729935.0,0.06786299135296214,17,600707,20260409
603196.SH,璞源材料,28.69,-0.6922810661128393,4.292,32.32,32.32,4.291707002258799,31/5521,32.32,32.32,0.0,32.32,急速下跌,一分钟跌幅大于3%,-,361400,11680448.0,-96800,-3128576.0,361400,11680448.0,0.15249699139132963,17,603196,20260409
001270.SZ,*ST铖昌,140.35,4.997381611431142,4.011,120.58,120.58,4.01104114551884,32/5521,120.58,120.58,0.0,120.58,涨停撤单,涨停撤单53.30%,-,471900,56901702.0,-1900,-229102.0,471900,56901702.0,0.2318923921413275,33,001270,20260409
301078.SZ,孩子王,8.84,-0.2257336343115076,3.94,8.97,8.97,3.939745075318654,33/5521,8.97,8.97,0.0,8.97,竞价抢筹,单笔放量10%以上抢筹,看多,989700,8877609.0,27300,244881.0,989700,8877609.0,0.07885756237541355,33,301078,20260409
301392.SZ,汇成真空,156.11,-0.4400510204081618,3.869,142.01,142.01,3.8692217671152664,34/5521,142.01,142.01,0.0,142.01,急速上涨,一分钟涨幅大于3%,偏多,102800,14598628.0,9700,1377497.0,102800,14598628.0,0.2519860385027313,33,301392,20260409
300209.SZ,行云科技,17.47,2.583675866118601,3.764,12.13,12.13,3.7639007698888047,35/5521,12.13,12.13,0.0,12.13,急速下跌,一分钟跌幅大于3%,-,3798400,46074592.0,6100,73993.0,3798400,46074592.0,0.517098786762417,33,300209,20260409
002455.SZ,百川股份,10.36,-3.8961038961038956,3.731,13.9,13.9,3.7313432835820897,36/5521,13.9,13.9,0.0,13.9,大卖单试盘,大卖单试盘585万元,-,1582700,21999530.0,-3500,-48650.0,1582700,21999530.0,0.23950837222496876,33,002455,20260409
603272.SH,*ST联翔,26.8,5.015673981191227,3.683,34.35,34.35,3.682463024449136,37/5521,34.35,34.35,0.0,34.35,急速下跌,一分钟跌幅大于3%,-,104700,3596445.0,-6100,-209535.0,104700,3596445.0,0.10103544443050556,22,603272,20260409
601811.SH,新华文轩,13.59,-0.3665689149560169,3.591,15.0,15.0,3.591160220994472,38/5521,15.0,15.0,0.0,15.0,竞价抢筹,单笔放量10%以上抢筹,看多,1261500,18922500.0,-226600,-3399000.0,1261500,18922500.0,0.15929963219021903,17,601811,20260409
002929.SZ,润建股份,59.68,10.009216589861751,3.393,53.93,53.93,3.3934049079754662,39/5521,53.93,53.93,0.0,53.93,急速上涨,一分钟涨幅大于3%,偏多,533100,28750083.0,11600,625588.0,533100,28750083.0,0.2531810974850141,33,002929,20260409
300164.SZ,通源石油,13.48,1.9667170953101345,3.286,14.46,14.46,3.285714285714292,40/5521,14.46,14.46,0.0,14.46,竞价抢筹,单笔放量10%以上抢筹,看多,2669300,38598078.0,86600,1252236.0,2669300,38598078.0,0.45769044412275933,33,300164,20260409
603158.SH,腾龙股份,12.76,-1.391035548686242,3.252,12.7,12.7,3.2520325203251916,41/5521,12.7,12.7,0.0,12.7,竞价抢筹,单笔放量10%以上抢筹,看多,2102596,26702969.0,287204,3647490.8,2102596,26702969.0,0.4284278513207368,17,603158,20260409
920088.BJ,科力股份,48.44,1.7006088599621985,3.181,54.5,54.5,3.1806134040136307,42/5521,54.5,54.5,0.0,54.5,,,,198217,10802826.5,28618,1559681.0,198217,10802827.0,0.6086581099500925,151,920088,20260409
000822.SZ,山东海化,5.95,-2.4590163934426146,3.177,6.17,6.17,3.1772575250836037,43/5521,6.17,6.17,0.0,6.17,竞价抢筹,单笔放量10%以上抢筹,看多,686000,4232620.0,48200,297394.0,686000,4232620.0,0.07664017293347812,33,000822,20260409
000978.SZ,桂林旅游,6.67,-1.9117647058823515,3.106,8.3,8.3,3.105590062111801,44/5521,8.3,8.3,0.0,8.3,竞价砸盘,单笔放量10%以上砸盘,偏空,2416300,20055290.0,-44060,-365698.0,2416300,20055290.0,0.5161707915861362,33,000978,20260409
002490.SZ,山东墨龙,10.06,1.0040160642570244,3.053,9.45,9.45,3.05343511450381,45/5521,9.45,9.45,0.0,9.45,竞价抢筹,单笔放量10%以上抢筹,看多,750600,7093170.0,15500,146475.0,750600,7093170.0,0.13855815344401742,33,002490,20260409
605258.SH,协和电子,34.73,-2.003386004514675,3.006,38.38,38.38,3.00590445517983,46/5521,38.38,38.38,0.0,38.38,急速下跌,一分钟跌幅大于3%,-,143500,5507530.0,1300,49894.0,143500,5507530.0,0.1630681818181818,17,605258,20260409
000534.SZ,万泽股份,39.53,-2.8746928746928786,2.975,40.5,40.5,2.974828375286046,47/5521,40.5,40.5,0.0,40.5,竞价抢筹,单笔放量10%以上抢筹,看多,361100,14624550.0,40500,1640250.0,361100,14624550.0,0.0722242733658065,33,000534,20260409
300191.SZ,潜能恒信,43.38,-5.428384565075202,2.961,37.9,37.9,2.9611518609073517,48/5521,37.9,37.9,0.0,37.9,竞价抢筹,单笔放量10%以上抢筹,看多,231100,8758690.0,800,30320.0,231100,8758690.0,0.10447794932073509,33,300191,20260409
300919.SZ,中伟新材,63.73,-2.4938800489596122,2.951,51.99,51.99,2.9504950495049544,49/5521,51.99,51.99,0.0,51.99,竞价砸盘,单笔放量10%以上砸盘,偏空,360700,18752793.0,-21100,-1096989.0,360700,18752793.0,0.03952896249383107,33,300919,20260409
605318.SH,法狮龙,101.18,3.076609616951926,2.727,87.01,87.01,2.7272727272727297,50/5521,87.01,87.01,0.0,87.01,竞价抢筹,单笔放量10%以上抢筹,看多,148100,12886181.0,24600,2140446.0,148100,12886181.0,0.11779300481031317,17,605318,20260409
300014.SZ,亿纬锂能,72.59,-2.037786774628868,2.693,65.98,65.98,2.6926070038910566,51/5521,65.98,65.98,0.0,65.98,竞价抢筹,单笔放量10%以上抢筹,看多,1365700,90108886.0,-10726,-707701.48,1365700,90108886.0,0.06706245358363758,33,300014,20260409
600629.SH,华建集团,20.4,1.8981018981018931,2.679,20.7,20.7,2.6785714285714244,52/5521,20.7,20.7,0.0,20.7,涨停试盘,第1次涨停试盘,-,265200,5489640.0,-35200,-728640.0,265200,5489640.0,0.027824494378733442,17,600629,20260409
002042.SZ,华孚时尚,4.93,-0.8048289738430591,2.649,4.65,4.65,2.6490066225165587,53/5521,4.65,4.65,0.0,4.65,竞价砸盘,单笔放量10%以上砸盘,偏空,3369100,15666315.0,-8100,-37665.0,3369100,15666315.0,0.19810295385992516,33,002042,20260409
688485.SH,九州一轨,55.2,1.8450184501845017,2.586,41.25,41.25,2.586421288236755,54/5521,41.25,41.25,0.0,41.25,急速下跌,一分钟跌幅大于3%,-,572179,23602384.0,18267,753513.75,572179,23602384.0,0.6446507828287842,17,688485,20260409
002491.SZ,通鼎互联,15.8,-4.646952323476159,2.566,15.59,15.59,2.565789473684214,55/5521,15.59,15.59,0.0,15.59,急速下跌,一分钟跌幅大于3%,偏空,10545400,164402790.0,-892765,-13918206.0,10545400,164402790.0,0.8963603083723242,33,002491,20260409
300970.SZ,华绿生物,35.3,-2.7548209366391188,2.547,30.2,30.2,2.5466893039049237,56/5521,30.2,30.2,0.0,30.2,,,,66600,2011320.0,-9100,-274820.0,66600,2011320.0,0.07000495048521471,33,300970,20260409
688677.SH,海泰新光,110.0,-0.9009009009009009,2.506,72.41,72.41,2.50566251415628,57/5521,72.41,72.41,0.0,72.41,急速上涨,一分钟涨幅大于3%,-,49667,3596387.5,3457,250321.37,49667,3596387.5,0.04143163409161057,17,688677,20260409
002778.SZ,中晟高科,20.25,-0.0493583415597313,2.43,21.5,21.5,2.4297284421153007,58/5521,21.5,21.5,0.0,21.5,竞价砸盘,单笔放量10%以上砸盘,偏空,126000,2709000.0,-91140,-1959510.0,126000,2709000.0,0.10208319391415646,33,002778,20260409
