股票代码,股票简称,最新价,chg_pct,p_close,p_open,涨跌幅:前复权[20260417],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260417],最高价:前复权[20260417],最低价:前复权[20260417],收盘价:前复权[20260417],振幅[20260417],成交量[20260417],market_code,code,date
600345.SH,长江通信,48.66,-5.952841128720537,50.64,51.3,-0.84198159,51.39,22.20880952,20001222,1/870,49.7,25.95880952,20001222,51.3,51.39,49.7,50.64,3.309183,2.1615911E7,17,600345,20260417
000633.SZ,合金投资,6.83,0.14662756598240156,6.78,6.8,-0.44052863,6.86,16.86616162,20000104,2/870,6.71,23.84848485,20001229,6.8,6.86,6.71,6.78,2.202643,7935001,33,000633,20260417
000931.SZ,中关村,4.75,0.21097046413501658,5.2,5.38,-3.34572491,5.38,15.68965517,20000119,3/870,5.16,22.4137931,20001221,5.38,5.38,5.16,5.2,4.089219,1.867867E7,33,000931,20260417
600198.SH,大唐电信,8.4,-0.8264462809917388,8.5,8.45,0.35419126,8.54,14.82061402,20000114,4/870,8.42,23.73134328,20001221,8.45,8.54,8.42,8.5,1.416765,1.24957E7,17,600198,20260417
600243.SH,*ST海华,4.16,3.740648379052378,3.7,3.62,1.64835165,3.75,13.47725806,20001218,5/870,3.55,15.5933871,20001201,3.62,3.75,3.55,3.7,5.494505,1.09039E7,22,600243,20260417
000985.SZ,大庆华科,20.23,-0.2957121734844688,18.9,18.96,0.26525199,19,13.45506452,20001204,6/870,18.59,15.92146237,20001221,18.96,19,18.59,18.9,2.175066,1164600,33,000985,20260417
600259.SH,中稀有色,92.01,-1.772178926016864,97.33,94.11,1.91623037,101,13.25952381,20001212,7/870,93.6,14.65952381,20001225,93.96,100.85,93.45,97.18,7.748691,1.6518483E7,17,600259,20260417
600265.SH,*ST景谷,22.02,-0.13605442176871263,20.32,20.69,-1.78830353,20.73,11.61777778,20001212,8/870,20.2,13.03753086,20001227,20.69,20.73,20.2,20.32,2.561623,734701,22,600265,20260417
600727.SH,鲁北化工,8.07,-0.12376237623762112,7.69,7.3,10.01430615,7.69,11.58571429,20001218,9/870,7.3,13.83956044,20000107,7.3,7.69,7.3,7.69,5.579399,4.7653837E7,17,600727,20260417
000156.SZ,华数传媒,7.41,-0.9358288770053513,7.58,7.63,-1.17340287,7.67,11.51323928,20001212,10/870,7.54,13.26578047,20001205,7.63,7.67,7.54,7.58,1.694915,9896224,33,000156,20260417
000990.SZ,诚志股份,12.6,-2.6275115919629046,10.67,10.54,0.85066163,10.84,11.26912106,20001208,11/870,10.5,12.78008476,20001226,10.54,10.84,10.5,10.67,3.21361,6.12161E7,33,000990,20260417
000697.SZ,ST炼石,,,10.18,10.05,1.19284294,10.3,11.25851641,20000104,12/870,10.01,15.17259323,20000128,10.05,10.3,10.01,10.18,2.882703,6122400,33,000697,20260417
