股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260414],分时开盘价:不复权[20260414 09:25],p_925,chg_pct,分时涨跌幅:前复权排名[20260414 09:25],分时最高价:不复权[20260414 09:25],分时最低价:不复权[20260414 09:25],分时振幅[20260414 09:25],竞价匹配价[20260414],竞价异动类型[20260414],竞价异动说明[20260414],集合竞价评级[20260414],竞价量[20260414],竞价金额[20260414],竞价未匹配量[20260414],竞价未匹配金额[20260414],分时成交量[20260414 09:25],分时成交额[20260414 09:25],分时换手率[20260414 09:25],market_code,code,date
688597.SH,煜邦电力,8.36,-0.8303677342823285,1.022,8.9,8.9,1.0215664018161208,1299/5521,8.9,8.9,0,8.9,,,,7020,62478.0,-1802,-16037.8,7020,62478.0,0.00208891097857695,17,688597,20260414
600032.SH,浙江新能,9.87,-4.174757281553412,1.022,9.89,9.89,1.0214504596527174,1300/5521,9.89,9.89,0,9.89,,,,1521600,15048624.0,-333637,-3299669.9,1521600,15048624.0,0.06327673365354498,17,600032,20260414
600236.SH,桂冠电力,10.09,0.7992007992007999,1.022,9.89,9.89,1.0214504596527174,1300/5521,9.89,9.89,0,9.89,,,,139700,1381633.0,-13100,-129559.0,139700,1381633.0,0.0017723078430033365,17,600236,20260414
000837.SZ,秦川机床,11.11,1.4611872146118736,1.02,10.89,10.89,1.0204081632653184,1302/5521,10.89,10.89,0,10.89,,,,79400,864666.0,-18800,-204732.0,79400,864666.0,0.007881649492689739,33,000837,20260414
600496.SH,精工钢构,4.15,0.0,1.02,3.96,3.96,1.0204081632652962,1303/5521,3.96,3.96,0,3.96,,,,150400,595584.0,-41800,-165528.0,150400,595584.0,0.007557313582104014,17,600496,20260414
600156.SH,华升股份,10.8,-3.3124440465532605,1.019,7.93,7.93,1.0191082802547768,1304/5521,7.93,7.93,0,7.93,竞价抢筹,单笔放量10%以上抢筹,看多,318900,2528877.0,40100,317993.0,318900,2528877.0,0.07930651892970508,17,600156,20260414
920146.BJ,华阳变速,6.95,1.6081871345029286,1.019,6.94,6.94,1.0189228529839944,1305/5521,6.94,6.94,0,6.94,,,,6100,42334.0,2745,19050.3,6100,42334.0,0.005693599307927137,151,920146,20260414
603000.SH,人民网,18.98,-2.7165556125064128,1.019,19.83,19.83,1.0188487009679115,1306/5521,19.83,19.83,0,19.83,,,,67000,1328610.0,-3300,-65439.0,67000,1328610.0,0.006059558828519637,17,603000,20260414
601002.SH,晋亿实业,6.22,-0.7974481658692157,1.019,5.95,5.95,1.018675721561979,1307/5521,5.95,5.95,0,5.95,涨停试盘,第1次涨停试盘,-,156300,929985.0,3500,20825.0,156300,929985.0,0.016376082529253363,17,601002,20260414
002442.SZ,龙星科技,6.24,-2.0408163265306105,1.019,5.95,5.95,1.018675721561979,1307/5521,5.95,5.95,0,5.95,,,,120200,715190.0,-73800,-439110.0,120200,715190.0,0.024398022288194175,33,002442,20260414
002562.SZ,兄弟科技,5.87,0.17064846416381887,1.019,5.95,5.95,1.018675721561979,1307/5521,5.95,5.95,0,5.95,涨停试盘,第1次涨停试盘,-,176300,1048985.0,38200,227290.0,176300,1048985.0,0.02400605927642061,33,002562,20260414
601111.SH,中国国航,6.73,0.14880952380953386,1.017,6.95,6.95,1.0174418604651292,1310/5521,6.95,6.95,0,6.95,,,,455800,3167810.0,-30400,-211280.0,455800,3167810.0,0.003916443654515154,17,601111,20260414
600168.SH,武汉控股,5.07,-0.3929273084479288,1.016,4.97,4.97,1.0162601626016121,1311/5521,4.97,4.97,0,4.97,,,,47200,234584.0,-104400,-518868.0,47200,234584.0,0.004751370596518945,17,600168,20260414
920876.BJ,慧为智能,22.22,-0.1348314606741624,1.016,23.86,23.86,1.01608806096527,1312/5521,23.86,23.86,0,23.86,,,,8657,206556.02,-1299,-30994.14,8657,206556.0,0.022057034952056076,151,920876,20260414
601888.SH,中国中免,65.62,-0.5003790750568586,1.016,69.6,69.6,1.015965166908539,1313/5521,69.6,69.6,0,69.6,竞价抢筹,单笔放量10%以上抢筹,看多,107500,7482000.0,-3400,-236640.0,107500,7482000.0,0.005505830806964515,17,601888,20260414
300711.SZ,广哈通信,20.87,-0.9492168960607466,1.016,24.86,24.86,1.0158472165786359,1314/5521,24.86,24.86,0,24.86,,,,28000,696080.0,300,7458.0,28000,696080.0,0.011270975859687041,33,300711,20260414
603068.SH,博通集成,35.48,3.712364805612382,1.015,32.83,32.83,1.015384615384618,1315/5521,32.83,32.83,0,32.83,,,,3300,108339.0,11200,367696.0,3300,108339.0,0.002174094662018505,17,603068,20260414
