股票代码,股票简称,最新价,chg_pct,p_close,p_open,涨跌幅:前复权[20260414],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260414],最高价:前复权[20260414],最低价:前复权[20260414],收盘价:前复权[20260414],振幅[20260414],成交量[20260414],market_code,code,date
600345.SH,长江通信,48.66,-5.952841128720537,52.25,54.38,-5,54.58,22.20880952,20001222,1/870,51.5,25.95880952,20001222,54.38,54.58,51.5,52.25,5.6,3.1897673E7,17,600345,20260414
000633.SZ,合金投资,6.83,0.14662756598240156,6.84,6.98,-1.0130246,7.03,16.86616162,20000104,2/870,6.74,23.84848485,20001229,6.98,7.03,6.74,6.84,4.196816,7389900,33,000633,20260414
000931.SZ,中关村,4.75,0.21097046413501658,5.3,5.3,0.18903592,5.33,15.68965517,20000119,3/870,5.21,22.4137931,20001221,5.3,5.33,5.21,5.3,2.268431,1.2508082E7,33,000931,20260414
600198.SH,大唐电信,8.4,-0.8264462809917388,8.42,8.4,1.20192308,8.45,14.82061402,20000114,4/870,8.33,23.73134328,20001221,8.4,8.45,8.33,8.42,1.442307,1.1543374E7,17,600198,20260414
600243.SH,*ST海华,4.16,3.740648379052378,3.59,3.42,4.97076023,3.59,13.47725806,20001218,5/870,3.36,15.5933871,20001201,3.42,3.59,3.36,3.59,6.725146,1.5535001E7,22,600243,20260414
000985.SZ,大庆华科,20.23,-0.2957121734844688,18.86,19.15,-1.2565445,19.15,13.45506452,20001204,6/870,18.59,15.92146237,20001221,19.15,19.15,18.59,18.86,2.931937,1853900,33,000985,20260414
600259.SH,中稀有色,92.01,-1.772178926016864,91.95,92.8,-1.01194962,93.36,13.25952381,20001212,7/870,88.48,14.65952381,20001225,92.65,93.21,88.33,91.8,5.253525,1.7754987E7,17,600259,20260414
600265.SH,*ST景谷,22.02,-0.13605442176871263,20.71,20.77,-0.19277108,20.8,11.61777778,20001212,8/870,20.42,13.03753086,20001227,20.77,20.8,20.42,20.71,1.831325,327000,22,600265,20260414
600727.SH,鲁北化工,8.07,-0.12376237623762112,7.09,7.23,-1.66435506,7.25,11.58571429,20001218,9/870,7.04,13.83956044,20000107,7.23,7.25,7.04,7.09,2.912621,1.7059821E7,17,600727,20260414
000156.SZ,华数传媒,7.41,-0.9358288770053513,7.57,7.49,1.74731183,7.59,11.51323928,20001212,10/870,7.48,13.26578047,20001205,7.49,7.59,7.48,7.57,1.478494,1.0020211E7,33,000156,20260414
000990.SZ,诚志股份,12.6,-2.6275115919629046,10.77,10.6,0,10.79,11.26912106,20001208,11/870,10.37,12.78008476,20001226,10.6,10.79,10.37,10.77,3.899721,5.6458564E7,33,000990,20260414
000697.SZ,ST炼石,,,10.19,9.87,3.24214792,10.22,11.25851641,20000104,12/870,9.83,15.17259323,20000128,9.87,10.22,9.83,10.19,3.951367,8432200,33,000697,20260414
000948.SZ,南天信息,14.49,0.48543689320388544,15.35,15.33,0.98684211,15.39,10.47909775,20001211,13/870,15.21,14.44735759,20000128,15.33,15.39,15.21,15.35,1.18421,2812441,33,000948,20260414
000409.SZ,云鼎科技,10.16,0.2961500493583352,10.68,10.7,0.18761726,10.78,9.95525526,20000124,14/870,10.6,19.04796133,20001227,10.7,10.78,10.6,10.68,1.688555,4661651,33,000409,20260414
600661.SH,昂立教育,10.2,1.1904761904761827,9.76,9.81,0,9.83,9.84925926,20000114,15/870,9.61,19.98506173,20001221,9.81,9.83,9.61,9.76,2.254098,4062935,17,600661,20260414
600262.SH,北方股份,24.51,1.030502885408079,25.76,25.55,1.29767991,26.32,9.22633333,20001218,16/870,25.38,10.643,20001205,25.55,26.32,25.38,25.76,3.696421,5341700,17,600262,20260414
600671.SH,天目药业,19.91,1.3747454175152727,19.65,19.4,1.44553433,19.74,9.07407407,20000119,17/870,19.39,14.41666667,20001206,19.4,19.74,19.39,19.65,1.806917,3351709,17,600671,20260414
600135.SH,乐凯胶片,11.43,4.098360655737698,10.18,10.1,0.79207921,10.2,8.97388889,20000104,18/870,9.83,13.57858974,20001201,10.1,10.2,9.83,10.18,3.663366,1.6418544E7,17,600135,20260414
600722.SH,金牛化工,13.61,0.5169867060561321,14.23,14.5,-1.86206897,14.54,8.93656716,20001212,19/870,13.9,12.47485399,20000110,14.5,14.54,13.9,14.23,4.413793,6.6081491E7,17,600722,20260414
600640.SH,国脉文化,12.4,-1.5873015873015817,12.06,12.05,0.92050209,12.15,8.91125926,20000104,20/870,11.92,18.68230303,20001207,12.05,12.15,11.92,12.06,1.924686,5194175,17,600640,20260414
000995.SZ,皇台酒业,13.48,-0.148148148148145,13.67,13.43,1.63568773,13.7,8.90102065,20001215,21/870,13.34,10.44386423,20001226,13.43,13.7,13.34,13.67,2.676579,1.34051E7,33,000995,20260414
000925.SZ,众合科技,9.19,-5.840163934426233,7.18,7.21,0.27932961,7.25,8.72891101,20000104,22/870,7.09,13.88113583,20001221,7.21,7.25,7.09,7.18,2.234636,9396860,33,000925,20260414
600854.SH,春兰股份,5.42,1.3084112149532765,5.07,5.12,-0.58823529,5.12,8.72833175,20000104,23/870,5.02,12.70484803,20001201,5.12,5.12,5.02,5.07,1.960784,6448665,17,600854,20260414
600258.SH,首旅酒店,15.65,-2.3705552089831614,15.04,15.18,-0.72607261,15.34,8.70342308,20001218,24/870,14.84,10.34338034,20001201,15.18,15.34,14.84,15.04,3.30033,1.7598339E7,17,600258,20260414
600180.SH,*ST瑞茂,2.91,-4.901960784313722,3.3,3.38,-1.49253731,3.38,8.63033945,20000104,25/870,3.24,11.33744004,20000128,3.38,3.38,3.24,3.3,4.179104,1.47804E7,22,600180,20260414
600234.SH,科新发展,24.4,1.6666666666666607,17.62,16.99,3.46447446,18,8.53741497,20001212,26/870,16.9,9.375,20001205,16.99,18,16.9,17.62,6.459189,8094919,17,600234,20260414
600241.SH,时代万恒,9.76,0.7223942208462362,10.15,9.99,3.25534079,10.45,8.50759516,20001215,27/870,9.78,9.2082872,20001206,9.99,10.45,9.78,10.15,6.815869,1.87271E7,17,600241,20260414
000663.SZ,永安林业,6.88,1.624815361890699,6.45,6.62,-1.97568389,6.65,8.275,20001229,28/870,6.35,10.63125,20000110,6.62,6.65,6.35,6.45,4.55927,9230901,33,000663,20260414
000701.SZ,厦门信达,5.93,0.3384094754653058,5.91,5.93,0.33955857,5.95,8.12566667,20000119,29/870,5.84,10.75233333,20000128,5.93,5.95,5.84,5.91,1.867572,8638300,33,000701,20260414
000962.SZ,东方钽业,43.87,-1.1714350078846658,44.85,44.45,2.53772291,45.7,8.0963361,20000120,30/870,43.88,25.97914428,20001206,44.45,45.7,43.88,44.85,4.160951,1.8411601E7,33,000962,20260414
000978.SZ,桂林旅游,6.67,-1.9117647058823515,8.0,8.01,2.30179028,8.14,8.02863636,20001211,31/870,7.81,10.08768842,20001213,8.01,8.14,7.81,8.0,4.219948,6.2339299E7,33,000978,20260414
000682.SZ,东方电子,13.05,-2.320359281437116,12.99,12.81,7.08985985,13.14,8.01247154,20000104,32/870,12.62,17.20962602,20000128,12.81,13.14,12.62,12.99,4.286892,6.5966056E7,33,000682,20260414
000058.SZ,深赛格,8.2,0.8610086100860824,8.08,8.09,0.37267081,8.12,8.01010231,20000114,33/870,7.99,12.4730939,20000128,8.09,8.12,7.99,8.08,1.614906,5432200,33,000058,20260414
600278.SH,东方创业,7.06,-0.5633802816901414,7.27,7.29,0.41436464,7.3,8.00883034,20001218,34/870,7.17,8.5672349,20001229,7.29,7.3,7.17,7.27,1.79558,4732600,17,600278,20260414
600768.SH,宁波富邦,18.88,3.2258064516129026,16.19,16.68,-2.29330115,17.16,7.99885389,20000104,35/870,16.01,14.1340245,20000128,16.68,17.16,16.01,16.19,6.940253,9517893,17,600768,20260414
600288.SH,大恒科技,15.18,4.043865661411925,15.1,14.97,1.41034251,15.1,7.75457406,20001211,36/870,14.89,8.7256092,20001204,14.97,15.1,14.89,15.1,1.410342,4242500,17,600288,20260414
600338.SH,西藏珠峰,27.58,-0.10865628395509286,19.11,18.55,4.19847328,19.29,7.74785714,20001227,37/870,18.37,9.15357143,20001229,18.55,19.29,18.37,19.11,5.016357,7.4117481E7,17,600338,20260414
600171.SH,上海贝岭,28.7,1.6648955012398117,27.74,27.59,1.42595978,27.85,7.73419254,20000117,38/870,27.55,11.06479946,20001221,27.59,27.85,27.55,27.74,1.096892,9318456,17,600171,20260414
600207.SH,安彩高科,5.59,-2.101576182136604,5.48,5.68,-3.52112676,5.71,7.65671642,20000104,39/870,5.38,20.20895522,20001226,5.68,5.71,5.38,5.48,5.809859,4.2355992E7,17,600207,20260414
600232.SH,金鹰股份,8.58,0.3508771929824486,8.75,8.77,0.92272203,8.8,7.62474628,20001213,40/870,8.5,9.84368119,20001205,8.77,8.8,8.5,8.75,3.460207,9458400,17,600232,20260414
000921.SZ,海信家电,24.03,2.124946876328092,22.09,22.08,0.50045496,22.15,7.5908686,20001226,41/870,21.88,13.47122574,20000110,22.08,22.15,21.88,22.09,1.228389,5114300,33,000921,20260414
000938.SZ,紫光股份,31.99,-1.3263417643430082,27.86,28.09,-1.34560907,28.18,7.56762877,20000104,42/870,27.52,12.37508746,20001201,28.09,28.18,27.52,27.86,2.33711,1.39728303E8,33,000938,20260414
600289.SH,ST信通,6.21,-4.900459418070448,7.5,7.68,-2.34375,7.7,7.5433309,20001212,43/870,7.42,8.03652677,20001221,7.68,7.7,7.42,7.5,3.645833,8414050,22,600289,20260414
600800.SH,渤海化学,4.59,1.3245033112582694,4.8,4.72,1.05263158,4.94,7.51028807,20000104,44/870,4.67,12.48148148,20001201,4.72,4.94,4.67,4.8,5.68421,4.56014E7,17,600800,20260414
000628.SZ,高新发展,66.18,10.00664893617023,56.83,56.34,1.62732475,58.06,7.45869231,20000117,45/870,55.81,11.48176923,20001225,56.34,58.06,55.81,56.83,4.023605,1.12617E7,33,000628,20260414
000722.SZ,湖南发展,14.24,-1.7931034482758605,13.24,13.3,-0.45112782,13.47,7.33431953,20000106,46/870,13.12,11.04733728,20000124,13.3,13.47,13.12,13.24,2.631578,2.7782431E7,33,000722,20260414
000070.SZ,特发信息,18.08,-6.466632177961718,20.28,21.25,-3.88625592,21.51,7.2516401,20001212,47/870,19.84,8.00647101,20001221,21.25,21.51,19.84,20.28,7.914691,1.67365026E8,33,000070,20260414
600706.SH,曲江文旅,9.54,0.5268703898840773,9.45,9.53,-0.21119324,9.59,7.24678205,20000126,48/870,9.35,13.33011538,20001205,9.53,9.59,9.35,9.45,2.534318,4182000,17,600706,20260414
600052.SH,东望时代,4.44,9.90099009900991,3.87,3.9,-0.76923077,3.94,7.24521718,20000104,49/870,3.81,9.7131659,20001201,3.9,3.94,3.81,3.87,3.333333,1.1919996E7,17,600052,20260414
000993.SZ,闽东电力,12.24,-1.2903225806451624,12.65,12.68,-1.78571429,12.86,7.23930058,20001226,50/870,12.5,7.69594798,20001221,12.68,12.86,12.5,12.65,2.795031,2.8759142E7,33,000993,20260414
600648.SH,外高桥,10.03,-5.37735849056604,10.66,10.54,1.42721218,10.67,7.1888556,20000119,51/870,10.54,13.21652358,20001227,10.54,10.67,10.54,10.66,1.236917,4212900,17,600648,20260414
000586.SZ,汇源通信,17.71,-1.6657412548584158,23.19,20.63,7.36111111,23.76,7.16666667,20000117,52/870,20.48,10.95652174,20001225,20.63,23.76,20.48,23.19,15.185185,7.9003672E7,33,000586,20260414
000151.SZ,中成股份,11.84,0.1692047377326529,11.8,11.88,0.2548853,11.93,7.0639599,20001218,53/870,11.69,8.53764411,20001226,11.88,11.93,11.69,11.8,2.039082,4518401,33,000151,20260414
600613.SH,神奇制药,5.88,0.1703577512776795,6.28,6.25,3.63036304,6.33,7.02110656,20000124,54/870,6.07,17.12356557,20001208,6.25,6.33,6.07,6.28,4.290429,1.89293E7,17,600613,20260414
600301.SH,华锡有色,50.53,1.1206724034420699,50.51,50.63,2.51674447,51.93,7.01142857,20001211,55/870,49.62,7.56142857,20001204,50.63,51.93,49.62,50.51,4.688451,9668000,17,600301,20260414
600215.SH,派斯林,6.84,5.718701700154562,6.7,6.72,-0.29761905,6.78,6.9619053,20000117,56/870,6.62,9.01773901,20001204,6.72,6.78,6.62,6.7,2.380952,3548100,17,600215,20260414
600707.SH,彩虹股份,8.09,-8.068181818181827,6.83,6.75,-0.87082729,7.12,6.94490791,20000104,57/870,6.71,9.57112676,20001204,6.75,7.12,6.71,6.83,5.950653,1.22331664E8,17,600707,20260414
600721.SH,百花医药,8.43,-1.0563380281690125,9.18,8.98,2.22717149,9.22,6.80630173,20000128,58/870,8.91,13.42202701,20001205,8.98,9.22,8.91,9.18,3.452115,3.3189077E7,17,600721,20260414
000681.SZ,视觉中国,21.82,5.207328833172623,20.74,20.83,1.26953125,20.88,6.78343342,20000104,59/870,20.51,11.48566667,20001201,20.83,20.88,20.51,20.74,1.80664,1.8968634E7,33,000681,20260414
600857.SH,宁波中百,12.71,2.7485852869846537,12.03,12.11,0.08319468,12.15,6.74935185,20000104,60/870,11.86,12.3187963,20000126,12.11,12.15,11.86,12.03,2.412645,1865296,17,600857,20260414
600775.SH,南京熊猫,12.35,0.40650406504064174,13.58,13.51,1.57068063,13.58,6.74812963,20000120,61/870,13.39,13.65183333,20001222,13.51,13.58,13.39,13.58,1.421091,2.0541E7,17,600775,20260414
000980.SZ,众泰汽车,2.52,10.043668122270741,2.16,2.19,-0.91743119,2.2,6.73197531,20001218,62/870,2.11,7.46777778,20001206,2.19,2.2,2.11,2.16,4.12844,1.12647238E8,33,000980,20260414
000909.SZ,*ST数源,4.66,-5.091649694501018,6.63,6.7,-1.63204748,6.89,6.7316326,20001212,63/870,6.53,10.6586399,20000128,6.7,6.89,6.53,6.63,5.341246,8614103,33,000909,20260414
600148.SH,长春一东,19.13,0.3146303093864642,18.18,18.33,-0.32894737,18.33,6.72332274,20000106,64/870,17.98,9.54887752,20001226,18.33,18.33,17.98,18.18,1.918859,1622484,17,600148,20260414
600847.SH,万里股份,14.77,0.06775067750677362,13.66,14.14,-1.72661871,14.14,6.688,20000105,65/870,13.45,16.0,20001204,14.14,14.14,13.45,13.66,4.964028,3955200,17,600847,20260414
600281.SH,华阳新材,5.6,-0.8849557522124019,5.45,5.54,-1.26811594,5.56,6.66180021,20001218,66/870,5.38,7.49165818,20001206,5.54,5.56,5.38,5.45,3.260869,9178400,17,600281,20260414
600137.SH,浪莎股份,23.4,-2.1739130434782736,21.31,21.76,-1.5704388,21.86,6.646,20000118,67/870,21.04,17.182,20001205,21.76,21.86,21.04,21.31,3.787528,2587700,17,600137,20260414
000004.SZ,*ST国华,,,3.3,3.19,5.0955414,3.3,6.624,20000104,68/870,3.19,27.328,20001225,3.19,3.3,3.19,3.3,3.503184,3135301,33,000004,20260414
000969.SZ,安泰科技,21.37,1.0879848628193018,21.12,21.15,1.00430416,21.25,6.60243363,20001205,69/870,20.92,7.55227962,20001220,21.15,21.25,20.92,21.12,1.578192,1.5760772E7,33,000969,20260414
600095.SH,湘财股份,8.88,0.3389830508474705,9.47,9.49,0.42417815,9.57,6.57028181,20001214,70/870,9.34,8.61847458,20000128,9.49,9.57,9.34,9.47,2.439024,1.79569E7,17,600095,20260414
600235.SH,民丰特纸,6.95,1.0174418604651205,6.73,6.8,-0.44378698,6.84,6.55940212,20001211,71/870,6.63,7.09908466,20001229,6.8,6.84,6.63,6.73,3.106508,5883500,17,600235,20260414
000636.SZ,风华高科,25.09,-0.7515822784810177,20.84,20.98,1.70815032,21.14,6.54474519,20000104,72/870,20.45,14.08178222,20001204,20.98,21.14,20.45,20.84,3.367496,6.0859223E7,33,000636,20260414
000668.SZ,*ST荣控,15.85,1.5374759769378619,14.96,15.22,-0.39946738,15.22,6.51079772,20000104,73/870,14.71,10.4937037,20001201,15.22,15.22,14.71,14.96,3.395472,1870600,33,000668,20260414
600237.SH,铜峰电子,8.88,-2.417582417582405,9.22,9.31,-2.22693531,9.42,6.45181818,20001211,74/870,9.13,7.41141414,20001221,9.31,9.42,9.13,9.22,3.075291,4.444504E7,17,600237,20260414
600718.SH,东软集团,8.84,-0.2257336343115076,9.12,9.12,0.88495575,9.16,6.43132281,20000104,75/870,9.01,10.89259829,20001221,9.12,9.16,9.01,9.12,1.659292,9296154,17,600718,20260414
600248.SH,陕建股份,3.48,-1.4164305949008449,3.43,3.42,0.29239766,3.43,6.37952948,20001201,76/870,3.39,7.04086744,20001208,3.42,3.43,3.39,3.43,1.16959,1.1841682E7,17,600248,20260414
000733.SZ,振华科技,42.61,-2.135966926963711,46.96,46.98,1.29421915,47.17,6.31858755,20000104,77/870,46.54,15.10457977,20000128,46.98,47.17,46.54,46.96,1.35893,8001273,33,000733,20260414
600638.SH,新黄浦,6.25,1.957585644371943,6.12,6.05,1.83028286,6.18,6.28206706,20000104,78/870,6.03,7.9240789,20001205,6.05,6.18,6.03,6.12,2.49584,9299755,17,600638,20260414
000159.SZ,国际实业,6.5,0.0,6.27,6.36,-1.25984252,6.38,6.25084469,20001211,79/870,6.2,6.87754768,20001204,6.36,6.38,6.2,6.27,2.834645,1.4929964E7,33,000159,20260414
600751.SH,海航科技,3.68,-2.6455026455026363,3.67,3.69,0,3.71,6.2460324,20000124,80/870,3.61,9.18274406,20001229,3.69,3.71,3.61,3.67,2.724795,3.78892E7,17,600751,20260414
000972.SZ,*ST中基,3.86,2.93333333333333,3.99,3.95,0.75757576,3.99,6.22979886,20001218,81/870,3.93,7.04272862,20001204,3.95,3.99,3.93,3.99,1.515151,8178201,33,000972,20260414
000035.SZ,中国天楹,6.53,-2.53731343283582,6.69,6.68,0.1497006,6.76,6.2188,20000104,82/870,6.55,10.01046667,20000124,6.68,6.76,6.55,6.69,3.143712,4.93507E7,33,000035,20260414
000155.SZ,川能动力,17.42,-9.506493506493497,16.92,17.13,-2.19653179,17.15,6.16848485,20001218,83/870,16.5,7.14575758,20001225,17.13,17.15,16.5,16.92,3.757225,9.8102458E7,33,000155,20260414
000862.SZ,银星能源,6.47,-3.143712574850299,6.35,6.37,-0.62597809,6.49,6.16814241,20000104,84/870,6.28,8.84292566,20000128,6.37,6.49,6.28,6.35,3.286384,4.0373737E7,33,000862,20260414
600229.SH,城市传媒,6.32,2.931596091205222,6.02,6.04,0.33333333,6.06,6.168,20001218,85/870,5.95,7.184,20001208,6.04,6.06,5.95,6.02,1.833333,2782425,17,600229,20260414
600192.SH,长城电工,8.26,0.36452004860266535,8.36,8.38,0.11976048,8.42,6.16766999,20000104,86/870,8.25,8.29822392,20001227,8.38,8.42,8.25,8.36,2.035928,5454400,17,600192,20260414
600121.SH,郑州煤电,4.25,-0.9324009324009332,4.21,4.24,-2.09302326,4.28,6.14019055,20000114,87/870,4.17,15.03176329,20001215,4.24,4.28,4.17,4.21,2.558139,4.6913021E7,17,600121,20260414
000752.SZ,*ST西发,10.0,-1.1857707509881346,9.74,9.71,4.95689655,9.74,6.11017309,20000104,88/870,9.52,9.08444444,20001227,9.71,9.74,9.52,9.74,2.370689,1.0740525E7,33,000752,20260414
600080.SH,ST金花,7.62,-4.9875311720698186,8.33,8.37,-0.23952096,8.44,6.09953673,20000104,89/870,8.18,8.41894948,20001205,8.37,8.44,8.18,8.33,3.113772,1.01451E7,22,600080,20260414
000020.SZ,深华发A,15.96,0.1883239171374836,16.03,15.88,1.19949495,16.08,6.08695652,20000128,90/870,15.76,20.86956522,20001207,15.88,16.08,15.76,16.03,2.020202,7812600,33,000020,20260414
