股票代码,股票简称,最新价,最新涨跌幅,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260417],p_high,p_low,p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260417],最高价:前复权[20260417],最低价:前复权[20260417],收盘价:前复权[20260417],振幅[20260417],成交量[20260417],market_code,code,date
301513.SZ,尚水智能,82.01,-1.073582629674307,81.66,81.66,103.1,286.72168042,1/5521,82.8,78.81,116.78,99.5,81.66,81.66,81.66,0,99.99,116.78,99.5,103.1,64.816204,1.5434006E7,33,301513,20260418
920012.BJ,创达新材,59.0,6.0007186489399995,55.16,55.16,63.83,30,2/5521,60.5,55.15,63.83,48.2,55.16,55.16,55.16,0,49.5,63.83,48.2,63.83,31.832993,6841475,151,920012,20260418
920526.BJ,凯华材料,23.51,4.628393413440155,22.53,22.53,24.73,29.95270625,3/5521,23.9,22.32,24.73,18.86,22.53,22.53,22.53,0,19.01,24.73,18.86,24.73,30.846032,4027242,151,920526,20260418
920179.BJ,凯德石英,47.95,1.4814814814814874,46.96,46.96,54.2,20.73958565,4/5521,48.71,45.48,58,45.56,46.96,46.96,46.96,0,46.08,58,45.56,54.2,27.712185,9126954,151,920179,20260418
688628.SH,优利德,97.0,-1.060791513667897,98.53,98.53,77.8,20.00616998,5/5521,99.7,95.6,77.8,65,98.53,98.53,98.53,0,65,77.8,65,77.8,19.743945,6887169,17,688628,20260418
300806.SZ,斯迪克,74.2,0.8289169724147295,74.0,74,65.27,20.00367715,6/5521,74.8,72.15,65.27,54.76,74.0,74.0,74.0,0,55.63,65.27,54.76,65.27,19.323405,3.5509069E7,33,300806,20260418
301319.SZ,唯特偶,70.77,2.1064781416822878,71.11,71.11,68.39,20.00350939,7/5521,72.81,70.01,68.39,57.5,71.11,71.11,71.11,0,58.88,68.39,57.5,68.39,19.108615,1.4277945E7,33,301319,20260418
300776.SZ,帝尔激光,104.6,-2.7248209801915806,109.01,109.01,99.36,20,8/5521,109.98,102.96,99.36,84.78,109.01,109.01,109.01,0,84.78,99.36,84.78,99.36,17.608695,1.9578946E7,33,300776,20260418
688807.SH,优迅股份,355.0,-2.2577092511013186,366.2,366.2,363.19,19.99933919,9/5521,369.96,346.43,363.19,315.48,366.2,366.2,366.2,0,319.51,363.19,315.48,363.19,15.763563,3082685,17,688807,20260418
301237.SZ,和顺科技,67.66,-2.577393808495329,68.8,68.8,71.17,19.99662789,10/5521,69.9,66.8,71.17,58.57,68.8,68.8,68.8,0,59.35,71.17,58.57,71.17,21.244309,4481079,33,301237,20260418
