股票代码,股票简称,最新价,最新涨跌幅,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260424],p_high,p_low,p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260424],最高价:前复权[20260424],最低价:前复权[20260424],收盘价:前复权[20260424],振幅[20260424],成交量[20260424],market_code,code,date
688808.SH,联讯仪器,1033.33,11.350215517241372,911.0,911,799.0,875.81827064,1/5521,1060,911,859.88,688.99,911.0,911.0,911.0,0,736.92,859.88,688.99,799.0,208.707865,1.517853E7,17,688808,20260425
920125.BJ,鸿仕达,87.2,29.994036970781163,70.48,70.48,50.02,201.87085094,2/5521,87.2,70,55.54,46,70.48,70.48,70.48,0,46,55.54,46,50.02,57.573928,1.3364399E7,151,920125,20260425
300422.SZ,博世科,5.6,-2.0979020979020997,5.72,5.72,5.56,20.08639309,3/5521,5.77,5.56,5.56,5.21,5.72,5.72,5.72,0,5.41,5.56,5.21,5.56,7.559395,3.8700561E7,33,300422,20260425
300283.SZ,温州宏丰,12.45,2.3848684210526248,12.2,12.2,11.75,20.02042901,4/5521,13,11.85,11.75,10.22,12.2,12.2,12.2,0,10.43,11.75,10.22,11.75,15.628192,7.4913776E7,33,300283,20260425
300613.SZ,富瀚微,59.05,-0.8895602551191695,59.44,59.44,56.08,20.00855981,5/5521,60.52,57.66,56.08,54.21,59.44,59.44,59.44,0,55.9,56.08,54.21,56.08,4.001711,2.629799E7,33,300613,20260425
688268.SH,华特气体,188.3,-1.0145613205067436,193.97,193.97,176.8,20.00271499,6/5521,205.19,175.2,176.8,157.11,193.97,193.97,193.97,0,157.11,176.8,157.11,176.8,13.364555,1.5533475E7,17,688268,20260425
688633.SH,星球石墨,36.2,-1.0388190267905835,35.8,35.8,33.6,20,7/5521,39.73,35.72,33.6,29.58,35.8,35.8,35.8,0,30,33.6,29.58,33.6,14.357142,1.3182091E7,17,688633,20260425
301077.SZ,星华新材,30.8,-8.114558472553705,33.03,33.03,38.59,19.99378109,8/5521,33.03,30.8,38.59,31.6,33.03,33.03,33.03,0,31.8,38.59,31.6,38.59,21.735074,2.4216487E7,33,301077,20260425
300721.SZ,怡达股份,20.0,-9.049567985447924,22.17,22.17,21.0,18.71113624,9/5521,22.4,19.68,21.23,17.15,22.17,22.17,22.17,0,18.04,21.23,17.15,21.0,23.063877,5.8279255E7,33,300721,20260425
300489.SZ,光智科技,96.8,2.6184670836425306,94.36,94.36,101.9,17.03227288,10/5521,99.97,92.18,103.52,90.62,94.36,94.36,94.36,0,91.07,103.52,90.62,101.9,14.815665,1.71024E7,33,300489,20260425
688141.SH,杰华特,92.88,16.786118445869477,79.53,79.53,83.1,16.01284378,11/5521,94.98,78.8,84.7,70.48,79.53,79.53,79.53,0,75,84.7,70.48,83.1,19.852017,3.6964142E7,17,688141,20260425
688807.SH,优迅股份,355.0,-2.2577092511013186,366.2,366.2,390.0,15.38461538,12/5521,369.96,346.43,392.65,336.68,366.2,366.2,366.2,0,337,392.65,336.68,390.0,16.559171,3791450,17,688807,20260425
300390.SZ,天华新能,110.5,0.0,109.32,109.32,91.0,13.65055576,13/5521,112.52,107.52,92.78,79.58,109.32,109.32,109.32,0,80.3,92.78,79.58,91.0,16.485575,9.7797178E7,33,300390,20260425
688347.SH,华虹公司,141.0,6.688861985472157,133.0,133,138.8,12.30682094,14/5521,142,130,141.8,120.36,133.0,133.0,133.0,0,123.18,141.8,120.36,138.8,17.347681,4.4703169E7,17,688347,20260425
301003.SZ,江苏博云,52.88,-10.31207598371777,58.64,58.64,72.3,11.72925359,15/5521,58.88,49.71,72.48,63.61,58.64,58.64,58.64,0,64.69,72.48,63.61,72.3,13.707309,1.2208704E7,33,301003,20260425
300434.SZ,金石亚药,11.44,1.1494252873563129,11.31,11.31,11.51,10.99324976,16/5521,11.73,11.27,12.39,11.3,11.31,11.31,11.31,0,11.8,12.39,11.3,11.51,10.511089,6.9701513E7,33,300434,20260425
301307.SZ,美利信,46.95,0.08526966531657697,47.32,47.32,46.33,10.91692602,17/5521,47.9,45.78,47.09,41.92,47.32,47.32,47.32,0,42.21,47.09,41.92,46.33,12.377304,2.1594787E7,33,301307,20260425
688101.SH,三达膜,21.92,-0.09115770282588684,21.95,21.95,17.93,10.40640394,19/5521,22.5,21.09,18.58,16.11,21.95,21.95,21.95,0,16.26,18.58,16.11,17.93,15.209359,1.0379806E7,17,688101,20260425
