股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260417],分时开盘价:不复权[20260417 09:25],p_925,chg_pct,分时涨跌幅:前复权排名[20260417 09:25],分时最高价:不复权[20260417 09:25],分时最低价:不复权[20260417 09:25],分时振幅[20260417 09:25],竞价匹配价[20260417],竞价异动类型[20260417],竞价异动说明[20260417],集合竞价评级[20260417],竞价量[20260417],竞价金额[20260417],竞价未匹配量[20260417],竞价未匹配金额[20260417],分时成交量[20260417 09:25],分时成交额[20260417 09:25],分时换手率[20260417 09:25],market_code,code,date
301513.SZ,尚水智能,82.01,-1.073582629674307,275.056,99.99,99.99,275.05626406601647,1/5521,99.99,99.99,0,99.99,竞价抢筹,单笔放量10%以上抢筹,看多,892200,89211078.0,-2244,-224377.56,892200,89211078.0,4.428013733095988,33,301513,20260417
300905.SZ,宝丽迪,68.12,0.029368575624097257,19.991,55.58,55.58,19.991364421416225,2/5521,55.58,55.58,0,55.58,大幅高开,大幅高开20.00%,看多,1376500,76505870.0,-492696,-27384044.0,1376500,76505870.0,0.9857050850158641,33,300905,20260417
688227.SH,品高股份,143.55,6.176035502958597,13.685,96.03,96.03,13.6853320705576,3/5521,96.03,96.03,0,96.03,竞价抢筹,单笔放量10%以上抢筹,看多,594690,57108081.0,36953,3548596.6,594690,57108081.0,0.5260170301651117,17,688227,20260417
000552.SZ,甘肃能化,2.88,-1.7064846416382342,10.182,3.03,3.03,10.18181818181818,4/5521,3.03,3.03,0,3.03,大幅高开,大幅高开10.20%,看多,29022400,87937872.0,-12630212,-38269542.0,29022400,87937872.0,0.7789551358451228,33,000552,20260417
600330.SH,天通股份,27.89,8.690568978955575,10.025,21.73,21.73,10.0253164556962,5/5521,21.73,21.73,0,21.73,大幅高开,大幅高开10.00%,看多,7875405,171132550.0,56147195,1220078550.0,7875405,171132550.0,0.6384940210716481,17,600330,20260417
002771.SZ,真视通,14.76,-1.7964071856287398,10.016,20.21,20.21,10.01633097441481,6/5521,20.21,20.21,0,20.21,大幅高开,大幅高开10.00%,看多,1761240,35594660.0,28436860,574708940.0,1761240,35594660.0,1.0092218329744285,33,002771,20260417
600961.SH,株冶集团,26.49,-4.402742692168901,10.01,22.09,22.09,10.009960159362553,7/5521,22.09,22.09,0,22.09,大幅高开,大幅高开10.00%,看多,802681,17731223.0,87988919,1943675200.0,802681,17731223.0,0.1067661297067357,17,600961,20260417
002487.SZ,大金重工,84.0,-1.7199017199017186,9.987,85.46,85.46,9.987129987129983,8/5521,85.46,85.46,0,85.46,竞价抢筹,单笔放量10%以上抢筹,看多,1809502,154640040.0,178998,15297169.0,1809502,154640040.0,0.2868035942912634,33,002487,20260417
600683.SH,京投发展,14.5,5.762217359591532,9.908,11.98,11.98,9.908256880733934,9/5521,11.98,11.98,0,11.98,大幅高开,大幅高开9.90%,看多,1858100,22260038.0,-249300,-2986614.0,1858100,22260038.0,0.25083101966432714,17,600683,20260417
688148.SH,芳源股份,10.85,-1.0036496350365074,9.226,10.3,10.3,9.225874867444329,10/5521,10.3,10.3,0,10.3,大幅高开,大幅高开9.20%,偏多,3633563,37425699.0,211907,2182642.1,3633563,37425699.0,0.7122216625580967,17,688148,20260417
000030.SZ,富奥股份,5.09,-0.19607843137254485,7.5,5.59,5.59,7.499999999999996,11/5521,5.59,5.59,0,5.59,大幅高开,大幅高开7.50%,偏多,2083600,11647324.0,-101269,-566093.71,2083600,11647324.0,0.12469878288128812,33,000030,20260417
002428.SZ,云南锗业,70.01,1.1412886449003268,7.399,60.53,60.53,7.398864442867281,12/5521,60.53,60.53,0,60.53,竞价抢筹,单笔放量10%以上抢筹,看多,4340183,262711280.0,337217,20411745.0,4340183,262711280.0,0.6646165743254818,33,002428,20260417
000967.SZ,盈峰环境,13.57,-3.8270729978738425,7.192,14.01,14.01,7.192042846212687,13/5521,14.01,14.01,0,14.01,大幅高开,大幅高开7.20%,看多,10050704,140810360.0,16796,235311.96,10050704,140810360.0,0.3175151488842826,33,000967,20260417
301360.SZ,荣旗科技,85.36,0.7078810759792288,7.148,86.79,86.79,7.148148148148148,14/5521,86.79,86.79,0,86.79,竞价抢筹,单笔放量10%以上抢筹,看多,49530,4298708.7,2570,223050.3,49530,4298708.7,0.19454045561665356,33,301360,20260417
301666.SZ,大普微,318.0,7.4324324324324325,7.136,262.0,262.0,7.135555101206292,15/5521,262.0,262.0,0,262.0,竞价抢筹,单笔放量10%以上抢筹,看多,849162,222480440.0,32638,8551156.0,849162,222480440.0,3.2024099250790354,33,301666,20260417
300778.SZ,新城市,13.05,4.1500399042298595,7.115,13.7,13.7,7.114933541829549,16/5521,13.7,13.7,0,13.7,大幅高开,大幅高开7.10%,看多,184600,2529020.0,7100,97270.0,184600,2529020.0,0.09065929967036652,33,300778,20260417
603912.SH,佳力图,10.58,1.2440191387559885,6.686,11.17,11.17,6.685768863419295,17/5521,11.17,11.17,0,11.17,竞价砸盘,单笔放量10%以上砸盘,偏空,3034500,33895365.0,-3360,-37531.2,3034500,33895365.0,0.5600270890335053,17,603912,20260417
600156.SH,华升股份,10.8,-3.3124440465532605,6.651,8.98,8.98,6.65083135391924,18/5521,8.98,8.98,0,8.98,竞价抢筹,单笔放量10%以上抢筹,看多,1924700,17283806.0,-11000,-98780.0,1924700,17283806.0,0.47864928499217113,17,600156,20260417
300773.SZ,拉卡拉,26.94,-0.29607698001479754,5.938,26.76,26.76,5.938242280285033,19/5521,26.76,26.76,0,26.76,竞价抢筹,单笔放量10%以上抢筹,看多,3437759,91994431.0,14041,375737.16,3437759,91994431.0,0.46800384621033225,33,300773,20260417
603920.SH,世运电路,52.65,-3.765307987570832,5.81,62.28,62.28,5.810397553516822,20/5521,62.28,62.28,0,62.28,急速下跌,一分钟跌幅大于3%,-,4414500,274935060.0,-173,-10774.44,4414500,274935060.0,0.6126210196604136,17,603920,20260417
002297.SZ,博云新材,24.5,5.557949159844891,5.784,17.01,17.01,5.783582089552253,21/5521,17.01,17.01,0,17.01,急速下跌,一分钟跌幅大于3%,-,14407934,245078960.0,708766,12056109.7,14407934,245078960.0,2.5140137584500053,33,002297,20260417
603162.SH,海通发展,14.87,-1.9775873434410067,5.783,15.0,15.0,5.782792665726388,22/5521,15.0,15.0,0,15.0,竞价抢筹,单笔放量10%以上抢筹,看多,1734100,26011500.0,-229100,-3436500.0,1734100,26011500.0,0.620594764910071,17,603162,20260417
002975.SZ,博杰股份,110.38,0.2452093361184234,5.634,96.0,96.0,5.633802816901423,23/5521,96.0,96.0,0,96.0,竞价抢筹,单笔放量10%以上抢筹,看多,144300,13852800.0,38700,3715200.0,144300,13852800.0,0.1363134237643325,33,002975,20260417
