股票代码,股票简称,最新价,最新涨跌幅,涨停封单量[20260414],{(}涨停封单量[20260414]{*}100.0{)},自由流通股[20260414],fenglu_ratio,zt_first_time,涨停原因类别[20260414],涨停[20260414],涨停明细数据[20260414],zt_last_time,涨停封单额[20260414],涨停开板次数[20260414],自由流通市值[20260414],实际换手率[20260414],a股市值(不含限售股)[20260414],market_code,code,date
002297.SZ,博云新材,24.5,5.557949159844891,52325960,5232596000,443711940,11.79277708866703, 09:30:00,一季报业绩预增+商业航天+硬质合金,涨停,"[{""code"":""002297.SZ"",""time"":1776130200000,""openTime"":null,""duration"":14374206,""updatedTime"":1776150000000,""firstVol"":1.0053776E8,""highestVol"":1.0239156E8,""firstVolDivLTGB"":0.17542647813610515,""firstVolDivVol"":39.66706384590498,""highestVolDivLTGB"":0.17866113947298706,""highestVolDivVol"":25.027023591869458}]", 09:30:00,695412008.4,0,5896931682.6,2.2914956942560525,7616563044.51,33,002297,20260414
600743.SH,华远控股,2.47,2.9166666666666785,34110255,3411025500,1068870535,3.191242894538205, 09:30:38,实控人筹划重组+物业管理+北京国资,涨停,"[{""code"":""600743.SH"",""time"":1776130238368,""openTime"":null,""duration"":14335838,""updatedTime"":1776150000000,""firstVol"":1.0905291E7,""highestVol"":4.7105411E7,""firstVolDivLTGB"":0.004648261769497981,""firstVolDivVol"":0.21098626161068204,""highestVolDivLTGB"":0.020078169494769985,""highestVolDivVol"":0.8123570982688624}]", 09:30:38,109493918.55,0,3431074417.35,6.425783362060776,7530983805.54,17,600743,20260414
000620.SZ,盈新发展,2.8,-0.3558718861210047,33892099,3389209900,3362015072,1.0080888477349454, 09:46:08,存储芯片+拟收购长兴半导体+文旅地产,涨停,"[{""code"":""000620.SZ"",""time"":1776131168799,""openTime"":null,""duration"":13405407,""updatedTime"":1776150000000,""firstVol"":4.071833E8,""highestVol"":4.31086E8,""firstVolDivLTGB"":0.08715864575009262,""firstVolDivVol"":3.852134119214799,""highestVolDivLTGB"":0.09227508093240668,""highestVolDivVol"":3.404096971255799}]", 09:46:08,105404427.89,0,10455866873.92,6.544726876227401,14529138814.65,33,000620,20260414
002124.SZ,天邦食品,2.61,-1.5094339622641524,29151625,2915162500,1889189587,1.5430756765017042, 09:51:30,猪肉+预重整+销量增长,涨停,"[{""code"":""002124.SZ"",""time"":1776131490009,""openTime"":null,""duration"":13084197,""updatedTime"":1776150000000,""firstVol"":1.792326E7,""highestVol"":5.9734985E7,""firstVolDivLTGB"":0.009087239973893376,""firstVolDivVol"":0.12291380282849203,""highestVolDivLTGB"":0.030286127832320753,""highestVolDivVol"":0.3716918113787564}]", 09:51:30,83082131.25,0,5384190322.95,10.35386810016331,5620680604.05,33,002124,20260414
601778.SH,晶科科技,6.5,-6.609195402298851,22815299,2281529900,2719189740,0.839047701025821, 10:26:54,回购股份注销+算电协同+储能,涨停,"[{""code"":""601778.SH"",""time"":1776133614078,""openTime"":null,""duration"":10960128,""updatedTime"":1776150000000,""firstVol"":1.9800533E8,""highestVol"":2.1005283E8,""firstVolDivLTGB"":0.055423472721499785,""firstVolDivVol"":0.507572730010004,""highestVolDivLTGB"":0.0587956763263839,""highestVolDivVol"":0.5331689572274552}]", 10:26:54,137576252.97,0,16396714132.2,20.537086058584496,21542716132.2,17,601778,20260414
600664.SH,哈药股份,3.58,-2.7173913043478284,22644468,2264446800,1345272853,1.6832620943403516, 14:41:41,创新药+保健品+仿制药一致性评价,涨停,"[{""code"":""600664.SH"",""time"":1776148901329,""openTime"":null,""duration"":1098671,""updatedTime"":1776150000000,""firstVol"":7.9610147E7,""highestVol"":7.9610147E7,""firstVolDivLTGB"":0.03161001978139553,""firstVolDivVol"":0.3469709094565372,""highestVolDivLTGB"":0.03161001978139553,""highestVolDivVol"":0.3469709094565372}]", 14:41:41,91483650.72,0,5434902326.12,19.080944391880923,10174779899.04,17,600664,20260414
000889.SZ,中嘉博创,4.42,-8.108108108108103,21969414,2196941400,643753128,3.412707922407175, 09:32:23,算力销售+5G消息+短信通道,涨停,"[{""code"":""000889.SZ"",""time"":1776130343696,""openTime"":null,""duration"":14230510,""updatedTime"":1776150000000,""firstVol"":9.086542E7,""highestVol"":1.250639E8,""firstVolDivLTGB"":0.10446106092473845,""firstVolDivVol"":1.5431017235499636,""highestVolDivLTGB"":0.14377645178314696,""highestVolDivVol"":1.2752589061428008}]", 09:32:23,94688174.33999999,0,2774575981.68,19.59842981920237,3749032579.26,33,000889,20260414
002107.SZ,沃华医药,7.31,-3.0503978779840906,16072688,1607268800,281247653,5.714781200325252, 09:39:27,心脑血管中药+独家产品线+业绩大增,涨停,"[{""code"":""002107.SZ"",""time"":1776130767614,""openTime"":1776130797614,""duration"":30000,""updatedTime"":1776130797614,""firstVol"":4.8638E7,""highestVol"":4.8638E7,""firstVolDivLTGB"":0.08512164747626619,""firstVolDivVol"":1.909322304031254,""highestVolDivLTGB"":0.08512164747626619,""highestVolDivVol"":1.909322304031254},{""code"":""002107.SZ"",""time"":1776131231882,""openTime"":null,""duration"":13342324,""updatedTime"":1776150000000,""firstVol"":4.585176E7,""highestVol"":4.585176E7,""firstVolDivLTGB"":0.0802454326018003,""firstVolDivVol"":0.9791879194076203,""highestVolDivLTGB"":0.0802454326018003,""highestVolDivVol"":0.9791879194076203}]", 09:47:11,125849147.04,1,2202169122.99,20.516288183923084,4474015145.28,33,002107,20260414
601588.SH,北辰实业,2.0,9.890109890109885,15292900,1529290000,1337027697,1.1437982948531245, 09:35:38,控股股东增持+房地产+会展+北京国资,涨停,"[{""code"":""601588.SH"",""time"":1776130538697,""openTime"":1776131528333,""duration"":989636,""updatedTime"":1776131528333,""firstVol"":2904400.0,""highestVol"":4.35288E7,""firstVolDivLTGB"":0.0010918796992481204,""firstVolDivVol"":0.030626727729328986,""highestVolDivLTGB"":0.01636421052631579,""highestVolDivVol"":0.4076972095742532},{""code"":""601588.SH"",""time"":1776131560548,""openTime"":null,""duration"":13013658,""updatedTime"":1776150000000,""firstVol"":182824.0,""highestVol"":6.81768E7,""firstVolDivLTGB"":6.873082706766917E-5,""firstVolDivVol"":0.001335038765078919,""highestVolDivLTGB"":0.025630375939849626,""highestVolDivVol"":0.4890814507333123}]", 09:52:40,31656302.999999996,1,2767647332.79,11.804330707144656,5506200000.0,17,601588,20260414
600469.SH,风神股份,6.39,0.15673981191222236,14604900,1460490000,298968215,4.88510124730149, 13:14:24,巨型轮胎项目+工程机械配套+央企,涨停,"[{""code"":""600469.SH"",""time"":1776143664676,""openTime"":null,""duration"":6335324,""updatedTime"":1776150000000,""firstVol"":5.495125E7,""highestVol"":5.495125E7,""firstVolDivLTGB"":0.07533235230039227,""firstVolDivVol"":2.064976085340082,""highestVolDivLTGB"":0.07533235230039227,""highestVolDivVol"":2.064976085340082}]", 13:14:24,105885525.0,0,2167519558.75,10.401183617462479,5288518814.75,17,600469,20260414
