股票代码,股票简称,最新价,最新涨跌幅,涨停封单量[20260421],{(}涨停封单量[20260421]{*}100.0{)},自由流通股[20260421],fenglu_ratio,zt_first_time,涨停原因类别[20260421],涨停[20260421],涨停明细数据[20260421],zt_last_time,涨停封单额[20260421],涨停开板次数[20260421],自由流通市值[20260421],实际换手率[20260421],a股市值(不含限售股)[20260421],market_code,code,date
300067.SZ,安诺其,6.85,-3.7921348314606806,113451244,11345124400,759154020,14.944430380543858, 09:30:00,拟收购烽云信息+算力服务+复牌,涨停,"[{""code"":""300067.SZ"",""time"":1776735000000,""openTime"":null,""duration"":14386044,""updatedTime"":1776754800000,""firstVol"":3.5901421E8,""highestVol"":3.5901421E8,""firstVolDivLTGB"":0.38295515674154973,""firstVolDivVol"":176.33354207647858,""highestVolDivLTGB"":0.38295515674154973,""highestVolDivVol"":176.33354207647858}]", 09:30:00,572928782.1999999,0,3833727801.0,1.1199909077738928,4733181584.0,33,300067,20260421
002081.SZ,金螳螂,5.9,10.074626865671641,57743326,5774332600,1338068052,4.315425206789109, 09:30:37,商业航天产业配套+半导体洁净室+越南合作+EPC总包,涨停,"[{""code"":""002081.SZ"",""time"":1776735037808,""openTime"":null,""duration"":14348236,""updatedTime"":1776754800000,""firstVol"":5.6657982E7,""highestVol"":1.17378811E8,""firstVolDivLTGB"":0.021423987468095467,""firstVolDivVol"":0.6234252697191561,""highestVolDivLTGB"":0.04438425244097021,""highestVolDivVol"":1.200414197204647}]", 09:30:37,259267533.74,0,6007925553.48,8.935084416767765,11872652704.36,33,002081,20260421
600103.SH,青山纸业,4.46,-4.086021505376352,35117194,3511719400,1615386823,2.173918562414818, 10:39:33,光模块+林浆纸+福建国资,涨停,"[{""code"":""600103.SH"",""time"":1776739173815,""openTime"":null,""duration"":10212229,""updatedTime"":1776754800000,""firstVol"":9.1351929E7,""highestVol"":9.9403904E7,""firstVolDivLTGB"":0.041292197977455744,""firstVolDivVol"":0.24316900256151242,""highestVolDivLTGB"":0.04493178993187988,""highestVolDivVol"":0.2632374198110739}]", 10:39:33,182609408.8,0,8400011479.6,24.939532764778534,11504111044.4,17,600103,20260421
000690.SZ,宝新能源,5.28,-1.1235955056179703,32004688,3200468800,1788622942,1.7893479530242993, 11:29:21,年报增长+绿电龙头,涨停,"[{""code"":""000690.SZ"",""time"":1776742161366,""openTime"":null,""duration"":7224678,""updatedTime"":1776754800000,""firstVol"":1.985636E8,""highestVol"":1.985636E8,""firstVolDivLTGB"":0.09131593646667263,""firstVolDivVol"":0.8785914473398931,""highestVolDivLTGB"":0.09131593646667263,""highestVolDivVol"":0.8785914473398931}]", 11:29:21,168664705.76,0,9426042904.34,13.481752097530682,11459447414.0,33,000690,20260421
000980.SZ,众泰汽车,2.52,10.043668122270741,31621322,3162132200,3703374345,0.8538516243353195, 09:44:52,汽车整车+子公司复产+高管聘任,涨停,"[{""code"":""000980.SZ"",""time"":1776735892980,""openTime"":null,""duration"":13493064,""updatedTime"":1776754800000,""firstVol"":2.4149775E8,""highestVol"":2.4149775E8,""firstVolDivLTGB"":0.0479982298517211,""firstVolDivVol"":1.5873812205464914,""highestVolDivLTGB"":0.0479982298517211,""highestVolDivVol"":1.5873812205464914}]", 09:44:52,75258746.36,0,8814030941.1,5.536689216331437,12001152244.34,33,000980,20260421
000802.SZ,北京文化,4.31,0.46620046620045624,29033199,2903319900,666484686,4.356168957796578, 09:30:07,影视IP+文旅小镇+演出经济,涨停,"[{""code"":""000802.SZ"",""time"":1776735007808,""openTime"":null,""duration"":14378236,""updatedTime"":1776754800000,""firstVol"":5.28576E7,""highestVol"":5.55973E7,""firstVolDivLTGB"":0.07387050919391044,""firstVolDivVol"":7.870399047051817,""highestVolDivLTGB"":0.0776993442912012,""highestVolDivVol"":5.992056905749852}]", 09:30:07,129488067.53999999,0,2972521699.56,4.941283977228548,3191326262.3,33,000802,20260421
000539.SZ,粤电力A,6.53,-6.71428571428571,20398019,2039801900,816245258,2.499006125925941, 10:23:36,算电协同+电力+广东国资,涨停,"[{""code"":""000539.SZ"",""time"":1776738216833,""openTime"":null,""duration"":11169211,""updatedTime"":1776754800000,""firstVol"":9.95394E7,""highestVol"":1.4761053E8,""firstVolDivLTGB"":0.03895277072875061,""firstVolDivVol"":1.2131764924174855,""highestVolDivLTGB"":0.05776445439935708,""highestVolDivVol"":1.6996688645640177}]", 10:23:36,130343341.41,0,5215807198.62,14.33707048868393,16328922284.61,33,000539,20260421
600961.SH,株冶集团,26.49,-4.402742692168901,20011300,2001130000,467273173,4.282569844856041, 09:30:00,一季报增长+黄金+铟金属+央企,涨停,"[{""code"":""600961.SH"",""time"":1776735000000,""openTime"":null,""duration"":14386044,""updatedTime"":1776754800000,""firstVol"":3.39292E7,""highestVol"":3.4021E7,""firstVolDivLTGB"":0.04512987560495112,""firstVolDivVol"":24.00707563857638,""highestVolDivLTGB"":0.045251980534643965,""highestVolDivVol"":14.292135775499917}]", 09:30:00,534902049.0,0,12490211914.29,2.536952832941685,20095945398.54,17,600961,20260421
600736.SH,苏州高新,8.15,-2.9761904761904763,19297224,1929722400,647098013,2.98211764096392, 09:52:44,商业航天+产业园运营+脑机接口+国企,涨停,"[{""code"":""600736.SH"",""time"":1776736364826,""openTime"":null,""duration"":13021218,""updatedTime"":1776754800000,""firstVol"":7.7421454E7,""highestVol"":7.8633854E7,""firstVolDivLTGB"":0.06724739944914818,""firstVolDivVol"":2.2486003147051923,""highestVolDivLTGB"":0.06830047637911835,""highestVolDivVol"":2.2127410040292257}]", 09:52:44,133536790.08,0,4477918249.96,7.642240125376494,7966946916.44,17,600736,20260421
002752.SZ,昇兴股份,7.4,0.2710027100271065,18281300,1828130000,352109946,5.191929454898158, 09:30:00,一季报增长+金属包装+越南扩产,涨停,"[{""code"":""002752.SZ"",""time"":1776735000000,""openTime"":null,""duration"":14386044,""updatedTime"":1776754800000,""firstVol"":4.576643E7,""highestVol"":4.576643E7,""firstVolDivLTGB"":0.0469145789829895,""firstVolDivVol"":8.4654355035912,""highestVolDivLTGB"":0.0469145789829895,""highestVolDivVol"":8.4654355035912}]", 09:30:00,126140970.0,0,2429558627.4,5.224845310106634,6731135051.1,33,002752,20260421
