股票代码,股票简称,最新价,chg_pct,p_close,p_open,涨跌幅:前复权[20260415],p_high,p_low,p_low,开盘价:前复权[20260415],最高价:前复权[20260415],最低价:前复权[20260415],收盘价:前复权[20260415],振幅[20260415],成交量[20260415],market_code,code,date
603110.SH,东方材料,22.13,2.4062933826931956,16.59,16.74,-1.19118523,16.9,,1/5521,16.74,16.9,16.55,16.59,2.084574,5721800,17,603110,20260415
603351.SH,威尔药业,27.14,0.4069552349241562,25.79,25.53,1.45554681,26.05,,1/5521,25.53,26.05,25.23,25.79,3.225806,1354000,17,603351,20260415
600085.SH,同仁堂,27.77,1.3873676524278897,28.05,28.07,0.03566334,28.15,,1/5521,28.07,28.15,27.95,28.05,0.713266,5297009,17,600085,20260415
603477.SH,巨星农牧,18.81,1.6756756756756688,18.87,18.46,0.69370331,19.08,,1/5521,18.46,19.08,18.21,18.87,4.642475,2.7726946E7,17,603477,20260415
002164.SZ,宁波东力,12.56,0.7217321571772242,12.85,13.04,-1.45705521,13.2,,1/5521,13.04,13.2,12.84,12.85,2.760736,1.119948E7,33,002164,20260415
003019.SZ,宸展光电,35.18,-0.789622109419067,34.05,34.93,-2.60297483,34.93,,1/5521,34.93,34.93,33.89,34.05,2.974828,5415406,33,003019,20260415
688603.SH,天承科技,93.22,-0.9141156462585028,98.56,87.97,13.11832893,100.8,,1/5521,87.97,100.8,86.93,98.56,15.918742,1.0496057E7,17,688603,20260415
000785.SZ,居然智家,2.58,-1.5267175572519096,2.7,2.46,10.20408163,2.7,,1/5521,2.46,2.7,2.46,2.7,9.795918,1.31510843E8,33,000785,20260415
300131.SZ,英唐智控,16.25,-2.1084337349397675,15.46,15.51,-0.06464124,15.89,,1/5521,15.51,15.89,15.03,15.46,5.559146,1.20766439E8,33,300131,20260415
301101.SZ,明月镜片,35.54,-1.2777777777777801,34.83,35.34,-0.99488346,35.53,,1/5521,35.34,35.53,34.82,34.83,2.018192,2318700,33,301101,20260415
002839.SZ,张家港行,4.56,-1.5118790496760321,4.51,4.47,0.89485459,4.52,,1/5521,4.47,4.52,4.46,4.51,1.342281,2.2258159E7,33,002839,20260415
002840.SZ,华统股份,12.72,4.006541291905153,13.68,12.56,8.91719745,13.82,,1/5521,12.56,13.82,12.56,13.68,10.031847,8.5845544E7,33,002840,20260415
601616.SH,广电电气,4.64,-1.0660980810234693,4.82,4.77,1.2605042,4.88,,1/5521,4.77,4.88,4.73,4.82,3.15126,4.1328028E7,17,601616,20260415
002049.SZ,紫光国微,77.32,1.8977332630469133,70.18,71.4,-1.21058559,71.57,,1/5521,71.4,71.57,70.08,70.18,2.097409,1.4810653E7,33,002049,20260415
688168.SH,安博通,86.81,-0.7545444152280744,78.87,77.98,1.12834979,81.98,,1/5521,77.98,81.98,77.1,78.87,6.257212,2058776,17,688168,20260415
300806.SZ,斯迪克,74.2,0.8289169724147295,51.95,52.58,-1.00990854,53.73,,1/5521,52.58,53.73,51.66,51.95,3.944359,1.1063817E7,33,300806,20260415
603109.SH,神驰机电,22.4,0.3584229390680927,23.1,23.66,-1.4084507,23.68,,1/5521,23.66,23.68,22.9,23.1,3.329065,6948100,17,603109,20260415
301571.SZ,国科天成,69.32,-0.5451936872310038,71.62,72.01,0.16783217,73.99,,1/5521,72.01,73.99,70.45,71.62,4.951048,5299507,33,301571,20260415
000429.SZ,粤高速A,12.58,-0.5533596837944686,12.82,12.68,1.66534496,12.85,,1/5521,12.68,12.85,12.56,12.82,2.299762,5616800,33,000429,20260415
300486.SZ,东杰智能,23.16,0.08643042350907335,24.08,24.99,-3.254319,25.18,,1/5521,24.99,25.18,23.97,24.08,4.86139,1.379475E7,33,300486,20260415
600199.SH,金种子酒,7.94,-0.37641154328731946,8.07,8.11,-0.85995086,8.15,,1/5521,8.11,8.15,8.05,8.07,1.228501,5588798,17,600199,20260415
002713.SZ,*ST东易,12.78,3.9024390243902327,14.95,15.22,0.20107239,15.67,,1/5521,15.22,15.67,14.95,14.95,4.825737,3.9592471E7,33,002713,20260415
300257.SZ,开山股份,30.77,3.8124156545209145,30.2,30.23,0.63312229,32.07,,1/5521,30.23,32.07,30.02,30.2,6.831056,1.6081154E7,33,300257,20260415
301227.SZ,森鹰窗业,31.66,-1.4321295143212869,32.54,33.28,-1.98795181,33.28,,1/5521,33.28,33.28,32.46,32.54,2.469879,620200,33,301227,20260415
