股票代码,股票简称,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260430],p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code,date
600354.SH,敦煌种业,6.15,6.15,6.26,1.78861789,1283/5521,6.27,6.15,6.15,6.15,6.15,0,6.15,6.27,6.15,6.26,1.951219,2.3280639E7,17,600354,20260430
600778.SH,友好集团,6.71,6.71,6.83,1.78837556,1284/5521,6.87,6.66,6.71,6.71,6.71,0,6.71,6.87,6.66,6.83,3.129657,1.2154459E7,17,600778,20260430
300999.SZ,金龙鱼,29.06,29.06,28.54,1.7831669,1285/5521,29.22,28.42,29.06,29.06,29.06,0,29.06,29.22,28.42,28.54,2.853067,1.9551714E7,33,300999,20260430
002571.SZ,德力股份,11.21,11.21,11.42,1.78253119,1286/5521,11.58,11.2,11.21,11.21,11.21,0,11.21,11.58,11.2,11.42,3.386809,5193600,33,002571,20260430
920169.BJ,七丰精工,26.77,26.77,27.41,1.78239881,1287/5521,27.7,26.66,26.77,26.77,26.77,0,26.77,27.7,26.66,27.41,3.861864,1443611,151,920169,20260430
688386.SH,泛亚微透,85.25,85.25,87.99,1.78137652,1288/5521,88.42,85.06,85.25,85.25,85.25,0,85.25,88.42,85.06,87.99,3.886639,2639114,17,688386,20260430
002853.SZ,皮阿诺,26.41,26.41,26.87,1.78030303,1289/5521,27.09,26.02,26.41,26.41,26.41,0,26.41,27.09,26.02,26.87,4.05303,2011484,33,002853,20260430
300520.SZ,科大国创,34.05,34.05,34.9,1.7789443,1290/5521,34.92,34.05,34.05,34.05,34.05,0,34.05,34.92,34.05,34.9,2.537182,9006009,33,300520,20260430
920433.BJ,大唐药业,5.12,5.12,5.15,1.77865613,1291/5521,5.24,5.1,5.12,5.12,5.12,0,5.12,5.24,5.1,5.15,2.766798,1984332,151,920433,20260430
002623.SZ,亚玛顿,20.83,20.83,21.19,1.77713737,1292/5521,21.36,20.66,20.83,20.83,20.83,0,20.83,21.36,20.66,21.19,3.362151,4742741,33,002623,20260430
603602.SH,纵横通信,13.2,13.2,13.18,1.77606178,1294/5521,13.37,13.13,13.2,13.2,13.2,0,13.2,13.37,13.13,13.18,1.853281,5775880,17,603602,20260430
920275.BJ,驱动力,7.31,7.31,7.46,1.77353342,1295/5521,7.6,7.3,7.31,7.31,7.31,0,7.31,7.6,7.3,7.46,4.092769,1002041,151,920275,20260430
001283.SZ,豪鹏科技,73.59,73.59,74.88,1.76678445,1296/5521,77.99,73.58,73.59,73.59,73.59,0,73.59,77.99,73.58,74.88,5.993476,7308029,33,001283,20260430
688665.SH,四方光电,48.06,48.06,48.96,1.76678445,1296/5521,49.28,47.88,48.06,48.06,48.06,0,48.06,49.28,47.88,48.96,2.909997,783100,17,688665,20260430
