股票代码,股票简称,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260430],p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code,date
301599.SZ,理奇智能,48.0,48,62.4,348.59813084,1/5521,62.4,47.5,48.0,48.0,48.0,0,48,62.4,47.5,62.4,107.117181,4.2250787E7,33,301599,20260430
920125.BJ,鸿仕达,70.48,70.48,87.2,29.99403697,2/5521,87.2,70,70.48,70.48,70.48,0,70.48,87.2,70,87.2,25.641025,4894638,151,920125,20260430
920765.BJ,美之高,14.0,14,16.39,24.73363775,3/5521,17.08,13.92,14.0,14.0,14.0,0,14,17.08,13.92,16.39,24.048706,7983363,151,920765,20260430
300083.SZ,创世纪,9.17,9.17,10.19,20.02355713,4/5521,10.19,9.17,9.17,9.17,9.17,0,9.17,10.19,9.17,10.19,12.014134,4.00320977E8,33,300083,20260430
300632.SZ,光莆股份,24.47,24.47,24.47,20.00980873,5/5521,24.47,24,24.47,24.47,24.47,0,24.47,24.47,24,24.47,2.305051,3.6827802E7,33,300632,20260430
688400.SH,凌云光,50.91,50.91,59.32,20.00809225,6/5521,59.32,50.4,50.91,50.91,50.91,0,50.91,59.32,50.4,59.32,18.045721,4.016277E7,17,688400,20260430
688699.SH,明微电子,50.93,50.93,55.43,20.00432994,7/5521,55.43,50.93,50.93,50.93,50.93,0,50.93,55.43,50.93,55.43,9.742368,5827561,17,688699,20260430
688256.SH,寒武纪,1475.0,1475,1699.96,20.00028236,8/5521,1699.96,1475,1475.0,1475.0,1475.0,0,1475,1699.96,1475,1699.96,15.87994,1.7884265E7,17,688256,20260430
688531.SH,日联科技,110.0,110,120.6,20,9/5521,120.6,105.58,110.0,110.0,110.0,0,110,120.6,105.58,120.6,14.945273,2.4116015E7,17,688531,20260430
688521.SH,芯原股份,260.0,260,280.88,19.99829111,10/5521,280.88,260,260.0,260.0,260.0,0,260,280.88,260,280.88,8.920408,4.0905185E7,17,688521,20260430
688155.SH,先惠技术,100.0,100,103.57,19.99768277,11/5521,103.57,96.81,100.0,100.0,100.0,0,100,103.57,96.81,103.57,7.832232,7057207,17,688155,20260430
300885.SZ,海昌新材,24.5,24.5,28.64,19.98324256,12/5521,28.64,24.33,24.5,24.5,24.5,0,24.5,28.64,24.33,28.64,18.056137,2.7909813E7,33,300885,20260430
688655.SH,迅捷兴,39.2,39.2,45.53,18.59859338,13/5521,46.07,39.2,39.2,39.2,39.2,0,39.2,46.07,39.2,45.53,17.895285,2.4891891E7,17,688655,20260430
688141.SH,杰华特,79.53,79.53,92.88,16.78611845,14/5521,94.98,78.8,79.53,79.53,79.53,0,79.53,94.98,78.8,92.88,20.344524,3.0776884E7,17,688141,20260430
688021.SH,奥福科技,26.25,26.25,30.3,16.31477927,15/5521,30.35,26.05,26.25,26.25,26.25,0,26.25,30.35,26.05,30.3,16.506717,6711489,17,688021,20260430
688691.SH,灿芯股份,108.36,108.36,122.8,15.8490566,16/5521,125,108,108.36,108.36,108.36,0,108.36,125,108,122.8,16.037735,1.7496281E7,17,688691,20260430
301246.SZ,宏源药业,25.89,25.89,29.97,15.7589803,17/5521,30.49,25.5,25.89,25.89,25.89,0,25.89,30.49,25.5,29.97,19.27385,5.6313715E7,33,301246,20260430
688449.SH,联芸科技,49.99,49.99,55.05,14.1405764,18/5521,56.31,49.54,49.99,49.99,49.99,0,49.99,56.31,49.54,55.05,14.036906,3.4242527E7,17,688449,20260430
300762.SZ,上海瀚讯,38.26,38.26,43.42,13.81389253,19/5521,44.38,38.26,38.26,38.26,38.26,0,38.26,44.38,38.26,43.42,16.041939,8.40183E7,33,300762,20260430
301588.SZ,美新科技,31.17,31.17,34.35,13.7040715,20/5521,34.81,30.72,31.17,31.17,31.17,0,31.17,34.81,30.72,34.35,13.538563,1.36653E7,33,301588,20260430
688800.SH,瑞可达,94.21,94.21,105.0,13.61177234,21/5521,107.49,94.21,94.21,94.21,94.21,0,94.21,107.49,94.21,105.0,14.369184,2.296024E7,17,688800,20260430
688239.SH,航宇科技,61.31,61.31,68.48,13.47141674,22/5521,69.31,61.1,61.31,61.31,61.31,0,61.31,69.31,61.1,68.48,13.603976,1.7325951E7,17,688239,20260430
688515.SH,裕太微,152.0,152,172.6,13.41832041,23/5521,176,152,152.0,152.0,152.0,0,152,176,152,172.6,15.770797,9814807,17,688515,20260430
300536.SZ,农尚环境,9.05,9.05,10.16,13.2664437,24/5521,10.45,9,9.05,9.05,9.05,0,9.05,10.45,9,10.16,16.164994,3.6773725E7,33,300536,20260430
300651.SZ,金陵体育,32.67,32.67,36.08,13.24544884,25/5521,38.2,32.39,32.67,32.67,32.67,0,32.67,38.2,32.39,36.08,18.236032,2.9956452E7,33,300651,20260430
920425.BJ,乐创技术,22.3,22.3,25.25,13.22869955,26/5521,27.77,22.29,22.3,22.3,22.3,0,22.3,27.77,22.29,25.25,24.573991,1.1684773E7,151,920425,20260430
688037.SH,芯源微,198.5,198.5,232.11,13.22439024,27/5521,245,195.69,198.5,198.5,198.5,0,198.5,245,195.69,232.11,24.053658,1.6745055E7,17,688037,20260430
688536.SH,思瑞浦,240.0,240,268.1,12.95079205,28/5521,272.3,239,240.0,240.0,240.0,0,240,272.3,239,268.1,14.029322,1.0109056E7,17,688536,20260430
300769.SZ,德方纳米,69.94,69.94,71.95,12.91588198,29/5521,74.98,69.94,69.94,69.94,69.94,0,69.94,74.98,69.94,71.95,7.909604,8.0779686E7,33,300769,20260430
300820.SZ,英杰电气,43.63,43.63,49.25,12.88104515,30/5521,49.49,43.19,43.63,43.63,43.63,0,43.63,49.49,43.19,49.25,14.439605,1.1506931E7,33,300820,20260430
300843.SZ,胜蓝股份,76.3,76.3,82.34,12.77907136,31/5521,85,76.3,76.3,76.3,76.3,0,76.3,85,76.3,82.34,11.916175,1.4459692E7,33,300843,20260430
300477.SZ,ST合纵,2.46,2.46,2.76,12.65306122,32/5521,2.78,2.42,2.46,2.46,2.46,0,2.46,2.78,2.42,2.76,14.693877,1.0513337E8,33,300477,20260430
688220.SH,翱捷科技,96.22,96.22,101.46,12.5083167,33/5521,103.52,95.52,96.22,96.22,96.22,0,96.22,103.52,95.52,101.46,8.871146,2.6879191E7,17,688220,20260430
300152.SZ,*ST动力,1.78,1.78,2.0,12.35955056,34/5521,2.06,1.76,1.78,1.78,1.78,0,1.78,2.06,1.76,2.0,16.853932,6.5530203E7,33,300152,20260430
688811.SH,有研复材,21.48,21.48,24.08,12.05211726,35/5521,24.8,21.46,21.48,21.48,21.48,0,21.48,24.8,21.46,24.08,15.542112,3.1538541E7,17,688811,20260430
301529.SZ,福赛科技,122.52,122.52,138.11,11.88431627,36/5521,139.98,121.41,122.52,122.52,122.52,0,122.52,139.98,121.41,138.11,15.043745,6016496,33,301529,20260430
688371.SH,菲沃泰,20.82,20.82,24.72,11.85520362,37/5521,24.99,20.51,20.82,20.82,20.82,0,20.82,24.99,20.51,24.72,20.271493,1.6846471E7,17,688371,20260430
688189.SH,南新制药,8.01,8.01,8.95,11.45703611,38/5521,9.58,8.01,8.01,8.01,8.01,0,8.01,9.58,8.01,8.95,19.551681,3.7011759E7,17,688189,20260430
688820.SH,盛合晶微,93.79,93.79,103.0,11.35135135,39/5521,107,91,93.79,93.79,93.79,0,93.79,107,91,103.0,17.297297,5.9862912E7,17,688820,20260430
688808.SH,联讯仪器,911.0,911,1033.33,11.35021552,40/5521,1060,911,911.0,911.0,911.0,0,911,1060,911,1033.33,16.056034,4887190,17,688808,20260430
301306.SZ,西测测试,149.21,149.21,165.72,11.18416639,41/5521,168.77,149.14,149.21,149.21,149.21,0,149.21,168.77,149.14,165.72,13.170077,8185067,33,301306,20260430
300672.SZ,国科微,161.0,161,178.31,11.02739726,42/5521,180.5,159.29,161.0,161.0,161.0,0,161,180.5,159.29,178.31,13.206724,2.0374663E7,33,300672,20260430
300210.SZ,森远股份,9.79,9.79,10.8,10.99691675,43/5521,10.95,9.7,9.79,9.79,9.79,0,9.79,10.95,9.7,10.8,12.846865,4.11547E7,33,300210,20260430
688418.SH,震有科技,42.01,42.01,47.03,10.78916372,44/5521,47.89,42,42.01,42.01,42.01,0,42.01,47.89,42,47.03,13.875147,1.4252524E7,17,688418,20260430
688549.SH,中巨芯,11.21,11.21,12.29,10.62106211,45/5521,12.65,11.21,11.21,11.21,11.21,0,11.21,12.65,11.21,12.29,12.961296,1.03069386E8,17,688549,20260430
301517.SZ,陕西华达,63.22,63.22,70.2,10.62086354,46/5521,71.55,62.87,63.22,63.22,63.22,0,63.22,71.55,62.87,70.2,13.677907,1.0183727E7,33,301517,20260430
301217.SZ,铜冠铜箔,72.32,72.32,78.34,10.36911806,47/5521,82.49,70,72.32,72.32,72.32,0,72.32,82.49,70,78.34,17.596506,7.6374368E7,33,301217,20260430
000790.SZ,华神科技,4.25,4.25,4.57,10.12048193,48/5521,4.57,4.25,4.25,4.25,4.25,0,4.25,4.57,4.25,4.57,7.710843,4.6629403E7,33,000790,20260430
600322.SH,津投城开,2.55,2.55,2.73,10.08064516,49/5521,2.73,2.54,2.55,2.55,2.55,0,2.55,2.73,2.54,2.73,7.66129,6.8310708E7,17,600322,20260430
002081.SZ,金螳螂,5.17,5.17,5.9,10.07462687,50/5521,5.9,5.07,5.17,5.17,5.17,0,5.17,5.9,5.07,5.9,15.485074,5.75692507E8,33,002081,20260430
603717.SH,天域生物,6.9,6.9,7.54,10.0729927,51/5521,7.54,6.89,6.9,6.9,6.9,0,6.9,7.54,6.89,7.54,9.489051,1.89688E7,17,603717,20260430
000402.SZ,金融街,3.11,3.11,3.17,10.06944444,52/5521,3.17,3.02,3.11,3.11,3.11,0,3.11,3.17,3.02,3.17,5.208333,1.2253602E8,33,000402,20260430
000567.SZ,海德股份,6.26,6.26,6.67,10.0660066,53/5521,6.67,6.19,6.26,6.26,6.26,0,6.26,6.67,6.19,6.67,7.920792,1.5603989E8,33,000567,20260430
600540.SH,新赛股份,5.32,5.32,5.58,10.0591716,54/5521,5.58,5.21,5.32,5.32,5.32,0,5.32,5.58,5.21,5.58,7.29783,4.7109176E7,17,600540,20260430
002763.SZ,汇洁股份,8.86,8.86,9.41,10.05847953,55/5521,9.41,8.86,8.86,8.86,8.86,0,8.86,9.41,8.86,9.41,6.432748,2.328103E7,33,002763,20260430
000783.SZ,长江证券,7.85,7.85,7.99,10.05509642,56/5521,7.99,7.8,7.85,7.85,7.85,0,7.85,7.99,7.8,7.99,2.617079,2.96142649E8,33,000783,20260430
600246.SH,万通发展,10.32,10.32,11.28,10.04878049,57/5521,11.28,10.31,10.32,10.32,10.32,0,10.32,11.28,10.31,11.28,9.463414,1.63952744E8,17,600246,20260430
000980.SZ,众泰汽车,2.32,2.32,2.52,10.04366812,58/5521,2.52,2.3,2.32,2.32,2.32,0,2.32,2.52,2.3,2.52,9.606986,3.06775849E8,33,000980,20260430
600379.SH,宝光股份,16.5,16.5,16.78,10.03278689,59/5521,16.78,16.48,16.5,16.5,16.5,0,16.5,16.78,16.48,16.78,1.967213,4.3834368E7,17,600379,20260430
603937.SH,丽岛新材,14.14,14.14,15.25,10.02886003,60/5521,15.25,14.03,14.14,14.14,14.14,0,14.14,15.25,14.03,15.25,8.802308,2.40648E7,17,603937,20260430
600158.SH,中体产业,11.54,11.54,11.85,10.02785515,61/5521,11.85,11.54,11.54,11.54,11.54,0,11.54,11.85,11.54,11.85,2.878365,6.7439324E7,17,600158,20260430
002235.SZ,安妮股份,10.21,10.21,11.2,10.01964637,62/5521,11.2,10.21,10.21,10.21,10.21,0,10.21,11.2,10.21,11.2,9.72495,1.05983611E8,33,002235,20260430
603190.SH,亚通精工,27.61,27.61,28.33,10.01941748,63/5521,28.33,27.5,27.61,27.61,27.61,0,27.61,28.33,27.5,28.33,3.2233,5382993,17,603190,20260430
002989.SZ,中天精装,27.62,27.62,29.21,10.01883239,64/5521,29.21,27.55,27.62,27.62,27.62,0,27.62,29.21,27.55,29.21,6.252354,8993002,33,002989,20260430
603095.SH,越剑智能,25.37,25.37,25.37,10.01734605,65/5521,25.37,25.37,25.37,25.37,25.37,0,25.37,25.37,25.37,25.37,0,3761220,17,603095,20260430
603711.SH,香飘飘,14.11,14.11,14.28,10.01540832,66/5521,14.28,13.7,14.11,14.11,14.11,0,14.11,14.28,13.7,14.28,4.468412,1.4058036E7,17,603711,20260430
603131.SH,上海沪工,20.45,20.45,22.52,10.01465559,67/5521,22.52,20.43,20.45,20.45,20.45,0,20.45,22.52,20.43,22.52,10.210063,1.4831435E7,17,603131,20260430
002805.SZ,丰元股份,22.68,22.68,22.85,10.01444391,68/5521,22.85,22.22,22.68,22.68,22.68,0,22.68,22.85,22.22,22.85,3.03322,1.3042577E7,33,002805,20260430
605222.SH,起帆电缆,32.84,32.84,36.37,10.01209921,69/5521,36.37,32.76,32.84,32.84,32.84,0,32.84,36.37,32.76,36.37,10.91954,2.1060276E7,17,605222,20260430
002929.SZ,润建股份,56.18,56.18,59.68,10.00921659,70/5521,59.68,55.66,56.18,56.18,56.18,0,56.18,59.68,55.66,59.68,7.410138,3.0198011E7,33,002929,20260430
603698.SH,航天工程,40.77,40.77,43.97,10.00750563,71/5521,43.97,40.24,40.77,40.77,40.77,0,40.77,43.97,40.24,43.97,9.331998,4.8518525E7,17,603698,20260430
002181.SZ,粤传媒,15.2,15.2,16.49,10.00667111,72/5521,16.49,15.08,15.2,15.2,15.2,0,15.2,16.49,15.08,16.49,9.40627,7.5319417E7,33,002181,20260430
000628.SZ,高新发展,59.97,59.97,66.18,10.00664894,73/5521,66.18,57.9,59.97,59.97,59.97,0,59.97,66.18,57.9,66.18,13.763297,1.8647407E7,33,000628,20260430
603178.SH,圣龙股份,17.52,17.52,19.46,10.00565291,74/5521,19.46,17.4,17.52,17.52,17.52,0,17.52,19.46,17.4,19.46,11.644997,2.4262683E7,17,603178,20260430
002870.SZ,香山股份,36.22,36.22,39.58,10.00555864,75/5521,39.58,36.22,36.22,36.22,36.22,0,36.22,39.58,36.22,39.58,9.338521,1.0480274E7,33,002870,20260430
600714.SH,金瑞矿业,20.95,20.95,22.1,10.0049776,76/5521,22.1,20.6,20.95,20.95,20.95,0,20.95,22.1,20.6,22.1,7.466401,4.7441201E7,17,600714,20260430
603726.SH,朗迪集团,23.22,23.22,24.85,10.00442674,77/5521,24.85,23.15,23.22,23.22,23.22,0,23.22,24.85,23.15,24.85,7.525453,7790100,17,603726,20260430
001316.SZ,润贝航科,51.0,51,51.9,10.00423908,78/5521,51.9,50.58,51.0,51.0,51.0,0,51,51.9,50.58,51.9,2.797795,2762840,33,001316,20260430
605123.SH,派克新材,100.0,100,106.77,10.00412116,79/5521,106.77,99.91,100.0,100.0,100.0,0,100,106.77,99.91,106.77,7.067793,5314787,17,605123,20260430
002842.SZ,翔鹭钨业,36.51,36.51,38.49,10.00285796,80/5521,38.49,36.51,36.51,36.51,36.51,0,36.51,38.49,36.51,38.49,5.658759,8.7961252E7,33,002842,20260430
002192.SZ,融捷股份,103.85,103.85,109.22,10.00100715,81/5521,109.22,102.1,103.85,103.85,103.85,0,103.85,109.22,102.1,109.22,7.170913,3.3849554E7,33,002192,20260430
000007.SZ,全新好,14.11,14.11,15.51,10,82/5521,15.51,14.08,14.11,14.11,14.11,0,14.11,15.51,14.08,15.51,10.141843,1.1594276E7,33,000007,20260430
000553.SZ,安道麦A,6.82,6.82,6.82,10,82/5521,6.82,6.82,6.82,6.82,6.82,0,6.82,6.82,6.82,6.82,0,1.2056187E7,33,000553,20260430
001215.SZ,千味央厨,41.97,41.97,46.86,10,82/5521,46.86,41.8,41.97,41.97,41.97,0,41.97,46.86,41.8,46.86,11.877934,9785449,33,001215,20260430
002158.SZ,汉钟精机,25.15,25.15,27.61,10,82/5521,27.61,25.03,25.15,25.15,25.15,0,25.15,27.61,25.03,27.61,10.278884,1.5399025E7,33,002158,20260430
002453.SZ,华软科技,5.15,5.15,5.61,10,82/5521,5.61,5.15,5.15,5.15,5.15,0,5.15,5.61,5.15,5.61,9.019607,1.94931E7,33,002453,20260430
002591.SZ,恒大高新,8.36,8.36,8.36,10,82/5521,8.36,8.06,8.36,8.36,8.36,0,8.36,8.36,8.06,8.36,3.947368,2.14979E7,33,002591,20260430
600433.SH,冠豪高新,4.34,4.34,4.84,10,82/5521,4.84,4.33,4.34,4.34,4.34,0,4.34,4.84,4.33,4.84,11.590909,1.71943317E8,17,600433,20260430
603360.SH,百傲化学,20.63,20.63,22.66,10,82/5521,22.66,20.49,20.63,20.63,20.63,0,20.63,22.66,20.49,22.66,10.53398,4.2958614E7,17,603360,20260430
603897.SH,长城科技,48.5,48.5,52.36,10,82/5521,52.36,47.8,48.5,48.5,48.5,0,48.5,52.36,47.8,52.36,9.579831,1.0192215E7,17,603897,20260430
603119.SH,浙江荣泰,76.43,76.43,82.51,9.99866684,91/5521,82.51,76.2,76.43,76.43,76.43,0,76.43,82.51,76.2,82.51,8.412211,2.2905312E7,17,603119,20260430
605376.SH,博迁新材,119.7,119.7,131.58,9.99832804,92/5521,131.58,119.7,119.7,119.7,119.7,0,119.7,131.58,119.7,131.58,9.931449,1.6413097E7,17,605376,20260430
002785.SZ,万里石,48.36,48.36,51.16,9.99784992,93/5521,51.16,47.3,48.36,48.36,48.36,0,48.36,51.16,47.3,51.16,8.29929,2.3497092E7,33,002785,20260430
605099.SH,共创草坪,44.9,44.9,48.42,9.99545661,94/5521,48.42,44.9,44.9,44.9,44.9,0,44.9,48.42,44.9,48.42,7.996365,7335833,17,605099,20260430
002240.SZ,盛新锂能,55.26,55.26,60.09,9.99450851,95/5521,60.09,55.26,55.26,55.26,55.26,0,55.26,60.09,55.26,60.09,8.841295,8.893605E7,33,002240,20260430
001268.SZ,联合精密,34.92,34.92,38.41,9.99427262,96/5521,38.41,34.92,34.92,34.92,34.92,0,34.92,38.41,34.92,38.41,9.994272,4771700,33,001268,20260430
603629.SH,利通电子,142.32,142.32,144.41,9.99314495,97/5521,144.42,136.72,142.32,142.32,142.32,0,142.32,144.42,136.72,144.41,5.864879,4.4705508E7,17,603629,20260430
002149.SZ,西部材料,57.46,57.46,63.51,9.99307239,98/5521,63.51,57.46,57.46,57.46,57.46,0,57.46,63.51,57.46,63.51,10.478004,7.6425309E7,33,002149,20260430
001218.SZ,丽臣实业,27.63,27.63,27.63,9.99203822,99/5521,27.63,27.63,27.63,27.63,27.63,0,27.63,27.63,27.63,27.63,0,2499890,33,001218,20260430
002990.SZ,盛视科技,49.01,49.01,53.83,9.99182673,100/5521,53.83,48.5,49.01,49.01,49.01,0,49.01,53.83,48.5,53.83,10.890886,1.1784104E7,33,002990,20260430
605299.SH,舒华体育,24.16,24.16,25.98,9.9915326,101/5521,25.98,24.16,24.16,24.16,24.16,0,24.16,25.98,24.16,25.98,7.705334,2.3152232E7,17,605299,20260430
603045.SH,福达合金,46.68,46.68,46.68,9.99057493,102/5521,46.68,46.68,46.68,46.68,46.68,0,46.68,46.68,46.68,46.68,0,2430700,17,603045,20260430
603375.SH,盛景微,40.99,40.99,45.25,9.9902771,103/5521,45.25,40.99,40.99,40.99,40.99,0,40.99,45.25,40.99,45.25,10.354885,6148207,17,603375,20260430
000066.SZ,中国长城,19.0,19,19.82,9.98890122,104/5521,19.82,18.39,19.0,19.0,19.0,0,19,19.82,18.39,19.82,7.935627,4.31571802E8,33,000066,20260430
002645.SZ,华宏科技,24.88,24.88,25.77,9.9871959,105/5521,25.77,24.66,24.88,24.88,24.88,0,24.88,25.77,24.66,25.77,4.737516,4.5769309E7,33,002645,20260430
603687.SH,大胜达,15.6,15.6,17.18,9.9871959,105/5521,17.18,15.6,15.6,15.6,15.6,0,15.6,17.18,15.6,17.18,10.115236,6.952505E7,17,603687,20260430
000833.SZ,粤桂股份,29.25,29.25,31.72,9.98613037,107/5521,31.72,28.93,29.25,29.25,29.25,0,29.25,31.72,28.93,31.72,9.674063,6.5184165E7,33,000833,20260430
603399.SH,永杉锂业,19.39,19.39,19.39,9.98298355,108/5521,19.39,19.39,19.39,19.39,19.39,0,19.39,19.39,19.39,19.39,0,8690269,17,603399,20260430
002685.SZ,华东重机,8.35,8.35,9.15,9.97596154,109/5521,9.15,8.29,8.35,8.35,8.35,0,8.35,9.15,8.29,9.15,10.336538,1.38650494E8,33,002685,20260430
601086.SH,国芳集团,8.5,8.5,8.93,9.97536946,110/5521,8.93,8.5,8.5,8.5,8.5,0,8.5,8.93,8.5,8.93,5.295566,2.473348E7,17,601086,20260430
688123.SH,聚辰股份,115.6,115.6,123.49,9.96438112,111/5521,129.8,115.5,115.6,115.6,115.6,0,115.6,129.8,115.5,123.49,12.733748,1.7471917E7,17,688123,20260430
600400.SH,红豆股份,2.5,2.5,2.76,9.96015936,112/5521,2.76,2.49,2.5,2.5,2.5,0,2.5,2.76,2.49,2.76,10.756972,1.91230129E8,17,600400,20260430
603030.SH,全筑股份,2.62,2.62,2.65,9.95850622,113/5521,2.65,2.62,2.62,2.62,2.62,0,2.62,2.65,2.62,2.65,1.244813,4.31286E7,17,603030,20260430
002640.SZ,跨境通,3.65,3.65,3.65,9.93975904,114/5521,3.65,3.64,3.65,3.65,3.65,0,3.65,3.65,3.64,3.65,0.301204,7.0481E7,33,002640,20260430
920156.BJ,海昌智能,47.0,47,48.49,9.92972115,115/5521,52.58,46.5,47.0,47.0,47.0,0,47,52.58,46.5,48.49,13.783722,1.0229936E7,151,920156,20260430
601106.SH,中国一重,4.16,4.16,4.54,9.92736077,116/5521,4.54,4.08,4.16,4.16,4.16,0,4.16,4.54,4.08,4.54,11.138014,1.64851167E8,17,601106,20260430
600208.SH,衢州发展,4.21,4.21,4.55,9.90338164,117/5521,4.55,4.21,4.21,4.21,4.21,0,4.21,4.55,4.21,4.55,8.21256,1.98625123E8,17,600208,20260430
600052.SH,东望时代,4.06,4.06,4.44,9.9009901,118/5521,4.44,4.04,4.06,4.06,4.06,0,4.06,4.44,4.04,4.44,9.90099,5.3877231E7,17,600052,20260430
688159.SH,有方科技,45.74,45.74,47.99,9.89237463,119/5521,49.59,45.74,45.74,45.74,45.74,0,45.74,49.59,45.74,47.99,8.81612,8887564,17,688159,20260430
601588.SH,北辰实业,1.81,1.81,2.0,9.89010989,120/5521,2,1.81,1.81,1.81,1.81,0,1.81,2,1.81,2.0,10.43956,1.24199761E8,17,601588,20260430
688025.SH,杰普特,344.0,344,356.01,9.87962963,121/5521,375,333.71,344.0,344.0,344.0,0,344,375,333.71,356.01,12.743827,5890626,17,688025,20260430
605389.SH,长龄液压,106.2,106.2,116.98,9.84037559,122/5521,117.15,104.07,106.2,106.2,106.2,0,106.2,117.15,104.07,116.98,12.28169,4420785,17,605389,20260430
301193.SZ,家联科技,24.71,24.71,27.03,9.52188006,123/5521,27.7,24.5,24.71,24.71,24.71,0,24.71,27.7,24.5,27.03,12.965964,2.0495615E7,33,301193,20260430
688339.SH,亿华通,25.14,25.14,26.15,9.46002512,124/5521,26.61,24.61,25.14,25.14,25.14,0,25.14,26.61,24.61,26.15,8.371703,1.2889363E7,17,688339,20260430
920078.BJ,族兴新材,25.3,25.3,27.61,9.13043478,125/5521,28.8,24.89,25.3,25.3,25.3,0,25.3,28.8,24.89,27.61,15.454545,6561635,151,920078,20260430
920108.BJ,宏海科技,11.28,11.28,11.7,8.93854749,126/5521,12.5,11,11.28,11.28,11.28,0,11.28,12.5,11,11.7,13.96648,4715655,151,920108,20260430
600330.SH,天通股份,25.79,25.79,27.89,8.69056898,127/5521,28.23,25.78,25.79,25.79,25.79,0,25.79,28.23,25.78,27.89,9.547934,2.91431865E8,17,600330,20260430
688147.SH,微导纳米,72.57,72.57,79.36,8.62304955,128/5521,80.81,72.5,72.57,72.57,72.57,0,72.57,80.81,72.5,79.36,11.374212,1.485789E7,17,688147,20260430
002281.SZ,光迅科技,135.52,135.52,144.28,8.58734101,129/5521,146.16,135.01,135.52,135.52,135.52,0,135.52,146.16,135.01,144.28,8.391661,8.0211514E7,33,002281,20260430
000042.SZ,中洲控股,9.19,9.19,9.63,8.56820744,130/5521,9.76,9.08,9.19,9.19,9.19,0,9.19,9.76,9.08,9.63,7.66629,3.6469732E7,33,000042,20260430
301310.SZ,鑫宏业,60.29,60.29,66.65,8.5504886,131/5521,67.3,60.29,60.29,60.29,60.29,0,60.29,67.3,60.29,66.65,11.416938,7582046,33,301310,20260430
603195.SH,公牛集团,43.98,43.98,44.85,8.49056604,132/5521,45.3,43.34,43.98,43.98,43.98,0,43.98,45.3,43.34,44.85,4.74117,2.2235773E7,17,603195,20260430
002943.SZ,宇晶股份,63.74,63.74,68.81,8.43050741,133/5521,69.12,63.48,63.74,63.74,63.74,0,63.74,69.12,63.48,68.81,8.887488,1.5456675E7,33,002943,20260430
301198.SZ,喜悦智行,17.55,17.55,18.9,8.37155963,134/5521,19.36,17.4,17.55,17.55,17.55,0,17.55,19.36,17.4,18.9,11.238532,1.1298472E7,33,301198,20260430
688115.SH,思林杰,51.7,51.7,55.99,8.19323671,135/5521,56.56,51.48,51.7,51.7,51.7,0,51.7,56.56,51.48,55.99,9.816425,2535582,17,688115,20260430
688173.SH,希荻微,15.7,15.7,16.8,8.17772054,136/5521,17.12,15.6,15.7,15.7,15.7,0,15.7,17.12,15.6,16.8,9.787508,2.4323487E7,17,688173,20260430
301362.SZ,民爆光电,146.59,146.59,157.0,8.1714207,137/5521,158.5,144.49,146.59,146.59,146.59,0,146.59,158.5,144.49,157.0,9.652749,5184762,33,301362,20260430
688127.SH,蓝特光学,72.67,72.67,76.8,8.16901408,138/5521,78.78,72.67,72.67,72.67,72.67,0,72.67,78.78,72.67,76.8,8.605633,1.4882142E7,17,688127,20260430
002025.SZ,航天电器,68.7,68.7,73.19,8.15723363,139/5521,74.44,67.95,68.7,68.7,68.7,0,68.7,74.44,67.95,73.19,9.59066,4.2814067E7,33,002025,20260430
000880.SZ,潍柴重机,30.49,30.49,30.9,8.15540777,140/5521,31.35,30.05,30.49,30.49,30.49,0,30.49,31.35,30.05,30.9,4.550227,4.2001211E7,33,000880,20260430
301092.SZ,争光股份,38.0,38,41.13,8.15145937,141/5521,41.99,37.35,38.0,38.0,38.0,0,38,41.99,37.35,41.13,12.200894,8404797,33,301092,20260430
002135.SZ,东南网架,7.87,7.87,8.51,8.1321474,142/5521,8.6,7.8,7.87,7.87,7.87,0,7.87,8.6,7.8,8.51,10.165184,6.3117111E7,33,002135,20260430
688387.SH,信科移动,18.08,18.08,19.58,8.1170624,143/5521,19.79,17.69,18.08,18.08,18.08,0,18.08,19.79,17.69,19.58,11.595803,1.20669532E8,17,688387,20260430
300835.SZ,龙磁科技,91.83,91.83,99.23,8.05836872,144/5521,99.69,91.83,91.83,91.83,91.83,0,91.83,99.69,91.83,99.23,8.559294,6668610,33,300835,20260430
688302.SH,海创药业,40.95,40.95,44.0,7.94896958,145/5521,44.2,40.61,40.95,40.95,40.95,0,40.95,44.2,40.61,44.0,8.807654,2345220,17,688302,20260430
300751.SZ,迈为股份,222.22,222.22,238.88,7.91470907,146/5521,240.32,219.46,222.22,222.22,222.22,0,222.22,240.32,219.46,238.88,9.423563,1.2275358E7,33,300751,20260430
301322.SZ,绿通科技,35.8,35.8,38.8,7.89766407,147/5521,39.74,35.8,35.8,35.8,35.8,0,35.8,39.74,35.8,38.8,10.956618,6927185,33,301322,20260430
688757.SH,胜科纳米,26.11,26.11,28.16,7.89272031,148/5521,28.47,25.8,26.11,26.11,26.11,0,26.11,28.47,25.8,28.16,10.229885,1.0915625E7,17,688757,20260430
