股票代码,股票简称,最新价,最新涨跌幅,涨停封单量[20260429],{(}涨停封单量[20260429]{*}100.0{)},自由流通股[20260429],fenglu_ratio,p_open,p_close,p_high,p_low,最低价:不复权排名[20260429],自由流通市值[20260429],实际换手率[20260429],涨停[20260429],zt_first_time,涨停明细数据[20260429],最终涨停时间[20260429],涨停封单额[20260429],涨停开板次数[20260429],market_code,code
300438.SZ,鹏辉能源,86.1,6.29629629629629,1400278,140027800,344721386,0.40620572348244155,66.83,81.0,81,65.87,470/5521,27922432266.0,21.419221724758323,涨停, 13:08:22,"[{""code"":""300438.SZ"",""time"":1777439302040,""openTime"":1777439338607,""duration"":36567,""updatedTime"":1777439338607,""firstVol"":11500.0,""highestVol"":69000.0,""firstVolDivLTGB"":2.8453779228235428E-5,""firstVolDivVol"":1.664922551711843E-4,""highestVolDivLTGB"":1.7072267536941257E-4,""highestVolDivVol"":9.925803611041879E-4},{""code"":""300438.SZ"",""time"":1777439364922,""openTime"":null,""duration"":6635078,""updatedTime"":1777446000000,""firstVol"":6282252.0,""highestVol"":6868266.0,""firstVolDivLTGB"":0.015543809692533954,""firstVolDivVol"":0.0895019505998114,""highestVolDivLTGB"":0.01699374995172136,""highestVolDivVol"":0.09733796916983169}]", 13:09:24,113422518.0,1,33,300438
603773.SH,沃格光电,69.35,-0.5592199598508756,1185972,118597200,150718835,0.7868771013257898,64.41,69.74,69.74,64.41,484/5521,10511131552.9,13.58736816138474,涨停, 11:05:31,"[{""code"":""603773.SH"",""time"":1777431931145,""openTime"":null,""duration"":8634317,""updatedTime"":1777446000000,""firstVol"":8322907.0,""highestVol"":8484367.0,""firstVolDivLTGB"":0.03704690484785421,""firstVolDivVol"":0.43397101314462466,""highestVolDivLTGB"":0.03776559523532755,""highestVolDivVol"":0.4398637310920954}]", 11:05:31,82709687.28,0,17,603773
301217.SZ,铜冠铜箔,78.34,10.369118061425754,962478,96247800,229015544,0.42026754306249187,57.97,70.98,70.98,57.89,580/5521,16255523313.12,34.04126053557308,涨停, 14:13:06,"[{""code"":""301217.SZ"",""time"":1777443186303,""openTime"":null,""duration"":2813697,""updatedTime"":1777446000000,""firstVol"":9391638.0,""highestVol"":9453538.0,""firstVolDivLTGB"":0.011328663338066433,""firstVolDivVol"":0.12425000943950158,""highestVolDivLTGB"":0.011403330213070167,""highestVolDivVol"":0.12499237435213065}]", 14:13:06,68316688.44,0,33,301217
002847.SZ,盐津铺子,58.72,-1.5095605501509537,1154360,115436000,98602779,1.170717510913156,56.38,59.62,59.62,56.12,617/5521,5878697683.98,6.173590705795422,涨停, 09:44:59,"[{""code"":""002847.SZ"",""time"":1777427099768,""openTime"":null,""duration"":13465694,""updatedTime"":1777446000000,""firstVol"":1.21806E7,""highestVol"":1.21806E7,""firstVolDivLTGB"":0.049953102171059936,""firstVolDivVol"":2.993959284159442,""highestVolDivLTGB"":0.049953102171059936,""highestVolDivVol"":2.993959284159442}]", 09:44:59,68822943.2,0,33,002847
002709.SZ,天赐材料,60.51,2.0060687795010077,3110457,311045700,1283480092,0.24234555871864666,54.12,59.32,59.32,53.58,663/5521,76136039057.44,14.069126597718977,涨停, 13:15:17,"[{""code"":""002709.SZ"",""time"":1777439717479,""openTime"":1777439771854,""duration"":54375,""updatedTime"":1777439771854,""firstVol"":187100.0,""highestVol"":187100.0,""firstVolDivLTGB"":1.2398849156448736E-4,""firstVolDivVol"":0.0014102763635148857,""highestVolDivLTGB"":1.2398849156448736E-4,""highestVolDivVol"":0.0014102763635148857},{""code"":""002709.SZ"",""time"":1777440224066,""openTime"":1777440252499,""duration"":28433,""updatedTime"":1777440252499,""firstVol"":2.1534535E7,""highestVol"":2.1534535E7,""firstVolDivLTGB"":0.01427062806623548,""firstVolDivVol"":0.1436291477355227,""highestVolDivLTGB"":0.01427062806623548,""highestVolDivVol"":0.1436291477355227},{""code"":""002709.SZ"",""time"":1777440299133,""openTime"":1777440876956,""duration"":577823,""updatedTime"":1777440876956,""firstVol"":1.4968942E7,""highestVol"":2.1058942E7,""firstVolDivLTGB"":0.009919703575073761,""firstVolDivVol"":0.09799196540017228,""highestVolDivLTGB"":0.013955459393500956,""highestVolDivVol"":0.13743737425822675},{""code"":""002709.SZ"",""time"":1777441229175,""openTime"":null,""duration"":4770825,""updatedTime"":1777446000000,""firstVol"":1.6192914E7,""highestVol"":1.6192914E7,""firstVolDivLTGB"":0.010730812297666861,""firstVolDivVol"":0.09418583062537211,""highestVolDivLTGB"":0.010730812297666861,""highestVolDivVol"":0.09418583062537211}]", 13:40:29,184512309.24,3,33,002709
300769.SZ,德方纳米,71.95,12.9158819836786,3277170,327717000,221580288,1.4789988900095663,54.62,63.72,63.72,53.55,664/5521,14119095951.36,24.779103996832063,涨停, 10:51:41,"[{""code"":""300769.SZ"",""time"":1777431101916,""openTime"":null,""duration"":9463546,""updatedTime"":1777446000000,""firstVol"":2.1984676E7,""highestVol"":2.1984676E7,""firstVolDivLTGB"":0.08732481821254978,""firstVolDivVol"":0.4281505470008143,""highestVolDivLTGB"":0.08732481821254978,""highestVolDivVol"":0.4281505470008143}]", 10:51:41,208821272.4,0,33,300769
000657.SZ,中钨高新,58.19,1.5355086372360764,6600860,660086000,894287345,0.7381139895253689,52.07,57.31,57.31,51.8,705/5521,51251607741.95,9.24341717035032,涨停, 13:01:35,"[{""code"":""000657.SZ"",""time"":1777438895075,""openTime"":1777438910075,""duration"":15000,""updatedTime"":1777438910075,""firstVol"":343900.0,""highestVol"":343900.0,""firstVolDivLTGB"":2.3669488724493594E-4,""firstVolDivVol"":0.0052374557984011735,""highestVolDivLTGB"":2.3669488724493594E-4,""highestVolDivVol"":0.0052374557984011735},{""code"":""000657.SZ"",""time"":1777439033850,""openTime"":null,""duration"":6966150,""updatedTime"":1777446000000,""firstVol"":2.1141499E7,""highestVol"":2.6521919E7,""firstVolDivLTGB"":0.01455098785110185,""firstVolDivVol"":0.29200591589110453,""highestVolDivLTGB"":0.018254151285909636,""highestVolDivVol"":0.36079527673165224}]", 13:03:53,378295286.6,1,33,000657
920125.BJ,鸿仕达,87.2,29.994036970781163,536280,53628000,16481539,3.2538223523907566,50.5,67.08,67.08,50.5,727/5521,1105581636.12,46.74487619147702,涨停, 13:32:27,"[{""code"":""920125"",""time"":1777440747807,""openTime"":1777441082834,""duration"":335027,""updatedTime"":1777441082834,""firstVol"":952139.0,""highestVol"":952139.0,""firstVolDivLTGB"":0.057770029849761,""firstVolDivVol"":0.13833762499965493,""highestVolDivLTGB"":0.057770029849761,""highestVolDivVol"":0.13833762499965493},{""code"":""920125"",""time"":1777441385913,""openTime"":null,""duration"":4614087,""updatedTime"":1777446000000,""firstVol"":32475.0,""highestVol"":757644.0,""firstVolDivLTGB"":0.001970386381999885,""firstVolDivVol"":0.004261359722139663,""highestVolDivLTGB"":0.04596925080843482,""highestVolDivVol"":0.09891157888882637}]", 13:43:05,35973662.4,1,151,920125
000831.SZ,中国稀土,54.44,0.7588376827688258,2357283,235728300,657573396,0.3584821123146533,50,54.03,54.03,49.9,742/5521,35528690585.88,9.077104147321679,涨停, 10:52:12,"[{""code"":""000831.SZ"",""time"":1777431132567,""openTime"":1777431456302,""duration"":323735,""updatedTime"":1777431456302,""firstVol"":3.3872554E7,""highestVol"":3.3872554E7,""firstVolDivLTGB"":0.03191847895986457,""firstVolDivVol"":0.689426767667773,""highestVolDivLTGB"":0.03191847895986457,""highestVolDivVol"":0.689426767667773},{""code"":""000831.SZ"",""time"":1777431671129,""openTime"":null,""duration"":8894333,""updatedTime"":1777446000000,""firstVol"":1.1353858E7,""highestVol"":1.1353858E7,""firstVolDivLTGB"":0.010698864859327998,""firstVolDivVol"":0.2104500254085347,""highestVolDivLTGB"":0.010698864859327998,""highestVolDivVol"":0.2104500254085347}]", 11:01:11,127364000.49000001,1,33,000831
600111.SH,北方稀土,53.04,4.102060843964664,14083457,1408345700,2240266051,0.6286510922983227,47.5,50.95,50.95,47.49,795/5521,114141555298.45,8.355872862352276,涨停, 10:15:34,"[{""code"":""600111.SH"",""time"":1777428934110,""openTime"":null,""duration"":11631352,""updatedTime"":1777446000000,""firstVol"":7.96631E7,""highestVol"":7.96631E7,""firstVolDivLTGB"":0.022036417449018623,""firstVolDivVol"":0.49731894589716286,""highestVolDivLTGB"":0.022036417449018623,""highestVolDivVol"":0.49731894589716286}]", 10:15:34,717552134.1500001,0,17,600111
