股票代码,股票简称,最新价,chg_pct,p_close,p_open,涨跌幅:前复权[20260303],p_high,p_low,p_low,开盘价:前复权[20260303],最高价:前复权[20260303],最低价:前复权[20260303],收盘价:前复权[20260303],振幅[20260303],成交量[20260303],market_code,code,date
600519.SH,贵州茅台,1384.79,-1.1690230307528786,1426.19,1440.1,-0.96659283,1452.87,1422.13,1/5521,1440.1,1452.87,1422.13,1426.19,2.134559,4589086,17,600519,20260303
688256.SH,寒武纪,1699.96,20.00028236024932,1133.05,1197,-4.93749476,1198.88,1129.99,2/5521,1197,1198.88,1129.99,1133.05,5.779847,7537116,17,688256,20260303
688498.SH,源杰科技,1571.0,3.6963696369636962,875.0,872.1,2.33918129,918,868.36,3/5521,872.1,918,868.36,875.0,5.805847,4561280,17,688498,20260303
688027.SH,国盾量子,572.19,2.385212754536027,627.87,673.66,-5.72522523,682.99,627.7,4/5521,673.66,682.99,627.7,627.87,8.301801,3676582,17,688027,20260303
300308.SZ,中际旭创,857.5,1.4792899408284024,563.8,570.8,-1.18826457,599.04,563.28,5/5521,569.8,598.04,562.28,562.8,6.267306,3.93101E7,33,300308,20260303
688795.SH,摩尔线程,715.7,3.784802784222741,547.4,586.01,-6.44813973,587.99,547,6/5521,586.01,587.99,547,547.4,7.00528,2769821,17,688795,20260303
688802.SH,沐曦股份,758.03,6.261915442413362,499.14,525.35,-4.92209227,528.88,498.88,7/5521,525.35,528.88,498.88,499.14,5.714503,1184448,17,688802,20260303
002371.SZ,北方华创,536.99,5.145777447083478,446.16,465.99,-4.21640189,469.77,446.08,8/5521,465.99,469.77,446.08,446.16,5.085873,7893303,33,002371,20260303
300757.SZ,罗博特科,482.1,-1.2737549148099547,435.1,446,2.43190432,458.19,434.51,9/5521,446,458.19,434.51,435.1,5.574781,1.2073492E7,33,300757,20260303
603444.SH,吉比特,406.61,-2.163137632338789,387.23,403.07,-4.01556652,407.3,387,10/5521,403.07,407.3,387,387.23,5.031851,1977395,17,603444,20260303
300502.SZ,新易盛,525.79,-2.0875232774674184,382.2,381,0.31496063,395.48,379,11/5521,381,395.48,379,382.2,4.325459,5.1145931E7,33,300502,20260303
688072.SH,拓荆科技,445.0,5.034578799537371,380.0,391.9,-1.2345679,407.7,375,12/5521,391.9,407.7,375,380.0,8.499025,8575388,17,688072,20260303
920045.BJ,蘅东光,551.02,-3.41793451588025,355.0,400.1,-7.04372872,408,355,13/5521,400.1,408,355,355.0,13.877978,2126366,151,920045,20260303
300750.SZ,宁德时代,436.0,-2.0224719101123596,344.07,346.33,1.13162072,354.35,344.03,14/5521,339.373,347.393,337.073,337.11,3.033331,4.0007479E7,33,300750,20260303
688167.SH,炬光科技,357.98,2.4556382369776877,334.12,370,-4.64883993,371,333.19,15/5521,370,371,333.19,334.12,10.790217,8125753,17,688167,20260303
688012.SH,中微公司,376.3,4.597509450744947,333.5,350.02,-4.47957839,354.89,332.8,16/5521,350.02,354.89,332.8,333.5,6.326974,1.1098782E7,17,688012,20260303
300394.SZ,天孚通信,307.5,-1.1540068790382125,334.56,364.82,-4.41142857,364.99,332.5,17/5521,364.82,364.99,332.5,334.56,9.282857,4.4529444E7,33,300394,20260303
688502.SH,茂莱光学,474.5,-0.08422825858074906,330.49,354.67,-6.45626946,359.99,330.01,18/5521,354.67,359.99,330.01,330.49,8.485706,1049589,17,688502,20260303
688809.SH,强一股份,423.25,3.8650306748466257,324.63,354,-8.29142889,366.6,324.01,19/5521,354,366.6,324.01,324.63,12.031753,2667693,17,688809,20260303
300033.SZ,同花顺,235.0,0.6639537374170107,314.51,324.5,-2.89904291,331,314.2,20/5521,228.14285714,232.78571429,220.78571429,221.01,5.186786,9704058,33,300033,20260303
688785.SH,恒运昌,325.05,3.4861509073543417,311.0,322,-3.41314948,334.98,310.02,21/5521,322,334.98,310.02,311.0,7.751793,1689791,17,688785,20260303
688111.SH,金山办公,251.94,1.075182540319348,288.4,293.29,-1.63375286,301.46,288.02,22/5521,293.29,301.46,288.02,288.4,4.584058,8646517,17,688111,20260303
301629.SZ,矽电股份,305.13,-1.1564625850340113,287.54,312.03,-7.8486043,322.03,286,23/5521,312.03,322.03,286,287.54,11.546966,1692110,33,301629,20260303
300476.SZ,胜宏科技,328.49,-1.6114056369245502,284.0,307.11,-6.36333663,308.8,283.49,24/5521,305.1150623,306.8050623,281.4950623,282.01,8.344873,4.436135E7,33,300476,20260303
688025.SH,杰普特,356.01,9.879629629629626,273.46,280.99,0.04024145,289.2,273.24,25/5521,280.99,289.2,273.24,273.46,5.838668,7961600,17,688025,20260303
603986.SH,兆易创新,312.99,1.327333354915997,272.89,295,-6.91113764,296.1,272.59,26/5521,295,296.1,272.59,272.89,8.019785,3.3329365E7,17,603986,20260303
002916.SZ,深南电路,312.5,-0.6390893771263206,270.95,289.8,-6.49480623,290.95,270.28,27/5521,289.8,290.95,270.28,270.95,7.133243,9969022,33,002916,20260303
