股票代码,股票简称,p_close,p_open,涨跌幅:前复权[20260430],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code,date
600126.SH,杭钢股份,8.74,9,-3.63836825,9.11,0.69603309,20000105,631/870,8.71,3.00566655,20001205,9,9.11,8.71,8.74,4.410143,1.53656001E8,17,600126,20260430
600684.SH,珠江股份,4.47,4.56,-2.82608696,4.59,0.68775891,20000124,632/870,4.44,1.2963329,20001225,4.56,4.59,4.44,4.47,3.260869,2.243724E7,17,600684,20260430
600681.SH,百川能源,4.06,4.09,-0.49019608,4.1,0.68721088,20000104,633/870,4.03,5.69401361,20000127,4.09,4.1,4.03,4.06,1.715686,1.98035E7,17,600681,20260430
000629.SZ,钒钛股份,3.64,3.69,-1.35501355,3.71,0.68555556,20000125,634/870,3.61,1.40160494,20001206,3.69,3.71,3.61,3.64,2.710027,1.27272701E8,33,000629,20260430
000026.SZ,飞亚达,18.13,17.93,0.22111664,18.27,0.68089086,20000119,635/870,17.7,5.21742303,20001206,17.93,18.27,17.7,18.13,3.150912,1.3312401E7,33,000026,20260430
600724.SH,宁波富达,6.97,6.96,0.14367816,7.1,0.65919525,20000104,636/870,6.94,5.73447205,20001214,6.96,7.1,6.94,6.97,2.29885,6297100,17,600724,20260430
000030.SZ,富奥股份,5.09,5.1,-0.19607843,5.14,0.64666667,20000104,637/870,5.07,5.90857143,20001213,5.1,5.14,5.07,5.09,1.372549,1.365035E7,33,000030,20260430
000717.SZ,中南股份,2.48,2.49,-0.40160643,2.51,0.64108262,20000112,638/870,2.46,1.84407407,20001204,2.49,2.51,2.46,2.48,2.008032,2.06391E7,33,000717,20260430
600161.SH,天坛生物,14.26,14.35,-1.31487889,14.39,0.63442385,20000114,639/870,14.23,1.40513125,20001229,14.35,14.39,14.23,14.26,1.107266,8824828,17,600161,20260430
600738.SH,丽尚国潮,4.8,4.81,-0.41493776,4.86,0.63423561,20000104,640/870,4.78,5.54399075,20001221,4.81,4.86,4.78,4.8,1.659751,1.19527E7,17,600738,20260430
000683.SZ,博源化工,8.96,9.1,-1.53846154,9.29,0.61917379,20000128,641/870,8.88,1.51660969,20001225,9.1,9.29,8.88,8.96,4.505494,3.988226E7,33,000683,20260430
000488.SZ,ST晨鸣,2.57,2.57,-1.90839695,2.64,0.6173748,20001225,642/870,2.5,0.98792332,20001205,2.57,2.64,2.5,2.57,5.343511,3.35696E7,33,000488,20260430
600803.SH,新奥股份,20.26,20.87,-5.28284245,20.88,0.6121,20000117,643/870,20.18,2.5641,20001205,20.87,20.88,20.18,20.26,3.272557,2.6448657E7,17,600803,20260430
000888.SZ,峨眉山A,11.85,11.89,-0.42016807,11.91,0.61124281,20000104,644/870,11.75,1.64724385,20001225,11.89,11.91,11.75,11.85,1.344537,7219165,33,000888,20260430
000906.SZ,浙商中拓,6.34,6.26,0.47543582,6.42,0.60971224,20000124,645/870,6.26,2.85861333,20001220,6.26,6.42,6.26,6.34,2.535657,2.2709687E7,33,000906,20260430
600116.SH,三峡水利,6.58,6.67,-0.3030303,6.67,0.60268939,20000125,646/870,6.56,2.04,20001206,6.67,6.67,6.56,6.58,1.666666,2.06969E7,17,600116,20260430
600422.SH,昆药集团,9.5,9.49,0,9.56,0.59391827,20001211,647/870,9.46,1.10713942,20001206,9.49,9.56,9.46,9.5,1.052631,8033147,17,600422,20260430
000566.SZ,海南海药,5.0,4.97,0.80645161,5.04,0.59076923,20000125,648/870,4.91,1.78692308,20001208,4.97,5.04,4.91,5.0,2.620967,2.11271E7,33,000566,20260430
000516.SZ,国际医学,4.6,4.62,-0.86206897,4.65,0.58586628,20000105,649/870,4.59,0.90368302,20001208,4.62,4.65,4.59,4.6,1.293103,2.1860568E7,33,000516,20260430
600106.SH,重庆路桥,5.94,6.01,-1.16472546,6.05,0.57117758,20000104,650/870,5.85,1.31150451,20001201,6.01,6.05,5.85,5.94,3.327787,3.2186505E7,17,600106,20260430
600794.SH,保税科技,3.58,3.6,0,3.6,0.54815801,20000104,651/870,3.56,1.1988237,20001225,3.6,3.6,3.56,3.58,1.117318,9542400,17,600794,20260430
600824.SH,益民集团,4.1,4.08,0.49019608,4.15,0.52830209,20000104,652/870,4.07,1.1424315,20001208,4.08,4.15,4.07,4.1,1.960784,1.3416788E7,17,600824,20260430
000501.SZ,武商集团,8.38,8.38,-0.11918951,8.43,0.52076923,20000104,653/870,8.33,3.17603989,20001205,8.38,8.43,8.33,8.38,1.191895,5733531,33,000501,20260430
