股票代码,股票简称,最新价,最新涨跌幅,涨停[20260303],feng_dan_jin,ltsz,涨停封板时长[20260303],p_open,p_close,p_high,p_low,p_low,zt_first_time,最终涨停时间[20260303],涨停明细数据[20260303],连续涨停天数[20260303],涨停原因类别[20260303],feng_dan_liang,feng_dan_liang,feng_dan_liang,涨停开板次数[20260303],几天几板[20260303],涨停类型[20260303],总市值[20260303],所属同花顺行业,market_code,code,fenglu_ratio,date
920088.BJ,科力股份,48.44,1.7006088599621985,涨停,79217791.38000001,2834256155.64,2.8337444592,78,89.18,89.18,76,344/5521, 10:39:39, 10:39:39,"[{""code"":""920088"",""time"":1772505579304,""openTime"":null,""duration"":10200664,""updatedTime"":1772521200000,""firstVol"":548948.0,""highestVol"":1367539.0,""firstVolDivLTGB"":0.017272674010985957,""firstVolDivVol"":0.053964463443133076,""highestVolDivLTGB"":0.043029677390772396,""highestVolDivVol"":0.13377575733505553}]",2,油服+新疆油田,888291,8.347211821643564,2.795011707828925,0,2天2板,放量涨停,7854216370.0,石油石化-油气开采及服务-油服工程,151,920088,2.795011707828926,20260303
300191.SZ,潜能恒信,43.38,-5.428384565075202,涨停,100919358.52,11741030600.0,2.8129094592,48.43,53.08,53.08,48.08,755/5521, 10:33:54, 13:14:10,"[{""code"":""300191.SZ"",""time"":1772505234299,""openTime"":1772505654304,""duration"":420005,""updatedTime"":1772505654304,""firstVol"":1727900.0,""highestVol"":2099800.0,""firstVolDivLTGB"":0.007811659395555957,""firstVolDivVol"":0.04728377313071064,""highestVolDivLTGB"":0.009492981306087389,""highestVolDivVol"":0.05732398386563813},{""code"":""300191.SZ"",""time"":1772505729305,""openTime"":1772506104308,""duration"":375003,""updatedTime"":1772506104308,""firstVol"":43700.0,""highestVol"":1503000.0,""firstVolDivLTGB"":1.9756323605868125E-4,""firstVolDivVol"":0.0011601885314328258,""highestVolDivLTGB"":0.006794909469020547,""highestVolDivVol"":0.03983462719453546},{""code"":""300191.SZ"",""time"":1772506269308,""openTime"":1772506284308,""duration"":15000,""updatedTime"":1772506284308,""firstVol"":12400.0,""highestVol"":12400.0,""firstVolDivLTGB"":5.605913334388209E-5,""firstVolDivVol"":3.1911412272490934E-4,""highestVolDivLTGB"":5.605913334388209E-5,""highestVolDivVol"":3.1911412272490934E-4},{""code"":""300191.SZ"",""time"":1772506299308,""openTime"":1772506494311,""duration"":195003,""updatedTime"":1772506494311,""firstVol"":50900.0,""highestVol"":583100.0,""firstVolDivLTGB"":2.3011370058093538E-4,""firstVolDivVol"":0.0013075531462554452,""highestVolDivLTGB"":0.0026361355365175526,""highestVolDivVol"":0.014934596660367038},{""code"":""300191.SZ"",""time"":1772506539312,""openTime"":1772506719313,""duration"":180001,""updatedTime"":1772506719313,""firstVol"":206700.0,""highestVol"":501400.0,""firstVolDivLTGB"":9.34469585659712E-4,""firstVolDivVol"":0.005261085236402169,""highestVolDivLTGB"":0.0022667781821469743,""highestVolDivVol"":0.012760064570914708},{""code"":""300191.SZ"",""time"":1772506764315,""openTime"":1772514700018,""duration"":2515671,""updatedTime"":1772514700018,""firstVol"":64800.0,""highestVol"":1980000.0,""firstVolDivLTGB"":2.929541807002871E-4,""firstVolDivVol"":0.001636137551901919,""highestVolDivLTGB"":0.008951377743619883,""highestVolDivVol"":0.04934613504995412},{""code"":""300191.SZ"",""time"":1772514730018,""openTime"":1772514775018,""duration"":45000,""updatedTime"":1772514775018,""firstVol"":74200.0,""highestVol"":74200.0,""firstVolDivLTGB"":3.3545062049323E-4,""firstVolDivVol"":0.0017849486633609193,""highestVolDivLTGB"":3.3545062049323E-4,""highestVolDivVol"":0.0017849486633609193},{""code"":""300191.SZ"",""time"":1772514805019,""openTime"":1772514835019,""duration"":30000,""updatedTime"":1772514835019,""firstVol"":3100.0,""highestVol"":3100.0,""firstVolDivLTGB"":1.4014783335970523E-5,""firstVolDivVol"":7.41578485210162E-5,""highestVolDivLTGB"":1.4014783335970523E-5,""highestVolDivVol"":7.41578485210162E-5},{""code"":""300191.SZ"",""time"":1772514850019,""openTime"":null,""duration"":6349981,""updatedTime"":1772521200000,""firstVol"":2400.0,""highestVol"":2670831.0,""firstVolDivLTGB"":1.0850154840751374E-5,""firstVolDivVol"":5.7264717825836186E-5,""highestVolDivLTGB"":0.012074554126449514,""highestVolDivVol"":0.06332180713427529}]",2,涠洲5-3油田+业绩预增+油气开采,1901269,4.421869766706925,0.8595442934966885,8,2天2板,放量涨停||逆势涨停,16985600000.0,石油石化-油气开采及服务-油气开采,33,300191,0.8595442934966884,20260303
603353.SH,和顺石油,43.09,-1.6659059790050135,涨停,29876575.2,8686205460.0,3.2679344694,48,50.97,50.97,47,785/5521, 09:32:15, 10:23:21,"[{""code"":""603353.SH"",""time"":1772501535125,""openTime"":1772501550125,""duration"":15000,""updatedTime"":1772501550125,""firstVol"":60000.0,""highestVol"":60000.0,""firstVolDivLTGB"":3.520754849839806E-4,""firstVolDivVol"":0.012817582304900375,""highestVolDivLTGB"":3.520754849839806E-4,""highestVolDivVol"":0.012817582304900375},{""code"":""603353.SH"",""time"":1772503116341,""openTime"":1772503161341,""duration"":45000,""updatedTime"":1772503161341,""firstVol"":820300.0,""highestVol"":820300.0,""firstVolDivLTGB"":0.0048134586722059875,""firstVolDivVol"":0.06570884325841526,""highestVolDivLTGB"":0.0048134586722059875,""highestVolDivVol"":0.06570884325841526},{""code"":""603353.SH"",""time"":1772503251342,""openTime"":1772503326342,""duration"":75000,""updatedTime"":1772503326342,""firstVol"":47950.0,""highestVol"":58850.0,""firstVolDivLTGB"":2.813669917496978E-4,""firstVolDivVol"":0.0036749743824778447,""highestVolDivLTGB"":3.453273715217876E-4,""highestVolDivVol"":0.00449507375052608},{""code"":""603353.SH"",""time"":1772503686343,""openTime"":1772503896344,""duration"":210001,""updatedTime"":1772503896344,""firstVol"":1191450.0,""highestVol"":1852350.0,""firstVolDivLTGB"":0.006991338943069394,""firstVolDivVol"":0.08426769607472168,""highestVolDivLTGB"":0.01086945041016794,""highestVolDivVol"":0.13053754817595561},{""code"":""603353.SH"",""time"":1772503941345,""openTime"":1772503956345,""duration"":15000,""updatedTime"":1772503956345,""firstVol"":29800.0,""highestVol"":29800.0,""firstVolDivLTGB"":1.7486415754204367E-4,""firstVolDivVol"":0.001870364884338644,""highestVolDivLTGB"":1.7486415754204367E-4,""highestVolDivVol"":0.001870364884338644},{""code"":""603353.SH"",""time"":1772504046346,""openTime"":1772504061346,""duration"":15000,""updatedTime"":1772504061346,""firstVol"":2800.0,""highestVol"":2800.0,""firstVolDivLTGB"":1.6430189299252428E-5,""firstVolDivVol"":1.7312805292771902E-4,""highestVolDivLTGB"":1.6430189299252428E-5,""highestVolDivVol"":1.7312805292771902E-4},{""code"":""603353.SH"",""time"":1772504121346,""openTime"":1772504316347,""duration"":195001,""updatedTime"":1772504316347,""firstVol"":10500.0,""highestVol"":90220.0,""firstVolDivLTGB"":6.16132098721966E-5,""firstVolDivVol"":6.434296639458784E-4,""highestVolDivLTGB"":5.294041709209121E-4,""highestVolDivVol"":0.005488542318109148},{""code"":""603353.SH"",""time"":1772504346347,""openTime"":1772504361347,""duration"":15000,""updatedTime"":1772504361347,""firstVol"":100.0,""highestVol"":100.0,""firstVolDivLTGB"":5.867924749733009E-7,""firstVolDivVol"":6.0283525477023535E-6,""highestVolDivLTGB"":5.867924749733009E-7,""highestVolDivVol"":6.0283525477023535E-6},{""code"":""603353.SH"",""time"":1772504601347,""openTime"":null,""duration"":11178621,""updatedTime"":1772521200000,""firstVol"":64340.0,""highestVol"":1447280.0,""firstVolDivLTGB"":3.775422783978218E-4,""firstVolDivVol"":0.003799559926630817,""highestVolDivLTGB"":0.00849253013179359,""highestVolDivVol"":0.08495471328195164}]",3,成品油+铜官油库+拟收购奎芯+超快充,586160,3.000460183858552,0.3439542771303501,8,3天3板,放量涨停,8762048820.0,石油石化-石油加工贸易-油品石化贸易,17,603353,0.34395427713035004,20260303
603619.SH,中曼石油,33.66,-2.716763005780361,涨停,259158594.93,20338268899.39,3.9780526632,43.99,43.99,43.99,43.01,905/5521, 09:30:30, 09:33:00,"[{""code"":""603619.SH"",""time"":1772501430123,""openTime"":1772501445123,""duration"":15000,""updatedTime"":1772501445123,""firstVol"":51745.0,""highestVol"":51745.0,""firstVolDivLTGB"":1.1192017183273013E-4,""firstVolDivVol"":0.010804662887000912,""highestVolDivLTGB"":1.1192017183273013E-4,""highestVolDivVol"":0.010804662887000912},{""code"":""603619.SH"",""time"":1772501460124,""openTime"":1772501565125,""duration"":105001,""updatedTime"":1772501565125,""firstVol"":93000.0,""highestVol"":326000.0,""firstVolDivLTGB"":2.011513379156228E-4,""firstVolDivVol"":0.014249300864947884,""highestVolDivLTGB"":7.051111415106779E-4,""highestVolDivVol"":0.04374995638424593},{""code"":""603619.SH"",""time"":1772501580125,""openTime"":null,""duration"":14199843,""updatedTime"":1772521200000,""firstVol"":349400.0,""highestVol"":6377107.0,""firstVolDivLTGB"":7.55723413631383E-4,""firstVolDivVol"":0.042335422559376217,""highestVolDivLTGB"":0.01379315704388262,""highestVolDivVol"":0.4374254436034856}]",2,油气开采及服务+伊拉克中标+民营龙头,5891307,38.61929229098537,1.2742411667974989,2,2天2板,缩量涨停,20338268899.39,石油石化-油气开采及服务-油气开采,17,603619,1.274241166797499,20260303
600938.SH,中国海油,39.99,0.10012515644555481,涨停,235157048.96999997,129795900000.0,2.2348837764000002,41.79,43.41,43.41,41,982/5521, 11:04:09, 14:33:10,"[{""code"":""600938.SH"",""time"":1772507049315,""openTime"":1772507199316,""duration"":150001,""updatedTime"":1772507199316,""firstVol"":2406200.0,""highestVol"":2406200.0,""firstVolDivLTGB"":8.047491638795987E-4,""firstVolDivVol"":0.012489585091643926,""highestVolDivLTGB"":8.047491638795987E-4,""highestVolDivVol"":0.012489585091643926},{""code"":""600938.SH"",""time"":1772507214316,""openTime"":1772507229316,""duration"":15000,""updatedTime"":1772507229316,""firstVol"":107600.0,""highestVol"":107600.0,""firstVolDivLTGB"":3.598662207357859E-5,""firstVolDivVol"":5.519867367231543E-4,""highestVolDivLTGB"":3.598662207357859E-5,""highestVolDivVol"":5.519867367231543E-4},{""code"":""600938.SH"",""time"":1772507349317,""openTime"":1772518277859,""duration"":5508510,""updatedTime"":1772518277859,""firstVol"":1.28859E7,""highestVol"":1.5145168E7,""firstVolDivLTGB"":0.004309665551839465,""firstVolDivVol"":0.06515904675104338,""highestVolDivLTGB"":0.005065273578595318,""highestVolDivVol"":0.07652149133654455},{""code"":""600938.SH"",""time"":1772518470546,""openTime"":1772518523895,""duration"":53349,""updatedTime"":1772518523895,""firstVol"":63400.0,""highestVol"":63400.0,""firstVolDivLTGB"":2.120401337792642E-5,""firstVolDivVol"":2.698979496269959E-4,""highestVolDivLTGB"":2.120401337792642E-5,""highestVolDivVol"":2.698979496269959E-4},{""code"":""600938.SH"",""time"":1772518538895,""openTime"":1772518591000,""duration"":52105,""updatedTime"":1772518591000,""firstVol"":50100.0,""highestVol"":324800.0,""firstVolDivLTGB"":1.6755852842809365E-5,""firstVolDivVol"":2.1240928088647168E-4,""highestVolDivLTGB"":1.0862876254180602E-4,""highestVolDivVol"":0.0013759295361406023},{""code"":""600938.SH"",""time"":1772518778648,""openTime"":1772518797256,""duration"":18608,""updatedTime"":1772518797256,""firstVol"":152501.0,""highestVol"":152501.0,""firstVolDivLTGB"":5.100367892976589E-5,""firstVolDivVol"":6.328325482111497E-4,""highestVolDivLTGB"":5.100367892976589E-5,""highestVolDivVol"":6.328325482111497E-4},{""code"":""600938.SH"",""time"":1772518814793,""openTime"":1772518853400,""duration"":38607,""updatedTime"":1772518853400,""firstVol"":17701.0,""highestVol"":53600.0,""firstVolDivLTGB"":5.920066889632107E-6,""firstVolDivVol"":7.325554062017864E-5,""highestVolDivLTGB"":1.7926421404682275E-5,""highestVolDivVol"":2.215435201578977E-4},{""code"":""600938.SH"",""time"":1772518898401,""openTime"":1772519244041,""duration"":345640,""updatedTime"":1772519244041,""firstVol"":236100.0,""highestVol"":1453700.0,""firstVolDivLTGB"":7.896321070234114E-5,""firstVolDivVol"":9.717736189763309E-4,""highestVolDivLTGB"":4.8618729096989966E-4,""highestVolDivVol"":0.005970071530795828},{""code"":""600938.SH"",""time"":1772519262753,""openTime"":1772519283590,""duration"":20837,""updatedTime"":1772519283590,""firstVol"":5688.0,""highestVol"":5688.0,""firstVolDivLTGB"":1.9023411371237458E-6,""firstVolDivVol"":2.3124516536814187E-5,""highestVolDivLTGB"":1.9023411371237458E-6,""highestVolDivVol"":2.3124516536814187E-5},{""code"":""600938.SH"",""time"":1772519299580,""openTime"":1772519460036,""duration"":160456,""updatedTime"":1772519460036,""firstVol"":7900.0,""highestVol"":386273.0,""firstVolDivLTGB"":2.642140468227425E-6,""firstVolDivVol"":3.2058447337974074E-5,""highestVolDivLTGB"":1.2918829431438127E-4,""highestVolDivVol"":0.0015630910560338724},{""code"":""600938.SH"",""time"":1772519492852,""openTime"":1772519565368,""duration"":72516,""updatedTime"":1772519565368,""firstVol"":49200.0,""highestVol"":83000.0,""firstVolDivLTGB"":1.645484949832776E-5,""firstVolDivVol"":1.9821059343768234E-4,""highestVolDivLTGB"":2.7759197324414715E-5,""highestVolDivVol"":3.3423154369388835E-4},{""code"":""600938.SH"",""time"":1772519590691,""openTime"":null,""duration"":1609309,""updatedTime"":1772521200000,""firstVol"":81900.0,""highestVol"":5417117.0,""firstVolDivLTGB"":2.7391304347826088E-5,""firstVolDivVol"":3.289806132005821E-4,""highestVolDivLTGB"":0.0018117448160535118,""highestVolDivVol"":0.021387840708603303}]",2,油价上涨+油气产量增长+央企,5417117,2.138784062415991,0.18117448160535118,11,2天2板,放量涨停,1215602122290.4,石油石化-油气开采及服务-油气开采,17,600938,0.18117448160535116,20260303
301302.SZ,华如科技,24.3,0.2061855670103122,涨停,129603595.49999999,4956383400.0,3.9655513854,35.66,35.66,35.66,34.8,1236/5521, 09:31:30, 09:53:06,"[{""code"":""301302.SZ"",""time"":1772501490125,""openTime"":1772502771340,""duration"":1281215,""updatedTime"":1772502771340,""firstVol"":1.6164286E7,""highestVol"":1.8728225E7,""firstVolDivLTGB"":0.1162981941146845,""firstVolDivVol"":1.101901148045612,""highestVolDivLTGB"":0.13474512554860063,""highestVolDivVol"":1.2490801916789502},{""code"":""301302.SZ"",""time"":1772502786340,""openTime"":null,""duration"":12993628,""updatedTime"":1772521200000,""firstVol"":1.1990512E7,""highestVol"":1.2074712E7,""firstVolDivLTGB"":0.0862688826534283,""firstVolDivVol"":0.5015898967793824,""highestVolDivLTGB"":0.08687468163177207,""highestVolDivVol"":0.5031966354741211}]",2,军工AI+军事大模型+商业航天,3634425,13.70198006274577,2.6148823656378157,1,2天2板,放量涨停||逆势涨停,5558145900.0,国防军工-军工电子-军工电子Ⅲ,33,301302,2.6148823656378153,20260303
002980.SZ,华盛昌,79.94,-1.7332513829133334,涨停,7913743.2,3551123762.64,1.1649634674,35.06,35.06,35.06,32.96,1329/5521, 09:30:00, 14:51:59,"[{""code"":""002980.SZ"",""time"":1772501400000,""openTime"":1772502336337,""duration"":936337,""updatedTime"":1772502336337,""firstVol"":5074220.0,""highestVol"":5074220.0,""firstVolDivLTGB"":0.05004658055635182,""firstVolDivVol"":4.566514876077683,""highestVolDivLTGB"":0.05004658055635182,""highestVolDivVol"":4.566514876077683},{""code"":""002980.SZ"",""time"":1772502351337,""openTime"":1772502771340,""duration"":420003,""updatedTime"":1772502771340,""firstVol"":3352160.0,""highestVol"":4650480.0,""firstVolDivLTGB"":0.03306205593722391,""firstVolDivVol"":0.38531332052618505,""highestVolDivLTGB"":0.04586727062399798,""highestVolDivVol"":0.5269600636094126},{""code"":""002980.SZ"",""time"":1772502786340,""openTime"":1772502906340,""duration"":120000,""updatedTime"":1772502906340,""firstVol"":2237425.0,""highestVol"":2291245.0,""firstVolDivLTGB"":0.022067523777308723,""firstVolDivVol"":0.1860312805766689,""highestVolDivLTGB"":0.02259834565053118,""highestVolDivVol"":0.1893508909200957},{""code"":""002980.SZ"",""time"":1772503971346,""openTime"":1772503986346,""duration"":15000,""updatedTime"":1772503986346,""firstVol"":95260.0,""highestVol"":95260.0,""firstVolDivLTGB"":9.395409075282653E-4,""firstVolDivVol"":0.0034465946967812545,""highestVolDivLTGB"":9.395409075282653E-4,""highestVolDivVol"":0.0034465946967812545},{""code"":""002980.SZ"",""time"":1772506509311,""openTime"":1772514055016,""duration"":2125673,""updatedTime"":1772514055016,""firstVol"":3290260.0,""highestVol"":3557460.0,""firstVolDivLTGB"":0.03245154174264067,""firstVolDivVol"":0.10099759009324472,""highestVolDivLTGB"":0.035086911577739896,""highestVolDivVol"":0.10897108118508815},{""code"":""002980.SZ"",""time"":1772518455546,""openTime"":1772518523895,""duration"":68349,""updatedTime"":1772518523895,""firstVol"":46960.0,""highestVol"":46960.0,""firstVolDivLTGB"":4.6316230335426557E-4,""firstVolDivVol"":0.001157553508687407,""highestVolDivLTGB"":4.6316230335426557E-4,""highestVolDivVol"":0.001157553508687407},{""code"":""002980.SZ"",""time"":1772520663190,""openTime"":1772520690808,""duration"":27618,""updatedTime"":1772520690808,""firstVol"":54480.0,""highestVol"":54480.0,""firstVolDivLTGB"":5.373313945217289E-4,""firstVolDivVol"":0.0012682748972803256,""highestVolDivLTGB"":5.373313945217289E-4,""highestVolDivVol"":0.0012682748972803256},{""code"":""002980.SZ"",""time"":1772520719447,""openTime"":null,""duration"":480553,""updatedTime"":1772521200000,""firstVol"":7560.0,""highestVol"":225720.0,""firstVolDivLTGB"":7.456360760984343E-5,""firstVolDivVol"":1.7538297226673234E-4,""highestVolDivLTGB"":0.00222625628435104,""highestVolDivVol"":0.00520479443379379}]",3,拟收购伽蓝特+光通信测试+AI眼镜+仪器仪表,225720,0.520479443379379,0.222625628435104,7,3天3板,T字涨停||放量涨停||逆势涨停,6640404669.6,电力设备-电网设备-电气自控设备,33,002980,0.22285179928836704,20260303
301158.SZ,德石股份,26.45,-1.416325009317924,涨停,29778390.72,5484695336.64,0.7177682502,33,37.44,37.44,32.6,1344/5521, 13:39:50, 14:24:27,"[{""code"":""301158.SZ"",""time"":1772516390598,""openTime"":1772516420598,""duration"":30000,""updatedTime"":1772516420598,""firstVol"":126570.0,""highestVol"":126570.0,""firstVolDivLTGB"":8.63838572792623E-4,""firstVolDivVol"":0.003824074100930177,""highestVolDivLTGB"":8.63838572792623E-4,""highestVolDivVol"":0.003824074100930177},{""code"":""301158.SZ"",""time"":1772517321978,""openTime"":1772517416298,""duration"":94320,""updatedTime"":1772517416298,""firstVol"":560770.0,""highestVol"":560770.0,""firstVolDivLTGB"":0.0038272478191113154,""firstVolDivVol"":0.015996675890921023,""highestVolDivLTGB"":0.0038272478191113154,""highestVolDivVol"":0.015996675890921023},{""code"":""301158.SZ"",""time"":1772518298715,""openTime"":1772518470546,""duration"":171831,""updatedTime"":1772518470546,""firstVol"":85400.0,""highestVol"":3004200.0,""firstVolDivLTGB"":5.828538683455006E-4,""firstVolDivVol"":0.002316811303695222,""highestVolDivLTGB"":0.020503625190673922,""highestVolDivVol"":0.08141395459354973},{""code"":""301158.SZ"",""time"":1772518576000,""openTime"":1772518661677,""duration"":85677,""updatedTime"":1772518661677,""firstVol"":67900.0,""highestVol"":67900.0,""firstVolDivLTGB"":4.634166002419144E-4,""firstVolDivVol"":0.0018039459817275948,""highestVolDivLTGB"":4.634166002419144E-4,""highestVolDivVol"":0.0018039459817275948},{""code"":""301158.SZ"",""time"":1772518757926,""openTime"":1772518778648,""duration"":20722,""updatedTime"":1772518778648,""firstVol"":400.0,""highestVol"":400.0,""firstVolDivLTGB"":2.729994699510541E-6,""firstVolDivVol"":1.056912324181644E-5,""highestVolDivLTGB"":2.729994699510541E-6,""highestVolDivVol"":1.056912324181644E-5},{""code"":""301158.SZ"",""time"":1772518913401,""openTime"":1772518962476,""duration"":49075,""updatedTime"":1772518962476,""firstVol"":14500.0,""highestVol"":36200.0,""firstVolDivLTGB"":9.896230785725712E-5,""firstVolDivVol"":3.812389424273983E-4,""highestVolDivLTGB"":2.47064520305704E-4,""highestVolDivVol"":9.515875871970987E-4},{""code"":""301158.SZ"",""time"":1772519067866,""openTime"":null,""duration"":2132134,""updatedTime"":1772521200000,""firstVol"":7900.0,""highestVol"":2650200.0,""firstVolDivLTGB"":5.391739531533319E-5,""firstVolDivVol"":2.0677818903662041E-4,""highestVolDivLTGB"":0.018087579881607092,""highestVolDivVol"":0.06912130499521534}]",2,油气装备+订单饱满+海外收入,795363,2.0527071664104706,0.5428341935467007,6,2天2板,放量涨停||逆势涨停,5629871894.4,机械设备-专用设备-能源及重型设备,33,301158,0.5429360956673055,20260303
002957.SZ,科瑞技术,43.62,-0.9311832841244689,涨停,63260698.32,13259553225.54,2.788981434,31.65,31.67,31.67,30,1483/5521, 09:30:15, 13:56:39,"[{""code"":""002957.SZ"",""time"":1772501415123,""openTime"":1772502861340,""duration"":1446217,""updatedTime"":1772502861340,""firstVol"":2.22012E7,""highestVol"":2.3374E7,""firstVolDivLTGB"":0.053026799332420084,""firstVolDivVol"":4.133224112894218,""highestVolDivLTGB"":0.055827991621893724,""highestVolDivVol"":3.9504461871281773},{""code"":""002957.SZ"",""time"":1772507124316,""openTime"":1772517336978,""duration"":4792630,""updatedTime"":1772517336978,""firstVol"":2.1921666E7,""highestVol"":2.2365766E7,""firstVolDivLTGB"":0.05235914202900456,""firstVolDivVol"":0.5831610208404898,""highestVolDivLTGB"":0.05341985953902779,""highestVolDivVol"":0.5933444814074917},{""code"":""002957.SZ"",""time"":1772517399317,""openTime"":null,""duration"":3800683,""updatedTime"":1772521200000,""firstVol"":7405716.0,""highestVol"":7677516.0,""firstVolDivLTGB"":0.01768829685984959,""firstVolDivVol"":0.16471810604547307,""highestVolDivLTGB"":0.018337481771410757,""highestVolDivVol"":0.1704715322682121}]",1,半导体设备+光模块+AI眼镜+低空经济,1997496,3.806752286843123,0.4770950199057339,2,首板涨停,T字涨停||放量涨停||逆势涨停,13300844698.22,机械设备-自动化设备-工控设备,33,002957,0.4770952478108378,20260303
603080.SH,新疆火炬,21.94,0.0,涨停,4251294.0,3901155000.0,1.285480608,25.53,27.57,27.57,25.51,1831/5521, 13:14:55, 14:55:21,"[{""code"":""603080.SH"",""time"":1772514895019,""openTime"":1772519244041,""duration"":4349022,""updatedTime"":1772519244041,""firstVol"":9316000.0,""highestVol"":9698000.0,""firstVolDivLTGB"":0.06583745583038869,""firstVolDivVol"":0.5108520415437426,""highestVolDivLTGB"":0.06853710247349823,""highestVolDivVol"":0.529202158716993},{""code"":""603080.SH"",""time"":1772520921662,""openTime"":null,""duration"":278338,""updatedTime"":1772521200000,""firstVol"":102800.0,""highestVol"":154200.0,""firstVolDivLTGB"":7.265017667844523E-4,""firstVolDivVol"":0.004151472197655307,""highestVolDivLTGB"":0.0010897526501766784,""highestVolDivVol"":0.0061336515513126496}]",1,天然气+区域燃气龙头,154200,0.613365155131265,0.10897526501766784,1,首板涨停,放量涨停,3901155000.0,公用事业-燃气-燃气Ⅲ,17,603080,0.10897526501766784,20260303
