股票代码,股票简称,最新价,chg_pct,p_close,p_open,涨跌幅:前复权[20260428],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260428],最高价:前复权[20260428],最低价:前复权[20260428],收盘价:前复权[20260428],振幅[20260428],成交量[20260428],market_code,code,date
600795.SH,国电电力,4.74,-2.469135802469138,4.92,4.87,0.61349693,4.94,-0.97639034,20000104,768/870,4.83,-0.2510817,20001201,4.87,4.94,4.83,4.92,2.249488,1.78364128E8,17,600795,20260428
600276.SH,恒瑞医药,53.88,-2.018548827059464,54.84,55.38,-0.97508126,57.35,-0.98064045,20001228,769/870,54.8,-0.94410331,20001229,55.38,57.35,54.8,54.84,4.60455,9.0311952E7,17,600276,20260428
000429.SZ,粤高速A,12.58,-0.5533596837944686,12.8,12.61,1.02604578,12.92,-0.98406635,20000104,770/870,12.61,2.13278626,20001215,12.61,12.92,12.61,12.8,2.446724,4989939,33,000429,20260428
000739.SZ,普洛药业,18.27,-1.0828370330265258,18.81,18.7,0.1064396,19.35,-1.05895653,20000104,771/870,18.61,0.29078706,20001225,18.462,19.112,18.372,18.57,3.938265,1.1719477E7,33,000739,20260428
000063.SZ,中兴通讯,36.7,0.7688083470620569,36.01,37,-3.35480408,37,-1.08308166,20000117,772/870,35.82,0.91286121,20001201,37,37,35.82,36.01,3.166935,1.13250297E8,33,000063,20260428
000975.SZ,山金国际,26.05,-4.263138552002941,26.84,27.23,-2.22222222,27.47,-1.08455166,20001212,773/870,26.69,-0.98314002,20001204,27.23,27.47,26.69,26.84,2.84153,2.7067237E7,33,000975,20260428
600720.SH,中交设计,6.66,-2.05882352941176,6.7,6.71,-0.1490313,6.73,-1.1138212,20000104,774/870,6.63,0.926971,20001204,6.71,6.73,6.63,6.7,1.490312,7430191,17,600720,20260428
000807.SZ,云铝股份,31.8,-3.9855072463768018,32.49,33.15,-2.81184565,33.32,-1.11559451,20000104,775/870,32.35,0.02668109,20001205,33.15,33.32,32.35,32.49,2.901585,5.0783481E7,33,000807,20260428
000877.SZ,天山股份,4.64,-1.0660980810234693,4.62,4.66,-1.70212766,4.71,-1.16273187,20000117,776/870,4.56,2.10995224,20001206,4.66,4.71,4.56,4.62,3.191489,1.7942E7,33,000877,20260428
000672.SZ,上峰水泥,14.0,6.141015921152393,12.69,13.32,-8.57348703,13.33,-1.2158112,20000104,777/870,12.53,1.91638894,20001201,13.32,13.33,12.53,12.69,5.763688,3.6059417E7,33,000672,20260428
600256.SH,广汇能源,6.75,1.6566265060241012,6.5,6.22,4.16666667,6.52,-1.25252744,20001201,778/870,6.19,-1.00945697,20001221,6.22,6.52,6.19,6.5,5.288461,2.44275235E8,17,600256,20260428
600703.SH,三安光电,13.67,-1.9368723098995666,13.99,14.52,-5.02376103,14.68,-1.25703914,20000128,779/870,13.92,-0.77250631,20001201,14.52,14.68,13.92,13.99,5.159538,2.37375606E8,17,600703,20260428
600285.SH,羚锐制药,22.36,-0.8865248226950324,22.57,22.34,5.22144522,22.85,-1.27965812,20001211,780/870,22.34,-1.0574359,20001226,22.34,22.85,22.34,22.57,2.377622,2.6202794E7,17,600285,20260428
000685.SZ,中山公用,11.73,-0.8453085376162269,11.62,11.61,1.8404908,11.68,-1.27976009,20000118,781/870,11.48,-0.06215365,20001205,11.61,11.68,11.48,11.62,1.752848,1.3977607E7,33,000685,20260428
600060.SH,海信视像,25.6,2.1548284118116627,24.51,24.36,0.16346547,24.88,-1.36741111,20000104,782/870,24.36,-0.38518889,20001201,24.36,24.88,24.36,24.51,2.125051,1.011775E7,17,600060,20260428
600655.SH,豫园股份,4.93,-0.40404040404041336,4.9,4.9,-0.40650407,4.96,-1.48440141,20000104,783/870,4.86,0.17215881,20001225,4.9,4.96,4.86,4.9,2.03252,9537474,17,600655,20260428
600897.SH,厦门空港,16.12,0.24875621890548946,15.91,15.98,-0.2507837,16.01,-1.52855322,20000128,784/870,15.76,1.10196074,20001227,15.98,16.01,15.76,15.91,1.567398,1656660,17,600897,20260428
600755.SH,厦门国贸,6.19,1.6420361247947544,6.1,6.05,0.66006601,6.1,-1.5291991,20000104,785/870,5.98,-1.12182759,20001204,6.05,6.1,5.98,6.1,1.980198,2.3021749E7,17,600755,20260428
000028.SZ,国药一致,24.54,-1.0483870967741997,24.69,24.53,0.57026477,24.78,-1.55458646,20000104,786/870,24.53,9.5052426,20001222,24.53,24.78,24.53,24.69,1.018329,3900046,33,000028,20260428
000690.SZ,宝新能源,5.28,-1.1235955056179703,5.36,5.37,-1.83150183,5.46,-1.58047206,20000114,787/870,5.28,-0.73335731,20001207,5.37,5.46,5.28,5.36,3.296703,1.49803499E8,33,000690,20260428
600197.SH,伊力特,12.26,0.0,12.22,11.96,2.77544155,12.25,-1.58953846,20000124,788/870,11.94,0.77315385,20001225,11.96,12.25,11.94,12.22,2.607232,6838001,17,600197,20260428
600754.SH,锦江酒店,25.56,-3.5107587768969415,25.18,25.18,-0.51363098,25.46,-1.59710687,20000124,789/870,24.85,3.87617557,20001208,25.18,25.46,24.85,25.18,2.410114,1.094546E7,17,600754,20260428
000069.SZ,华侨城A,2.26,0.444444444444435,2.17,2.18,-0.4587156,2.2,-1.62864246,20000104,790/870,2.16,-1.19717741,20001227,2.18,2.2,2.16,2.17,1.834862,2.6639627E7,33,000069,20260428
600742.SH,富维股份,9.42,0.10626992561104981,9.38,9.4,-0.42462845,9.41,-1.69035798,20000105,791/870,9.33,-0.17682522,20001201,9.4,9.41,9.33,9.38,0.849256,6114941,17,600742,20260428
600062.SH,华润双鹤,17.85,-0.6124721603563442,17.88,17.82,0.33670034,17.94,-1.70496964,20000104,792/870,17.78,0.87521508,20001205,17.82,17.94,17.78,17.88,0.897867,5050170,17,600062,20260428
000559.SZ,万向钱潮,16.09,1.5782828282828283,15.76,16.8,-7.72833724,16.9,-1.76408774,20000104,793/870,15.73,-1.17921549,20001226,16.8,16.9,15.73,15.76,6.850117,1.11151896E8,33,000559,20260428
600398.SH,海澜之家,6.61,2.3219814241486123,6.4,6.41,-0.15600624,6.45,-1.77600067,20001229,794/870,6.34,-1.49603029,20001228,6.41,6.45,6.34,6.4,1.716068,2.0130012E7,17,600398,20260428
600867.SH,通化东宝,9.23,-3.451882845188285,9.83,10.08,-1.50300601,10.08,-1.78950907,20000104,795/870,9.77,-1.07793662,20001206,10.08,10.08,9.77,9.83,3.106212,5.6258888E7,17,600867,20260428
000776.SZ,广发证券,21.23,-0.23496240601504093,21.1,21.01,6.03015075,21.46,-1.85166667,20000104,796/870,20.51,-0.625,20001205,21.01,21.46,20.51,21.1,4.773869,1.67739968E8,33,000776,20260428
000541.SZ,佛山照明,5.66,0.0,5.59,5.67,-2.27272727,5.69,-1.85985794,20000105,797/870,5.58,-0.7583953,20001201,5.67,5.69,5.58,5.59,1.923076,1.1454165E7,33,000541,20260428
000012.SZ,南玻A,4.03,-0.7389162561576198,4.03,4.34,-9.23423423,4.4,-1.92285552,20000128,798/870,4,2.3325695,20001201,4.34,4.4,4,4.03,9.009009,7.274829E7,33,000012,20260428
000528.SZ,柳工,9.66,-2.6209677419354818,9.87,9.65,2.38589212,9.91,-1.93431081,20000124,799/870,9.6,-1.02397853,20001205,9.65,9.91,9.6,9.87,3.215767,4.7058903E7,33,000528,20260428
000623.SZ,吉林敖东,18.87,1.0712372790573073,18.54,18.51,4.2158516,18.71,-1.95187377,20000104,800/870,18.27,-1.22209073,20001227,18.51,18.71,18.27,18.54,2.473299,2.5622785E7,33,000623,20260428
600873.SH,梅花生物,9.92,-0.9980039920159646,10.12,10.2,-1.46056475,10.27,-2.06856434,20000117,801/870,10.05,0.77303221,20001207,10.2,10.27,10.05,10.12,2.142161,3.4516215E7,17,600873,20260428
600835.SH,上海机电,24.15,1.3003355704697932,23.52,23.48,0,23.85,-2.11185325,20000104,802/870,22.85,3.67079966,20001205,23.48,23.85,22.85,23.52,4.2517,1.1104347E7,17,600835,20260428
000625.SZ,长安汽车,9.53,-1.6511867905056774,9.73,9.7,-1.017294,9.82,-2.1384169,20000125,803/870,9.66,-1.63657178,20001201,9.7,9.82,9.66,9.73,1.62767,6.5954731E7,33,000625,20260428
000039.SZ,中集集团,12.39,-0.3218020917135893,11.3,11.1,1.25448029,11.37,-2.14607379,20000104,804/870,11.07,-1.16140067,20001229,11.1,11.37,11.07,11.3,2.688172,3.9395112E7,33,000039,20260428
000726.SZ,鲁泰A,6.55,-1.355421686746986,6.56,6.57,-0.30395137,6.6,-2.16359849,20001228,805/870,6.53,-1.87557475,20001225,6.57,6.6,6.53,6.56,1.063829,6708313,33,000726,20260428
000789.SZ,万年青,4.96,-0.6012024048096242,4.96,5.04,-1.78217822,5.04,-2.18698225,20000124,806/870,4.93,0.65325444,20001220,5.04,5.04,4.93,4.96,2.178217,8059201,33,000789,20260428
000848.SZ,承德露露,8.9,-0.22421524663676654,8.87,8.95,5.46967895,9.08,-2.27272814,20000117,807/870,8.81,-1.8948685,20001204,8.95,9.08,8.81,8.87,3.210463,7.7713255E7,33,000848,20260428
600886.SH,国投电力,13.63,0.14695077149156024,13.6,13.36,1.49253731,13.62,-2.2870842,20000128,808/870,13.35,-1.79868371,20001204,13.36,13.62,13.35,13.6,2.014925,3.2092865E7,17,600886,20260428
600894.SH,广日股份,9.48,-0.5246589716684044,10.02,10.08,0.4008016,10.15,-2.32666667,20000128,809/870,9.93,1.30666667,20001205,10.08,10.15,9.93,10.02,2.204408,8102998,17,600894,20260428
600007.SH,中国国贸,21.0,-2.7777777777777843,21.54,21.62,0.41958042,21.7,-2.3356,20000104,810/870,21.4,1.1404,20001205,21.62,21.7,21.4,21.54,1.398601,1939526,17,600007,20260428
600019.SH,宝钢股份,6.31,-2.6234567901234693,6.37,6.31,1.2718601,6.39,-2.41291016,20001212,811/870,6.28,-0.38012328,20001212,6.31,6.39,6.28,6.37,1.748807,8.0843921E7,17,600019,20260428
600216.SH,浙江医药,14.54,-1.0884353741496609,14.61,14.56,0.34340659,14.74,-2.41994098,20000104,812/870,14.51,0.62292258,20001207,14.56,14.74,14.51,14.61,1.57967,1.4168382E7,17,600216,20260428
001696.SZ,宗申动力,17.36,0.05763688760805769,17.17,17.64,-3.21307779,17.74,-2.42556378,20000125,813/870,17.1,-1.68591881,20001207,17.64,17.74,17.1,17.17,3.607666,2.9207404E7,33,001696,20260428
600176.SH,中国巨石,34.5,-3.3613445378151336,34.5,33.62,3.16985646,35.37,-2.45036787,20000104,814/870,33.46,-1.87601927,20001229,33.62,35.37,33.46,34.5,5.711722,1.48405423E8,17,600176,20260428
000792.SZ,盐湖股份,39.29,-0.5316455696202553,37.02,37.56,-1.72551102,37.93,-2.47480952,20000104,815/870,36.8,-0.8212381,20001226,37.56,37.93,36.8,37.02,2.999734,6.2610177E7,33,000792,20260428
600196.SH,复星医药,24.89,-1.542721518987344,25.3,25.5,-0.27591644,25.89,-2.4848359,20000104,816/870,25.2,-1.00949073,20001229,25.5,25.89,25.2,25.3,2.719747,2.4674415E7,17,600196,20260428
600016.SH,民生银行,3.7,-1.069518716577541,3.73,3.74,-0.26737968,3.75,-2.51767274,20001225,817/870,3.72,-2.29229039,20001219,3.74,3.75,3.72,3.73,0.802139,1.11342227E8,17,600016,20260428
000951.SZ,中国重汽,21.85,-3.7444933920704755,22.84,22.47,0.92797172,23.03,-2.71574863,20000104,818/870,22.08,-1.44943681,20001204,22.47,23.03,22.08,22.84,4.197967,2.0004024E7,33,000951,20260428
600845.SH,宝信软件,22.68,-0.7005253940455348,22.7,22.55,0.35366932,23.15,-2.72021687,20000128,819/870,22.4,-1.28584693,20001219,22.55,23.15,22.4,22.7,3.315649,1.7462935E7,17,600845,20260428
600829.SH,人民同泰,9.72,0.41322314049587733,9.64,9.75,-0.72090628,9.9,-2.73896581,20000124,820/870,9.6,-0.56916524,20001222,9.75,9.9,9.6,9.64,3.089598,8343050,17,600829,20260428
600085.SH,同仁堂,27.77,1.3873676524278897,27.32,27.3,0,27.5,-2.80685629,20000104,821/870,27.28,-2.18807561,20000124,27.3,27.5,27.28,27.32,0.80527,3520999,17,600085,20260428
000402.SZ,金融街,3.17,10.069444444444446,2.62,2.64,-0.75757576,2.67,-2.88723937,20000113,822/870,2.59,-2.30963074,20001201,2.64,2.67,2.59,2.62,3.030303,2.3262017E7,33,000402,20260428
600123.SH,兰花科创,7.08,2.6086956521739086,6.85,6.64,2.85285285,6.87,-3.06755424,20000104,823/870,6.63,-1.76437025,20000128,6.64,6.87,6.63,6.85,3.603603,3.7595143E7,17,600123,20260428
600000.SH,浦发银行,9.27,-1.1727078891258123,9.37,9.34,0.10683761,9.38,-3.09733457,20001225,824/870,9.25,-2.25786733,20000110,9.34,9.38,9.25,9.37,1.388888,5.9454959E7,17,600000,20260428
000933.SZ,神火股份,32.13,-2.783661119515869,32.23,32.14,0.34246575,32.51,-3.10439951,20000124,825/870,31.65,-2.57872327,20001225,32.14,32.51,31.65,32.23,2.677459,3.9442924E7,33,000933,20260428
600674.SH,川投能源,15.31,-0.32552083333332643,15.36,15.07,1.99203187,15.38,-3.11812763,20000119,826/870,15.05,-1.68598546,20001228,15.07,15.38,15.05,15.36,2.191235,4.5842251E7,17,600674,20260428
000983.SZ,山西焦煤,7.02,0.28571428571427965,6.74,6.53,2.43161094,6.78,-3.25098028,20001207,827/870,6.53,-3.14311538,20001226,6.53,6.78,6.53,6.74,3.799392,1.0014294E8,33,000983,20260428
000708.SZ,中信特钢,15.25,-1.4857881136950932,15.38,15.25,0.91863517,15.42,-3.25718472,20000128,828/870,15.18,-1.86894942,20001204,15.25,15.42,15.18,15.38,1.574803,1.1383263E7,33,000708,20260428
000915.SZ,华特达因,28.96,1.117318435754191,28.32,28.1,0.78291815,28.45,-3.28818392,20000104,829/870,28.01,-0.00813492,20001208,28.1,28.45,28.01,28.32,1.565836,4285814,33,000915,20260428
000830.SZ,鲁西化工,17.06,0.4120070629782242,17.03,16.64,2.15956809,17.09,-3.28837207,20000117,830/870,16.5,-2.70838828,20001204,16.64,17.09,16.5,17.03,3.539292,3.8738682E7,33,000830,20260428
000157.SZ,中联重科,7.95,-1.972872996300854,8.09,7.91,2.01765448,8.15,-3.32714389,20001218,831/870,7.89,-3.28785498,20001229,7.91,8.15,7.89,8.09,3.278688,9.5430369E7,33,000157,20260428
600096.SH,云天化,36.18,-1.3631406761177753,35.65,35.45,1.30718954,36.62,-3.33489011,20000117,832/870,35.41,0.14725275,20001201,35.45,36.62,35.41,35.65,3.438476,7.9187619E7,17,600096,20260428
000963.SZ,华东医药,33.35,-0.5664877757900946,33.75,34.28,-1.34463607,34.8,-3.56879698,20000127,833/870,33.62,-2.93748385,20000127,34.28,34.8,33.62,33.75,3.449283,1.7724944E7,33,000963,20260428
600153.SH,建发股份,9.51,0.955414012738852,9.5,9.12,5.55555556,9.63,-3.67775121,20000104,834/870,9.11,-2.96911702,20001229,9.12,9.63,9.11,9.5,5.777777,5.4539409E7,17,600153,20260428
600761.SH,安徽合力,18.03,-1.2595837897042739,18.06,17.71,1.57480315,18.4,-3.71884734,20000125,835/870,17.71,-2.39790177,20001229,17.71,18.4,17.71,18.06,3.880764,1.9518428E7,17,600761,20260428
000937.SZ,冀中能源,5.62,-1.2302284710017624,5.77,5.65,1.9434629,5.79,-3.755,20000104,836/870,5.65,-2.34538462,20001220,5.65,5.79,5.65,5.77,2.473498,2.4935624E7,33,000937,20260428
000661.SZ,长春高新,84.93,-0.6201731804352761,85.6,85.01,0.57572553,85.88,-3.78976589,20000117,837/870,84.93,-1.29143813,20001225,85.01,85.88,84.93,85.6,1.116202,3319658,33,000661,20260428
