股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260410],分时开盘价:不复权[20260410 09:25],p_925,chg_pct,分时涨跌幅:前复权排名[20260410 09:25],分时最高价:不复权[20260410 09:25],分时最低价:不复权[20260410 09:25],分时振幅[20260410 09:25],竞价匹配价[20260410],竞价异动类型[20260410],竞价异动说明[20260410],集合竞价评级[20260410],竞价量[20260410],竞价金额[20260410],竞价未匹配量[20260410],竞价未匹配金额[20260410],分时成交量[20260410 09:25],分时成交额[20260410 09:25],分时换手率[20260410 09:25],market_code,code,date
301696.SZ,三瑞智能,94.7,-1.5592515592515592,264.668,90.0,90.0,264.66774716369525,1/5521,90.0,90.0,0.0,90.0,竞价抢筹,单笔放量10%以上抢筹,看多,1115405,100386450.0,177095,15938550.0,1115405,100386450.0,3.707714904395301,33,301696,20260411
688811.SH,有研复材,24.08,12.052117263843648,212.169,20.01,20.01,212.1684867394696,2/5521,20.01,20.01,0.0,20.01,急速上涨,一分钟涨幅大于3%,-,2238777,44797928.0,26123,522721.23,2238777,44797928.0,2.430122487442402,17,688811,20260411
920181.BJ,赛英电子,84.12,7.873813798409849,114.286,60.0,60.0,114.28571428571429,3/5521,60.0,60.0,0.0,60.0,,,,497390,29843400.0,143157,8589420.0,497390,29843400.0,4.963972055888224,151,920181,20260411
300561.SZ,*ST汇科,17.06,-3.5613340870548473,19.982,13.57,13.57,19.98231653404067,4/5521,13.57,13.57,0.0,13.57,大幅高开,大幅高开20.00%,看多,565595,7675124.2,48814805,662416900.0,565595,7675124.2,0.2346306696009477,33,300561,20260411
300355.SZ,蒙草生态,3.64,-0.5464480874316945,14.247,4.17,4.17,14.246575342465754,5/5521,4.17,4.17,0.0,4.17,竞价抢筹,单笔放量10%以上抢筹,看多,6345500,26460735.0,452000,1884840.0,6345500,26460735.0,0.46443261038323297,33,300355,20260411
688690.SH,纳微科技,32.62,-0.790754257907558,14.155,30.0,30.0,14.155251141552506,6/5521,30.0,30.0,0.0,30.0,大幅高开,大幅高开14.20%,偏多,741925,22257750.0,-192709,-5781270.0,741925,22257750.0,0.18372904220082195,17,688690,20260411
301197.SZ,工大科雅,30.35,0.29742233972240534,13.853,27.04,27.04,13.852631578947364,7/5521,27.04,27.04,0.0,27.04,竞价抢筹,单笔放量10%以上抢筹,看多,546500,14777360.0,8400,227136.0,546500,14777360.0,0.5025322013715037,33,301197,20260411
300458.SZ,全志科技,35.8,3.8283062645011614,13.274,39.51,39.51,13.274082568807325,8/5521,39.51,39.51,0.0,39.51,竞价抢筹,单笔放量10%以上抢筹,看多,2323752,91811442.0,283748,11210883.5,2323752,91811442.0,0.3521262495085977,33,300458,20260411
920786.BJ,骑士乳业,8.3,0.3627569528416099,10.189,8.76,8.76,10.188679245283014,9/5521,8.76,8.76,0.0,8.76,,,,910135,7972782.6,9614,84218.64,910135,7972783.0,0.6400546342734071,151,920786,20260411
600103.SH,青山纸业,4.46,-4.086021505376352,10.141,3.91,3.91,10.140845070422543,10/5521,3.91,3.91,0.0,3.91,大幅高开,大幅高开10.10%,看多,19721990,77112981.0,278413110,1088595260.0,19721990,77112981.0,0.8914582587406583,17,600103,20260411
