板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
氢能源,4,3,3,11,5.07,0.0,0.0,3.45,200.1,600396华电辽能(4板); 600433冠豪高新(1板); 603318水发燃气(5板); 603813*ST原尚(11板)
绿色电力,3,3,3,5,5.2,0.0,0.0,2.62,155.4,600396华电辽能(4板); 600726华电能源(3板); 603318水发燃气(5板)
华为概念,7,2,1,7,10.03,0.0,0.0,11.1,151.1,002484江海股份(1板); 002706良信股份(1板); 002902铭普光磁(1板); 600152维科技术(2板); 600418江淮汽车(1板)
数字经济,5,1,1,11,5.47,0.0,0.0,13.83,145.9,002181粤传媒(1板); 002902铭普光磁(1板); 600246万通发展(1板); 600693东百集团(1板); 603813*ST原尚(11板)
粤港澳大湾区,3,1,1,11,2.17,0.0,0.0,17.86,129.3,002181粤传媒(1板); 002902铭普光磁(1板); 603813*ST原尚(11板)
芯片概念,6,1,1,7,5.43,0.0,0.0,11.33,126.9,002175*ST东智(1板); 002902铭普光磁(1板); 600246万通发展(1板); 603773沃格光电(7板); 603931格林达(1板)
锂电池概念,4,3,1,7,0.32,0.0,0.0,25.01,126.6,002785万里石(1板); 003036泰坦股份(2板); 600152维科技术(2板); 603773沃格光电(7板)
消费电子概念,5,2,1,7,2.8,0.0,0.0,11.78,126.6,002902铭普光磁(1板); 600152维科技术(2板); 603626科森科技(1板); 603773沃格光电(7板); 688001华兴源创(1板)
风电,3,2,2,4,7.85,0.0,0.0,5.28,122.7,002706良信股份(1板); 600396华电辽能(4板); 600726华电能源(3板)
统一大市场,2,1,1,11,0.95,0.0,0.0,4.9,121.9,600693东百集团(1板); 603813*ST原尚(11板)
冷链物流,2,1,1,11,0.95,0.0,0.0,4.9,121.9,600693东百集团(1板); 603813*ST原尚(11板)
燃料电池,2,1,1,11,0.97,0.0,0.0,3.1,121.9,600433冠豪高新(1板); 603813*ST原尚(11板)
智能物流,2,1,1,11,0.3,0.0,0.0,0.76,120.6,002175*ST东智(1板); 603813*ST原尚(11板)
央企国企改革,3,2,2,4,6.18,0.0,0.0,3.08,119.4,600396华电辽能(4板); 600433冠豪高新(1板); 600726华电能源(3板)
超超临界发电,2,2,2,4,5.2,0.0,0.0,1.89,112.4,600396华电辽能(4板); 600726华电能源(3板)
智能穿戴,4,1,1,7,2.8,0.0,0.0,14.15,111.6,002902铭普光磁(1板); 603626科森科技(1板); 603773沃格光电(7板); 688001华兴源创(1板)
卫星导航,3,1,1,7,2.8,0.0,0.0,7.8,106.6,600246万通发展(1板); 603211晋拓股份(1板); 603773沃格光电(7板)
OLED,3,1,1,7,2.79,0.0,0.0,7.23,106.6,603773沃格光电(7板); 603931格林达(1板); 688001华兴源创(1板)
汽车电子,3,1,1,7,2.69,0.0,0.0,17.0,106.4,002902铭普光磁(1板); 603773沃格光电(7板); 688001华兴源创(1板)
商业航天,3,1,1,7,2.66,0.0,0.0,17.53,106.3,002902铭普光磁(1板); 600246万通发展(1板); 603773沃格光电(7板)
MicroLED概念,2,1,1,7,2.69,0.0,0.0,6.0,101.4,603773沃格光电(7板); 688001华兴源创(1板)
存储芯片,2,1,1,7,2.66,0.0,0.0,6.79,101.3,600246万通发展(1板); 603773沃格光电(7板)
柔性屏(折叠屏),2,1,1,7,0.43,0.0,0.0,6.33,96.9,603626科森科技(1板); 603773沃格光电(7板)
先进封装,2,1,1,7,0.39,0.0,0.0,19.06,96.8,603726朗迪集团(1板); 603773沃格光电(7板)
共封装光学(CPO),2,1,1,7,0.31,0.0,0.0,23.04,96.6,002902铭普光磁(1板); 603773沃格光电(7板)
小米概念,2,1,1,7,0.31,0.0,0.0,45.31,96.6,603657春光科技(1板); 603773沃格光电(7板)
MiniLED,1,1,1,7,0.31,0.0,0.0,7.07,91.6,603773沃格光电(7板)
光刻机,1,1,1,7,0.31,0.0,0.0,7.07,91.6,603773沃格光电(7板)
PET铜箔,1,1,1,7,0.31,0.0,0.0,7.07,91.6,603773沃格光电(7板)
6G概念,1,1,1,7,0.31,0.0,0.0,7.07,91.6,603773沃格光电(7板)
钙钛矿电池,1,1,1,7,0.31,0.0,0.0,7.07,91.6,603773沃格光电(7板)
机器人概念,8,2,0,2,3.34,0.0,0.0,31.02,82.7,002484江海股份(1板); 003036泰坦股份(2板); 600152维科技术(2板); 600400红豆股份(1板); 603211晋拓股份(1板)
海工装备,2,1,1,4,4.1,0.0,0.0,21.27,80.2,002902铭普光磁(1板); 600396华电辽能(4板)
碳交易,1,1,1,4,4.1,0.0,0.0,3.55,75.2,600396华电辽能(4板)
碳中和,1,1,1,4,4.1,0.0,0.0,3.55,75.2,600396华电辽能(4板)
天然气,1,1,1,5,0.0,0.0,0.0,4.06,75.0,603318水发燃气(5板)
新能源汽车,7,0,0,1,10.85,0.0,0.0,13.74,64.7,002134天津普林(1板); 002175*ST东智(1板); 002484江海股份(1板); 002706良信股份(1板); 002902铭普光磁(1板)
储能,5,1,0,2,5.26,0.0,0.0,13.56,61.5,002484江海股份(1板); 002706良信股份(1板); 002902铭普光磁(1板); 600152维科技术(2板); 603626科森科技(1板)
煤炭概念,1,1,1,3,1.11,0.0,0.0,0.24,61.2,600726华电能源(3板)
黑龙江自贸区,1,1,1,3,1.11,0.0,0.0,0.24,61.2,600726华电能源(3板)
换电概念,3,1,0,2,7.11,0.0,0.0,5.75,55.2,002706良信股份(1板); 600152维科技术(2板); 600418江淮汽车(1板)
数据中心,4,1,0,2,2.71,0.0,0.0,13.62,51.4,002706良信股份(1板); 002902铭普光磁(1板); 600152维科技术(2板); 603110东方材料(1板)
固态电池,3,2,0,2,0.12,0.0,0.0,32.06,51.2,003036泰坦股份(2板); 600152维科技术(2板); 603626科森科技(1板)
共同富裕示范区,2,2,0,2,0.0,0.0,0.0,45.29,46.0,003036泰坦股份(2板); 600152维科技术(2板)
华为汽车,2,1,0,2,4.46,0.0,0.0,2.61,44.9,600152维科技术(2板); 600418江淮汽车(1板)
5G,4,0,0,1,7.22,0.0,0.0,14.81,42.4,002484江海股份(1板); 002902铭普光磁(1板); 600246万通发展(1板); 688001华兴源创(1板)
工业互联网,4,0,0,1,5.27,0.0,0.0,15.35,38.5,002175*ST东智(1板); 002902铭普光磁(1板); 600400红豆股份(1板); 600418江淮汽车(1板)
军工,4,0,0,1,4.8,0.0,0.0,13.97,37.6,002134天津普林(1板); 002484江海股份(1板); 600400红豆股份(1板); 600433冠豪高新(1板)
创投,4,0,0,1,4.68,0.0,0.0,15.45,37.4,002181粤传媒(1板); 002932*ST明德(1板); 600246万通发展(1板); 603726朗迪集团(1板)
参股银行,2,1,0,2,0.51,0.0,0.0,53.49,37.0,003036泰坦股份(2板); 600400红豆股份(1板)
高端装备,2,1,0,2,0.3,0.0,0.0,44.51,36.6,002175*ST东智(1板); 003036泰坦股份(2板)
新型烟草(电子烟),2,1,0,2,0.12,0.0,0.0,3.96,36.2,600152维科技术(2板); 603626科森科技(1板)
人形机器人,3,0,0,1,5.0,0.0,0.0,7.86,33.0,002484江海股份(1板); 603211晋拓股份(1板); 688001华兴源创(1板)
DeepSeek概念,3,0,0,1,4.6,0.0,0.0,4.8,32.2,002932*ST明德(1板); 600418江淮汽车(1板); 603110东方材料(1板)
两轮车,1,1,0,2,0.0,0.0,0.0,2.32,31.0,600152维科技术(2板)
无人机,1,1,0,2,0.0,0.0,0.0,2.32,31.0,600152维科技术(2板)
钠离子电池,1,1,0,2,0.0,0.0,0.0,2.32,31.0,600152维科技术(2板)
