板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
人工智能,12,3,1,8,67.17,0.0,0.0,52.98,308.3,000066中国长城(1板); 002081金螳螂(8板); 002181粤传媒(1板); 002929润建股份(1板); 002989中天精装(2板)
芯片概念,12,2,1,8,65.85,0.0,0.0,9.07,295.7,000066中国长城(1板); 000628高新发展(1板); 002081金螳螂(8板); 002158汉钟精机(1板); 002685华东重机(1板)
数据中心,9,1,1,8,50.72,0.0,0.0,8.48,240.4,000066中国长城(1板); 002081金螳螂(8板); 002158汉钟精机(1板); 002929润建股份(1板); 600158中体产业(1板)
东数西算(算力),4,0,0,1,55.38,0.0,0.0,4.11,138.8,000066中国长城(1板); 002929润建股份(1板); 688256寒武纪(1板); 688521芯原股份(1板)
新型城镇化,4,2,1,8,3.59,0.0,0.0,9.88,131.2,000628高新发展(1板); 002081金螳螂(8板); 002989中天精装(2板); 603828*ST利达(1板)
装配式建筑,4,2,1,8,2.86,0.0,0.0,11.1,129.7,000402金融街(2板); 000790华神科技(1板); 002081金螳螂(8板); 603828*ST利达(1板)
数字孪生,4,1,1,8,6.73,0.0,0.0,7.14,127.5,000628高新发展(1板); 002081金螳螂(8板); 002929润建股份(1板); 603687大胜达(1板)
PPP概念,4,1,1,8,3.25,0.0,0.0,19.46,120.5,000628高新发展(1板); 002081金螳螂(8板); 603717天域生物(1板); 603828*ST利达(1板)
第三代半导体,3,1,1,8,2.76,0.0,0.0,10.51,114.5,002081金螳螂(8板); 002158汉钟精机(1板); 002977*ST天箭(1板)
军工,10,0,0,1,25.62,0.0,0.0,9.67,109.2,000066中国长城(1板); 002685华东重机(1板); 002929润建股份(1板); 002977*ST天箭(1板); 300083创世纪(1板)
长三角一体化,2,1,1,8,2.57,0.0,0.0,24.9,109.1,002081金螳螂(8板); 603131上海沪工(1板)
光伏建筑一体化,2,1,1,8,2.49,0.0,0.0,1.95,109.0,002081金螳螂(8板); 603828*ST利达(1板)
阿里巴巴概念,3,0,0,1,42.14,0.0,0.0,3.36,107.3,002929润建股份(1板); 688256寒武纪(1板); 688521芯原股份(1板)
白酒概念,1,1,1,9,0.02,0.0,0.0,1056.04,107.0,600381*ST春天(9板)
汽车芯片,3,0,0,1,41.0,0.0,0.0,4.71,105.0,000628高新发展(1板); 688256寒武纪(1板); 688521芯原股份(1板)
国产操作系统,2,0,0,1,43.44,0.0,0.0,4.41,104.9,000066中国长城(1板); 688256寒武纪(1板)
中国AI 50,2,0,0,1,43.44,0.0,0.0,4.41,104.9,000066中国长城(1板); 688256寒武纪(1板)
先进封装,3,0,0,1,40.45,0.0,0.0,16.78,103.9,603726朗迪集团(1板); 688256寒武纪(1板); 688521芯原股份(1板)
智能家居,1,1,1,8,2.21,0.0,0.0,2.56,103.4,002081金螳螂(8板)
