股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],区间涨跌幅:前复权[20260424-20260430],所属概念数量,a股市值(不含限售股)[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code
603759.SH,海天股份,9.03,生物质能发电;PPP概念;绿色电力;固废处理;污水处理;一带一路;光伏概念;储能;DeepSeek概念;西部大开发;HJT电池;无人机;回购增持再贷款概念;TOPCON电池;BC电池;金属铜;股权转让(并购重组),上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,-3.11158798,-4.140127388535038,17,4169692800.0,9.26,9.3,9.02,9.03,3.004291,7289915,17,603759
601033.SH,永兴股份,15.43,生物质能发电;绿色电力;医疗废物处理;PPP概念;固废处理;垃圾分类;国企改革;储能;粤港澳大湾区;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),0.52117264,3.0728122912491584,11,3703200000.0,15.5,15.52,15.34,15.43,1.172638,5126844,17,601033
601827.SH,三峰环境,8.24,生物质能发电;绿色电力;医疗废物处理;固废处理;PPP概念;垃圾分类;污水处理;国企改革;西部大开发;储能;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,2.23325062,2.48756218905474,11,13776730392.0,8.18,8.28,8.15,8.24,1.612903,1.6000885E7,17,601827
601330.SH,绿色动力,8.57,生物质能发电;绿色电力;医疗废物处理;固废处理;国企改革;沪股通;垃圾分类;阿里巴巴概念,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;含H股的A股;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,-4.88346282,-6.74646354733405,8,8476543241.58,8.92,8.92,8.52,8.57,4.439511,4.4631417E7,17,601330
300335.SZ,迪森股份,6.6,生物质能发电;绿色电力;天然气;固废处理;空气能热泵;净水概念;PM2.5;氢能源;生态农业;雄安新区;家用电器;创投;粤港澳大湾区;智能家居;光伏概念;锂电池概念;物联网;工业互联网;人工智能,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,-0.7518797,-2.3668639053254457,19,2535451637.4,6.59,6.68,6.54,6.6,2.105263,1.6760767E7,33,300335
600323.SH,瀚蓝环境,32.01,生物质能发电;绿色电力;碳交易;固废处理;天然气;国企改革;污水处理;垃圾分类;沪股通;融资融券;氢能源;创投;粤港澳大湾区;智慧城市;股权转让(并购重组),上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),-1.41669233,8.9145968016332,15,26099262143.46,32.33,32.33,31.68,32.01,2.001847,6936185,17,600323
600167.SH,联美控股,6.67,生物质能发电;绿色电力;氢能源;参股保险;创投;沪股通;文化传媒概念;人工智能;华为概念;AI智能体;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),-0.59612519,-1.1851851851851862,11,15093145888.21,6.68,6.71,6.62,6.67,1.341281,8860263,17,600167
002616.SZ,长青集团,6.09,生物质能发电;绿色电力;固废处理;粤港澳大湾区;农业种植,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,2.52525253,3.0456852791878126,5,3577754832.12,6.01,6.11,5.98,6.09,2.188552,2.3032498E7,33,002616
002479.SZ,富春环保,5.52,生物质能发电;绿色电力;固废处理;PPP概念;国企改革;污水处理;垃圾分类;金属回收;黄金概念;金属铜,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,0.36363636,-4.1666666666666705,10,4764162098.88,5.49,5.64,5.47,5.52,3.090909,1.5938101E7,33,002479
002034.SZ,旺能环境,17.49,生物质能发电;绿色电力;固废处理;垃圾分类;PPP概念;回购增持再贷款概念;动力电池回收;融资融券;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,-1.13058225,-4.164383561643844,9,8356444241.31,17.72,17.98,17.39,17.49,3.335217,1.5143764E7,33,002034
301109.SZ,军信股份,16.69,生物质能发电;绿色电力;固废处理;高股息精选;碳中和;污水处理;垃圾分类;新型城镇化;一带一路;股权转让(并购重组);深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,0.24024024,1.0290556900726495,12,3844343256.18,16.61,16.95,16.52,16.69,2.582582,6473833,33,301109
