股票代码,股票简称,最新价,最新涨跌幅,涨停[20260427],首次涨停时间[20260427],最终涨停时间[20260427],涨停明细数据[20260427],连续涨停天数[20260427],涨停原因类别[20260427],涨停封单量[20260427],涨停封单额[20260427],涨停封单量占成交量比[20260427],涨停封单量占流通a股比[20260427],涨停开板次数[20260427],a股市值(不含限售股)[20260427],几天几板[20260427],涨停类型[20260427],market_code,code,所属概念,主力资金流向区间增长值[20260424-20260430],主力资金流向[20260427],主力资金流向[20260430],量比[20260430],所属概念数量,a股市值(不含限售股)[20260430],换手率[20260430],振幅[20260430],主力资金流向[20260428],主力资金流向[20260429],主力资金流向[20260424],lbc,main,chg5,amt,volr,concepts
002560.SZ,通达股份,14.67,-5.7803468208092506,涨停, 10:31:27, 10:31:27,"[{""code"":""002560.SZ"",""time"":1777257087749,""openTime"":null,""duration"":10699223,""updatedTime"":1777273200000,""firstVol"":6.0040505E7,""highestVol"":6.0040505E7,""firstVolDivLTGB"":0.13255847345956837,""firstVolDivVol"":0.5307796100305541,""highestVolDivLTGB"":0.13255847345956837,""highestVolDivVol"":0.5307796100305541}]",1,特高压线缆+一季报预增+航空零部件,6020100,94395168.0,4.940113687032158,1.3291281711803513,0,7102036511.36,首板涨停,缩量涨停,33,002560,,,,,,,,,,,,,1,0.0,0,0,4.940113687032158,
002569.SZ,*ST步森,14.41,1.4788732394366257,涨停, 13:16:24, 13:41:45,"[{""code"":""002569.SZ"",""time"":1777266984322,""openTime"":1777267333021,""duration"":348699,""updatedTime"":1777267333021,""firstVol"":149500.0,""highestVol"":223500.0,""firstVolDivLTGB"":0.0010681896168753954,""firstVolDivVol"":0.06031932526278245,""highestVolDivLTGB"":0.0015969256145260927,""highestVolDivVol"":0.08916901657945259},{""code"":""002569.SZ"",""time"":1777268032457,""openTime"":1777268095924,""duration"":63467,""updatedTime"":1777268095924,""firstVol"":38400.0,""highestVol"":38400.0,""firstVolDivLTGB"":2.7437111229441593E-4,""firstVolDivVol"":0.013540789512658523,""highestVolDivLTGB"":2.7437111229441593E-4,""highestVolDivVol"":0.013540789512658523},{""code"":""002569.SZ"",""time"":1777268377581,""openTime"":1777268428725,""duration"":51144,""updatedTime"":1777268428725,""firstVol"":1700.0,""highestVol"":1700.0,""firstVolDivLTGB"":1.2146637783867372E-5,""firstVolDivVol"":5.773915217187519E-4,""highestVolDivLTGB"":1.2146637783867372E-5,""highestVolDivVol"":5.773915217187519E-4},{""code"":""002569.SZ"",""time"":1777268505629,""openTime"":null,""duration"":4694371,""updatedTime"":1777273200000,""firstVol"":8300.0,""highestVol"":225700.0,""firstVolDivLTGB"":5.930417270947011E-5,""firstVolDivVol"":0.002804740078316453,""highestVolDivLTGB"":0.0016126447928346268,""highestVolDivVol"":0.07500392133926363}]",1,控制权变更+扭亏预期+男装品牌+宝鸡国资,180000,2401200.0,5.952034537672411,0.12861145888800746,3,1867733400.0,首板涨停,放量涨停,33,002569,ST板块;股权转让(并购重组);国企改革,428508.0,,2438219.0,1.039477,3.0,2017544100.0,2.957788,3.802816,,14622816.0,2009711.0,1,0.0,0,0,5.952034537672411,ST板块;股权转让(并购重组);国企改革
002706.SZ,良信股份,11.57,2.208480565371025,涨停, 13:01:26, 13:01:26,"[{""code"":""002706.SZ"",""time"":1777266086715,""openTime"":null,""duration"":7113285,""updatedTime"":1777273200000,""firstVol"":8.3744882E7,""highestVol"":8.4481182E7,""firstVolDivLTGB"":0.09158640063450998,""firstVolDivVol"":0.8728675051758473,""highestVolDivLTGB"":0.09239164467064333,""highestVolDivVol"":0.8776612682354095}]",1,智算中心+核电+低压电器,12448968,141793745.52,12.038655352332333,1.3614637020256288,0,10414801754.1,首板涨停,放量涨停,33,002706,智能电网;数据中心;光伏概念;换电概念;充电桩;储能;核电;新能源汽车;华为概念;物联网;风电;智能家居;融资融券;深股通,52964093.0,264740047.0,34546888.0,1.109591,14.0,10579390368.3,8.112751,4.416961,,4800222.0,,1,264740047.0,0,0,12.038655352332333,智能电网;数据中心;光伏概念;换电概念;充电桩;储能;核电;新能源汽车;华为概念;物联网;风电;智能家居;融资融券;深股通
002741.SZ,光华科技,21.7,-0.22988505747126764,涨停, 13:23:51, 13:23:51,"[{""code"":""002741.SZ"",""time"":1777267431286,""openTime"":null,""duration"":5768714,""updatedTime"":1777273200000,""firstVol"":1.52635E7,""highestVol"":1.67966E7,""firstVolDivLTGB"":0.035799708937237204,""firstVolDivVol"":0.48346338873832956,""highestVolDivLTGB"":0.03939551158877049,""highestVolDivVol"":0.525184899378593}]",1,PCB化学品+一季报高增,2755900,61346334.00000001,7.107601541033445,0.6463813532946703,0,9490733865.9,首板涨停,放量涨停,33,002741,,,,,,,,,,,,,1,0.0,0,0,7.107601541033445,
002785.SZ,万里石,51.16,9.997849924747364,涨停, 13:19:20, 14:07:34,"[{""code"":""002785.SZ"",""time"":1777267160144,""openTime"":1777267212824,""duration"":52680,""updatedTime"":1777267212824,""firstVol"":1.24339E7,""highestVol"":1.24339E7,""firstVolDivLTGB"":0.06425953395194046,""firstVolDivVol"":1.1693302356585205,""highestVolDivLTGB"":0.06425953395194046,""highestVolDivVol"":1.1693302356585205},{""code"":""002785.SZ"",""time"":1777267364623,""openTime"":1777268065514,""duration"":700891,""updatedTime"":1777268065514,""firstVol"":8371500.0,""highestVol"":8371500.0,""firstVolDivLTGB"":0.043264678699255224,""firstVolDivVol"":0.6729148922419822,""highestVolDivLTGB"":0.043264678699255224,""highestVolDivVol"":0.6729148922419822},{""code"":""002785.SZ"",""time"":1777268130109,""openTime"":1777268693537,""duration"":563428,""updatedTime"":1777268693537,""firstVol"":5355700.0,""highestVol"":5355700.0,""firstVolDivLTGB"":0.027678748098859368,""firstVolDivVol"":0.38450957063181707,""highestVolDivLTGB"":0.027678748098859368,""highestVolDivVol"":0.38450957063181707},{""code"":""002785.SZ"",""time"":1777268709642,""openTime"":1777268834860,""duration"":125218,""updatedTime"":1777268834860,""firstVol"":224700.0,""highestVol"":224700.0,""firstVolDivLTGB"":0.0011612701790267752,""firstVolDivVol"":0.015339714253960132,""highestVolDivLTGB"":0.0011612701790267752,""highestVolDivVol"":0.015339714253960132},{""code"":""002785.SZ"",""time"":1777268849860,""openTime"":1777269861760,""duration"":1011900,""updatedTime"":1777269861760,""firstVol"":2964300.0,""highestVol"":2994300.0,""firstVolDivLTGB"":0.015319773883796484,""firstVolDivVol"":0.1991648286321126,""highestVolDivLTGB"":0.015474816631330098,""highestVolDivVol"":0.2009630764324131},{""code"":""002785.SZ"",""time"":1777269883856,""openTime"":1777269931683,""duration"":47827,""updatedTime"":1777269931683,""firstVol"":83900.0,""highestVol"":83900.0,""firstVolDivLTGB"":4.3360288393567623E-4,""firstVolDivVol"":0.005446265290113919,""highestVolDivLTGB"":4.3360288393567623E-4,""highestVolDivVol"":0.005446265290113919},{""code"":""002785.SZ"",""time"":1777269953128,""openTime"":1777269972070,""duration"":18942,""updatedTime"":1777269972070,""firstVol"":151400.0,""highestVol"":151400.0,""firstVolDivLTGB"":7.824490658863096E-4,""firstVolDivVol"":0.009746832150794953,""highestVolDivLTGB"":7.824490658863096E-4,""highestVolDivVol"":0.009746832150794953},{""code"":""002785.SZ"",""time"":1777270007086,""openTime"":1777270039798,""duration"":32712,""updatedTime"":1777270039798,""firstVol"":59600.0,""highestVol"":59600.0,""firstVolDivLTGB"":3.0801825843344816E-4,""firstVolDivVol"":0.003788733121384652,""highestVolDivLTGB"":3.0801825843344816E-4,""highestVolDivVol"":0.003788733121384652},{""code"":""002785.SZ"",""time"":1777270054798,""openTime"":null,""duration"":3145202,""updatedTime"":1777273200000,""firstVol"":604100.0,""highestVol"":2717400.0,""firstVolDivLTGB"":0.003122044126168558,""firstVolDivVol"":0.038293915723718874,""highestVolDivLTGB"":0.014043772071594834,""highestVolDivVol"":0.17215893410723548}]",1,铀矿布局+锂资源+石材,411200,18318960.0,2.407994353862266,0.21251192595274143,8,8620203274.65,首板涨停,放量涨停,33,002785,盐湖提锂;小金属概念;锂电池概念;福建自贸区;海峡两岸;一带一路;核电;中俄贸易概念;俄乌冲突概念;深股通,100208304.0,1278861.0,118412846.0,2.047878,10.0,9899205376.68,12.143512,8.29929,20574773.0,47716415.0,18204542.0,1,1278861.0,0,0,2.407994353862266,盐湖提锂;小金属概念;锂电池概念;福建自贸区;海峡两岸;一带一路;核电;中俄贸易概念;俄乌冲突概念;深股通
002902.SZ,铭普光磁,30.39,-1.9361084220716291,涨停, 09:30:16, 09:30:16,"[{""code"":""002902.SZ"",""time"":1777253416201,""openTime"":null,""duration"":14370771,""updatedTime"":1777273200000,""firstVol"":1.62716E7,""highestVol"":2.102497E7,""firstVolDivLTGB"":0.0916028406270792,""firstVolDivVol"":2.16048559010178,""highestVolDivLTGB"":0.11836248285965248,""highestVolDivVol"":2.4015952783598538}]",1,AI算力+800G光模块+磁性元器件+新能源车载,5979915,171085368.15,39.0034223054481,3.3664618151164003,0,5082052836.06,首板涨停,缩量涨停,33,002902,共封装光学(CPO);F5G概念;铜缆高速连接;华为海思概念股;5G;消费电子概念;第三代半导体;智能穿戴;汽车电子;数据中心;芯片概念;粤港澳大湾区;露营经济;华为概念;充电桩;光伏概念;新能源汽车;储能;工业互联网;商业航天;车联网(车路协同);海工装备;数字经济;体育产业;跨境电商;一带一路;深股通;融资融券,14900685.0,,13356964.0,0.912457,28.0,5398237877.94,19.276661,5.06615,45565340.0,23647252.0,,1,0.0,0,0,39.0034223054481,共封装光学(CPO);F5G概念;铜缆高速连接;华为海思概念股;5G;消费电子概念;第三代半导体;智能穿戴;汽车电子;数据中心;芯片概念;粤港澳大湾区;露营经济;华为概念;充电桩;光伏概念;新能源汽车;储能;工业互联网;商业航天;车联网(车路协同);海工装备;数字经济;体育产业;跨境电商;一带一路;深股通;融资融券
002932.SZ,*ST明德,16.97,0.4142011834319544,涨停, 14:33:23, 14:33:23,"[{""code"":""002932.SZ"",""time"":1777271603374,""openTime"":null,""duration"":1596626,""updatedTime"":1777273200000,""firstVol"":418897.0,""highestVol"":717310.0,""firstVolDivLTGB"":0.0026836030200712074,""firstVolDivVol"":0.06695609253657198,""highestVolDivLTGB"":0.004595342727036187,""highestVolDivVol"":0.11178657959497137}]",1,ST摘帽博弈+拟收购必凯尔+体外诊断+回购,685667,12054025.86,10.395471437685421,0.43926264259786163,0,2744150012.1,首板涨停,缩量涨停,33,002932,猴痘概念;流感;肝炎概念;辅助生殖;基因测序;医疗器械概念;食品安全;智能医疗;ST板块;创投;专精特新;DeepSeek概念;股权转让(并购重组),8626430.14,8071388.800000001,2444291.6400000006,0.508821,13.0,2648932065.15,2.06874,1.360946,,,,1,8071388.800000001,0,0,10.395471437685421,猴痘概念;流感;肝炎概念;辅助生殖;基因测序;医疗器械概念;食品安全;智能医疗;ST板块;创投;专精特新;DeepSeek概念;股权转让(并购重组)
003036.SZ,泰坦股份,32.75,-6.562054208273887,涨停, 09:30:16, 09:30:16,"[{""code"":""003036.SZ"",""time"":1777253416201,""openTime"":null,""duration"":14370771,""updatedTime"":1777273200000,""firstVol"":2153400.0,""highestVol"":4673150.0,""firstVolDivLTGB"":0.009956607519436769,""firstVolDivVol"":0.9285498684834634,""highestVolDivLTGB"":0.02160709595498093,""highestVolDivVol"":1.5951767336280316}]",2,高端纺机+电子布纺织机+固态电池+纺织机器人,2994350,110641232.50000001,88.24951002785106,1.384488145529186,0,7991490057.7,2天2板,缩量涨停,33,003036,新型工业化;共同富裕示范区;机器人概念;锂电池概念;高端装备;固态电池;参股银行,54933451.0,,,1.10439,7.0,7083120416.5,10.267671,10.67047,2041333.0,,,2,0.0,0,0,88.24951002785106,新型工业化;共同富裕示范区;机器人概念;锂电池概念;高端装备;固态电池;参股银行
300029.SZ,*ST天龙,,,涨停, 13:18:32, 13:36:04,"[{""code"":""300029.SZ"",""time"":1777267112502,""openTime"":1777267131375,""duration"":18873,""updatedTime"":1777267131375,""firstVol"":502500.0,""highestVol"":502500.0,""firstVolDivLTGB"":0.0025079824965281287,""firstVolDivVol"":0.06317893783946892,""highestVolDivLTGB"":0.0025079824965281287,""highestVolDivVol"":0.06317893783946892},{""code"":""300029.SZ"",""time"":1777267160144,""openTime"":1777267396733,""duration"":236589,""updatedTime"":1777267396733,""firstVol"":1678600.0,""highestVol"":1820400.0,""firstVolDivLTGB"":0.008377909290889786,""firstVolDivVol"":0.1988391376451078,""highestVolDivLTGB"":0.009085634500855335,""highestVolDivVol"":0.21562333432040273},{""code"":""300029.SZ"",""time"":1777267616448,""openTime"":1777267633505,""duration"":17057,""updatedTime"":1777267633505,""firstVol"":5500.0,""highestVol"":5500.0,""firstVolDivLTGB"":2.7450554688367578E-5,""firstVolDivVol"":5.941770647653001E-4,""highestVolDivLTGB"":2.7450554688367578E-5,""highestVolDivVol"":5.941770647653001E-4},{""code"":""300029.SZ"",""time"":1777267714147,""openTime"":1777267835572,""duration"":121425,""updatedTime"":1777267835572,""firstVol"":61800.0,""highestVol"":71500.0,""firstVolDivLTGB"":3.084444144983848E-4,""firstVolDivVol"":0.006617836031868414,""highestVolDivLTGB"":3.568572109487785E-4,""highestVolDivVol"":0.007649758738378251},{""code"":""300029.SZ"",""time"":1777267895070,""openTime"":1777267955845,""duration"":60775,""updatedTime"":1777267955845,""firstVol"":11900.0,""highestVol"":15600.0,""firstVolDivLTGB"":5.939301832574076E-5,""firstVolDivVol"":0.001262720047537696,""highestVolDivLTGB"":7.785975511609713E-5,""highestVolDivVol"":0.0016546808375230702},{""code"":""300029.SZ"",""time"":1777268050514,""openTime"":1777268130109,""duration"":79595,""updatedTime"":1777268130109,""firstVol"":30800.0,""highestVol"":32000.0,""firstVolDivLTGB"":1.5372310625485843E-4,""firstVolDivVol"":0.0032428903839877023,""highestVolDivLTGB"":1.597123181868659E-4,""highestVolDivVol"":0.003364454537808058},{""code"":""300029.SZ"",""time"":1777268164490,""openTime"":null,""duration"":5035510,""updatedTime"":1777273200000,""firstVol"":10400.0,""highestVol"":1589000.0,""firstVolDivLTGB"":5.190650341073142E-5,""firstVolDivVol"":0.0010891078740404856,""highestVolDivLTGB"":0.00793071479996656,""highestVolDivVol"":0.1663647880393245}]",1,ST板块+新能源EPC+风电项目,896900,3874608.0000000005,8.96003996003996,0.44764368181812514,6,865556280.0,首板涨停,放量涨停,33,300029,,,,,,,,,,,,,1,0.0,0,0,8.96003996003996,
300582.SZ,英飞特,15.06,-3.2133676092544987,涨停, 10:37:54, 10:37:54,"[{""code"":""300582.SZ"",""time"":1777257474438,""openTime"":null,""duration"":10312534,""updatedTime"":1777273200000,""firstVol"":3.678535E7,""highestVol"":3.678535E7,""firstVolDivLTGB"":0.16602539844430197,""firstVolDivVol"":1.1285069588503984,""highestVolDivLTGB"":0.16602539844430197,""highestVolDivVol"":1.1285069588503984}]",1,一季报增长+LED驱动电源+储能,3422556,53836805.88,8.91052314914735,1.5447215361494084,0,3485211063.62,首板涨停,放量涨停,33,300582,,,,,,,,,,,,,1,0.0,0,0,8.91052314914735,
