板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
芯片概念,2,2,2,6,2.53,0.0,0.0,40.65,123.1,002081金螳螂(4板); 603773沃格光电(6板)
锂电池概念,2,1,1,6,0.63,0.0,0.0,13.7,89.3,600052东望时代(1板); 603773沃格光电(6板)
华为概念,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
存储芯片,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
MicroLED概念,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
共封装光学(CPO),1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
PET铜箔,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
MiniLED,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
先进封装,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
光刻机,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
OLED,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
柔性屏(折叠屏),1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
6G概念,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
汽车电子,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
卫星导航,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
消费电子概念,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
商业航天,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
小米概念,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
智能穿戴,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
钙钛矿电池,1,1,1,6,0.33,0.0,0.0,6.34,83.7,603773沃格光电(6板)
数据中心,2,1,1,4,3.71,0.0,0.0,38.54,79.4,000811冰轮环境(1板); 002081金螳螂(4板)
人工智能,2,1,1,4,3.71,0.0,0.0,38.54,79.4,000811冰轮环境(1板); 002081金螳螂(4板)
数字孪生,1,1,1,4,2.21,0.0,0.0,74.96,71.4,002081金螳螂(4板)
智能家居,1,1,1,4,2.21,0.0,0.0,74.96,71.4,002081金螳螂(4板)
新型城镇化,1,1,1,4,2.21,0.0,0.0,74.96,71.4,002081金螳螂(4板)
第三代半导体,1,1,1,4,2.21,0.0,0.0,74.96,71.4,002081金螳螂(4板)
长三角一体化,1,1,1,4,2.21,0.0,0.0,74.96,71.4,002081金螳螂(4板)
光伏建筑一体化,1,1,1,4,2.21,0.0,0.0,74.96,71.4,002081金螳螂(4板)
PPP概念,1,1,1,4,2.21,0.0,0.0,74.96,71.4,002081金螳螂(4板)
装配式建筑,1,1,1,4,2.21,0.0,0.0,74.96,71.4,002081金螳螂(4板)
体育产业,2,0,0,1,1.8,0.0,0.0,11.59,21.6,000811冰轮环境(1板); 600052东望时代(1板)
储能,2,0,0,1,1.8,0.0,0.0,11.59,21.6,000811冰轮环境(1板); 600052东望时代(1板)
天然气,2,0,0,1,1.62,0.0,0.0,1.42,21.2,000811冰轮环境(1板); 603637镇海股份(1板)
碳中和,2,0,0,1,1.62,0.0,0.0,1.42,21.2,000811冰轮环境(1板); 603637镇海股份(1板)
氢能源,2,0,0,1,1.62,0.0,0.0,1.42,21.2,000811冰轮环境(1板); 603637镇海股份(1板)
3D打印,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
可控核聚变,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
核电,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
海工装备,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
雅下水电概念,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
军工,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
新能源汽车,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
中芯国际概念,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
机器人概念,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
海峡两岸,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
燃料电池,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
空气能热泵,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
水利,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
超导概念,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
固态电池,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
中俄贸易概念,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
回购增持再贷款概念,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
创投,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
智能物流,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
冷链物流,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
宠物经济,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
冰雪产业,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
液冷服务器,1,0,0,1,1.5,0.0,0.0,2.11,16.0,000811冰轮环境(1板)
光伏概念,1,0,0,1,0.43,0.0,0.0,39.55,13.9,002360ST同德(1板)
民爆概念,1,0,0,1,0.43,0.0,0.0,39.55,13.9,002360ST同德(1板)
可降解塑料,1,0,0,1,0.43,0.0,0.0,39.55,13.9,002360ST同德(1板)
文化传媒概念,1,0,0,1,0.3,0.0,0.0,21.06,13.6,600052东望时代(1板)
