板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
芯片概念,7,5,2,6,3.66,0.0,0.0,20.98,180.3,002081金螳螂(6板); 002175*ST东智(2板); 002902铭普光磁(2板); 002989中天精装(1板); 600770综艺股份(3板)
绿色电力,4,3,3,6,2.56,0.0,0.0,7.0,163.1,600726华电能源(4板); 600744华银电力(1板); 600770综艺股份(3板); 603318水发燃气(6板)
氢能源,2,2,2,12,0.0,0.0,0.0,5.01,150.0,603318水发燃气(6板); 603813*ST原尚(12板)
数据中心,4,3,2,6,2.36,0.0,0.0,245.93,142.7,001266宏英智能(1板); 002081金螳螂(6板); 002902铭普光磁(2板); 600152维科技术(3板)
人工智能,5,2,2,6,3.61,0.0,0.0,203.74,140.2,001266宏英智能(1板); 002081金螳螂(6板); 002989中天精装(1板); 600770综艺股份(3板); 605168三人行(1板)
数字经济,3,2,1,12,0.96,0.0,0.0,9.8,136.9,002902铭普光磁(2板); 600488津药药业(1板); 603813*ST原尚(12板)
无人机,3,2,2,7,2.87,0.0,0.0,10.04,136.7,002297博云新材(7板); 600152维科技术(3板); 605168三人行(1板)
粤港澳大湾区,3,2,1,12,0.75,0.0,0.0,17.66,136.5,002902铭普光磁(2板); 002989中天精装(1板); 603813*ST原尚(12板)
碳纤维,2,2,2,7,3.47,0.0,0.0,5.52,132.9,002297博云新材(7板); 600770综艺股份(3板)
智能物流,2,2,1,12,0.0,0.0,0.0,6.41,130.0,002175*ST东智(2板); 603813*ST原尚(12板)
燃料电池,2,1,1,12,0.09,0.0,0.0,9.43,120.2,002592ST八菱(1板); 603813*ST原尚(12板)
商业航天,3,2,1,7,2.86,0.0,0.0,325.41,116.7,001266宏英智能(1板); 002297博云新材(7板); 002902铭普光磁(2板)
统一大市场,1,1,1,12,0.0,0.0,0.0,5.81,115.0,603813*ST原尚(12板)
冷链物流,1,1,1,12,0.0,0.0,0.0,5.81,115.0,603813*ST原尚(12板)
军工,3,1,1,7,2.49,0.0,0.0,29.74,106.0,002297博云新材(7板); 002592ST八菱(1板); 603629利通电子(1板)
第三代半导体,2,2,1,6,2.3,0.0,0.0,8.13,102.6,002081金螳螂(6板); 002902铭普光磁(2板)
新型城镇化,3,1,1,6,2.96,0.0,0.0,13.11,98.9,002081金螳螂(6板); 002989中天精装(1板); 600496精工钢构(1板)
白酒概念,2,1,1,7,0.13,0.0,0.0,9.16,96.3,600381*ST春天(7板); 603779威龙股份(1板)
2026一季报预增,1,1,1,7,2.4,0.0,0.0,2.22,95.8,002297博云新材(7板)
军民融合,1,1,1,7,2.4,0.0,0.0,2.22,95.8,002297博云新材(7板)
大飞机,1,1,1,7,2.4,0.0,0.0,2.22,95.8,002297博云新材(7板)
航空发动机,1,1,1,7,2.4,0.0,0.0,2.22,95.8,002297博云新材(7板)
培育钻石,1,1,1,7,2.4,0.0,0.0,2.22,95.8,002297博云新材(7板)
成飞概念,1,1,1,7,2.4,0.0,0.0,2.22,95.8,002297博云新材(7板)
装配式建筑,2,1,1,6,2.66,0.0,0.0,3.83,93.3,002081金螳螂(6板); 600496精工钢构(1板)
光伏建筑一体化,2,1,1,6,2.66,0.0,0.0,3.83,93.3,002081金螳螂(6板); 600496精工钢构(1板)
数字孪生,1,1,1,6,1.84,0.0,0.0,0.77,86.7,002081金螳螂(6板)
智能家居,1,1,1,6,1.84,0.0,0.0,0.77,86.7,002081金螳螂(6板)
PPP概念,1,1,1,6,1.84,0.0,0.0,0.77,86.7,002081金螳螂(6板)
长三角一体化,1,1,1,6,1.84,0.0,0.0,0.77,86.7,002081金螳螂(6板)
风电,4,1,1,4,2.28,0.0,0.0,244.07,86.6,001266宏英智能(1板); 600320振华重工(1板); 600726华电能源(4板); 600744华银电力(1板)
华为概念,4,2,1,3,0.61,0.0,0.0,27.86,85.2,002592ST八菱(1板); 002902铭普光磁(2板); 600152维科技术(3板); 603629利通电子(1板)
天然气,1,1,1,6,0.0,0.0,0.0,4.2,83.0,603318水发燃气(6板)
央企国企改革,3,1,1,4,2.28,0.0,0.0,5.92,81.6,600320振华重工(1板); 600726华电能源(4板); 600744华银电力(1板)
煤炭概念,3,1,1,4,2.17,0.0,0.0,7.01,81.3,600726华电能源(4板); 600744华银电力(1板); 601101昊华能源(1板)
储能,3,2,1,3,0.52,0.0,0.0,327.65,80.0,001266宏英智能(1板); 002902铭普光磁(2板); 600152维科技术(3板)
消费电子概念,3,2,1,3,0.52,0.0,0.0,32.8,80.0,002902铭普光磁(2板); 600152维科技术(3板); 603629利通电子(1板)
跨境电商,2,2,1,3,1.52,0.0,0.0,12.15,77.0,002902铭普光磁(2板); 600770综艺股份(3板)
机器人概念,4,1,1,3,0.85,0.0,0.0,253.02,75.7,001266宏英智能(1板); 301261恒工精密(1板); 600152维科技术(3板); 600320振华重工(1板)
超超临界发电,2,1,1,4,1.5,0.0,0.0,7.49,75.0,600726华电能源(4板); 600744华银电力(1板)
2025年报预增,3,1,1,3,1.16,0.0,0.0,31.94,71.3,002592ST八菱(1板); 600770综艺股份(3板); 603629利通电子(1板)
创投,3,1,1,3,1.1,0.0,0.0,25.31,71.2,002715登云股份(1板); 301261恒工精密(1板); 600770综艺股份(3板)
黑龙江自贸区,1,1,1,4,0.0,0.0,0.0,2.63,67.0,600726华电能源(4板)
网络游戏,2,1,1,3,1.16,0.0,0.0,10.93,66.3,002592ST八菱(1板); 600770综艺股份(3板)
华为汽车,2,1,1,3,0.15,0.0,0.0,10.99,64.3,002592ST八菱(1板); 600152维科技术(3板)
换电概念,2,1,1,3,0.06,0.0,0.0,483.72,64.1,001266宏英智能(1板); 600152维科技术(3板)
新能源汽车,5,2,0,2,0.58,0.0,0.0,203.86,62.2,001266宏英智能(1板); 002175*ST东智(2板); 002592ST八菱(1板); 002715登云股份(1板); 002902铭普光磁(2板)
手机游戏,1,1,1,3,1.07,0.0,0.0,8.81,61.1,600770综艺股份(3板)
语音技术,1,1,1,3,1.07,0.0,0.0,8.81,61.1,600770综艺股份(3板)
数据安全,1,1,1,3,1.07,0.0,0.0,8.81,61.1,600770综艺股份(3板)
汽车芯片,1,1,1,3,1.07,0.0,0.0,8.81,61.1,600770综艺股份(3板)
固态电池,1,1,1,3,0.06,0.0,0.0,8.93,59.1,600152维科技术(3板)
钠离子电池,1,1,1,3,0.06,0.0,0.0,8.93,59.1,600152维科技术(3板)
新型烟草(电子烟),1,1,1,3,0.06,0.0,0.0,8.93,59.1,600152维科技术(3板)
两轮车,1,1,1,3,0.06,0.0,0.0,8.93,59.1,600152维科技术(3板)
共同富裕示范区,1,1,1,3,0.06,0.0,0.0,8.93,59.1,600152维科技术(3板)
锂电池概念,1,1,1,3,0.06,0.0,0.0,8.93,59.1,600152维科技术(3板)
