板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
锂电池概念,3,1,0,2,0.76,0.0,0.0,13.27,42.5,002787华源控股(2板); 300283温州宏丰(1板); 600152维科技术(1板)
芯片概念,2,1,0,2,0.58,0.0,0.0,14.88,37.2,002787华源控股(2板); 300283温州宏丰(1板)
长三角一体化,1,1,0,2,0.51,0.0,0.0,21.53,32.0,002787华源控股(2板)
食品安全,1,1,0,2,0.51,0.0,0.0,21.53,32.0,002787华源控股(2板)
液冷服务器,1,1,0,2,0.51,0.0,0.0,21.53,32.0,002787华源控股(2板)
2025年报预增,1,1,0,2,0.51,0.0,0.0,21.53,32.0,002787华源控股(2板)
创投,1,1,0,2,0.51,0.0,0.0,21.53,32.0,002787华源控股(2板)
海峡两岸,1,1,0,2,0.51,0.0,0.0,21.53,32.0,002787华源控股(2板)
数据中心,3,0,0,1,0.26,0.0,0.0,8.17,23.5,300283温州宏丰(1板); 600152维科技术(1板); 603559ST通脉(1板)
储能,2,0,0,1,0.26,0.0,0.0,9.14,18.5,300283温州宏丰(1板); 600152维科技术(1板)
固态电池,2,0,0,1,0.26,0.0,0.0,9.14,18.5,300283温州宏丰(1板); 600152维科技术(1板)
消费电子概念,2,0,0,1,0.26,0.0,0.0,9.14,18.5,300283温州宏丰(1板); 600152维科技术(1板)
钠离子电池,1,0,0,1,0.19,0.0,0.0,10.06,13.4,600152维科技术(1板)
新型烟草(电子烟),1,0,0,1,0.19,0.0,0.0,10.06,13.4,600152维科技术(1板)
共同富裕示范区,1,0,0,1,0.19,0.0,0.0,10.06,13.4,600152维科技术(1板)
两轮车,1,0,0,1,0.19,0.0,0.0,10.06,13.4,600152维科技术(1板)
华为概念,1,0,0,1,0.19,0.0,0.0,10.06,13.4,600152维科技术(1板)
华为汽车,1,0,0,1,0.19,0.0,0.0,10.06,13.4,600152维科技术(1板)
机器人概念,1,0,0,1,0.19,0.0,0.0,10.06,13.4,600152维科技术(1板)
无人机,1,0,0,1,0.19,0.0,0.0,10.06,13.4,600152维科技术(1板)
换电概念,1,0,0,1,0.19,0.0,0.0,10.06,13.4,600152维科技术(1板)
PCB概念,1,0,0,1,0.07,0.0,0.0,8.22,13.1,300283温州宏丰(1板)
光伏建筑一体化,1,0,0,1,0.07,0.0,0.0,8.22,13.1,300283温州宏丰(1板)
智能电网,1,0,0,1,0.07,0.0,0.0,8.22,13.1,300283温州宏丰(1板)
医疗器械概念,1,0,0,1,0.07,0.0,0.0,8.22,13.1,300283温州宏丰(1板)
新能源汽车,1,0,0,1,0.07,0.0,0.0,8.22,13.1,300283温州宏丰(1板)
第三代半导体,1,0,0,1,0.07,0.0,0.0,8.22,13.1,300283温州宏丰(1板)
工业母机,1,0,0,1,0.07,0.0,0.0,8.22,13.1,300283温州宏丰(1板)
比亚迪概念,1,0,0,1,0.07,0.0,0.0,8.22,13.1,300283温州宏丰(1板)
时空大数据,1,0,0,1,0.01,0.0,0.0,6.23,13.0,603559ST通脉(1板)
5G,1,0,0,1,0.01,0.0,0.0,6.23,13.0,603559ST通脉(1板)
云计算,1,0,0,1,0.01,0.0,0.0,6.23,13.0,603559ST通脉(1板)
