板块,Top20天数,总出现天数,平均排名,最佳排名,趋势(向好+),2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-27,2026-04-28,2026-04-29,2026-04-30
芯片概念,8,8,2.4,1,-0.3,2,1,2,2,6,1,3,2
数据中心,6,8,11.5,2,7.7,3,21,8,9,42,4,2,3
白酒概念,5,5,10.4,1,0.0,1,-,6,-,-,18,13,14
新型城镇化,5,6,11.5,3,3.7,12,25,3,-,-,17,7,5
人工智能,5,7,17.1,1,8.3,6,22,4,-,81,5,1,1
长三角一体化,5,8,25.2,1,-3.3,9,27,1,3,115,30,6,11
第三代半导体,5,8,31.4,8,2.3,8,26,10,27,143,16,12,9
数字孪生,4,6,14.0,7,0.0,10,23,9,-,-,27,8,7
PPP概念,4,6,15.3,4,-0.7,4,29,12,-,-,29,10,8
装配式建筑,4,6,15.7,6,3.3,11,30,11,-,-,25,11,6
光伏建筑一体化,4,7,16.4,5,-4.0,5,28,7,23,-,26,14,12
商业航天,4,6,19.8,12,-5.7,14,17,-,-,20,12,29,27
锂电池概念,4,7,20.6,1,-35.0,-,2,13,1,7,57,42,22
智能家居,4,7,21.0,4,-5.0,7,24,5,-,60,28,4,19
军工,4,6,24.5,10,20.3,15,41,-,-,48,15,18,10
消费电子概念,4,8,33.0,8,-20.7,16,16,59,12,8,37,81,35
华为概念,3,7,22.0,3,-11.7,38,3,-,17,3,32,28,33
2025年报预增,3,5,28.6,5,0.0,-,-,17,6,-,41,5,74
储能,3,7,30.1,10,-20.3,-,32,14,10,38,36,19,62
氢能源,3,5,30.8,1,0.0,-,35,-,-,1,3,17,98
机器人概念,3,8,32.2,16,9.7,18,44,56,19,32,39,16,34
粤港澳大湾区,3,6,38.0,5,-8.0,40,-,57,-,5,8,98,20
先进封装,2,4,22.5,9,0.0,-,9,39,-,24,-,-,18
数字经济,2,4,28.0,4,0.0,-,-,-,-,4,6,79,23
统一大市场,2,3,31.3,10,0.0,-,-,-,-,10,13,71,-
OLED,2,3,31.7,11,0.0,-,11,-,-,18,66,-,-
创投,2,7,34.6,7,-11.7,-,53,19,7,49,42,48,24
汽车电子,2,5,40.2,14,0.0,-,14,-,-,19,64,39,65
卫星导航,2,5,43.6,15,0.0,-,15,-,-,17,121,37,28
无人机,2,5,48.0,7,0.0,-,-,-,20,56,7,89,68
智能穿戴,2,5,55.4,16,0.0,-,19,55,-,16,69,-,118
海峡两岸,2,7,56.4,8,-62.7,-,45,18,8,65,94,106,59
冷链物流,2,5,68.8,11,0.0,-,55,-,-,11,14,92,172
智能物流,2,5,70.2,10,0.0,-,54,-,-,13,10,87,187
燃料电池,2,5,73.6,11,0.0,-,46,-,-,12,11,173,126
食品安全,2,4,74.2,4,0.0,-,-,20,4,132,-,141,-
绿色电力,2,4,80.5,2,0.0,-,-,-,-,2,2,122,196
MicroLED概念,1,2,13.0,5,0.0,-,5,-,-,21,-,-,-
国产操作系统,1,1,16.0,16,0.0,-,-,-,-,-,-,-,16
MiniLED,1,2,17.5,8,0.0,-,8,-,-,27,-,-,-
超超临界发电,1,2,27.5,15,0.0,-,-,-,-,15,40,-,-
碳纤维,1,2,29.0,9,0.0,49,-,-,-,-,9,-,-
汽车芯片,1,2,33.0,15,0.0,-,-,-,-,-,51,-,15
新能源汽车,1,7,33.6,20,-2.7,27,42,-,26,37,47,20,36
央企国企改革,1,4,35.0,14,0.0,-,-,-,-,14,34,62,30
固态电池,1,5,39.4,11,0.0,-,50,-,11,43,52,41,-
新型烟草(电子烟),1,3,40.0,14,0.0,-,-,-,14,52,54,-,-
两轮车,1,3,42.0,16,0.0,-,-,-,16,55,55,-,-
军民融合,1,4,44.5,20,0.0,48,-,-,-,-,20,63,47
高端装备,1,5,46.8,13,0.0,13,-,-,-,51,59,57,54
海工装备,1,6,49.3,19,-38.0,19,39,-,-,33,60,103,42
液冷服务器,1,6,51.2,5,-46.3,-,58,21,5,-,131,52,40
PET铜箔,1,3,52.0,7,0.0,-,7,-,-,29,-,120,-
风电,1,5,53.4,9,0.0,22,-,-,-,9,31,32,173
钠离子电池,1,5,53.8,13,0.0,-,-,-,13,57,53,88,58
共封装光学(CPO),1,6,54.3,6,-69.3,-,6,28,-,25,73,55,139
柔性屏(折叠屏),1,3,56.3,12,0.0,-,12,-,-,23,-,134,-
光伏概念,1,6,56.7,20,-12.7,20,59,-,-,72,67,78,44
回购增持再贷款概念,1,6,58.5,9,-3.0,-,52,40,-,79,81,9,90
共同富裕示范区,1,5,60.2,15,0.0,-,-,-,15,44,56,72,114
东数西算(算力),1,5,64.0,4,0.0,39,-,-,-,74,85,118,4
小米概念,1,5,65.6,18,0.0,-,18,-,-,26,127,82,75
华为汽车,1,4,65.8,18,0.0,-,-,-,18,45,45,155,-
存储芯片,1,4,66.0,4,0.0,-,4,-,-,22,-,126,112
6G概念,1,3,67.3,13,0.0,-,13,-,-,30,-,159,-
钙钛矿电池,1,3,69.0,20,0.0,-,20,-,-,31,-,-,156
2026一季报预增,1,3,69.3,19,0.0,-,-,-,-,-,19,26,163
阿里巴巴概念,1,4,71.8,13,0.0,31,-,-,-,111,132,-,13
小金属概念,1,3,72.3,15,0.0,-,-,-,-,138,-,15,64
光刻机,1,3,72.7,10,0.0,-,10,-,-,28,-,-,180
体育产业,1,6,77.3,15,-69.3,-,31,15,-,82,61,188,87
文化传媒概念,1,7,83.6,16,-72.3,53,62,16,-,106,84,175,89
传感器,1,5,87.4,17,0.0,17,-,-,-,127,124,33,136
中国AI 50,1,2,104.0,17,0.0,-,-,-,-,-,-,191,17
