排名,板块,涨停家数,≥2板,≥3板,龙头连板,主力净流入(亿),5日涨幅均值(%),量比均值,成交额合计(亿),成员数(涨停的),成员名
291,天然气,1,0,0,1,0.61,-1.29,1.18,2.64,1,002207*ST准油
292,3D打印,2,0,0,1,0.59,18.22,1.62,23.04,2,002591恒大高新; 605376博迁新材
293,长期破净,3,0,0,1,0.57,12.92,0.52,1.91,3,002856*ST美芝; 600476*ST湘邮; 000838*ST发展
294,饮料制造,1,0,0,1,0.56,15.35,6.79,1.99,1,603711香飘飘
295,养老金,1,0,0,1,0.54,23.81,2.05,11.76,1,002785万里石
296,中俄贸易概念,1,0,0,1,0.54,23.81,2.05,11.76,1,002785万里石
297,电池设备,1,0,0,1,0.53,19.79,1.85,7.19,1,688155先惠技术
298,统一大市场,1,0,0,1,0.51,14.34,2.54,2.60,1,600540新赛股份
299,粮食概念,1,0,0,1,0.51,14.34,2.54,2.60,1,600540新赛股份
300,消毒剂,2,0,0,1,0.50,9.03,1.07,2.12,2,001316润贝航科; 001218丽臣实业
301,电子竞技,1,0,0,1,0.48,12.99,2.20,2.43,1,601588北辰实业
302,天津自贸区,1,0,0,1,0.46,15.68,3.92,1.85,1,600322津投城开
303,滨海新区,1,0,0,1,0.46,15.68,3.92,1.85,1,600322津投城开
304,氟化工概念,2,0,0,1,0.45,15.71,2.61,3.48,2,000790华神科技; 603717天域生物
305,光刻机(胶),1,0,0,1,0.44,16.15,1.03,1.08,1,002453华软科技
306,光引发剂,1,0,0,1,0.44,16.15,1.03,1.08,1,002453华软科技
307,关键材料,1,0,0,1,0.40,3.41,1.24,1.43,1,001316润贝航科
308,运营维修,1,0,0,1,0.40,3.41,1.24,1.43,1,001316润贝航科
309,石油加工贸易,1,0,0,1,0.40,3.41,1.24,1.43,1,001316润贝航科
310,噪声防治,1,0,0,1,0.39,22.22,1.87,1.79,1,002591恒大高新
311,超超临界发电,1,0,0,1,0.39,22.22,1.87,1.79,1,002591恒大高新
312,互联网服务,1,0,0,1,0.39,22.22,1.87,1.79,1,002591恒大高新
313,抖音概念(字节概念),1,0,0,1,0.39,22.22,1.87,1.79,1,002591恒大高新
314,化妆品概念,1,0,0,1,0.37,13.78,2.08,2.16,1,002763汇洁股份
315,味蕾经济,1,0,0,1,0.35,7.97,1.02,4.35,1,001215千味央厨
316,预制菜概念,1,0,0,1,0.35,7.97,1.02,4.35,1,001215千味央厨
317,国产软件,2,0,0,1,0.34,8.19,1.26,1.37,2,600476*ST湘邮; 600624ST复华
318,汽车拆解,1,0,0,1,0.31,11.89,4.55,1.52,1,603190亚通精工
319,碳基材料,1,0,0,1,0.30,28.56,0.29,1.13,1,603045福达合金
320,BC电池,1,0,0,1,0.30,28.56,0.29,1.13,1,603045福达合金
321,金属回收,1,0,0,1,0.30,28.56,0.29,1.13,1,603045福达合金
322,HJT电池,1,0,0,1,0.30,28.56,0.29,1.13,1,603045福达合金
323,高铁,1,0,0,1,0.30,28.56,0.29,1.13,1,603045福达合金
324,黄金回收,1,0,0,1,0.30,28.56,0.29,1.13,1,603045福达合金
325,雷达,1,0,0,1,0.30,-11.14,1.22,1.53,1,002977*ST天箭
326,民爆概念,1,0,0,1,0.27,7.43,2.75,2.70,1,603375盛景微
327,PVDF概念,1,0,0,1,0.27,7.43,2.75,2.70,1,603375盛景微
328,LED概念,1,0,0,1,0.25,23.18,2.12,3.15,1,688699明微电子
329,MiniLED,1,0,0,1,0.25,23.18,2.12,3.15,1,688699明微电子
330,成飞概念,1,0,0,1,0.25,1.86,1.19,1.77,1,001268联合精密
331,特色小镇,1,0,0,1,0.23,12.71,2.43,1.38,1,603717天域生物
332,生态农业,1,0,0,1,0.23,12.71,2.43,1.38,1,603717天域生物
333,猪肉概念,1,0,0,1,0.23,12.71,2.43,1.38,1,603717天域生物
334,合成生物,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
335,病毒防治,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
336,医药电商,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
337,中药概念,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
338,眼科医疗,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
339,创新药,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
340,医美概念,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
341,新消费,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
342,电解液添加剂,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
343,流感,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
344,单抗概念,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
345,病原体防治,1,0,0,1,0.23,18.70,2.79,2.10,1,000790华神科技
346,时空大数据,2,0,0,1,0.22,10.64,1.25,1.57,2,600476*ST湘邮; 603559ST通脉
347,硅能源,1,0,0,1,0.20,14.22,1.36,21.25,1,605376博迁新材
348,超级电容,1,0,0,1,0.20,14.22,1.36,21.25,1,605376博迁新材
349,MLCC,1,0,0,1,0.20,14.22,1.36,21.25,1,605376博迁新材
350,AB股,1,0,0,1,0.18,11.99,1.53,0.82,1,000553安道麦A
351,草甘膦,1,0,0,1,0.18,11.99,1.53,0.82,1,000553安道麦A
352,农药兽药,1,0,0,1,0.18,11.99,1.53,0.82,1,000553安道麦A
353,湖北三资改革,1,0,0,1,0.18,11.99,1.53,0.82,1,000553安道麦A
354,国资云概念,1,0,0,1,0.18,8.44,0.82,0.91,1,600476*ST湘邮
355,移动支付,1,0,0,1,0.18,8.44,0.82,0.91,1,600476*ST湘邮
356,无人配送,1,0,0,1,0.18,8.44,0.82,0.91,1,600476*ST湘邮
357,智能物流,1,0,0,1,0.18,8.44,0.82,0.91,1,600476*ST湘邮
358,仿制药一致性评价,1,0,0,1,0.15,7.94,1.71,0.46,1,600624ST复华
359,肝炎概念,1,0,0,1,0.15,7.94,1.71,0.46,1,600624ST复华
360,污水处理,1,0,0,1,0.15,14.04,0.22,0.33,1,000838*ST发展
361,固废处理,1,0,0,1,0.15,14.04,0.22,0.33,1,000838*ST发展
362,租售同权,1,0,0,1,0.15,14.04,0.22,0.33,1,000838*ST发展
363,光伏建筑一体化,1,0,0,1,0.10,-8.41,1.89,0.56,1,603828*ST利达
364,稀土永磁,1,0,0,1,0.05,21.69,1.21,1.78,1,603389*ST亚振
365,培育钻石,1,0,0,1,0.05,21.69,1.21,1.78,1,603389*ST亚振
366,钛白粉概念,1,0,0,1,0.05,21.69,1.21,1.78,1,603389*ST亚振
367,台资控股,1,0,0,1,0.03,11.75,0.13,0.06,1,603580*ST艾艾
