排名,板块,涨停家数,≥2板,≥3板,龙头连板,主力净流入(亿),5日涨幅均值(%),量比均值,成交额合计(亿),成员数(涨停的),成员名
90,航母概念,2,0,0,1,12.25,3.54,1.88,54.01,2,002149西部材料; 601106中国一重
91,可控核聚变,3,0,0,1,12.09,3.96,1.34,59.72,3,605222起帆电缆; 605123派克新材; 002149西部材料
92,航空发动机,3,0,0,1,11.52,1.99,1.44,53.87,3,001316润贝航科; 605123派克新材; 002149西部材料
93,俄乌冲突概念,3,0,0,1,11.18,7.08,1.39,61.24,3,002785万里石; 002149西部材料; 002207*ST准油
94,共同富裕示范区,6,0,0,1,11.02,1.65,1.96,53.54,6,603711香飘飘; 603178圣龙股份; 603119浙江荣泰; 603687大胜达; 600208衢州发展
95,燃料电池概念,2,0,0,1,10.96,3.06,1.55,50.94,2,002158汉钟精机; 002149西部材料
96,参股期货,3,0,0,1,10.79,7.09,2.64,44.17,3,000783长江证券; 000628高新发展; 600208衢州发展
97,智能穿戴,2,0,0,1,10.74,14.25,5.83,44.46,2,300083创世纪; 002870香山股份
98,导弹,2,0,0,1,10.34,-6.21,1.08,48.37,2,002149西部材料; 002977*ST天箭
99,汽车一体化压铸,2,0,0,1,10.28,16.60,5.73,41.92,2,300083创世纪; 603190亚通精工
100,水利建设,1,0,0,1,10.04,-1.27,0.94,46.84,1,002149西部材料
101,柔性屏(折叠屏),1,0,0,1,10.04,-1.27,0.94,46.84,1,002149西部材料
102,尾气治理,1,0,0,1,10.04,-1.27,0.94,46.84,1,002149西部材料
103,通用航空,1,0,0,1,10.04,-1.27,0.94,46.84,1,002149西部材料
104,钛合金,1,0,0,1,10.04,-1.27,0.94,46.84,1,002149西部材料
105,超导概念,1,0,0,1,10.04,-1.27,0.94,46.84,1,002149西部材料
106,金属钨,1,0,0,1,10.04,-1.27,0.94,46.84,1,002149西部材料
107,陕西国企改革,1,0,0,1,10.04,-1.27,0.94,46.84,1,002149西部材料
108,纳米银,1,0,0,1,10.04,-1.27,0.94,46.84,1,002149西部材料
109,加工设备,1,0,0,1,9.97,21.31,6.91,40.40,1,300083创世纪
110,无线充电,1,0,0,1,9.97,21.31,6.91,40.40,1,300083创世纪
111,贬值受益,8,0,0,1,9.69,10.71,2.21,58.06,8,300885海昌新材; 002870香山股份; 603131上海沪工; 000553安道麦A; 603119浙江荣泰
112,历史新高,6,0,0,1,9.03,23.53,1.73,361.16,6,688400凌云光; 688256寒武纪; 002785万里石; 605376博迁新材; 000833粤桂股份
113,PPP模式,4,0,0,1,8.79,4.94,2.91,37.21,4,603717天域生物; 000783长江证券; 000628高新发展; 603828*ST利达
114,2025年报预减,7,0,0,1,8.76,10.18,2.39,51.41,7,603711香飘飘; 002929润建股份; 000007全新好; 002990盛视科技; 603375盛景微
115,特斯拉概念,5,0,0,1,8.02,8.57,2.98,38.58,5,603190亚通精工; 002870香山股份; 605222起帆电缆; 603119浙江荣泰; 601106中国一重
116,卫星互联网,4,0,0,1,7.99,6.44,2.18,36.85,4,300885海昌新材; 600246万通发展; 603131上海沪工; 001270*ST铖昌
117,Web3.0,3,0,0,1,7.60,16.51,1.86,42.59,3,688400凌云光; 002235安妮股份; 600208衢州发展
118,彩票概念,4,0,0,1,7.56,19.52,1.41,39.81,4,600158中体产业; 002235安妮股份; 002181粤传媒; 600433冠豪高新
119,独角兽,5,0,0,1,7.22,17.10,1.29,38.63,5,002235安妮股份; 002181粤传媒; 600400红豆股份; 600208衢州发展; 600476*ST湘邮
120,AIGC概念,4,0,0,1,7.17,13.41,1.19,51.78,4,688400凌云光; 002181粤传媒; 002990盛视科技; 603687大胜达
121,数据要素,6,0,0,1,6.99,12.87,1.72,50.96,6,688155先惠技术; 002235安妮股份; 000628高新发展; 002929润建股份; 002591恒大高新
122,减速器,3,0,0,1,6.85,8.78,2.30,30.64,3,300885海昌新材; 603178圣龙股份; 603119浙江荣泰
123,NFT概念,3,0,0,1,6.84,11.58,1.43,28.57,3,600158中体产业; 002235安妮股份; 600208衢州发展
124,体育产业,4,0,0,1,6.79,12.89,1.29,34.03,4,600158中体产业; 002235安妮股份; 002181粤传媒; 600052东望时代
125,乡村振兴,6,0,0,1,6.67,12.13,1.63,51.16,6,603717天域生物; 600540新赛股份; 002929润建股份; 000833粤桂股份; 600208衢州发展
126,固态电池,3,0,0,1,6.62,23.93,1.75,61.37,3,688155先惠技术; 002591恒大高新; 002240盛新锂能
127,元宇宙概念,3,0,0,1,6.37,12.08,1.70,48.52,3,688400凌云光; 002929润建股份; 600208衢州发展
128,京津冀一体化,4,0,0,1,6.36,13.07,2.24,30.36,4,600322津投城开; 600246万通发展; 600158中体产业; 601588北辰实业
129,海峡两岸,7,0,0,1,6.36,12.91,1.92,40.92,7,300885海昌新材; 002235安妮股份; 001215千味央厨; 001316润贝航科; 002158汉钟精机
130,风能,6,0,0,1,6.28,11.48,1.80,41.42,6,600540新赛股份; 002929润建股份; 605222起帆电缆; 605123派克新材; 603045福达合金
131,盐湖提锂,2,0,0,1,6.25,26.80,1.79,64.15,2,002785万里石; 002240盛新锂能
132,券商概念,1,0,0,1,6.24,10.97,6.20,23.55,1,000783长江证券
133,文娱消费,3,0,0,1,6.01,18.21,1.50,31.69,3,600158中体产业; 002235安妮股份; 002181粤传媒
134,股权激励,2,0,0,1,5.81,10.69,1.71,52.95,2,002240盛新锂能; 603828*ST利达
135,反内卷概念,1,0,0,1,5.71,29.78,1.54,52.39,1,002240盛新锂能
136,锂矿概念,1,0,0,1,5.71,29.78,1.54,52.39,1,002240盛新锂能
137,碳交易,3,0,0,1,5.59,11.31,1.10,29.79,3,603698航天工程; 600433冠豪高新; 600476*ST湘邮
138,虚拟数字人,3,0,0,1,5.54,18.70,1.77,51.64,3,688400凌云光; 002181粤传媒; 002929润建股份
139,智慧政务,4,0,0,1,5.46,12.02,0.83,30.89,4,000628高新发展; 002181粤传媒; 002990盛视科技; 600476*ST湘邮
140,存储芯片,4,0,0,1,5.36,9.44,1.47,27.97,4,600246万通发展; 002990盛视科技; 603375盛景微; 600476*ST湘邮
141,汽车热管理,2,0,0,1,5.18,4.04,1.31,23.13,2,603178圣龙股份; 603119浙江荣泰
142,TOPCON电池,3,0,0,1,5.11,23.66,1.27,33.07,3,000833粤桂股份; 603045福达合金; 002685华东重机
143,毫米波概念,2,0,0,1,5.02,0.28,1.26,26.10,2,600246万通发展; 001270*ST铖昌
144,2025年报扭亏,3,0,0,1,4.89,9.45,1.00,292.70,3,688256寒武纪; 001270*ST铖昌; 603580*ST艾艾
145,算力概念,3,0,0,1,4.80,18.40,2.00,304.09,3,688256寒武纪; 002929润建股份; 002591恒大高新
146,知识产权,2,0,0,1,4.77,11.79,1.58,20.61,2,002235安妮股份; 600208衢州发展
147,数据确权,2,0,0,1,4.77,11.79,1.58,20.61,2,002235安妮股份; 600208衢州发展
148,数字孪生,3,0,0,1,4.74,0.51,1.39,40.90,3,000628高新发展; 002929润建股份; 603687大胜达
149,跨境电商,6,0,0,1,4.72,8.41,2.08,28.48,6,002763汇洁股份; 002870香山股份; 002929润建股份; 603030全筑股份; 002640跨境通
150,传感器,3,0,0,1,4.42,10.75,1.85,21.15,3,002990盛视科技; 603375盛景微; 002685华东重机
151,边缘计算,2,0,0,1,4.41,16.48,2.06,302.30,2,688256寒武纪; 002929润建股份
