股票代码,股票简称,最新价,最新涨跌幅,涨停[20260429],首次涨停时间[20260429],最终涨停时间[20260429],涨停明细数据[20260429],连续涨停天数[20260429],涨停原因类别[20260429],涨停封单量[20260429],涨停封单额[20260429],涨停封单量占成交量比[20260429],涨停封单量占流通a股比[20260429],涨停开板次数[20260429],a股市值(不含限售股)[20260429],几天几板[20260429],涨停类型[20260429],market_code,code,所属概念,主力资金流向区间增长值[20260424-20260430],主力资金流向[20260427],主力资金流向[20260428],主力资金流向[20260429],主力资金流向[20260430],量比[20260430],所属概念数量,a股市值(不含限售股)[20260430],换手率[20260430],振幅[20260430],主力资金流向[20260424],lbc,main,chg5,amt,volr,concepts
000039.SZ,中集集团,12.39,-0.3218020917135893,涨停, 13:20:51, 13:47:03,"[{""code"":""000039.SZ"",""time"":1777440051954,""openTime"":1777440986279,""duration"":934325,""updatedTime"":1777440986279,""firstVol"":4.7354098E7,""highestVol"":4.7354098E7,""firstVolDivLTGB"":0.020576149763498103,""firstVolDivVol"":0.7336791092781584,""highestVolDivLTGB"":0.020576149763498103,""highestVolDivVol"":0.7336791092781584},{""code"":""000039.SZ"",""time"":1777441028375,""openTime"":1777441273680,""duration"":245305,""updatedTime"":1777441273680,""firstVol"":3.2344686E7,""highestVol"":3.2344686E7,""firstVolDivLTGB"":0.014054308524455907,""firstVolDivVol"":0.4449093016520539,""highestVolDivLTGB"":0.014054308524455907,""highestVolDivVol"":0.4449093016520539},{""code"":""000039.SZ"",""time"":1777441623210,""openTime"":null,""duration"":4376790,""updatedTime"":1777446000000,""firstVol"":351000.0,""highestVol"":1.435157E7,""firstVolDivLTGB"":1.5251538667229676E-4,""firstVolDivVol"":0.004307621407057165,""highestVolDivLTGB"":0.006235997857277875,""highestVolDivVol"":0.1750646973217324}]",1,模块化数据中心+商业航天+氢能,3911420,48618950.6,4.515178049988678,0.16995775889964532,2,28606490762.63,首板涨停,放量涨停,33,000039,核电;海工装备;风电;储能;氢能源;商业航天;数据中心;一带一路;工业互联网;雄安新区;机器人概念;同花顺出海50;粤港澳大湾区;无人驾驶;机器视觉;物联网;智能物流;可燃冰;人工智能;冷链物流;航运概念;DeepSeek概念;统一大市场;参股券商;智谱AI;天然气;AI应用;深股通;融资融券,105721243.0,,39325353.0,14936660.0,65077306.0,1.513145,29.0,28514434476.99,3.237976,4.424778,,1,14936660.0,0,0,4.515178049988678,核电;海工装备;风电;储能;氢能源;商业航天;数据中心;一带一路;工业互联网;雄安新区;机器人概念;同花顺出海50;粤港澳大湾区;无人驾驶;机器视觉;物联网;智能物流;可燃冰;人工智能;冷链物流;航运概念;DeepSeek概念;统一大市场;参股券商;智谱AI;天然气;AI应用;深股通;融资融券
000402.SZ,金融街,3.17,10.069444444444446,涨停, 09:30:00, 09:30:00,"[{""code"":""000402.SZ"",""time"":1777426200000,""openTime"":null,""duration"":14365462,""updatedTime"":1777446000000,""firstVol"":1.9661279E8,""highestVol"":1.9661279E8,""firstVolDivLTGB"":0.06578640200126187,""firstVolDivVol"":21.481618459267228,""highestVolDivLTGB"":0.06578640200126187,""highestVolDivVol"":21.481618459267228}]",1,一季度扭亏+减债+北京国资,26181128,75401648.64,110.63334140721915,0.8760173798736559,0,8607323367.36,首板涨停,一字涨停||缩量涨停,33,000402,特色小镇;物业管理;装配式建筑;参股券商;京津冀一体化;国企改革;碳交易;碳中和;证金持股;深股通;融资融券,31455341.7,,,,26556293.0,4.258956,11.0,9474033011.99,4.10004,5.208333,,1,0.0,0,0,110.63334140721915,特色小镇;物业管理;装配式建筑;参股券商;京津冀一体化;国企改革;碳交易;碳中和;证金持股;深股通;融资融券
000551.SZ,创元科技,16.28,3.299492385786811,涨停, 09:33:12, 09:33:12,"[{""code"":""000551.SZ"",""time"":1777426392341,""openTime"":null,""duration"":14173121,""updatedTime"":1777446000000,""firstVol"":2.418915E7,""highestVol"":2.435305E7,""firstVolDivLTGB"":0.04992114266712864,""firstVolDivVol"":1.3909400560823277,""highestVolDivLTGB"":0.05025939660673141,""highestVolDivVol"":1.3800807600317464}]",1,一季报增长+商业航天+洁净环保+苏州国资,8824625,139076090.0,41.15112875464631,1.8212105990037273,0,7636463903.52,首板涨停,放量涨停,33,000551,商业航天;减速器;军工;军民融合;机器人概念;新能源汽车;PM2.5;无人驾驶;职业教育;家用电器;芯片概念;特斯拉概念;特高压;创投;空气能热泵;污水处理;一带一路;中芯国际概念;食品安全;氢能源;参股银行;国企改革;猴痘概念;期货概念;融资融券;深股通,51573598.0,,136801.0,27444363.0,44831960.0,3.09176,26.0,7888428448.56,12.337387,5.266497,,1,27444363.0,0,0,41.15112875464631,商业航天;减速器;军工;军民融合;机器人概念;新能源汽车;PM2.5;无人驾驶;职业教育;家用电器;芯片概念;特斯拉概念;特高压;创投;空气能热泵;污水处理;一带一路;中芯国际概念;食品安全;氢能源;参股银行;国企改革;猴痘概念;期货概念;融资融券;深股通
000567.SZ,海德股份,6.67,10.06600660066007,涨停, 09:39:36, 09:39:36,"[{""code"":""000567.SZ"",""time"":1777426776619,""openTime"":null,""duration"":13788843,""updatedTime"":1777446000000,""firstVol"":8.4757942E7,""highestVol"":8.4757942E7,""firstVolDivLTGB"":0.0434981828775373,""firstVolDivVol"":2.0515130590835584,""highestVolDivLTGB"":0.0434981828775373,""highestVolDivVol"":2.0515130590835584}]",1,困境资管+海南自贸区+业绩暴增,16265088,98566433.27999999,32.00516456075201,0.8347321273365007,0,11808151387.98,首板涨停,放量涨停,33,000567,海南自贸区;化债概念(AMC概念);钒电池;融资融券;深股通,55015244.0,3691057.0,5751047.800000001,50275187.0,52264279.0,7.733333,5.0,12996760686.11,8.008042,7.920792,,1,50275187.0,0,0,32.00516456075201,海南自贸区;化债概念(AMC概念);钒电池;融资融券;深股通
000609.SZ,*ST中迪,14.42,5.0254916241806225,涨停, 09:30:00, 09:30:00,"[{""code"":""000609.SZ"",""time"":1777426200000,""openTime"":null,""duration"":14365462,""updatedTime"":1777446000000,""firstVol"":2.19766E7,""highestVol"":2.19766E7,""firstVolDivLTGB"":0.07550584234898501,""firstVolDivVol"":18.70508128351349,""highestVolDivLTGB"":0.07550584234898501,""highestVolDivVol"":18.70508128351349}]",7,半导体资产注入+ST博弈+房地产,7213500,99041355.0,277.97687861271675,2.4783696922381235,0,3996230074.56,10天8板,一字涨停||缩量涨停,33,000609,,,,,,,,,,,,,8,0.0,0,0,277.97687861271675,
000657.SZ,中钨高新,58.19,1.5355086372360764,涨停, 13:01:35, 13:03:53,"[{""code"":""000657.SZ"",""time"":1777438895075,""openTime"":1777438910075,""duration"":15000,""updatedTime"":1777438910075,""firstVol"":343900.0,""highestVol"":343900.0,""firstVolDivLTGB"":2.3669488724493594E-4,""firstVolDivVol"":0.0052374557984011735,""highestVolDivLTGB"":2.3669488724493594E-4,""highestVolDivVol"":0.0052374557984011735},{""code"":""000657.SZ"",""time"":1777439033850,""openTime"":null,""duration"":6966150,""updatedTime"":1777446000000,""firstVol"":2.1141499E7,""highestVol"":2.6521919E7,""firstVolDivLTGB"":0.01455098785110185,""firstVolDivVol"":0.29200591589110453,""highestVolDivLTGB"":0.018254151285909636,""highestVolDivVol"":0.36079527673165224}]",1,钨价上涨+PCB微钻+一季报大增+央企,6600860,378295286.6,7.985293489652105,0.45431515365501834,1,83267151350.02,首板涨停,缩量涨停,33,000657,,,,,,,,,,,,,1,0.0,0,0,7.985293489652105,
000691.SZ,*ST亚太,7.65,1.7287234042553297,涨停, 10:26:08, 10:26:08,"[{""code"":""000691.SZ"",""time"":1777429568448,""openTime"":null,""duration"":10997014,""updatedTime"":1777446000000,""firstVol"":1801300.0,""highestVol"":1892500.0,""firstVolDivLTGB"":0.005572122374485724,""firstVolDivVol"":0.5015034244668412,""highestVolDivLTGB"":0.005854239490209422,""highestVolDivVol"":0.5175006836204539}]",1,摘帽预期+精细化工+锂电池添加剂,1062200,7987744.0,24.342286185718216,0.32857982491415844,0,2430990400.0,首板涨停,缩量涨停,33,000691,锂电池概念;ST板块;西部大开发,2034370.0,,,3177763.0,,1.57876,3.0,2473015500.0,2.50781,2.792553,,1,3177763.0,0,0,24.342286185718216,锂电池概念;ST板块;西部大开发
000692.SZ,惠天热电,5.0,0.8064516129032265,涨停, 09:33:12, 09:33:12,"[{""code"":""000692.SZ"",""time"":1777426392341,""openTime"":null,""duration"":14173121,""updatedTime"":1777446000000,""firstVol"":6.19138E7,""highestVol"":6.36398E7,""firstVolDivLTGB"":0.11619738790340935,""firstVolDivVol"":5.097799953891249,""highestVolDivLTGB"":0.11943667690717401,""highestVolDivVol"":5.032445298476186}]",1,一季度扭亏+风电项目+供热龙头,14924950,74027752.0,78.62540728624222,2.801055991699733,0,2642851560.96,首板涨停,缩量涨停,33,000692,风电;充电桩,13443492.0,2225785.0,2611238.0,1151924.0,12794562.0,3.89758,2.0,2664164880.0,12.709608,7.258064,,1,1151924.0,0,0,78.62540728624222,风电;充电桩
000716.SZ,黑芝麻,5.14,-0.7722007722007729,涨停, 09:47:04, 10:04:42,"[{""code"":""000716.SZ"",""time"":1777427224075,""openTime"":1777427488684,""duration"":264609,""updatedTime"":1777427488684,""firstVol"":5.7140592E7,""highestVol"":5.7375692E7,""firstVolDivLTGB"":0.07735402304852818,""firstVolDivVol"":2.340401430800281,""highestVolDivLTGB"":0.0776722894539359,""highestVolDivVol"":2.33084171559581},{""code"":""000716.SZ"",""time"":1777427747788,""openTime"":1777427894380,""duration"":146592,""updatedTime"":1777427894380,""firstVol"":2.72707E7,""highestVol"":2.72707E7,""firstVolDivLTGB"":0.03691768465313586,""firstVolDivVol"":0.8295683799891462,""highestVolDivLTGB"":0.03691768465313586,""highestVolDivVol"":0.8295683799891462},{""code"":""000716.SZ"",""time"":1777428122299,""openTime"":1777428255635,""duration"":133336,""updatedTime"":1777428255635,""firstVol"":476200.0,""highestVol"":1264500.0,""firstVolDivLTGB"":6.446553052112081E-4,""firstVolDivVol"":0.012074906002359196,""highestVolDivLTGB"":0.0017118156939092246,""highestVolDivVol"":0.03182624506183528},{""code"":""000716.SZ"",""time"":1777428282292,""openTime"":null,""duration"":12283170,""updatedTime"":1777446000000,""firstVol"":2.0253E7,""highestVol"":2.0253E7,""firstVolDivLTGB"":0.027417479832932797,""firstVolDivVol"":0.48637324013000693,""highestVolDivLTGB"":0.027417479832932797,""highestVolDivVol"":0.48637324013000693}]",1,一季报高增+广西国资入主+黑色健康食品,8384500,43431710.0,18.590554592528836,1.1350509043560215,3,3826410765.66,首板涨停,放量涨停,33,000716,,,,,,,,,,,,,1,0.0,0,0,18.590554592528836,
000818.SZ,航锦科技,15.32,-0.6485084306095956,涨停, 09:41:04, 10:36:12,"[{""code"":""000818.SZ"",""time"":1777426864133,""openTime"":1777427209075,""duration"":344942,""updatedTime"":1777427209075,""firstVol"":3.60133E7,""highestVol"":3.60133E7,""firstVolDivLTGB"":0.054713877435363135,""firstVolDivVol"":1.2870058449584174,""highestVolDivLTGB"":0.054713877435363135,""highestVolDivVol"":1.2870058449584174},{""code"":""000818.SZ"",""time"":1777427568780,""openTime"":1777427724210,""duration"":155430,""updatedTime"":1777427724210,""firstVol"":2.60495E7,""highestVol"":2.60495E7,""firstVolDivLTGB"":0.03957618852625258,""firstVolDivVol"":0.5829323051328992,""highestVolDivLTGB"":0.03957618852625258,""highestVolDivVol"":0.5829323051328992},{""code"":""000818.SZ"",""time"":1777427747788,""openTime"":1777428316290,""duration"":568502,""updatedTime"":1777428316290,""firstVol"":1.27786E7,""highestVol"":1.27786E7,""firstVolDivLTGB"":0.01941412628655334,""firstVolDivVol"":0.2599980931384276,""highestVolDivLTGB"":0.01941412628655334,""highestVolDivVol"":0.2599980931384276},{""code"":""000818.SZ"",""time"":1777429762229,""openTime"":1777429790637,""duration"":28408,""updatedTime"":1777429790637,""firstVol"":83000.0,""highestVol"":83000.0,""firstVolDivLTGB"":1.2609929740221363E-4,""firstVolDivVol"":0.0011867325022011743,""highestVolDivLTGB"":1.2609929740221363E-4,""highestVolDivVol"":0.0011867325022011743},{""code"":""000818.SZ"",""time"":1777429810260,""openTime"":1777429885551,""duration"":75291,""updatedTime"":1777429885551,""firstVol"":7072.0,""highestVol"":21172.0,""firstVolDivLTGB"":1.0744267846125963E-5,""firstVolDivVol"":1.0001093445341055E-4,""highestVolDivLTGB"":3.216595571806828E-5,""highestVolDivVol"":2.981456668867413E-4},{""code"":""000818.SZ"",""time"":1777429944990,""openTime"":1777430031443,""duration"":86453,""updatedTime"":1777430031443,""firstVol"":11600.0,""highestVol"":101200.0,""firstVolDivLTGB"":1.7623516263441906E-5,""firstVolDivVol"":1.6158921769756317E-4,""highestVolDivLTGB"":1.5374998671209664E-4,""highestVolDivVol"":0.0014063198904159966},{""code"":""000818.SZ"",""time"":1777430047661,""openTime"":1777430066879,""duration"":19218,""updatedTime"":1777430066879,""firstVol"":5600.0,""highestVol"":5600.0,""firstVolDivLTGB"":8.50790440304092E-6,""firstVolDivVol"":7.724173195880384E-5,""highestVolDivLTGB"":8.50790440304092E-6,""highestVolDivVol"":7.724173195880384E-5},{""code"":""000818.SZ"",""time"":1777430103242,""openTime"":1777430151253,""duration"":48011,""updatedTime"":1777430151253,""firstVol"":47700.0,""highestVol"":47700.0,""firstVolDivLTGB"":7.246911429018784E-5,""firstVolDivVol"":6.553289807124317E-4,""highestVolDivLTGB"":7.246911429018784E-5,""highestVolDivVol"":6.553289807124317E-4},{""code"":""000818.SZ"",""time"":1777430172594,""openTime"":null,""duration"":10392868,""updatedTime"":1777446000000,""firstVol"":180837.0,""highestVol"":5551473.0,""firstVolDivLTGB"":2.747399836665555E-4,""firstVolDivVol"":0.002478858212715224,""highestVolDivLTGB"":0.00843417885358264,""highestVolDivVol"":0.07552336456531797}]",1,一季报净利增长+算力租赁+800G光模块+武汉国资,3152100,48605382.0,4.169163411947787,0.4788886690861658,8,10149620389.38,首板涨停,放量涨停,33,000818,,,,,,,,,,,,,1,0.0,0,0,4.169163411947787,
