股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],成交额[20260430],主力资金流向[20260430],区间涨跌幅:前复权[20260424-20260430],所属概念数量,a股市值(不含限售股)[20260430],成交量[20260430],主力买入金额[20260430],主力卖出金额[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],market_code,code
300885.SZ,海昌新材,28.64,卫星导航;商业航天;减速器;低空经济;人形机器人;机器人概念;新能源汽车;专精特新;海峡两岸;消费电子概念;充电桩;人民币贬值受益;一带一路;深股通;融资融券,IPO审核未通过股票;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,19.98324256,7.50612385E8,97887749.0,18.24938067712635,15,4783389076.0,2.7909813E7,201545553.0,103657804.0,24.5,28.64,24.33,28.64,18.056137,33,300885
301005.SZ,超捷股份,174.6,卫星导航;商业航天;航空发动机;大飞机;军工;无人机;低空经济;飞行汽车(eVTOL);PEEK材料;人形机器人;汽车热管理;机器人概念;专精特新;特斯拉概念;小米概念;小米汽车;比亚迪概念;华为汽车;新能源汽车;换电概念;创投;智能物流;家用电器;氢能源;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,4.3758967,1.50080677E9,123123139.0,-0.17152658662093276,26,23111904315.6,8695280,344612400.0,221489261.0,167,176.25,165.52,174.6,6.414395,33,301005
688333.SH,铂力特,87.58,卫星导航;商业航天;航空发动机;大飞机;3D打印;无人机;军工;AI手机;低空经济;飞行汽车(eVTOL);人形机器人;消费电子概念;机器人概念;核电;2025年报预增;回购增持再贷款概念;西部大开发;沪股通;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创板,4.67312059,1.20551436E9,59074285.0,2.9989415500411587,19,24025135998.92,1.3870256E7,301259490.0,242185205.0,86,88.14,84.85,87.58,3.932114,17,688333
301306.SZ,西测测试,165.72,卫星导航;商业航天;大飞机;军民融合;军工;华为概念;存储芯片;专精特新;西部大开发;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,11.18416639,1.31296199E9,122223401.0,-1.8246445497630406,10,9655261500.0,8185067,338613600.0,216390199.0,149.21,168.77,149.14,165.72,13.170077,33,301306
603703.SH,盛洋科技,13.68,卫星导航;商业航天;车联网(车路协同);量子科技;5G;家用电器;数据中心;铜缆高速连接;光纤概念,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,1.71003717,1.27289363E8,2772309.0,-0.7256894049346854,9,5676955401.6,9399840,11223144.0,8450835.0,13.33,13.75,13.22,13.68,3.94052,17,603703
600501.SH,航天晨光,23.61,卫星导航;商业航天;成飞概念;大飞机;军工;可控核聚变;核电;高端装备;无人驾驶;机器人概念;核污染防治;新型工业化;新能源汽车;特高压;充电桩;央企国企改革;长三角一体化;光热发电;氢能源;国企改革;垃圾分类;天然气;煤化工概念;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),2.16356556,2.34462493E8,6963222.0,0.9405728943993111,25,10100929362.0,1.000677E7,23393611.0,16430389.0,22.78,23.84,22.76,23.61,4.673301,17,600501
688418.SH,震有科技,47.03,卫星导航;商业航天;6G概念;军工;无人机;低空经济;智慧政务;网络安全;飞行汽车(eVTOL);量子科技;车联网(车路协同);WiFi 6;智慧城市;物联网;5G;华为概念;AI智能体;机器人概念;人工智能;无人驾驶;智慧灯杆;数据中心;DeepSeek概念;华为数字能源;工业互联网;储能;F5G概念;光纤概念;养老概念;一带一路;沪股通;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创板,10.78916372,6.60679068E8,58821773.0,0.7282073249089814,32,9055844437.02,1.4252524E7,157658784.0,98837011.0,42.01,47.89,42,47.03,13.875147,17,688418
300354.SZ,东华测试,35.74,卫星导航;军民融合;商业航天;人形机器人;传感器;军工;新型工业化;大飞机;机器人概念;物联网;专精特新;数字孪生;华为概念;人工智能;数据要素;航空发动机;工业互联网;DeepSeek概念;超级电容;核电;水利;雅下水电概念;风电;固态电池;氢能源;天然气;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,1.53409091,5.68620681E7,1515399.0,-0.8048848182070473,27,2905984339.06,1596313,4852719.0,3337320.0,35.27,35.81,35.25,35.74,1.590909,33,300354
301040.SZ,中环海陆,32.3,卫星导航;军工;商业航天;风电;核电;专精特新;人民币贬值受益;绿色电力;高端装备;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,4.19354839,1.99281243E8,9728468.0,-1.3137794072716156,10,3047961722.0,6243708,34615445.0,24886977.0,30.99,33.14,30.62,32.3,8.129032,33,301040
300213.SZ,佳讯飞鸿,8.36,卫星导航;机器视觉;新型工业化;安防;物联网;智慧城市;军工信息化;商业航天;华为概念;人工智能;无人机;低空经济;5G;军工;专精特新;元宇宙;数据要素;高铁;机器人概念;工业互联网;智慧政务;独角兽概念;AI应用;数据安全;AI智能体;AIGC概念;百度概念;DeepSeek概念;ChatGPT概念;数据中心;云计算;跨境电商;京津冀一体化;一带一路;新疆振兴;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,3.08261406,1.30665421E8,4786972.6,8.9960886571056,36,4616574816.48,1.57649E7,20012494.0,15225521.4,8.12,8.45,8.07,8.36,4.685573,33,300213
