股票代码,股票简称,最新价,最新涨跌幅,涨停[20260422],首次涨停时间[20260422],最终涨停时间[20260422],涨停明细数据[20260422],连续涨停天数[20260422],涨停原因类别[20260422],涨停封单量[20260422],涨停封单额[20260422],涨停封单量占成交量比[20260422],涨停封单量占流通a股比[20260422],涨停开板次数[20260422],a股市值(不含限售股)[20260422],几天几板[20260422],涨停类型[20260422],market_code,code,所属概念,区间主力资金流向区间增长值[20260424-20260430],区间主力资金流向[20260424-20260430],量比[20260430],所属概念数量,a股市值(不含限售股)[20260430],区间主力买入金额[20260424-20260430],区间主力卖出金额[20260424-20260430],换手率[20260430],振幅[20260430],lbc,main,chg5,amt,volr,concepts
000062.SZ,深圳华强,36.92,3.562412342215998,涨停, 13:21:51, 13:21:51,"[{""code"":""000062.SZ"",""time"":1776835311734,""openTime"":null,""duration"":5888266,""updatedTime"":1776841200000,""firstVol"":6.2869983E7,""highestVol"":6.3405903E7,""firstVolDivLTGB"":0.060168416467635114,""firstVolDivVol"":1.0404475888576323,""highestVolDivLTGB"":0.06068130761559892,""highestVolDivVol"":1.0339883376647812}]",1,分销龙头+存储芯片+华为昇腾+一季报预增,3562770,116288812.8,4.901126560140781,0.340967531577663,0,34105538513.28,首板涨停,放量涨停,33,000062,,,,,,,,,,,1,0.0,0,0,4.901126560140781,
000669.SZ,ST金鸿,4.19,-2.7842227378190074,涨停, 09:30:11, 09:34:41,"[{""code"":""000669.SZ"",""time"":1776821411230,""openTime"":1776821651287,""duration"":240057,""updatedTime"":1776821651287,""firstVol"":2384000.0,""highestVol"":1.06492E7,""firstVolDivLTGB"":0.00350377598072119,""firstVolDivVol"":0.5153703143240088,""highestVolDivLTGB"":0.01565117918368125,""highestVolDivVol"":2.0581345908546247},{""code"":""000669.SZ"",""time"":1776821681288,""openTime"":null,""duration"":14097818,""updatedTime"":1776841200000,""firstVol"":7187200.0,""highestVol"":7713000.0,""firstVolDivLTGB"":0.010563061547248044,""firstVolDivVol"":0.652338077258205,""highestVolDivLTGB"":0.011335832273197373,""highestVolDivVol"":0.6934841441814046}]",1,重整协议+天然气+ST,4364160,19071379.2,33.91946675951949,0.6414026419473233,1,2973386442.89,首板涨停,缩量涨停,33,000669,,,,,,,,,,,1,0.0,0,0,33.91946675951949,
000711.SZ,ST京蓝,4.92,2.9288702928870225,涨停, 10:58:36, 10:58:36,"[{""code"":""000711.SZ"",""time"":1776826716480,""openTime"":null,""duration"":9062626,""updatedTime"":1776841200000,""firstVol"":8772760.0,""highestVol"":1.245794E7,""firstVolDivLTGB"":0.003683433985028266,""firstVolDivVol"":0.09483281699579427,""highestVolDivLTGB"":0.0052307369151148595,""highestVolDivVol"":0.13078081847036327}]",1,铟靶材+固危废资源化+ST炒作,8266534,34802108.14,8.36870204359391,0.34708839947737824,0,10025220311.85,7天4板,缩量涨停,33,000711,,,,,,,,,,,4,0.0,0,0,8.36870204359391,
000751.SZ,锌业股份,6.11,0.0,涨停, 09:50:46, 09:50:46,"[{""code"":""000751.SZ"",""time"":1776822646548,""openTime"":null,""duration"":13132558,""updatedTime"":1776841200000,""firstVol"":1.771891E8,""highestVol"":1.968132E8,""firstVolDivLTGB"":0.12567772450828915,""firstVolDivVol"":1.584016462340557,""highestVolDivLTGB"":0.13959682130105527,""highestVolDivVol"":1.7166700060113438}]",1,金属铟+黄金概念+锌冶炼,19334878,122389777.74,13.910337935572677,1.3713955715590749,0,8924469371.07,首板涨停,放量涨停,33,000751,,,,,,,,,,,1,0.0,0,0,13.910337935572677,
000811.SZ,冰轮环境,24.95,1.299228583028828,涨停, 10:26:39, 13:46:49,"[{""code"":""000811.SZ"",""time"":1776824799564,""openTime"":1776824829564,""duration"":30000,""updatedTime"":1776824829564,""firstVol"":2.58958E7,""highestVol"":2.58958E7,""firstVolDivLTGB"":0.02646761479316056,""firstVolDivVol"":0.7028190845949557,""highestVolDivLTGB"":0.02646761479316056,""highestVolDivVol"":0.7028190845949557},{""code"":""000811.SZ"",""time"":1776835190127,""openTime"":1776836794303,""duration"":1604176,""updatedTime"":1776836794303,""firstVol"":2.160409E7,""highestVol"":2.160409E7,""firstVolDivLTGB"":0.02208113794811406,""firstVolDivVol"":0.3661216091482705,""highestVolDivLTGB"":0.02208113794811406,""highestVolDivVol"":0.3661216091482705},{""code"":""000811.SZ"",""time"":1776836809303,""openTime"":null,""duration"":4390697,""updatedTime"":1776841200000,""firstVol"":6487300.0,""highestVol"":8378280.0,""firstVolDivLTGB"":0.006630548484606404,""firstVolDivVol"":0.09516083263271531,""highestVolDivLTGB"":0.008563283917439941,""highestVolDivVol"":0.12225073622673266}]",1,液冷+核电+氦气压缩机,1538280,34472854.8,2.1143794212278757,0.15722473329274642,2,21925847211.21,首板涨停,放量涨停,33,000811,液冷服务器;超导概念;中芯国际概念;可控核聚变;3D打印;数据中心;核电;海工装备;军工;新能源汽车;储能;机器人概念;海峡两岸;燃料电池;空气能热泵;氢能源;雅下水电概念;水利;固态电池;中俄贸易概念;回购增持再贷款概念;碳中和;人工智能;创投;智能物流;国企改革;体育产业;冷链物流;宠物经济;冰雪产业;天然气;融资融券;深股通,150148851.0,210399949.0,0.745649,33.0,24410972240.95,1065429184.0,855029235.0,4.385917,4.912708,1,150148851.0,0,0,2.1143794212278757,液冷服务器;超导概念;中芯国际概念;可控核聚变;3D打印;数据中心;核电;海工装备;军工;新能源汽车;储能;机器人概念;海峡两岸;燃料电池;空气能热泵;氢能源;雅下水电概念;水利;固态电池;中俄贸易概念;回购增持再贷款概念;碳中和;人工智能;创投;智能物流;国企改革;体育产业;冷链物流;宠物经济;冰雪产业;天然气;融资融券;深股通
000990.SZ,诚志股份,12.6,-2.6275115919629046,涨停, 10:51:21, 14:56:12,"[{""code"":""000990.SZ"",""time"":1776826281479,""openTime"":1776826461479,""duration"":180000,""updatedTime"":1776826461479,""firstVol"":6.9465464E7,""highestVol"":7.3064064E7,""firstVolDivLTGB"":0.05716208843555807,""firstVolDivVol"":0.8991593301502542,""highestVolDivLTGB"":0.060123322401319804,""highestVolDivVol"":0.9412013977544745},{""code"":""000990.SZ"",""time"":1776826611480,""openTime"":1776828072622,""duration"":1461142,""updatedTime"":1776828072622,""firstVol"":3.6947218E7,""highestVol"":3.9885718E7,""firstVolDivLTGB"":0.030403311532819284,""firstVolDivVol"":0.40828545278022665,""highestVolDivLTGB"":0.03282135910920757,""highestVolDivVol"":0.43873950478866997},{""code"":""000990.SZ"",""time"":1776828087622,""openTime"":1776837409308,""duration"":3900792,""updatedTime"":1776837409308,""firstVol"":2.87921E7,""highestVol"":2.87921E7,""firstVolDivLTGB"":0.023692587246598274,""firstVolDivVol"":0.2744555833234229,""highestVolDivLTGB"":0.023692587246598274,""highestVolDivVol"":0.2744555833234229},{""code"":""000990.SZ"",""time"":1776837439308,""openTime"":1776837454308,""duration"":15000,""updatedTime"":1776837454308,""firstVol"":64200.0,""highestVol"":64200.0,""firstVolDivLTGB"":5.28292170849507E-5,""firstVolDivVol"":5.0832143568216E-4,""highestVolDivLTGB"":5.28292170849507E-5,""highestVolDivVol"":5.0832143568216E-4},{""code"":""000990.SZ"",""time"":1776837619310,""openTime"":1776840420365,""duration"":2801055,""updatedTime"":1776840420365,""firstVol"":9159179.0,""highestVol"":1.0689579E7,""firstVolDivLTGB"":0.007536951023534606,""firstVolDivVol"":0.07045592113251091,""highestVolDivLTGB"":0.00879629422955966,""highestVolDivVol"":0.08208690201445044},{""code"":""000990.SZ"",""time"":1776840439622,""openTime"":1776840498388,""duration"":58766,""updatedTime"":1776840498388,""firstVol"":307800.0,""highestVol"":307800.0,""firstVolDivLTGB"":2.5328400340728704E-4,""firstVolDivVol"":0.0022192636846482543,""highestVolDivLTGB"":2.5328400340728704E-4,""highestVolDivVol"":0.0022192636846482543},{""code"":""000990.SZ"",""time"":1776840532506,""openTime"":1776840603516,""duration"":71010,""updatedTime"":1776840603516,""firstVol"":37700.0,""highestVol"":37700.0,""firstVolDivLTGB"":3.102276454988538E-5,""firstVolDivVol"":2.695087327620749E-4,""highestVolDivLTGB"":3.102276454988538E-5,""highestVolDivVol"":2.695087327620749E-4},{""code"":""000990.SZ"",""time"":1776840651652,""openTime"":1776840789634,""duration"":137982,""updatedTime"":1776840789634,""firstVol"":51700.0,""highestVol"":263200.0,""firstVolDivLTGB"":4.2543154568410455E-5,""firstVolDivVol"":3.659036149012372E-4,""highestVolDivLTGB"":2.1658333234827142E-4,""highestVolDivVol"":0.0018556624566912212},{""code"":""000990.SZ"",""time"":1776840813924,""openTime"":1776840848419,""duration"":34495,""updatedTime"":1776840848419,""firstVol"":1000.0,""highestVol"":1000.0,""firstVolDivLTGB"":8.228850013232196E-7,""firstVolDivVol"":7.0121585219043E-6,""highestVolDivLTGB"":8.228850013232196E-7,""highestVolDivVol"":7.0121585219043E-6},{""code"":""000990.SZ"",""time"":1776840925414,""openTime"":1776840946315,""duration"":20901,""updatedTime"":1776840946315,""firstVol"":300.0,""highestVol"":300.0,""firstVolDivLTGB"":2.468655003969659E-7,""firstVolDivVol"":2.0876922607995278E-6,""highestVolDivLTGB"":2.468655003969659E-7,""highestVolDivVol"":2.0876922607995278E-6},{""code"":""000990.SZ"",""time"":1776840972755,""openTime"":null,""duration"":227245,""updatedTime"":1776841200000,""firstVol"":79400.0,""highestVol"":1287500.0,""firstVolDivLTGB"":6.533706910506365E-5,""firstVolDivVol"":5.509586819847058E-4,""highestVolDivLTGB"":0.0010594644392036452,""highestVolDivVol"":0.008894784816674857}]",1,煤制烯烃+一季报增长+青岛国资,1287500,15372750.0,0.8894784755224607,0.10594644392036452,10,14509925421.9,首板涨停,放量涨停,33,000990,,,,,,,,,,,1,0.0,0,0,0.8894784755224607,
001234.SZ,泰慕士,31.2,3.4825870646766193,涨停, 13:54:04, 13:56:49,"[{""code"":""001234.SZ"",""time"":1776837244306,""openTime"":1776837379308,""duration"":135002,""updatedTime"":1776837379308,""firstVol"":9197500.0,""highestVol"":9197500.0,""firstVolDivLTGB"":0.10053505746812337,""firstVolDivVol"":2.6919249568296895,""highestVolDivLTGB"":0.10053505746812337,""highestVolDivVol"":2.6919249568296895},{""code"":""001234.SZ"",""time"":1776837409308,""openTime"":null,""duration"":3790692,""updatedTime"":1776841200000,""firstVol"":4485900.0,""highestVol"":9516700.0,""firstVolDivLTGB"":0.049033999923485144,""firstVolDivVol"":0.8331599866275399,""highestVolDivLTGB"":0.1040241349722087,""highestVolDivVol"":1.4056125840041356}]",1,服装贴牌+回购注销+广州国资入主,8621700,254857452.0,126.92783323028,9.42411639002902,1,2704311380.0,首板涨停,放量涨停,33,001234,,,,,,,,,,,1,0.0,0,0,126.92783323028,
001270.SZ,*ST铖昌,140.35,4.997381611431142,涨停, 14:24:01, 14:24:01,"[{""code"":""001270.SZ"",""time"":1776839041366,""openTime"":null,""duration"":2158634,""updatedTime"":1776841200000,""firstVol"":788330.0,""highestVol"":799642.0,""firstVolDivLTGB"":0.003873865850747462,""firstVolDivVol"":0.11114885018260681,""highestVolDivLTGB"":0.00392945319425038,""highestVolDivVol"":0.10846208007569702}]",1,摘帽+T/R芯片+商业航天,535300,82623555.0,7.024738022414859,0.2630472505048794,0,31410157240.35,8天5板,放量涨停,33,001270,,,,,,,,,,,5,0.0,0,0,7.024738022414859,
002005.SZ,ST德豪,2.89,-1.0273972602739658,涨停, 13:22:40, 13:40:46,"[{""code"":""002005.SZ"",""time"":1776835360710,""openTime"":1776836052124,""duration"":691414,""updatedTime"":1776836052124,""firstVol"":6657000.0,""highestVol"":6657000.0,""firstVolDivLTGB"":0.0037996723729214472,""firstVolDivVol"":0.4692763233211652,""highestVolDivLTGB"":0.0037996723729214472,""highestVolDivVol"":0.4692763233211652},{""code"":""002005.SZ"",""time"":1776836446388,""openTime"":null,""duration"":4753612,""updatedTime"":1776841200000,""firstVol"":2790500.0,""highestVol"":3002600.0,""firstVolDivLTGB"":0.0015927573616700164,""firstVolDivVol"":0.1512452024837492,""highestVolDivLTGB"":0.0017138194782836018,""highestVolDivVol"":0.16102518977547428}]",1,ST摘帽预期+LED封装+小家电出口+扭亏预增,1656700,4854131.0,8.252400005339876,0.09456087156705666,1,5133284575.94,首板涨停,放量涨停,33,002005,,,,,,,,,,,1,0.0,0,0,8.252400005339876,
002081.SZ,金螳螂,5.9,10.074626865671641,涨停, 09:30:00, 09:30:00,"[{""code"":""002081.SZ"",""time"":1776821400000,""openTime"":null,""duration"":14379106,""updatedTime"":1776841200000,""firstVol"":5.7091204E7,""highestVol"":6.9598974E7,""firstVolDivLTGB"":0.02158780097452962,""firstVolDivVol"":2.244901518966875,""highestVolDivLTGB"":0.02631734301388112,""highestVolDivVol"":1.5973096044291661}]",4,商业航天产业配套+半导体洁净室+越南合作+EPC总包,45974885,227115931.9,74.96181177323241,1.738440596220194,0,13062562218.16,4天4板,一字涨停||放量涨停,33,002081,新型城镇化;装配式建筑;PPP概念;光伏建筑一体化;长三角一体化;一带一路;深股通;融资融券;第三代半导体;芯片概念;智能家居;人工智能;数据中心;数字孪生,220532640.0,662292882.0,1.454351,14.0,15601035847.6,2490435545.0,1828142663.0,21.77154,15.485074,4,220532640.0,0,0,74.96181177323241,新型城镇化;装配式建筑;PPP概念;光伏建筑一体化;长三角一体化;一带一路;深股通;融资融券;第三代半导体;芯片概念;智能家居;人工智能;数据中心;数字孪生
