板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
人工智能,8,2,1,7,3.42,0.0,0.0,23.14,142.8,000039中集集团(1板); 001266宏英智能(2板); 002081金螳螂(7板); 002174游族网络(1板); 002348高乐股份(1板)
数据中心,6,2,1,7,2.79,0.0,0.0,13.73,131.6,000039中集集团(1板); 001266宏英智能(2板); 002081金螳螂(7板); 002851麦格米特(1板); 300982苏文电能(1板)
芯片概念,7,1,1,7,3.77,0.0,0.0,24.13,128.5,000551创元科技(1板); 002081金螳螂(7板); 002354天娱数科(1板); 002786银宝山新(1板); 002851麦格米特(1板)
智能家居,3,1,1,7,10.82,0.0,0.0,7.98,122.6,002081金螳螂(7板); 002851麦格米特(1板); 603083剑桥科技(1板)
2025年报预增,7,0,0,1,37.12,0.0,0.0,6.12,117.2,000901航天科技(1板); 002111威海广泰(1板); 600111北方稀土(1板); 600392盛和资源(1板); 601233桐昆股份(1板)
长三角一体化,4,1,1,7,3.57,0.0,0.0,9.66,113.1,002081金螳螂(7板); 002522浙江众成(1板); 002568百润股份(1板); 601233桐昆股份(1板)
新型城镇化,4,1,1,7,3.34,0.0,0.0,18.82,112.7,001336楚环科技(1板); 002081金螳螂(7板); 600606绿地控股(1板); 600708光明地产(1板)
数字孪生,3,1,1,7,4.49,0.0,0.0,19.61,110.0,000901航天科技(1板); 002081金螳螂(7板); 002354天娱数科(1板)
回购增持再贷款概念,6,1,0,2,23.96,0.0,0.0,10.87,103.9,001203大中矿业(1板); 001266宏英智能(2板); 002111威海广泰(1板); 600111北方稀土(1板); 600186莲花控股(1板)
PPP概念,2,1,1,7,2.76,0.0,0.0,15.88,101.5,002081金螳螂(7板); 600606绿地控股(1板)
装配式建筑,2,1,1,7,2.65,0.0,0.0,59.78,101.3,000402金融街(1板); 002081金螳螂(7板)
第三代半导体,2,1,1,7,2.65,0.0,0.0,8.92,101.3,002081金螳螂(7板); 002851麦格米特(1板)
白酒概念,1,1,1,8,0.0,0.0,0.0,131.06,99.0,600381*ST春天(8板)
光伏建筑一体化,1,1,1,7,2.65,0.0,0.0,8.92,96.3,002081金螳螂(7板)
小金属概念,5,0,0,1,29.7,0.0,0.0,6.34,92.4,001203大中矿业(1板); 600111北方稀土(1板); 600367红星发展(1板); 600392盛和资源(1板); 600714金瑞矿业(1板)
机器人概念,11,1,0,2,1.43,0.0,0.0,29.79,83.9,000039中集集团(1板); 000551创元科技(1板); 001266宏英智能(2板); 002111威海广泰(1板); 002348高乐股份(1板)
氢能源,5,0,0,1,22.62,0.0,0.0,30.03,78.2,000039中集集团(1板); 000551创元科技(1板); 001336楚环科技(1板); 600111北方稀土(1板); 603013亚普股份(1板)
军工,4,0,0,1,24.17,0.0,0.0,16.66,76.3,000551创元科技(1板); 000901航天科技(1板); 002111威海广泰(1板); 600111北方稀土(1板)
储能,8,1,0,2,3.59,0.0,0.0,20.99,73.2,000039中集集团(1板); 001203大中矿业(1板); 001266宏英智能(2板); 001336楚环科技(1板); 002851麦格米特(1板)
新能源汽车,8,1,0,2,3.23,0.0,0.0,35.53,72.5,000551创元科技(1板); 000901航天科技(1板); 000980众泰汽车(1板); 001266宏英智能(2板); 002520日发精机(1板)
物联网,5,1,0,2,10.26,0.0,0.0,18.77,71.5,000039中集集团(1板); 000901航天科技(1板); 001266宏英智能(2板); 002512ST达华(1板); 603083剑桥科技(1板)
工业互联网,5,1,0,2,10.17,0.0,0.0,14.63,71.3,000039中集集团(1板); 000901航天科技(1板); 001266宏英智能(2板); 300982苏文电能(1板); 603083剑桥科技(1板)
稀土永磁,2,0,0,1,26.59,0.0,0.0,4.75,71.2,600111北方稀土(1板); 600392盛和资源(1板)
金属回收,2,0,0,1,23.45,0.0,0.0,5.38,64.9,001203大中矿业(1板); 600111北方稀土(1板)
5G,6,0,0,1,10.72,0.0,0.0,20.17,59.4,002512ST达华(1板); 002522浙江众成(1板); 002786银宝山新(1板); 301217铜冠铜箔(1板); 603083剑桥科技(1板)
2026一季报预增,1,0,0,1,22.06,0.0,0.0,7.52,57.1,600111北方稀土(1板)
同花顺漂亮100,1,0,0,1,22.06,0.0,0.0,7.52,57.1,600111北方稀土(1板)
华为概念,6,0,0,1,9.49,0.0,0.0,22.35,57.0,002174游族网络(1板); 002522浙江众成(1板); 002786银宝山新(1板); 603083剑桥科技(1板); 603256宏和科技(1板)
商业航天,5,1,0,2,2.36,0.0,0.0,25.78,55.7,000039中集集团(1板); 000551创元科技(1板); 000901航天科技(1板); 001266宏英智能(2板); 002512ST达华(1板)
无人驾驶,5,1,0,2,2.27,0.0,0.0,20.49,55.5,000039中集集团(1板); 000551创元科技(1板); 000901航天科技(1板); 001266宏英智能(2板); 002111威海广泰(1板)
充电桩,5,1,0,2,0.73,0.0,0.0,29.85,52.5,000692惠天热电(1板); 001266宏英智能(2板); 002851麦格米特(1板); 300982苏文电能(1板); 603353和顺石油(1板)
风电,5,1,0,2,0.39,0.0,0.0,37.33,51.8,000039中集集团(1板); 000692惠天热电(1板); 001266宏英智能(2板); 002520日发精机(1板); 002851麦格米特(1板)
传感器,4,1,0,2,2.25,0.0,0.0,31.75,50.5,000901航天科技(1板); 001266宏英智能(2板); 002522浙江众成(1板); 603013亚普股份(1板)
人民币贬值受益,4,0,0,1,10.31,0.0,0.0,27.99,48.6,000901航天科技(1板); 002174游族网络(1板); 002520日发精机(1板); 603083剑桥科技(1板)
新型工业化,4,1,0,2,0.35,0.0,0.0,39.34,46.7,001266宏英智能(2板); 002520日发精机(1板); 002786银宝山新(1板); 002851麦格米特(1板)
DeepSeek概念,7,0,0,1,1.11,0.0,0.0,21.51,45.2,000039中集集团(1板); 002174游族网络(1板); 002354天娱数科(1板); 002512ST达华(1板); 600186莲花控股(1板)
卫星导航,3,1,0,2,1.93,0.0,0.0,27.74,44.9,000901航天科技(1板); 001266宏英智能(2板); 002512ST达华(1板)
PCB概念,3,1,0,2,1.92,0.0,0.0,15.67,44.8,001266宏英智能(2板); 301217铜冠铜箔(1板); 603256宏和科技(1板)
汽车电子,3,1,0,2,1.84,0.0,0.0,36.34,44.7,000901航天科技(1板); 001266宏英智能(2板); 603013亚普股份(1板)
车联网(车路协同),3,1,0,2,1.84,0.0,0.0,19.06,44.7,000901航天科技(1板); 001266宏英智能(2板); 002851麦格米特(1板)
固态电池,5,0,0,1,5.56,0.0,0.0,6.7,44.1,001203大中矿业(1板); 002348高乐股份(1板); 301217铜冠铜箔(1板); 600135乐凯胶片(1板); 600367红星发展(1板)
锂电池概念,5,0,0,1,5.21,0.0,0.0,11.49,43.4,000691*ST亚太(1板); 001203大中矿业(1板); 301217铜冠铜箔(1板); 600135乐凯胶片(1板); 600367红星发展(1板)
乡村振兴,6,0,0,1,2.11,0.0,0.0,23.9,42.2,001203大中矿业(1板); 002354天娱数科(1板); 002512ST达华(1板); 002548金新农(1板); 600708光明地产(1板)
AI智能体,3,1,0,2,0.0,0.0,0.0,28.04,41.0,001266宏英智能(2板); 002354天娱数科(1板); 600186莲花控股(1板)
智能座舱,2,1,0,2,1.84,0.0,0.0,24.14,39.7,000901航天科技(1板); 001266宏英智能(2板)
换电概念,2,1,0,2,0.0,0.0,0.0,23.65,36.0,001266宏英智能(2板); 002111威海广泰(1板)
智慧城市,4,0,0,1,2.05,0.0,0.0,18.94,32.1,000901航天科技(1板); 002111威海广泰(1板); 002512ST达华(1板); 600606绿地控股(1板)
