股票代码,股票简称,最新价,最新涨跌幅,涨停[20260424],首次涨停时间[20260424],最终涨停时间[20260424],涨停明细数据[20260424],连续涨停天数[20260424],涨停原因类别[20260424],涨停封单量[20260424],涨停封单额[20260424],涨停封单量占成交量比[20260424],涨停封单量占流通a股比[20260424],涨停开板次数[20260424],a股市值(不含限售股)[20260424],几天几板[20260424],涨停类型[20260424],market_code,code,所属概念,区间主力资金流向区间增长值[20260424-20260430],区间主力资金流向[20260424-20260430],量比[20260430],所属概念数量,a股市值(不含限售股)[20260430],区间主力买入金额[20260424-20260430],区间主力卖出金额[20260424-20260430],换手率[20260430],振幅[20260430],lbc,main,chg5,amt,volr,concepts
000062.SZ,深圳华强,36.92,3.562412342215998,涨停, 10:48:34, 14:48:27,"[{""code"":""000062.SZ"",""time"":1776998914609,""openTime"":1776998985072,""duration"":70463,""updatedTime"":1776998985072,""firstVol"":4.36671E7,""highestVol"":4.36671E7,""firstVolDivLTGB"":0.041790694594809566,""firstVolDivVol"":0.7747527727816084,""highestVolDivLTGB"":0.041790694594809566,""highestVolDivVol"":0.7747527727816084},{""code"":""000062.SZ"",""time"":1776999302477,""openTime"":1777012650454,""duration"":7924875,""updatedTime"":1777012650454,""firstVol"":3.2856764E7,""highestVol"":3.7096724E7,""firstVolDivLTGB"":0.03144488618886378,""firstVolDivVol"":0.4409226088371875,""highestVolDivLTGB"":0.03550265218326709,""highestVolDivVol"":0.48696177292106685},{""code"":""000062.SZ"",""time"":1777012730900,""openTime"":1777012769398,""duration"":38498,""updatedTime"":1777012769398,""firstVol"":254400.0,""highestVol"":254400.0,""firstVolDivLTGB"":2.4346825653454325E-4,""firstVolDivVol"":0.002671490443105229,""highestVolDivLTGB"":2.4346825653454325E-4,""highestVolDivVol"":0.002671490443105229},{""code"":""000062.SZ"",""time"":1777012954391,""openTime"":1777013000949,""duration"":46558,""updatedTime"":1777013000949,""firstVol"":68400.0,""highestVol"":68400.0,""firstVolDivLTGB"":6.546080482296682E-5,""firstVolDivVol"":6.634898629758601E-4,""highestVolDivLTGB"":6.546080482296682E-5,""highestVolDivVol"":6.634898629758601E-4},{""code"":""000062.SZ"",""time"":1777013019584,""openTime"":1777013041532,""duration"":21948,""updatedTime"":1777013041532,""firstVol"":8900.0,""highestVol"":8900.0,""firstVolDivLTGB"":8.517560861467905E-6,""firstVolDivVol"":8.555891374826093E-5,""highestVolDivLTGB"":8.517560861467905E-6,""highestVolDivVol"":8.555891374826093E-5},{""code"":""000062.SZ"",""time"":1777013307470,""openTime"":null,""duration"":692530,""updatedTime"":1777014000000,""firstVol"":3462886.0,""highestVol"":3491786.0,""firstVolDivLTGB"":0.003314083400148893,""firstVolDivVol"":0.031852787336202594,""highestVolDivLTGB"":0.0033417415472159068,""highestVolDivVol"":0.0321005486101178}]",1,华为昇腾+分销龙头+存储芯片+一季报预增,959843,32961008.620000005,0.8559741492048957,0.09185978842644875,5,35881868644.18,3天2板,放量涨停,33,000062,,,,,,,,,,,2,0.0,0,0,0.8559741492048957,
000504.SZ,*ST生物,9.18,-3.2665964172813537,涨停, 14:01:21, 14:01:21,"[{""code"":""000504.SZ"",""time"":1777010481624,""openTime"":null,""duration"":3518376,""updatedTime"":1777014000000,""firstVol"":61800.0,""highestVol"":352400.0,""firstVolDivLTGB"":1.877720883645239E-4,""firstVolDivVol"":0.019963168277556523,""highestVolDivLTGB"":0.001070726277340748,""highestVolDivVol"":0.10659726349942118}]",1,动力电池回收+细胞治疗+湖南国资,318400,3152160.0,9.591803105346255,0.0967421244907191,0,3258311740.2,首板涨停,放量涨停,33,000504,,,,,,,,,,,1,0.0,0,0,9.591803105346255,
000546.SZ,金圆股份,7.72,4.748982360922654,涨停, 10:27:49, 13:45:15,"[{""code"":""000546.SZ"",""time"":1776997669983,""openTime"":1777001333262,""duration"":3663279,""updatedTime"":1777001333262,""firstVol"":1.089819E8,""highestVol"":1.16246714E8,""firstVolDivLTGB"":0.1564246959279934,""firstVolDivVol"":2.0420297024137426,""highestVolDivLTGB"":0.1668520817684259,""highestVolDivVol"":2.0898366062927414},{""code"":""000546.SZ"",""time"":1777001348262,""openTime"":1777001363263,""duration"":15001,""updatedTime"":1777001363263,""firstVol"":1401300.0,""highestVol"":1401300.0,""firstVolDivLTGB"":0.002011324141016968,""firstVolDivVol"":0.013466154804793802,""highestVolDivLTGB"":0.002011324141016968,""highestVolDivVol"":0.013466154804793802},{""code"":""000546.SZ"",""time"":1777001378264,""openTime"":1777006858634,""duration"":57268,""updatedTime"":1777006858634,""firstVol"":1.46594E7,""highestVol"":1.46594E7,""firstVolDivLTGB"":0.021041036974826337,""firstVolDivVol"":0.13815613348901698,""highestVolDivLTGB"":0.021041036974826337,""highestVolDivVol"":0.13815613348901698},{""code"":""000546.SZ"",""time"":1777008691686,""openTime"":1777008712036,""duration"":20350,""updatedTime"":1777008712036,""firstVol"":86400.0,""highestVol"":86400.0,""firstVolDivLTGB"":1.2401227844420615E-4,""firstVolDivVol"":5.798140555114246E-4,""highestVolDivLTGB"":1.2401227844420615E-4,""highestVolDivVol"":5.798140555114246E-4},{""code"":""000546.SZ"",""time"":1777009515411,""openTime"":null,""duration"":4484589,""updatedTime"":1777014000000,""firstVol"":1611900.0,""highestVol"":1.69344E7,""firstVolDivLTGB"":0.0023136040697247207,""firstVolDivVol"":0.010136244737330779,""highestVolDivLTGB"":0.024306406575064405,""highestVolDivVol"":0.10624606582319715}]",1,盐湖提锂+锂矿布局+金属镍+固废回收,4863700,34824092.0,2.969484237519518,0.6981001373484784,4,4988409274.96,首板涨停,放量涨停,33,000546,,,,,,,,,,,1,0.0,0,0,2.969484237519518,
000609.SZ,*ST中迪,14.42,5.0254916241806225,涨停, 09:30:00, 09:30:00,"[{""code"":""000609.SZ"",""time"":1776994200000,""openTime"":null,""duration"":14376898,""updatedTime"":1777014000000,""firstVol"":3.3074E7,""highestVol"":3.3074E7,""firstVolDivLTGB"":0.11363360255227517,""firstVolDivVol"":487.09867452135495,""highestVolDivLTGB"":0.11363360255227517,""highestVolDivVol"":487.09867452135495}]",4,半导体资产注入+房地产+ST博弈,7941507,94265688.08999999,1257.7755850951783,2.7284938323278443,0,3454861688.64,7天5板,一字涨停||缩量涨停,33,000609,,,,,,,,,,,5,0.0,0,0,1257.7755850951783,
000889.SZ,中嘉博创,4.42,-8.108108108108103,涨停, 10:15:02, 10:42:51,"[{""code"":""000889.SZ"",""time"":1776996902478,""openTime"":1776997482096,""duration"":579618,""updatedTime"":1776997482096,""firstVol"":1.597675E8,""highestVol"":1.644343E8,""firstVolDivLTGB"":0.18367349721349138,""firstVolDivVol"":1.3983759924187351,""highestVolDivLTGB"":0.18903859009405796,""highestVolDivVol"":1.4095720632951685},{""code"":""000889.SZ"",""time"":1776997902967,""openTime"":1776998322962,""duration"":419995,""updatedTime"":1776998322962,""firstVol"":3.4423653E7,""highestVol"":4.0917553E7,""firstVolDivLTGB"":0.0395744612225496,""firstVolDivVol"":0.16782432851309675,""highestVolDivLTGB"":0.04704004291816787,""highestVolDivVol"":0.19443700610308307},{""code"":""000889.SZ"",""time"":1776998571874,""openTime"":null,""duration"":10005024,""updatedTime"":1777014000000,""firstVol"":5.141478E7,""highestVol"":5.159048E7,""firstVolDivLTGB"":0.05910796908671834,""firstVolDivVol"":0.2216253086452215,""highestVolDivLTGB"":0.059309959062529505,""highestVolDivVol"":0.2222658793900657}]",1,算力+诉讼和解+5G消息+通信运维,13714920,65694466.8,5.585557530044804,1.5767082293978794,2,4166558249.34,首板涨停,放量涨停,33,000889,,,,,,,,,,,1,0.0,0,0,5.585557530044804,
000906.SZ,浙商中拓,6.34,0.4754358161648217,涨停, 09:43:45, 10:10:45,"[{""code"":""000906.SZ"",""time"":1776995025230,""openTime"":1776996603348,""duration"":1578118,""updatedTime"":1776996603348,""firstVol"":5.8194097E7,""highestVol"":5.8194097E7,""firstVolDivLTGB"":0.08298744593154589,""firstVolDivVol"":1.7741138339949387,""highestVolDivLTGB"":0.08298744593154589,""highestVolDivVol"":1.7741138339949387},{""code"":""000906.SZ"",""time"":1776996645730,""openTime"":null,""duration"":11931168,""updatedTime"":1777014000000,""firstVol"":3.20355E7,""highestVol"":3.22232E7,""firstVolDivLTGB"":0.045684089301016875,""firstVolDivVol"":0.6182477605393097,""highestVolDivLTGB"":0.04595175809225787,""highestVolDivVol"":0.6215019276315327}]",1,供应链服务+储能+矿产资源+浙江国资,5906749,37566923.64,10.139879287220827,0.8423294432572994,1,4459884899.04,首板涨停,放量涨停,33,000906,,,,,,,,,,,1,0.0,0,0,10.139879287220827,
000925.SZ,众合科技,9.19,-5.840163934426233,涨停, 09:30:15, 09:30:15,"[{""code"":""000925.SZ"",""time"":1776994215138,""openTime"":null,""duration"":14361760,""updatedTime"":1777014000000,""firstVol"":5.8247064E7,""highestVol"":6.3291564E7,""firstVolDivLTGB"":0.08651697950931656,""firstVolDivVol"":2.2549605050375066,""highestVolDivLTGB"":0.09400980186229811,""highestVolDivVol"":2.3780021488282213}]",2,算力租赁+商业航天+智慧交通,20678440,190241648.0,49.687411845046235,3.071461541417146,0,6193847633.6,2天2板,放量涨停,33,000925,,,,,,,,,,,2,0.0,0,0,49.687411845046235,
000973.SZ,佛塑科技,20.99,-1.4091122592766592,涨停, 13:22:20, 13:22:20,"[{""code"":""000973.SZ"",""time"":1777008140128,""openTime"":null,""duration"":5859872,""updatedTime"":1777014000000,""firstVol"":4.5532509E7,""highestVol"":4.5532509E7,""firstVolDivLTGB"":0.047065762289871804,""firstVolDivVol"":0.49490413241743975,""highestVolDivLTGB"":0.047065762289871804,""highestVolDivVol"":0.49490413241743975}]",1,锂电隔膜+超薄隔膜+业绩暴增+广东国资,7560450,143572945.5,7.540966254668488,0.7815039195500105,0,18371366017.29,首板涨停,放量涨停,33,000973,,,,,,,,,,,1,0.0,0,0,7.540966254668488,
001211.SZ,双枪科技,41.73,3.037037037037029,涨停, 10:34:27, 10:34:27,"[{""code"":""001211.SZ"",""time"":1776998067970,""openTime"":null,""duration"":10508928,""updatedTime"":1777014000000,""firstVol"":7727300.0,""highestVol"":7727300.0,""firstVolDivLTGB"":0.11533873186800966,""firstVolDivVol"":1.4964361530515693,""highestVolDivLTGB"":0.11533873186800966,""highestVolDivVol"":1.4964361530515693}]",1,竹基禾塑托盘+金钢瓷餐具+全竹产业链,1821800,62943189.99999999,30.704139041986366,2.719243483715399,0,2314729075.0,首板涨停,放量涨停,33,001211,,,,,,,,,,,1,0.0,0,0,30.704139041986366,
001234.SZ,泰慕士,31.2,3.4825870646766193,涨停, 09:47:00, 09:47:00,"[{""code"":""001234.SZ"",""time"":1776995220333,""openTime"":null,""duration"":13356565,""updatedTime"":1777014000000,""firstVol"":3289100.0,""highestVol"":6816000.0,""firstVolDivLTGB"":0.03595214542195211,""firstVolDivVol"":0.3270406357261891,""highestVolDivLTGB"":0.07450360986167207,""highestVolDivVol"":0.673720168904493}]",3,服装贴牌+广州国资入主+回购注销,5601500,200365655.00000003,42.66294786003598,6.1228282077487695,0,3272436335.0,3天3板,放量涨停,33,001234,,,,,,,,,,,3,0.0,0,0,42.66294786003598,
