股票代码,股票简称,最新价,最新涨跌幅,涨停[20260428],首次涨停时间[20260428],最终涨停时间[20260428],涨停明细数据[20260428],连续涨停天数[20260428],涨停原因类别[20260428],涨停封单量[20260428],涨停封单额[20260428],涨停封单量占成交量比[20260428],涨停封单量占流通a股比[20260428],涨停开板次数[20260428],a股市值(不含限售股)[20260428],几天几板[20260428],涨停类型[20260428],market_code,code,所属概念,主力资金流向区间增长值[20260424-20260430],主力资金流向[20260424],主力资金流向[20260428],主力资金流向[20260429],主力资金流向[20260430],量比[20260430],所属概念数量,a股市值(不含限售股)[20260430],换手率[20260430],振幅[20260430],主力资金流向[20260427],lbc,main,chg5,amt,volr,concepts
002412.SZ,汉森制药,6.99,-0.28530670470755454,涨停, 09:36:52, 09:36:52,"[{""code"":""002412.SZ"",""time"":1777340212310,""openTime"":null,""duration"":13945404,""updatedTime"":1777359600000,""firstVol"":5.53492E7,""highestVol"":5.72517E7,""firstVolDivLTGB"":0.11117757534975746,""firstVolDivVol"":3.15872692391079,""highestVolDivLTGB"":0.11499904588777632,""highestVolDivVol"":3.105576315739369}]",1,一季报增长+四磨汤中选集采+中药独家品种,11208100,80025834.0,41.55776605863515,2.2513232030049513,0,3554613300.0,首板涨停,放量涨停,33,002412,流感;仿制药一致性评价;医药电商;肝炎概念;创新药;幽门螺杆菌概念;农业种植;参股银行;融资融券,5034907.0,,4936482.0,,2843209.0,1.532538,9.0,3479936550.0,6.11199,2.710413,1116082.2999999998,1,4936482.0,0,0,41.55776605863515,流感;仿制药一致性评价;医药电商;肝炎概念;创新药;幽门螺杆菌概念;农业种植;参股银行;融资融券
002569.SZ,*ST步森,14.41,1.4788732394366257,涨停, 09:30:57, 09:32:58,"[{""code"":""002569.SZ"",""time"":1777339857733,""openTime"":1777339963015,""duration"":105282,""updatedTime"":1777339963015,""firstVol"":3000.0,""highestVol"":245100.0,""firstVolDivLTGB"":2.1435243148001246E-5,""firstVolDivVol"":0.005589714924538848,""highestVolDivLTGB"":0.0017512593651917016,""highestVolDivVol"":0.403988791824625},{""code"":""002569.SZ"",""time"":1777339978015,""openTime"":null,""duration"":14179699,""updatedTime"":1777359600000,""firstVol"":43600.0,""highestVol"":680100.0,""firstVolDivLTGB"":3.115255337509514E-4,""firstVolDivVol"":0.049221043124858886,""highestVolDivLTGB"":0.004859369621651882,""highestVolDivVol"":0.56369664318276}]",2,控制权变更+扭亏预期+男装品牌+宝鸡国资,613500,8595135.0,50.7864238410596,0.438182986929505,1,1961540100.0,2天2板,缩量涨停,33,002569,ST板块;股权转让(并购重组);国企改革,428508.0,2009711.0,,14622816.0,2438219.0,1.039477,3.0,2017544100.0,2.957788,3.802816,,2,0.0,0,0,50.7864238410596,ST板块;股权转让(并购重组);国企改革
002575.SZ,群兴玩具,6.81,-0.5839416058394166,涨停, 11:00:35, 11:00:35,"[{""code"":""002575.SZ"",""time"":1777345235495,""openTime"":null,""duration"":8922219,""updatedTime"":1777359600000,""firstVol"":1.000486E8,""highestVol"":1.024951E8,""firstVolDivLTGB"":0.17122066382521386,""firstVolDivVol"":1.2814270211976355,""highestVolDivLTGB"":0.17540754254264104,""highestVolDivVol"":1.2911137837394395}]",1,算力租赁+腾讯合作+酒类销售,10359396,70443892.8,11.533541812400703,1.7728810397629402,0,3973413400.0,首板涨停,放量涨停,33,002575,,,,,,,,,,,,,1,0.0,0,0,11.533541812400703,
002592.SZ,ST八菱,7.94,-0.37641154328731946,涨停, 13:00:21, 13:00:21,"[{""code"":""002592.SZ"",""time"":1777352421143,""openTime"":null,""duration"":7178857,""updatedTime"":1777359600000,""firstVol"":563000.0,""highestVol"":1884100.0,""firstVolDivLTGB"":0.0021431434354968414,""firstVolDivVol"":0.08843441245307321,""highestVolDivLTGB"":0.007172107543196446,""highestVolDivVol"":0.29593038779901676}]",1,汽车热管理+年报增长+客户拓展,914000,7604480.0,13.04521580269468,0.3479277264731995,0,2185649323.52,首板涨停,放量涨停,33,002592,ST板块;细胞免疫治疗;网络游戏;文化传媒概念;长安汽车概念;华为汽车;西部大开发;燃料电池;汽车热管理;华为概念;新能源汽车;专精特新;2025年报预增;军工,2123462.0,,9198371.0,,,0.588659,14.0,2085823993.84,1.13735,2.63488,,1,9198371.0,0,0,13.04521580269468,ST板块;细胞免疫治疗;网络游戏;文化传媒概念;长安汽车概念;华为汽车;西部大开发;燃料电池;汽车热管理;华为概念;新能源汽车;专精特新;2025年报预增;军工
002647.SZ,仁东控股,12.41,-0.9577015163607281,涨停, 09:48:02, 10:01:13,"[{""code"":""002647.SZ"",""time"":1777340882924,""openTime"":1777340923463,""duration"":40539,""updatedTime"":1777340923463,""firstVol"":6002300.0,""highestVol"":1.8983E7,""firstVolDivLTGB"":0.005911897294355488,""firstVolDivVol"":0.19875129366486252,""highestVolDivLTGB"":0.018697090505098084,""highestVolDivVol"":0.6154408776524738},{""code"":""002647.SZ"",""time"":1777341338695,""openTime"":1777341594642,""duration"":255947,""updatedTime"":1777341594642,""firstVol"":5.19738E7,""highestVol"":5.19738E7,""firstVolDivLTGB"":0.05119100471442168,""firstVolDivVol"":1.0642985281420032,""highestVolDivLTGB"":0.05119100471442168,""highestVolDivVol"":1.0642985281420032},{""code"":""002647.SZ"",""time"":1777341673626,""openTime"":null,""duration"":12484088,""updatedTime"":1777359600000,""firstVol"":3.65425E7,""highestVol"":3.65425E7,""firstVolDivLTGB"":0.03599212083351139,""firstVolDivVol"":0.5468669503425952,""highestVolDivLTGB"":0.03599212083351139,""highestVolDivVol"":0.5468669503425952}]",1,摘帽+AI算力+第三方支付,2856542,36792260.96,3.313160293917129,0.28135186380242266,2,13076956542.16,首板涨停,放量涨停,33,002647,,,,,,,,,,,,,1,0.0,0,0,3.313160293917129,
002652.SZ,扬子新材,5.93,-4.045307443365696,涨停, 13:03:42, 13:03:42,"[{""code"":""002652.SZ"",""time"":1777352622030,""openTime"":null,""duration"":6977970,""updatedTime"":1777359600000,""firstVol"":5.06079E7,""highestVol"":5.06079E7,""firstVolDivLTGB"":0.09883120078740157,""firstVolDivVol"":1.3279811277680542,""highestVolDivLTGB"":0.09883120078740157,""highestVolDivVol"":1.3279811277680542}]",1,中芯国际概念+半导体洁净室+有机涂层板,5163960,29021455.2,12.28895741524385,1.0084598800149982,0,2877799680.0,首板涨停,放量涨停,33,002652,,,,,,,,,,,,,1,0.0,0,0,12.28895741524385,
002715.SZ,登云股份,17.5,2.1003500583430537,涨停, 10:42:24, 10:42:24,"[{""code"":""002715.SZ"",""time"":1777344144100,""openTime"":null,""duration"":10013614,""updatedTime"":1777359600000,""firstVol"":1.55648E7,""highestVol"":1.55648E7,""firstVolDivLTGB"":0.11278840579710145,""firstVolDivVol"":1.617811055326315,""highestVolDivLTGB"":0.11278840579710145,""highestVolDivVol"":1.617811055326315}]",1,气门+黄金+比亚迪概念,3183221,54528575.73,25.239661020712052,2.306681884057971,0,2363940000.0,首板涨停,放量涨停,33,002715,创投;比亚迪概念;新能源汽车;黄金概念,2469414.0,429805.0,3310181.0,,2899219.0,1.820529,4.0,2415000000.0,11.138043,5.54259,1476368.0,1,3310181.0,0,0,25.239661020712052,创投;比亚迪概念;新能源汽车;黄金概念
002733.SZ,雄韬股份,27.66,-6.68016194331984,涨停, 11:18:34, 11:22:12,"[{""code"":""002733.SZ"",""time"":1777346314455,""openTime"":1777346381753,""duration"":67298,""updatedTime"":1777346381753,""firstVol"":3.1007397E7,""highestVol"":3.1007397E7,""firstVolDivLTGB"":0.08406215114819982,""firstVolDivVol"":0.9311811103499604,""highestVolDivLTGB"":0.08406215114819982,""highestVolDivVol"":0.9311811103499604},{""code"":""002733.SZ"",""time"":1777346532634,""openTime"":null,""duration"":7625080,""updatedTime"":1777359600000,""firstVol"":2.4311666E7,""highestVol"":2.4311666E7,""firstVolDivLTGB"":0.06590978733095688,""firstVolDivVol"":0.664120980291218,""highestVolDivLTGB"":0.06590978733095688,""highestVolDivVol"":0.664120980291218}]",1,算力UPS+氢能+钠电,1643800,52848170.0,3.659092677240223,0.4456400002148224,1,11858937701.85,首板涨停,放量涨停,33,002733,,,,,,,,,,,,,1,0.0,0,0,3.659092677240223,
002821.SZ,凯莱英,125.56,-0.9779179810725512,涨停, 09:39:59, 09:39:59,"[{""code"":""002821.SZ"",""time"":1777340399893,""openTime"":null,""duration"":13757821,""updatedTime"":1777359600000,""firstVol"":7310200.0,""highestVol"":7310200.0,""firstVolDivLTGB"":0.023057377758757908,""firstVolDivVol"":1.0570850815972161,""highestVolDivLTGB"":0.023057377758757908,""highestVolDivVol"":1.0570850815972161}]",1,GLP-1多肽+CDMO+在手订单,1570482,203361714.18,15.922067051679942,0.4953516557321227,0,41054009172.42,首板涨停,缩量涨停,33,002821,,,,,,,,,,,,,1,0.0,0,0,15.922067051679942,
002902.SZ,铭普光磁,30.39,-1.9361084220716291,涨停, 09:35:55, 09:35:55,"[{""code"":""002902.SZ"",""time"":1777340155839,""openTime"":null,""duration"":14001875,""updatedTime"":1777359600000,""firstVol"":1.9315806E7,""highestVol"":2.0515506E7,""firstVolDivLTGB"":0.1087405478626306,""firstVolDivVol"":0.7309622736651696,""highestVolDivLTGB"":0.1154943967711772,""highestVolDivVol"":0.7565084208575824}]",2,AI算力+800G光模块+磁性元器件+新能源车载,5016955,157883573.85,15.49398076456146,2.824352425687874,0,5590080487.62,2天2板,缩量涨停,33,002902,共封装光学(CPO);F5G概念;铜缆高速连接;华为海思概念股;5G;消费电子概念;第三代半导体;智能穿戴;汽车电子;数据中心;芯片概念;粤港澳大湾区;露营经济;华为概念;充电桩;光伏概念;新能源汽车;储能;工业互联网;商业航天;车联网(车路协同);海工装备;数字经济;体育产业;跨境电商;一带一路;深股通;融资融券,14900685.0,,45565340.0,23647252.0,13356964.0,0.912457,28.0,5398237877.94,19.276661,5.06615,,2,45565340.0,0,0,15.49398076456146,共封装光学(CPO);F5G概念;铜缆高速连接;华为海思概念股;5G;消费电子概念;第三代半导体;智能穿戴;汽车电子;数据中心;芯片概念;粤港澳大湾区;露营经济;华为概念;充电桩;光伏概念;新能源汽车;储能;工业互联网;商业航天;车联网(车路协同);海工装备;数字经济;体育产业;跨境电商;一带一路;深股通;融资融券
