股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],成交额[20260430],主力资金流向区间增长值[20260424-20260430],主力资金流向[20260424],主力资金流向[20260428],主力资金流向[20260429],主力资金流向[20260430],所属概念数量,a股市值(不含限售股)[20260430],成交量[20260430],主力买入金额[20260430],主力卖出金额[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],market_code,code,主力资金流向[20260427]
688336.SH,三生国健,73.19,创新药;重组蛋白;阿尔茨海默概念;2025年报预增;沪股通;融资融券,上证AB股;上证A股;上证上市公司;中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创板,0.02733361,4.09731095E8,17189414.0,,,2320544.0,,6,45142552189.67,5570528,54901259.0,58135167.0,73.14,74.86,72.62,73.19,3.061363,17,688336,23698305.0
301002.SZ,崧盛股份,47.89,智慧灯杆;人形机器人;商业航天;机器人概念;智慧城市;体育产业;储能;光伏概念;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,1.11908784,3.60780873E8,17098391.0,13408807.0,,,30507198.0,9,4069940078.64,7541840,78954321.0,48447123.0,47.38,49.45,46.47,47.89,6.292229,33,301002,41970330.0
000678.SZ,襄阳轴承,11.64,股权转让(并购重组);减速器;军民融合;农机;军工;新能源汽车;比亚迪概念;一带一路;人民币贬值受益;国企改革;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,1.30548303,9.7245413E7,17077646.0,,,5041052.3,5433801.0,12,5349881317.08,8388538,9291672.0,3857871.0,11.45,11.73,11.39,11.64,2.959094,33,000678,294614.2400000002
002606.SZ,大连电瓷,14.49,特高压;虚拟电厂;绿色电力;储能;专精特新;一带一路;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,-0.61728395,9.91687071E8,17042316.0,,14661855.0,,,7,6102348376.95,6.6977882E7,103725681.0,155506585.0,14.7,15.38,14.38,14.49,6.85871,33,002606,30516028.0
000859.SZ,国风新材,9.04,光刻胶;柔性屏(折叠屏);新能源汽车;芯片概念;装配式建筑;雄安新区;一带一路;国企改革;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,1.57303371,2.64332752E8,17003339.0,,,,4662276.0,10,8099164449.84,2.9100064E7,30859330.0,26197054.0,8.92,9.28,8.92,9.04,4.044943,33,000859,
601816.SH,京沪高铁,4.9,同花顺中特估100;国企改革;高铁;沪股通;融资融券,上证180;上证50;上证AB股;上证A股;上证上市公司;上证主板A股;中证800;中证A50;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),-0.8097166,7.18672274E8,16923330.0,,56258547.0,62943864.0,,5,239735828913.0,1.46385905E8,135288262.0,140875540.0,4.93,4.94,4.9,4.9,0.809716,17,601816,
603128.SH,华贸物流,5.58,航运概念;统一大市场;自由贸易港;高股息精选;国企改革;跨境电商;一带一路;央企国企改革;上海自贸区;沪股通;阿里巴巴概念;比亚迪概念;小米概念;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),0.35971223,5.1464613E7,16909592.2,,,4156172.9000000004,,14,7304479436.52,9214832,3727310.0,6062256.8,5.61,5.63,5.56,5.58,1.258992,17,603128,
688223.SH,晶科能源,6.65,BC电池;TOPCON电池;钙钛矿电池;光伏概念;储能;同花顺漂亮100;数据中心;DeepSeek概念;人民币贬值受益;沪股通;融资融券,上证180;上证AB股;上证A股;上证上市公司;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深300;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创50;科创创业50;科创板,3.58255452,1.18784584E9,16887748.0,,,51552881.0,,11,68291551781.95,1.79572416E8,216395941.0,266070037.0,6.42,6.72,6.42,6.65,4.672897,17,688223,
002747.SZ,埃斯顿,21.87,人形机器人;长安汽车概念;新型工业化;机器人概念;比亚迪概念;机器视觉;工业互联网;工业母机;高端装备;专精特新;农机;宁德时代概念;智能医疗;光伏概念;医疗器械概念;养老概念;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;含H股的A股;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,5.14423077,7.2257465E8,16844681.0,3885674.0,,21080029.8,20730355.0,18,17111189214.36,3.3103512E7,97291848.0,76561493.0,21.51,22.09,21.51,21.87,2.788461,33,002747,9745730.399999999
600516.SH,方大炭素,5.66,石墨电极;石墨烯;钠离子电池;可控核聚变;锂电池概念;固态电池;核电;碳纤维;工业互联网;西部大开发;人工智能;参股银行;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),2.16606498,4.97604858E8,16837328.0,18864682.0,10423281.599999998,42246489.0,35702010.0,14,22786992282.88,8.8377436E7,106016078.0,70314068.0,5.52,5.7,5.49,5.66,3.790613,17,600516,
000650.SZ,仁和药业,5.69,医药电商;仿制药一致性评价;生物疫苗;流感;创新药;肝炎概念;眼科医疗;三胎概念;医疗器械概念;消毒剂;养老概念;区块链;脑机接口;智能穿戴;AI眼镜;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,-0.1754386,6.20379315E7,16806444.4,,12439689.200000001,5836803.0,,17,7575585395.46,1.0875758E7,5171960.0,5283094.8,5.7,5.74,5.68,5.69,1.052631,33,000650,
600916.SH,中国黄金,8.94,黄金概念;培育钻石;央企国企改革;回购增持再贷款概念;同花顺中特估100;国企改革;中字头股票;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),0.11198208,2.00222822E8,16804882.0,,,28271430.0,1464960.0,9,15019200000.0,2.2475665E7,19931595.0,18466635.0,8.92,8.98,8.84,8.94,1.567749,17,600916,
