板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
长三角一体化,2,1,1,5,2.71,0.0,0.0,7.83,85.4,002081金螳螂(5板); 002787华源控股(1板)
芯片概念,2,1,1,5,2.71,0.0,0.0,7.83,85.4,002081金螳螂(5板); 002787华源控股(1板)
新型城镇化,2,1,1,5,2.44,0.0,0.0,7.58,84.9,001267汇绿生态(1板); 002081金螳螂(5板)
人工智能,2,1,1,5,2.28,0.0,0.0,11.94,84.6,001314亿道信息(1板); 002081金螳螂(5板)
智能家居,2,1,1,5,2.28,0.0,0.0,11.94,84.6,001314亿道信息(1板); 002081金螳螂(5板)
白酒概念,1,1,1,6,0.02,0.0,0.0,5.13,83.0,600381*ST春天(6板)
光伏建筑一体化,1,1,1,5,2.21,0.0,0.0,10.0,79.4,002081金螳螂(5板)
数据中心,1,1,1,5,2.21,0.0,0.0,10.0,79.4,002081金螳螂(5板)
数字孪生,1,1,1,5,2.21,0.0,0.0,10.0,79.4,002081金螳螂(5板)
第三代半导体,1,1,1,5,2.21,0.0,0.0,10.0,79.4,002081金螳螂(5板)
装配式建筑,1,1,1,5,2.21,0.0,0.0,10.0,79.4,002081金螳螂(5板)
PPP概念,1,1,1,5,2.21,0.0,0.0,10.0,79.4,002081金螳螂(5板)
锂电池概念,2,1,0,2,0.81,0.0,0.0,13.4,37.6,002787华源控股(1板); 600052东望时代(2板)
储能,1,1,0,2,0.3,0.0,0.0,21.15,31.6,600052东望时代(2板)
体育产业,1,1,0,2,0.3,0.0,0.0,21.15,31.6,600052东望时代(2板)
文化传媒概念,1,1,0,2,0.3,0.0,0.0,21.15,31.6,600052东望时代(2板)
2025年报预增,2,0,0,1,0.58,0.0,0.0,9.77,19.2,001314亿道信息(1板); 002787华源控股(1板)
海峡两岸,2,0,0,1,0.54,0.0,0.0,12.25,19.1,001215千味央厨(1板); 002787华源控股(1板)
创投,1,0,0,1,0.51,0.0,0.0,5.65,14.0,002787华源控股(1板)
食品安全,1,0,0,1,0.51,0.0,0.0,5.65,14.0,002787华源控股(1板)
液冷服务器,1,0,0,1,0.51,0.0,0.0,5.65,14.0,002787华源控股(1板)
高股息精选,1,0,0,1,0.27,0.0,0.0,6.5,13.5,601101昊华能源(1板)
煤炭概念,1,0,0,1,0.27,0.0,0.0,6.5,13.5,601101昊华能源(1板)
乡村振兴,1,0,0,1,0.23,0.0,0.0,5.17,13.5,001267汇绿生态(1板)
污水处理,1,0,0,1,0.23,0.0,0.0,5.17,13.5,001267汇绿生态(1板)
土壤修复,1,0,0,1,0.23,0.0,0.0,5.17,13.5,001267汇绿生态(1板)
铜缆高速连接,1,0,0,1,0.23,0.0,0.0,5.17,13.5,001267汇绿生态(1板)
共封装光学(CPO),1,0,0,1,0.23,0.0,0.0,5.17,13.5,001267汇绿生态(1板)
煤化工概念,1,0,0,1,0.27,0.0,0.0,6.5,13.5,601101昊华能源(1板)
仿制药一致性评价,1,0,0,1,0.17,0.0,0.0,27.81,13.3,002793罗欣药业(1板)
医药电商,1,0,0,1,0.17,0.0,0.0,27.81,13.3,002793罗欣药业(1板)
创新药,1,0,0,1,0.17,0.0,0.0,27.81,13.3,002793罗欣药业(1板)
幽门螺杆菌概念,1,0,0,1,0.17,0.0,0.0,27.81,13.3,002793罗欣药业(1板)
民营医院,1,0,0,1,0.17,0.0,0.0,27.81,13.3,002793罗欣药业(1板)
医疗器械概念,1,0,0,1,0.17,0.0,0.0,27.81,13.3,002793罗欣药业(1板)
流感,1,0,0,1,0.17,0.0,0.0,27.81,13.3,002793罗欣药业(1板)
预制菜,1,0,0,1,0.03,0.0,0.0,18.85,13.1,001215千味央厨(1板)
PCB概念,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
先进封装,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
回购增持再贷款概念,1,0,0,1,0.03,0.0,0.0,18.85,13.1,001215千味央厨(1板)
空间计算,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
多模态AI,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
鸿蒙概念,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
元宇宙,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
智能音箱,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
电子竞技,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
AIGC概念,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
DeepSeek概念,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
AI PC,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
数字货币,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
物联网,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
MR(混合现实),1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
虚拟现实,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
AI眼镜,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
智能穿戴,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
机器人概念,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
粤港澳大湾区,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
三胎概念,1,0,0,1,0.03,0.0,0.0,18.85,13.1,001215千味央厨(1板)
消费电子概念,1,0,0,1,0.07,0.0,0.0,13.89,13.1,001314亿道信息(1板)
